dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,63,10,118,2678,26.78,1657916445.1446085
1,0,0,4,0,True,63,10,109,2669,26.69,1657916445.1453412
0,1,0,4,0,False,23,15,170,4010,40.1,1657916446.3200727
1,1,0,4,0,True,23,13,6,3334,33.34,1657916446.320464
0,2,0,4,0,False,193,14,159,3743,37.43,1657916447.566093
1,2,0,4,0,True,193,14,151,3735,37.35,1657916447.5667977
0,3,0,4,0,False,252,14,7,3591,35.91,1657916466.0603933
1,3,0,4,0,True,252,13,254,3582,35.82,1657916466.0603933
0,4,0,4,0,False,93,14,127,3711,37.11,1657916468.4770327
1,4,0,4,0,True,93,14,117,3701,37.01,1657916468.4780316
0,5,0,4,0,False,197,12,156,3228,32.28,1657916471.242504
1,5,0,4,0,True,197,12,149,3221,32.21,1657916471.242504
0,6,0,4,0,False,196,14,200,3784,37.84,1657916474.9704926
1,6,0,4,0,True,196,14,191,3775,37.75,1657916474.9713497
0,7,0,4,0,False,212,13,210,3538,35.38,1657916482.1085079
1,7,0,4,0,True,212,13,203,3531,35.31,1657916482.1093023
0,8,0,4,0,False,45,0,239,239,2.39,1657916486.275087
1,8,0,4,0,True,45,0,231,231,2.31,1657916486.2755468
0,9,0,4,0,False,98,15,170,4010,40.1,1657916487.2834792
1,9,0,4,0,True,98,15,162,4002,40.02,1657916487.284476
0,10,0,4,0,False,186,6,19,1555,15.55,1657916490.3705485
1,10,0,4,0,True,186,6,9,1545,15.45,1657916490.3714037
