,REL,SEC,FRAC,SOUR,SOURSTAT,STAT,READ,VOLTAGE
0,0.0,1657948030.0,0.271671,-40.00119,136,8,-5.018327e-07,-40
1,0.359185,1657948030.0,0.630856,-40.00061,136,8,-4.797905e-07,-40
2,0.4283987,1657948030.0,0.70007,-40.00055,136,8,-4.760682e-07,-40
3,0.4976154,1657948030.0,0.769287,-40.00061,136,8,-4.74908e-07,-40
4,0.5668423,1657948030.0,0.838514,-40.0006,136,8,-4.73746e-07,-40
5,0.6360613,1657948030.0,0.907733,-40.00065,136,8,-4.713801e-07,-40
6,0.7052864,1657948030.0,0.976958,-40.00053,136,8,-4.714239e-07,-40
7,0.7745168,1657948031.0,0.0461883,-40.0005,136,8,-4.684926e-07,-40
8,0.8437275,1657948031.0,0.115399,-40.00057,136,8,-4.670048e-07,-40
9,0.9129514,1657948031.0,0.184623,-40.00055,136,8,-4.66093e-07,-40
10,0.9821758,1657948031.0,0.253847,-40.00053,136,8,-4.660281e-07,-40
11,1.051384,1657948031.0,0.323056,-40.00052,136,8,-4.652564e-07,-40
12,1.120602,1657948031.0,0.392274,-40.00053,136,8,-4.645492e-07,-40
13,1.189812,1657948031.0,0.461483,-40.00054,136,8,-4.63093e-07,-40
14,1.259029,1657948031.0,0.5307,-40.00054,136,8,-4.639629e-07,-40
15,1.328241,1657948031.0,0.599913,-40.00063,136,8,-4.640398e-07,-40
16,1.397456,1657948031.0,0.669127,-40.00053,136,8,-4.636671e-07,-40
17,1.466671,1657948031.0,0.738342,-40.00056,136,8,-4.61917e-07,-40
18,1.535887,1657948031.0,0.807559,-40.00058,136,8,-4.595978e-07,-40
19,1.605104,1657948031.0,0.876776,-40.00055,136,8,-4.590106e-07,-40
20,1.674314,1657948031.0,0.945986,-40.00048,136,8,-4.596727e-07,-40
21,1.743543,1657948032.0,0.0152144,-40.00058,136,8,-4.59032e-07,-40
22,1.812761,1657948032.0,0.0844329,-40.00055,136,8,-4.607614e-07,-40
23,1.881979,1657948032.0,0.15365,-40.00053,136,8,-4.599365e-07,-40
24,1.951195,1657948032.0,0.222866,-40.00053,136,8,-4.593814e-07,-40
25,2.020409,1657948032.0,0.29208,-40.00052,136,8,-4.577488e-07,-40
26,2.089639,1657948032.0,0.361311,-40.00053,136,8,-4.57264e-07,-40
27,2.158861,1657948032.0,0.430532,-40.00058,136,8,-4.570269e-07,-40
28,2.228073,1657948032.0,0.499745,-40.00055,136,8,-4.573345e-07,-40
29,2.297297,1657948032.0,0.568969,-40.00055,136,8,-4.577786e-07,-40
30,2.366518,1657948032.0,0.63819,-40.00047,136,8,-4.559768e-07,-40
31,2.435734,1657948032.0,0.707406,-40.00047,136,8,-4.569246e-07,-40
32,2.504949,1657948032.0,0.776621,-40.00053,136,8,-4.576516e-07,-40
33,2.574136,1657948032.0,0.845808,-40.00047,136,8,-4.543008e-07,-40
34,2.643344,1657948032.0,0.915015,-40.00049,136,8,-4.558171e-07,-40
35,2.712574,1657948032.0,0.984246,-40.00052,136,8,-4.572662e-07,-40
36,2.781796,1657948033.0,0.0534677,-40.00051,136,8,-4.566168e-07,-40
37,2.851013,1657948033.0,0.122684,-40.00061,136,8,-4.55333e-07,-40
38,2.920235,1657948033.0,0.191906,-40.00058,136,8,-4.564977e-07,-40
39,2.989444,1657948033.0,0.261115,-40.00063,136,8,-4.545375e-07,-40
40,3.058665,1657948033.0,0.330337,-40.00055,136,8,-4.542352e-07,-40
41,3.127892,1657948033.0,0.399564,-40.00057,136,8,-4.526874e-07,-40
42,3.197081,1657948033.0,0.468753,-40.00049,136,8,-4.535766e-07,-40
43,3.266294,1657948033.0,0.537965,-40.0005,136,8,-4.522603e-07,-40
44,3.335511,1657948033.0,0.607183,-40.00053,136,8,-4.535825e-07,-40
45,3.40472,1657948033.0,0.676391,-40.00053,136,8,-4.519226e-07,-40
46,3.473936,1657948033.0,0.745607,-40.00056,136,8,-4.543095e-07,-40
47,3.543157,1657948033.0,0.814828,-40.00058,136,8,-4.53762e-07,-40
48,3.61237,1657948033.0,0.884042,-40.00063,136,8,-4.540914e-07,-40
49,3.681588,1657948033.0,0.953259,-40.0006,136,8,-4.531612e-07,-40
50,3.750807,1657948034.0,0.0224788,-40.00049,136,8,-4.515981e-07,-40
51,3.820025,1657948034.0,0.0916968,-40.00053,136,8,-4.524448e-07,-40
52,3.889233,1657948034.0,0.160905,-40.00048,136,8,-4.543018e-07,-40
53,3.958446,1657948034.0,0.230118,-40.00053,136,8,-4.523397e-07,-40
54,4.027658,1657948034.0,0.299329,-40.00049,136,8,-4.521025e-07,-40
55,4.096868,1657948034.0,0.36854,-40.00057,136,8,-4.511374e-07,-40
56,4.166076,1657948034.0,0.437747,-40.00058,136,8,-4.526697e-07,-40
57,4.235299,1657948034.0,0.50697,-40.00061,136,8,-4.515575e-07,-40
58,4.30452,1657948034.0,0.576191,-40.00057,136,8,-4.501082e-07,-40
59,4.373733,1657948034.0,0.645404,-40.00048,136,8,-4.518084e-07,-40
60,4.442951,1657948034.0,0.714622,-40.00051,136,8,-4.510454e-07,-40
61,4.512174,1657948034.0,0.783846,-40.00047,136,8,-4.529397e-07,-40
62,4.581398,1657948034.0,0.853069,-40.00053,136,8,-4.516607e-07,-40
63,4.650622,1657948034.0,0.922293,-40.0005,136,8,-4.533653e-07,-40
64,4.719839,1657948034.0,0.99151,-40.0004,136,8,-4.508489e-07,-40
65,4.789063,1657948035.0,0.0607343,-40.00046,136,8,-4.520347e-07,-40
66,4.858286,1657948035.0,0.129957,-40.00045,136,8,-4.509941e-07,-40
67,4.927506,1657948035.0,0.199177,-40.00056,136,8,-4.506527e-07,-40
68,4.99673,1657948035.0,0.268402,-40.00061,136,8,-4.496753e-07,-40
69,5.065954,1657948035.0,0.337626,-40.00058,136,8,-4.506194e-07,-40
70,5.135163,1657948035.0,0.406834,-40.00053,136,8,-4.50666e-07,-40
71,5.204388,1657948035.0,0.47606,-40.00053,136,8,-4.503672e-07,-40
72,5.273616,1657948035.0,0.545288,-40.00051,136,8,-4.521123e-07,-40
73,5.342824,1657948035.0,0.614495,-40.00055,136,8,-4.517075e-07,-40
74,5.412052,1657948035.0,0.683723,-40.00054,136,8,-4.505851e-07,-40
75,5.481271,1657948035.0,0.752942,-40.00058,136,8,-4.50971e-07,-40
76,5.550487,1657948035.0,0.822158,-40.00061,136,8,-4.514789e-07,-40
77,5.619696,1657948035.0,0.891368,-40.00061,136,8,-4.50803e-07,-40
78,5.688908,1657948035.0,0.960579,-40.00058,136,8,-4.489358e-07,-40
79,5.758117,1657948036.0,0.0297888,-40.00062,136,8,-4.493286e-07,-40
80,5.827343,1657948036.0,0.0990148,-40.00069,136,8,-4.500912e-07,-40
81,5.896554,1657948036.0,0.168225,-40.00051,136,8,-4.502844e-07,-40
82,5.965765,1657948036.0,0.237436,-40.00061,136,8,-4.501562e-07,-40
83,6.034979,1657948036.0,0.306651,-40.00069,136,8,-4.491565e-07,-40
84,6.104198,1657948036.0,0.37587,-40.00059,136,8,-4.479414e-07,-40
85,6.173406,1657948036.0,0.445077,-40.00062,136,8,-4.489336e-07,-40
86,6.242631,1657948036.0,0.514303,-40.0006,136,8,-4.490587e-07,-40
