dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,54,2,76,588,5.88,1658005991.2131433
1,0,0,4,0,True,54,4,117,1141,11.41,1658005991.2133498
0,1,0,4,0,False,201,8,183,2231,22.31,1658006011.1172962
1,1,0,4,0,True,201,8,192,2240,22.4,1658006011.1175342
0,2,0,4,0,False,240,4,226,1250,12.5,1658006011.9088864
1,2,0,4,0,True,240,4,233,1257,12.57,1658006011.9088864
0,3,0,4,0,False,210,9,222,2526,25.26,1658006026.186209
1,3,0,4,0,True,210,9,229,2533,25.33,1658006026.1864197
0,4,0,4,0,False,60,3,114,882,8.82,1658006038.4833145
1,4,0,4,0,True,59,3,120,888,8.88,1658006038.4833755
0,5,0,4,0,False,249,2,71,583,5.83,1658006044.2495763
1,5,0,4,0,True,249,2,79,591,5.91,1658006044.2495763
0,6,0,4,0,False,181,2,235,747,7.47,1658006049.854126
1,6,0,4,0,True,181,2,244,756,7.56,1658006049.8551245
0,7,0,4,0,False,177,6,157,1693,16.93,1658006051.1321118
1,7,0,4,0,True,177,6,165,1701,17.01,1658006051.1321118
0,8,0,4,0,False,202,1,208,464,4.64,1658006069.6184525
1,8,0,4,0,True,201,1,217,473,4.73,1658006069.6184525
0,9,0,4,0,False,111,11,209,3025,30.25,1658006071.5651233
1,9,0,4,0,True,111,11,219,3035,30.35,1658006071.5651233
0,10,0,4,0,False,182,13,46,3374,33.74,1658006076.2192128
1,10,0,4,0,True,182,13,54,3382,33.82,1658006076.2192128
0,11,0,4,0,False,185,2,16,528,5.28,1658006077.0022945
1,11,0,4,0,True,185,2,25,537,5.37,1658006077.0024953
0,12,0,4,0,False,94,6,76,1612,16.12,1658006084.0929587
1,12,0,4,0,True,94,6,85,1621,16.21,1658006084.093159
0,13,0,4,0,False,228,7,109,1901,19.01,1658006084.898656
1,13,0,4,0,True,228,7,113,1905,19.05,1658006084.8989916
0,14,0,4,0,False,150,1,221,477,4.77,1658006092.667098
1,14,0,4,0,True,150,1,229,485,4.85,1658006092.667098
0,15,0,4,0,False,231,6,154,1690,16.9,1658006100.9170234
1,15,0,4,0,True,231,6,163,1699,16.99,1658006100.9170234
0,16,0,4,0,False,98,0,115,115,1.15,1658006102.5496783
1,16,0,4,0,True,98,0,122,122,1.22,1658006102.5498002
0,17,0,4,0,False,126,2,171,683,6.83,1658006103.3609226
1,17,0,4,0,True,126,2,178,690,6.9,1658006103.3609226
0,18,0,4,0,False,222,10,209,2769,27.69,1658006106.31513
1,18,0,4,0,True,222,10,217,2777,27.77,1658006106.31513
0,19,0,4,0,False,125,8,104,2152,21.52,1658006113.3923094
1,19,0,4,0,True,125,8,113,2161,21.61,1658006113.3924842
0,20,0,4,0,False,114,3,94,862,8.62,1658006114.1817024
1,20,0,4,0,True,114,3,104,872,8.72,1658006114.1826994
0,21,0,4,0,False,163,5,75,1355,13.55,1658006116.1475835
