dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,63,9,237,2541,25.41,1658236982.9180248
1,0,0,4,0,True,63,9,245,2549,25.49,1658236982.9190876
0,1,0,4,0,False,2,9,28,2332,23.32,1658236992.276032
1,1,0,4,0,True,2,9,36,2340,23.4,1658236992.2763827
0,2,0,4,0,False,239,8,32,2080,20.8,1658236997.270023
1,2,0,4,0,True,239,8,40,2088,20.88,1658236997.270023
0,3,0,4,0,False,243,4,147,1171,11.71,1658237007.0458093
1,3,0,4,0,True,243,4,156,1180,11.8,1658237007.0458093
0,4,0,4,0,False,17,3,143,911,9.11,1658237010.4214478
1,4,0,4,0,True,17,3,150,918,9.18,1658237010.4217844
0,5,0,4,0,False,5,11,53,2869,28.69,1658237011.2117684
1,5,0,4,0,True,5,11,63,2879,28.79,1658237011.2127652
0,6,0,4,0,False,217,3,241,1009,10.09,1658237012.552455
1,6,0,4,0,True,217,3,250,1018,10.18,1658237012.552455
0,7,0,4,0,False,102,10,40,2600,26.0,1658237024.4359727
1,7,0,4,0,True,102,10,50,2610,26.1,1658237024.4359727
0,8,0,4,0,False,66,4,211,1235,12.35,1658237030.9812534
1,8,0,4,0,True,66,4,219,1243,12.43,1658237030.9812534
0,9,0,4,0,False,169,13,60,3388,33.88,1658237032.0872679
1,9,0,4,0,True,169,13,69,3397,33.97,1658237032.0872679
0,10,0,4,0,False,39,1,218,474,4.74,1658237038.8376234
1,10,0,4,0,True,39,1,225,481,4.81,1658237038.8376234
0,11,0,4,0,False,249,6,85,1621,16.21,1658237043.717534
1,11,0,4,0,True,249,6,102,1638,16.38,1658237043.717534
0,12,0,4,0,False,253,1,95,351,3.51,1658237044.5113206
1,12,0,4,0,True,253,1,109,365,3.65,1658237044.5113206
0,13,0,4,0,False,179,7,70,1862,18.62,1658237045.7773829
1,13,0,4,0,True,179,7,82,1874,18.74,1658237045.7773829
0,14,0,4,0,False,22,4,13,1037,10.37,1658237049.6019669
1,14,0,4,0,True,22,4,24,1048,10.48,1658237049.6019669
0,15,0,4,0,False,188,15,169,4009,40.09,1658237052.9464152
1,15,0,4,0,True,187,15,177,4017,40.17,1658237052.9464152
0,16,0,4,0,False,29,13,203,3531,35.31,1658237054.8856628
1,16,0,4,0,True,28,13,212,3540,35.4,1658237054.8856628
0,17,0,4,0,False,43,2,184,696,6.96,1658237056.237212
1,17,0,4,0,True,43,2,193,705,7.05,1658237056.237212
0,18,0,4,0,False,96,8,112,2160,21.6,1658237065.9910655
1,18,0,4,0,True,95,8,124,2172,21.72,1658237065.9920626
0,19,0,4,0,False,207,5,119,1399,13.99,1658237068.4840233
1,19,0,4,0,True,207,5,129,1409,14.09,1658237068.4840233
0,20,0,4,0,False,167,2,160,672,6.72,1658237072.0785153
1,20,0,4,0,True,167,2,168,680,6.8,1658237072.0785153
0,21,0,4,0,False,114,11,104,2920,29.2,1658237089.0686123
1,21,0,4,0,True,114,11,111,2927,29.27,1658237089.0686123
0,22,0,4,0,False,173,2,223,735,7.35,1658237094.5893536
1,22,0,4,0,True,173,2,232,744,7.44,1658237094.5893536
0,23,0,4,0,False,177,9,135,2439,24.39,1658237096.4046543
1,23,0,4,0,True,177,9,143,2447,24.47,1658237096.4048848
0,24,0,4,0,False,98,5,203,1483,14.83,1658237097.7730658
1,24,0,4,0,True,98,5,211,1491,14.91,1658237097.7741046
0,25,0,4,0,False,35,5,130,1410,14.1,1658237105.2292984
1,25,0,4,0,True,34,5,138,1418,14.18,1658237105.2294996
0,26,0,4,0,False,65,8,189,2237,22.37,1658237106.2988806
1,26,0,4,0,True,65,8,195,2243,22.43,1658237106.2990892
0,27,0,4,0,False,237,6,109,1645,16.45,1658237107.1358557
1,27,0,4,0,True,236,6,117,1653,16.53,1658237107.1358557
0,28,0,4,0,False,230,7,232,2024,20.24,1658237107.929979
1,28,0,4,0,True,230,7,241,2033,20.33,1658237107.930187
0,29,0,4,0,False,231,5,38,1318,13.18,1658237108.7430112
1,29,0,4,0,True,231,5,46,1326,13.26,1658237108.7430112
0,30,0,4,0,False,98,11,50,2866,28.66,1658237112.2315784
1,30,0,4,0,True,97,11,58,2874,28.74,1658237112.2318063
0,31,0,4,0,False,68,2,157,669,6.69,1658237122.1906617
1,31,0,4,0,True,68,2,166,678,6.78,1658237122.1906617
0,32,0,4,0,False,152,6,220,1756,17.56,1658237124.4991548
1,32,0,4,0,True,152,6,230,1766,17.66,1658237124.4991548
0,33,0,4,0,False,78,3,34,802,8.02,1658237136.5946379
1,33,0,4,0,True,78,3,42,810,8.1,1658237136.5946379
0,34,0,4,0,False,233,12,226,3298,32.98,1658237138.9470704
1,34,0,4,0,True,232,12,235,3307,33.07,1658237138.9470704
0,35,0,4,0,False,2,11,224,3040,30.4,1658237139.8718808
1,35,0,4,0,True,2,11,231,3047,30.47,1658237139.872086
0,36,0,4,0,False,108,4,239,1263,12.63,1658237166.9976735
1,36,0,4,0,True,107,4,246,1270,12.7,1658237166.9976735
0,37,0,4,0,False,52,8,88,2136,21.36,1658237167.7880795
1,37,0,4,0,True,52,8,103,2151,21.51,1658237167.7880795
0,38,0,4,0,False,141,2,249,761,7.61,1658237191.0773213
1,38,0,4,0,True,140,3,3,771,7.71,1658237191.0773213
0,39,0,4,0,False,197,1,79,335,3.35,1658237196.376325
1,39,0,4,0,True,197,1,87,343,3.43,1658237196.376325
0,40,0,4,0,False,18,4,177,1201,12.01,1658237197.1769748
1,40,0,4,0,True,18,4,187,1211,12.11,1658237197.1769748
0,41,0,4,0,False,244,2,181,693,6.93,1658237197.9651823
1,41,0,4,0,True,244,2,190,702,7.02,1658237197.965406
0,42,0,4,0,False,85,2,89,601,6.01,1658237200.8114355
1,42,0,4,0,True,84,2,98,610,6.1,1658237200.811641
0,43,0,4,0,False,11,3,171,939,9.39,1658237201.6051354
1,43,0,4,0,True,11,3,179,947,9.47,1658237201.6053407
0,44,0,4,0,False,11,9,23,2327,23.27,1658237202.3979452
1,44,0,4,0,True,11,9,32,2336,23.36,1658237202.3979452
0,45,0,4,0,False,77,1,134,390,3.9,1658237204.5769384
1,45,0,4,0,True,76,1,143,399,3.99,1658237204.5769384
0,46,0,4,0,False,155,8,18,2066,20.66,1658237205.3690856
1,46,0,4,0,True,155,8,26,2074,20.74,1658237205.3690856
