dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,129,1,154,410,4.1,1658236551.000331
1,0,0,4,0,True,129,1,182,438,4.38,1658236551.000331
0,1,0,4,0,False,241,0,188,188,1.88,1658236551.8320544
1,1,0,4,0,True,241,1,9,265,2.65,1658236551.8322725
0,2,0,4,0,False,4,3,17,785,7.85,1658236552.6396399
1,2,0,4,0,True,4,3,23,791,7.91,1658236552.6396399
0,3,0,4,0,False,205,0,76,76,0.76,1658236553.4278271
1,3,0,4,0,True,204,0,101,101,1.01,1658236553.4278271
0,4,0,4,0,False,46,0,135,135,1.35,1658236554.2180693
1,4,0,4,0,True,46,0,148,148,1.48,1658236554.2180693
0,5,0,4,0,False,8,1,181,437,4.37,1658236555.0103514
1,5,0,4,0,True,8,1,187,443,4.43,1658236555.0103514
0,6,0,4,0,False,28,7,16,1808,18.08,1658236555.8046756
1,6,0,4,0,True,28,7,42,1834,18.34,1658236555.805675
0,7,0,4,0,True,28,0,19,19,0.19,1658236556.6097453
0,8,0,4,0,False,60,3,192,960,9.6,1658236557.410344
1,8,0,4,0,True,60,3,226,994,9.94,1658236557.4113908
0,9,0,4,0,False,176,13,133,3461,34.61,1658236558.4813018
1,9,0,4,0,True,176,13,141,3469,34.69,1658236558.4822993
0,10,0,4,0,False,152,5,112,1392,13.92,1658236559.3455458
1,10,0,4,0,True,152,5,177,1457,14.57,1658236559.3455458
0,11,0,4,0,False,224,4,180,1204,12.04,1658236560.7338135
1,11,0,4,0,True,17,4,214,1238,12.38,1658236560.7348146
0,12,0,4,0,False,165,5,32,1312,13.12,1658236561.5341792
1,12,0,4,0,True,165,5,69,1349,13.49,1658236561.5341792
0,13,0,4,0,False,159,6,49,1585,15.85,1658236562.3141067
1,13,0,4,0,True,159,6,79,1615,16.15,1658236562.3143191
0,14,0,4,0,False,118,1,113,369,3.69,1658236563.0931518
1,14,0,4,0,True,117,1,134,390,3.9,1658236563.0931518
0,15,0,4,0,False,122,0,169,169,1.69,1658236564.0947442
1,15,0,4,0,True,122,0,188,188,1.88,1658236564.0949452
0,16,0,4,0,False,249,2,163,675,6.75,1658236564.891628
1,16,0,4,0,True,248,2,194,706,7.06,1658236564.891628
0,17,0,4,0,False,116,0,79,79,0.79,1658236565.6747766
1,17,0,4,0,True,116,0,92,92,0.92,1658236565.6757739
0,18,0,4,0,False,157,2,234,746,7.46,1658236566.4522202
1,18,0,4,0,True,157,2,241,753,7.53,1658236566.4522202
0,19,0,4,0,False,48,2,56,568,5.68,1658236567.252692
1,19,0,4,0,True,48,2,87,599,5.99,1658236567.2528946
0,20,0,4,0,False,29,0,57,57,0.57,1658236568.048337
1,20,0,4,0,True,29,0,82,82,0.82,1658236568.0493343
0,21,0,4,0,False,203,3,231,999,9.99,1658236568.8410747
1,21,0,4,0,True,203,4,6,1030,10.3,1658236568.8412824
0,22,0,4,0,False,124,1,249,505,5.05,1658236569.6504087
1,22,0,4,0,True,124,2,36,548,5.48,1658236569.6504087
0,23,0,4,0,False,37,12,231,3303,33.03,1658236570.4352164
1,23,0,4,0,True,37,12,240,3312,33.12,1658236570.4352164
0,24,0,4,0,False,13,1,37,293,2.93,1658236571.422427
