NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 12,Row,76, 4,224 , 1248 , 12.48,1656217714.3622167 
0,0, 4, 13,Row,77, 5,219 , 1499 , 14.99,1656217714.3622167 
0,0, 4, 1,Col,76, 4,225 , 1249 , 12.49,1656217714.3622167 
0,0, 4, 3,Col,77, 5,211 , 1491 , 14.91,1656217714.3622167 
0,0, 4, 10,Row,125, 5,76 , 1356 , 13.56,1656217714.3622167 
0,0, 4, 30,Col,125, 5,74 , 1354 , 13.54,1656217714.3622167 

1,0, 4, 14,Row,179, 6,116 , 1652 , 16.52,1656217715.5528197 
1,0, 4, 26,Col,179, 6,115 , 1651 , 16.51,1656217715.5528197 

2,0, 4, 7,Row,62, 4,147 , 1171 , 11.71,1656217716.3361287 
2,0, 4, 20,Col,62, 4,140 , 1164 , 11.64,1656217716.3361287 
2,0, 4, 0,Row,221, 7,70 , 1862 , 18.62,1656217716.3361287 
2,0, 4, 7,Row,219, 8,82 , 2130 , 21.3,1656217716.3361287 
2,0, 4, 34,Col,219, 8,71 , 2119 , 21.19,1656217716.3361287 

3,0, 4, 32,Row,119, 6,29 , 1565 , 15.65,1656217721.0848255 
3,0, 4, 17,Col,120, 8,243 , 2291 , 22.91,1656217721.0848255 
3,0, 4, 18,Col,119, 6,13 , 1549 , 15.49,1656217721.0848255 

4,0, 4, 5,Row,155, 5,110 , 1390 , 13.9,1656217723.0810332 
4,0, 4, 15,Col,155, 5,106 , 1386 , 13.86,1656217723.0810332 

5,0, 4, 22,Row,149, 7,98 , 1890 , 18.9,1656217723.8785691 
5,0, 4, 1,Col,149, 7,99 , 1891 , 18.91,1656217723.8785691 
5,0, 4, 5,Row,137, 6,195 , 1731 , 17.31,1656217723.8785691 
5,0, 4, 33,Col,137, 6,197 , 1733 , 17.33,1656217723.8785691 

6,0, 4, 0,Row,100, 15,153 , 3993 , 39.93,1656217726.6878538 
