NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 4,Row,255, 0,174 , 174 , 1.74,1656204202.307891 
0,0, 4, 21,Col,252, 7,97 , 1889 , 18.89,1656204202.307891 

1,0, 4, 21,Col,115, 4,128 , 1152 , 11.52,1656204203.1972792 
1,0, 4, 33,Col,235, 8,128 , 2176 , 21.76,1656204203.1972792 
1,0, 4, 21,Col,115, 0,195 , 195 , 1.95,1656204203.1972792 

2,0, 4, 4,Row,52, 12,48 , 3120 , 31.2,1656204204.0213258 
2,0, 4, 30,Row,10, 2,138 , 650 , 6.5,1656204204.0213258 
2,0, 4, 21,Col,78, 0,180 , 180 , 1.8,1656204204.0213258 
2,0, 4, 33,Col,45, 4,32 , 1056 , 10.56,1656204204.0213258 

3,0, 4, 4,Row,120, 4,38 , 1062 , 10.62,1656204204.8483338 
3,0, 4, 21,Col,37, 4,112 , 1136 , 11.36,1656204204.8483338 
3,0, 4, 33,Col,125, 5,110 , 1390 , 13.9,1656204204.8483338 

4,0, 4, 4,Row,65, 6,164 , 1700 , 17.0,1656204205.6421983 
4,0, 4, 13,Row,246, 0,174 , 174 , 1.74,1656204205.6421983 
4,0, 4, 21,Col,79, 15,60 , 3900 , 39.0,1656204205.6421983 
4,0, 4, 33,Col,51, 3,88 , 856 , 8.56,1656204205.6421983 

5,0, 4, 21,Col,70, 9,241 , 2545 , 25.45,1656204206.4347115 
5,0, 4, 33,Col,197, 0,240 , 240 , 2.4,1656204206.4347115 
5,0, 4, 21,Col,117, 1,29 , 285 , 2.85,1656204206.4347115 
5,0, 4, 21,Col,102, 5,223 , 1503 , 15.03,1656204206.4347115 

6,0, 4, 4,Row,19, 2,215 , 727 , 7.27,1656204207.2284384 
6,0, 4, 13,Row,216, 10,89 , 2649 , 26.49,1656204207.2284384 
6,0, 4, 21,Col,222, 15,98 , 3938 , 39.38,1656204207.2284384 
6,0, 4, 33,Col,73, 12,196 , 3268 , 32.68,1656204207.2284384 

7,0, 4, 4,Row,33, 4,41 , 1065 , 10.65,1656204208.0581365 
7,0, 4, 13,Row,29, 11,244 , 3060 , 30.6,1656204208.0581365 
7,0, 4, 21,Col,123, 2,210 , 722 , 7.22,1656204208.0581365 
7,0, 4, 33,Col,73, 6,16 , 1552 , 15.52,1656204208.0581365 

8,0, 4, 4,Row,189, 8,206 , 2254 , 22.54,1656204208.8753657 
8,0, 4, 13,Row,225, 8,39 , 2087 , 20.87,1656204208.8753657 
8,0, 4, 21,Col,165, 6,253 , 1789 , 17.89,1656204208.8753657 
8,0, 4, 33,Col,25, 13,112 , 3440 , 34.4,1656204208.8753657 

9,0, 4, 13,Row,183, 0,201 , 201 , 2.01,1656204209.7027457 
9,0, 4, 21,Col,38, 6,25 , 1561 , 15.61,1656204209.7027457 
9,0, 4, 33,Col,182, 0,176 , 176 , 1.76,1656204209.7027457 

10,0, 4, 13,Row,34, 2,159 , 671 , 6.71,1656204210.496619 
10,0, 4, 21,Col,211, 9,237 , 2541 , 25.41,1656204210.496619 
10,0, 4, 33,Col,112, 6,29 , 1565 , 15.65,1656204210.496619 

11,0, 4, 4,Row,248, 7,246 , 2038 , 20.38,1656204211.2913756 
11,0, 4, 21,Col,18, 10,159 , 2719 , 27.19,1656204211.2913756 
11,0, 4, 33,Col,252, 3,148 , 916 , 9.16,1656204211.2913756 

12,0, 4, 4,Row,13, 13,232 , 3560 , 35.6,1656204212.0826612 
12,0, 4, 21,Col,31, 2,45 , 557 , 5.57,1656204212.0826612 
12,0, 4, 33,Col,64, 4,208 , 1232 , 12.32,1656204212.0826612 

13,0, 4, 4,Row,169, 1,93 , 349 , 3.49,1656204212.8767114 
13,0, 4, 13,Row,47, 4,22 , 1046 , 10.46,1656204212.8767114 
13,0, 4, 21,Col,197, 4,204 , 1228 , 12.28,1656204212.8767114 
13,0, 4, 33,Col,246, 6,210 , 1746 , 17.46,1656204212.8767114 

14,0, 4, 4,Row,86, 8,132 , 2180 , 21.8,1656204213.683349 
14,0, 4, 13,Row,234, 6,87 , 1623 , 16.23,1656204213.683349 
14,0, 4, 30,Row,5, 6,98 , 1634 , 16.34,1656204213.683349 
14,0, 4, 21,Col,41, 12,59 , 3131 , 31.31,1656204213.683349 
14,0, 4, 33,Col,205, 0,26 , 26 , 0.26,1656204213.683349 

15,0, 4, 21,Col,240, 12,24 , 3096 , 30.96,1656204214.4913733 
15,0, 4, 33,Col,43, 3,117 , 885 , 8.85,1656204214.4913733 

16,0, 4, 4,Row,91, 14,197 , 3781 , 37.81,1656204215.271028 
16,0, 4, 30,Row,166, 2,177 , 689 , 6.89,1656204215.271028 
16,0, 4, 21,Col,142, 15,224 , 4064 , 40.64,1656204215.271028 
16,0, 4, 33,Col,2, 1,92 , 348 , 3.48,1656204215.271028 

17,0, 4, 4,Row,161, 12,35 , 3107 , 31.07,1656204216.0625966 
17,0, 4, 13,Row,86, 11,168 , 2984 , 29.84,1656204216.0625966 
17,0, 4, 21,Col,72, 6,80 , 1616 , 16.16,1656204216.0625966 
17,0, 4, 33,Col,98, 13,9 , 3337 , 33.37,1656204216.0625966 
17,0, 4, 21,Col,72, 12,10 , 3082 , 30.82,1656204216.0625966 
17,0, 4, 21,Col,19, 11,182 , 2998 , 29.98,1656204216.0625966 
17,0, 4, 21,Col,97, 14,176 , 3760 , 37.6,1656204216.0625966 
17,0, 4, 21,Col,97, 9,39 , 2343 , 23.43,1656204216.0625966 

18,0, 4, 4,Row,142, 5,208 , 1488 , 14.88,1656204216.8687775 
18,0, 4, 21,Col,107, 14,216 , 3800 , 38.0,1656204216.8687775 
18,0, 4, 33,Col,233, 2,20 , 532 , 5.32,1656204216.8687775 

19,0, 4, 4,Row,241, 6,74 , 1610 , 16.1,1656204217.6950965 
19,0, 4, 13,Row,181, 7,43 , 1835 , 18.35,1656204217.6950965 
19,0, 4, 21,Col,39, 9,32 , 2336 , 23.36,1656204217.6950965 
19,0, 4, 33,Col,13, 10,99 , 2659 , 26.59,1656204217.6950965 

20,0, 4, 4,Row,141, 0,253 , 253 , 2.53,1656204218.4884377 
20,0, 4, 13,Row,213, 13,98 , 3426 , 34.26,1656204218.4884377 
20,0, 4, 21,Col,60, 15,46 , 3886 , 38.86,1656204218.4884377 
20,0, 4, 33,Col,35, 8,46 , 2094 , 20.94,1656204218.4884377 
20,0, 4, 21,Col,10, 4,86 , 1110 , 11.1,1656204218.4884377 
20,0, 4, 21,Col,84, 15,197 , 4037 , 40.37,1656204218.4884377 
20,0, 4, 21,Col,151, 8,184 , 2232 , 22.32,1656204218.4884377 
20,0, 4, 21,Col,151, 9,54 , 2358 , 23.58,1656204218.4884377 
20,0, 4, 21,Col,138, 10,212 , 2772 , 27.72,1656204218.4884377 

21,0, 4, 4,Row,131, 0,112 , 112 , 1.12,1656204219.2830353 
21,0, 4, 21,Col,220, 1,5 , 261 , 2.61,1656204219.2830353 
21,0, 4, 33,Col,39, 1,33 , 289 , 2.89,1656204219.2830353 

22,0, 4, 21,Col,69, 2,188 , 700 , 7.0,1656204220.0581481 
22,0, 4, 33,Col,248, 9,208 , 2512 , 25.12,1656204220.0581481 

23,0, 4, 4,Row,158, 12,217 , 3289 , 32.89,1656204220.8411632 
23,0, 4, 21,Col,235, 0,200 , 200 , 2.0,1656204220.8411632 
23,0, 4, 33,Col,243, 1,40 , 296 , 2.96,1656204220.8411632 

24,0, 4, 4,Row,99, 11,216 , 3032 , 30.32,1656204221.6202033 
24,0, 4, 13,Row,56, 8,34 , 2082 , 20.82,1656204221.6202033 
24,0, 4, 21,Col,230, 6,120 , 1656 , 16.56,1656204221.6202033 
24,0, 4, 33,Col,173, 3,34 , 802 , 8.02,1656204221.6202033 

25,0, 4, 4,Row,5, 1,125 , 381 , 3.81,1656204222.4004123 
25,0, 4, 21,Col,251, 5,51 , 1331 , 13.31,1656204222.4004123 
25,0, 4, 33,Col,221, 5,34 , 1314 , 13.14,1656204222.4004123 

26,0, 4, 4,Row,68, 15,241 , 4081 , 40.81,1656204223.17733 
26,0, 4, 13,Row,31, 14,160 , 3744 , 37.44,1656204223.17733 
26,0, 4, 21,Col,32, 0,206 , 206 , 2.06,1656204223.17733 

27,0, 4, 4,Row,139, 9,190 , 2494 , 24.94,1656204223.9545593 
27,0, 4, 13,Row,255, 14,163 , 3747 , 37.47,1656204223.9545593 
27,0, 4, 21,Col,78, 12,176 , 3248 , 32.48,1656204223.9545593 
27,0, 4, 33,Col,61, 2,52 , 564 , 5.64,1656204223.9545593 
27,0, [0;31;40m2[0m, 52,Row,61, 13,61 , 3389 , 33.89,1656204223.9545593 
27,0, 4, 21,Col,158, 6,167 , 1703 , 17.03,1656204223.9545593 
27,0, 4, 21,Col,76, 4,253 , 1277 , 12.77,1656204223.9545593 
27,0, 4, 13,Row,171, 8,34 , 2082 , 20.82,1656204223.9545593 
27,0, 4, 13,Row,54, 2,69 , 581 , 5.81,1656204223.9545593 

28,0, 4, 4,Row,5, 1,57 , 313 , 3.13,1656204224.7646441 
28,0, 4, 13,Row,141, 5,208 , 1488 , 14.88,1656204224.7646441 
28,0, 4, 30,Row,242, 10,233 , 2793 , 27.93,1656204224.7646441 
28,0, 4, 21,Col,230, 2,8 , 520 , 5.2,1656204224.7646441 
28,0, 4, 33,Col,120, 3,238 , 1006 , 10.06,1656204224.7646441 

29,0, 4, 4,Row,27, 7,93 , 1885 , 18.85,1656204225.54489 
29,0, 4, 30,Row,61, 6,169 , 1705 , 17.05,1656204225.54489 
29,0, [0;31;40m6[0m, 41,Col,4, 5,62 , 1342 , 13.42,1656204225.54489 
29,0, [0;31;40m2[0m, 8,Row,4, 1,231 , 487 , 4.87,1656204225.54489 
29,0, [0;31;40m3[0m, 34,Col,61, 13,61 , 3389 , 33.89,1656204225.54489 

30,0, 4, 4,Row,99, 8,79 , 2127 , 21.27,1656204226.3224597 
30,0, 4, 13,Row,86, 4,150 , 1174 , 11.74,1656204226.3224597 
30,0, 4, 21,Col,168, 12,196 , 3268 , 32.68,1656204226.3224597 
30,0, 4, 33,Col,192, 0,62 , 62 , 0.62,1656204226.3224597 

31,0, 4, 4,Row,144, 14,5 , 3589 , 35.89,1656204227.1178806 
31,0, 4, 13,Row,172, 0,199 , 199 , 1.99,1656204227.1178806 
31,0, 4, 21,Col,73, 15,150 , 3990 , 39.9,1656204227.1178806 
31,0, 4, 33,Col,61, 13,82 , 3410 , 34.1,1656204227.1178806 
31,[0;31;40m1[0m, [0;31;40m5[0m, 18,Row,61, 13,61 , 3389 , 33.89,1656204227.1178806 

32,0, 4, 4,Row,181, 14,66 , 3650 , 36.5,1656204227.911663 
32,0, 4, 13,Row,234, 4,189 , 1213 , 12.13,1656204227.911663 
32,0, 4, 21,Col,200, 11,104 , 2920 , 29.2,1656204227.911663 

33,0, 4, 4,Row,209, 6,171 , 1707 , 17.07,1656204228.6876173 
33,0, 4, 13,Row,180, 15,238 , 4078 , 40.78,1656204228.6876173 
33,0, 4, 21,Col,107, 11,40 , 2856 , 28.56,1656204228.6876173 
33,0, 4, 33,Col,213, 13,4 , 3332 , 33.32,1656204228.6876173 
33,0, 4, 13,Row,191, 10,133 , 2693 , 26.93,1656204228.6876173 
33,0, 4, 13,Row,108, 1,8 , 264 , 2.64,1656204228.6876173 
33,0, 4, 13,Row,233, 10,107 , 2667 , 26.67,1656204228.6876173 
33,0, 4, 13,Row,187, 4,34 , 1058 , 10.58,1656204228.6876173 
33,0, 4, 13,Row,186, 3,113 , 881 , 8.81,1656204228.6876173 
33,0, 4, 13,Row,71, 15,192 , 4032 , 40.32,1656204228.6876173 

34,0, 4, 4,Row,204, 6,118 , 1654 , 16.54,1656204229.4762595 
34,0, 4, 13,Row,243, 3,251 , 1019 , 10.19,1656204229.4762595 
34,0, 4, 21,Col,172, 12,110 , 3182 , 31.82,1656204229.4762595 
34,0, 4, 33,Col,173, 14,92 , 3676 , 36.76,1656204229.4762595 

