NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 13,Row,60, 2,11 , 523 , 5.23,1656233906.0378885 
0,0, 4, 14,Col,60, 2,13 , 525 , 5.25,1656233906.0378885 

1,0, 4, 4,Row,132, 14,18 , 3602 , 36.02,1656233906.895745 
1,0, 4, 0,Col,132, 14,7 , 3591 , 35.91,1656233906.895745 

2,0, 4, 28,Row,210, 7,188 , 1980 , 19.8,1656233907.690081 
2,0, 4, 7,Col,210, 7,173 , 1965 , 19.65,1656233907.690081 

3,0, 4, 21,Row,250, 14,196 , 3780 , 37.8,1656233910.5607781 
3,0, 4, 29,Col,250, 14,197 , 3781 , 37.81,1656233910.5607781 

4,0, 4, 21,Row,176, 2,216 , 728 , 7.28,1656233918.5240402 
4,0, 4, 21,Col,176, 2,216 , 728 , 7.28,1656233918.5240402 

5,0, 4, 8,Row,57, 4,184 , 1208 , 12.08,1656233919.39614 
5,0, 4, 30,Col,56, 4,185 , 1209 , 12.09,1656233919.39614 

6,0, 4, 0,Row,80, 6,122 , 1658 , 16.58,1656233925.6575735 
6,0, 4, 1,Row,80, 14,86 , 3670 , 36.7,1656233925.6575735 
6,0, 4, 2,Row,80, 13,243 , 3571 , 35.71,1656233925.6575735 
6,0, 4, 3,Row,80, 7,146 , 1938 , 19.38,1656233925.6575735 
6,0, 4, 4,Row,80, 3,25 , 793 , 7.93,1656233925.6575735 
6,0, 4, 5,Row,80, 1,243 , 499 , 4.99,1656233925.6575735 
6,0, 4, 6,Row,80, 3,91 , 859 , 8.59,1656233925.6575735 
6,0, 4, 7,Row,80, 11,35 , 2851 , 28.51,1656233925.6575735 
6,0, 4, 8,Row,80, 1,11 , 267 , 2.67,1656233925.6575735 
6,0, 4, 9,Row,80, 9,70 , 2374 , 23.74,1656233925.6575735 
6,0, 4, 10,Row,80, 5,101 , 1381 , 13.81,1656233925.6575735 
6,0, 4, 11,Row,80, 15,126 , 3966 , 39.66,1656233925.6575735 
6,0, 4, 12,Row,80, 13,118 , 3446 , 34.46,1656233925.6575735 
6,0, 4, 13,Row,80, 0,98 , 98 , 0.98,1656233925.6575735 
6,0, 4, 14,Row,80, 3,51 , 819 , 8.19,1656233925.6575735 
6,0, 4, 15,Row,80, 10,3 , 2563 , 25.63,1656233925.6575735 
6,0, 4, 16,Row,80, 3,12 , 780 , 7.8,1656233925.6575735 
6,0, 4, 17,Row,80, 13,232 , 3560 , 35.6,1656233925.6575735 
6,0, 4, 18,Row,80, 5,4 , 1284 , 12.84,1656233925.6575735 
6,0, 4, 19,Row,80, 9,84 , 2388 , 23.88,1656233925.6575735 
