NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 4,Row,17, 5,168 , 1448 , 14.48,1656215119.6292355 
0,0, 4, 17,Row,124, 4,73 , 1097 , 10.97,1656215119.6292355 
0,0, 4, 12,Col,244, 6,123 , 1659 , 16.59,1656215119.6292355 
0,0, 4, 21,Col,140, 0,121 , 121 , 1.21,1656215119.6292355 
0,0, 4, 21,Col,1, 13,141 , 3469 , 34.69,1656215119.6292355 
0,0, 4, 21,Col,44, 15,227 , 4067 , 40.67,1656215119.6292355 

1,0, 4, 4,Row,2, 9,37 , 2341 , 23.41,1656215120.498709 
1,0, 4, 17,Row,169, 15,49 , 3889 , 38.89,1656215120.498709 
1,0, 4, 12,Col,209, 12,63 , 3135 , 31.35,1656215120.498709 
1,0, 4, 21,Col,11, 1,108 , 364 , 3.64,1656215120.498709 

2,0, 4, 4,Row,105, 15,171 , 4011 , 40.11,1656215121.2905943 
2,0, 4, 17,Row,159, 2,188 , 700 , 7.0,1656215121.2905943 
2,0, 4, 12,Col,33, 4,172 , 1196 , 11.96,1656215121.2905943 
2,0, 4, 21,Col,255, 13,36 , 3364 , 33.64,1656215121.2905943 
2,0, 4, 21,Col,255, 3,209 , 977 , 9.77,1656215121.2905943 
2,0, 4, 4,Row,69, 1,198 , 454 , 4.54,1656215121.2905943 
2,0, 4, 4,Row,119, 0,195 , 195 , 1.95,1656215121.2905943 
2,0, 4, 21,Col,1, 12,5 , 3077 , 30.77,1656215121.2905943 
2,0, 4, 21,Col,242, 10,176 , 2736 , 27.36,1656215121.2905943 
2,0, 4, 21,Col,146, 4,102 , 1126 , 11.26,1656215121.2905943 

