NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 4,Row,195, 3,192 , 960 , 9.6,1656215136.1343095 
0,0, 4, 12,Row,206, 2,119 , 631 , 6.31,1656215136.1343095 
0,0, 4, 30,Row,43, 7,239 , 2031 , 20.31,1656215136.1343095 
0,0, 4, 32,Col,195, 3,192 , 960 , 9.6,1656215136.1343095 
0,0, 4, 33,Col,205, 2,114 , 626 , 6.26,1656215136.1343095 
0,0, 4, 34,Col,43, 7,203 , 1995 , 19.95,1656215136.1343095 
0,0, 4, 12,Row,95, 5,248 , 1528 , 15.28,1656215136.1343095 
0,0, 4, 26,Row,95, 5,185 , 1465 , 14.65,1656215136.1343095 
0,0, 4, 33,Col,95, 5,243 , 1523 , 15.23,1656215136.1343095 
0,0, 4, 34,Col,96, 5,148 , 1428 , 14.28,1656215136.1343095 

1,0, 4, 0,Row,247, 10,85 , 2645 , 26.45,1656215137.0219636 
1,0, 4, 4,Row,182, 15,48 , 3888 , 38.88,1656215137.0219636 
1,0, 4, 5,Row,64, 2,101 , 613 , 6.13,1656215137.0219636 
1,0, 4, 7,Row,130, 4,95 , 1119 , 11.19,1656215137.0219636 
1,0, 4, 10,Row,54, 5,56 , 1336 , 13.36,1656215137.0219636 
1,0, 4, 12,Row,42, 13,99 , 3427 , 34.27,1656215137.0219636 
1,0, 4, 14,Row,34, 10,112 , 2672 , 26.72,1656215137.0219636 
1,0, 4, 15,Row,102, 2,76 , 588 , 5.88,1656215137.0219636 
1,0, 4, 18,Row,2, 11,1 , 2817 , 28.17,1656215137.0219636 
1,0, 4, 20,Row,181, 5,52 , 1332 , 13.32,1656215137.0219636 
1,0, 4, 24,Row,181, 5,159 , 1439 , 14.39,1656215137.0219636 
1,0, 4, 26,Row,70, 9,216 , 2520 , 25.2,1656215137.0219636 
1,0, 4, 28,Row,179, 4,15 , 1039 , 10.39,1656215137.0219636 
1,0, 4, 30,Row,0, 6,123 , 1659 , 16.59,1656215137.0219636 
1,0, 4, 31,Row,179, 5,205 , 1485 , 14.85,1656215137.0219636 
1,0, 4, 26,Col,21, 2,127 , 639 , 6.39,1656215137.0219636 
1,0, 4, 29,Col,2, 14,7 , 3591 , 35.91,1656215137.0219636 
1,0, 4, 30,Col,34, 0,175 , 175 , 1.75,1656215137.0219636 
1,0, 4, 31,Col,181, 5,52 , 1332 , 13.32,1656215137.0219636 
1,0, 4, 32,Col,180, 6,95 , 1631 , 16.31,1656215137.0219636 
1,0, 4, 33,Col,42, 9,95 , 2399 , 23.99,1656215137.0219636 
1,0, 4, 34,Col,70, 7,24 , 1816 , 18.16,1656215137.0219636 

