NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,51, 10,146 , 2706 , 27.06 
0,0, 4, 0,Col,51, 6,24 , 1560 , 15.6 
0,0, 4, 0,Row,1, 1,131 , 387 , 3.87 
0,0, 4, 0,Col,1, 14,145 , 3729 , 37.29 
1,0, 4, 0,Row,125, 11,215 , 3031 , 30.31 
1,0, 4, 0,Col,125, 11,88 , 2904 , 29.04 
2,0, 4, 0,Row,123, 5,136 , 1416 , 14.16 
2,0, 4, 0,Col,123, 5,33 , 1313 , 13.13 
3,0, 4, 0,Row,120, 4,150 , 1174 , 11.74 
3,0, 4, 0,Col,120, 4,33 , 1057 , 10.57 
4,0, 4, 0,Row,117, 6,254 , 1790 , 17.9 
4,0, 4, 0,Col,117, 6,140 , 1676 , 16.76 
5,0, 4, 0,Row,115, 5,152 , 1432 , 14.32 
5,0, 4, 0,Col,115, 5,46 , 1326 , 13.26 
6,0, 4, 0,Row,112, 4,181 , 1205 , 12.05 
6,0, 4, 0,Col,112, 4,69 , 1093 , 10.93 
7,0, 4, 0,Row,109, 7,20 , 1812 , 18.12 
7,0, 4, 0,Col,109, 6,157 , 1693 , 16.93 
8,0, 4, 0,Row,107, 5,193 , 1473 , 14.73 
8,0, 4, 0,Col,107, 5,78 , 1358 , 13.58 
9,0, 4, 0,Row,104, 5,117 , 1397 , 13.97 
9,0, 4, 0,Col,104, 5,8 , 1288 , 12.88 
10,0, 4, 0,Row,101, 5,19 , 1299 , 12.99 
10,0, 4, 0,Col,101, 4,168 , 1192 , 11.92 
11,0, 4, 0,Row,98, 7,248 , 2040 , 20.4 
11,0, 4, 0,Col,98, 7,141 , 1933 , 19.33 
12,0, 4, 0,Row,96, 4,183 , 1207 , 12.07 
12,0, 4, 0,Col,96, 4,60 , 1084 , 10.84 
12,0, 4, 0,Row,223, 7,34 , 1826 , 18.26 
12,0, 4, 0,Col,223, 7,14 , 1806 , 18.06 
13,0, 4, 0,Row,93, 14,181 , 3765 , 37.65 
13,0, 4, 0,Col,93, 14,87 , 3671 , 36.71 
14,0, 4, 0,Row,90, 7,254 , 2046 , 20.46 
14,0, 4, 0,Col,90, 7,131 , 1923 , 19.23 
15,0, 4, 0,Row,215, 12,213 , 3285 , 32.85 
15,0, 4, 0,Col,215, 12,74 , 3146 , 31.46 
16,0, 4, 0,Row,212, 4,135 , 1159 , 11.59 
16,0, 4, 0,Col,212, 4,15 , 1039 , 10.39 
17,0, 4, 0,Row,210, 3,253 , 1021 , 10.21 
17,0, 4, 0,Col,210, 3,145 , 913 , 9.13 
18,0, 4, 0,Row,207, 5,195 , 1475 , 14.75 
18,0, 4, 0,Col,207, 5,90 , 1370 , 13.7 
19,0, 4, 0,Row,204, 4,248 , 1272 , 12.72 
19,0, 4, 0,Col,204, 4,141 , 1165 , 11.65 
20,0, 4, 0,Row,202, 7,215 , 2007 , 20.07 
20,0, 4, 0,Col,202, 7,110 , 1902 , 19.02 
21,0, 4, 0,Row,199, 6,118 , 1654 , 16.54 
21,0, 4, 0,Col,199, 6,6 , 1542 , 15.42 
22,0, 4, 0,Row,196, 7,88 , 1880 , 18.8 
