NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,244, 2,3 , 515 , 5.15 
0,0, 4, 0,Col,244, 11,160 , 2976 , 29.76 
0,0, 4, 0,Row,207, 1,167 , 423 , 4.23 
0,0, 4, 0,Col,80, 14,182 , 3766 , 37.66 
1,0, 4, 0,Row,76, 14,56 , 3640 , 36.4 
1,0, 4, 0,Col,76, 13,191 , 3519 , 35.19 
2,0, 4, 0,Row,74, 12,201 , 3273 , 32.73 
2,0, 4, 0,Col,74, 12,106 , 3178 , 31.78 
3,0, 4, 0,Row,71, 14,86 , 3670 , 36.7 
3,0, 4, 0,Col,71, 13,234 , 3562 , 35.62 
4,0, 4, 0,Row,196, 15,6 , 3846 , 38.46 
4,0, 4, 0,Col,196, 14,144 , 3728 , 37.28 
5,0, 4, 0,Row,193, 14,114 , 3698 , 36.98 
5,0, 4, 0,Col,193, 14,5 , 3589 , 35.89 
6,0, 4, 0,Row,190, 12,163 , 3235 , 32.35 
6,0, 4, 0,Col,190, 12,56 , 3128 , 31.28 
7,0, 4, 0,Row,188, 11,145 , 2961 , 29.61 
7,0, 4, 0,Col,188, 11,38 , 2854 , 28.54 
8,0, 4, 0,Row,185, 14,21 , 3605 , 36.05 
8,0, 4, 0,Col,185, 13,160 , 3488 , 34.88 
9,0, 4, 0,Row,182, 12,88 , 3160 , 31.6 
9,0, 4, 0,Col,182, 11,248 , 3064 , 30.64 
10,0, 4, 0,Row,180, 13,189 , 3517 , 35.17 
10,0, 4, 0,Col,180, 13,82 , 3410 , 34.1 
11,0, 4, 0,Row,177, 13,226 , 3554 , 35.54 
11,0, 4, 0,Col,177, 13,108 , 3436 , 34.36 
12,0, 4, 0,Row,174, 2,141 , 653 , 6.53 
12,0, 4, 0,Col,174, 2,21 , 533 , 5.33 
13,0, 4, 0,Row,171, 13,196 , 3524 , 35.24 
13,0, 4, 0,Col,171, 13,86 , 3414 , 34.14 
14,0, 4, 0,Row,169, 12,59 , 3131 , 31.31 
14,0, 4, 0,Col,169, 11,200 , 3016 , 30.16 
15,0, 4, 0,Row,166, 15,80 , 3920 , 39.2 
15,0, 4, 0,Col,166, 14,235 , 3819 , 38.19 
16,0, 4, 0,Row,163, 10,181 , 2741 , 27.41 
16,0, 4, 0,Col,163, 10,66 , 2626 , 26.26 
17,0, 4, 0,Row,161, 13,30 , 3358 , 33.58 
17,0, 4, 0,Col,161, 12,158 , 3230 , 32.3 
18,0, 4, 0,Row,158, 14,100 , 3684 , 36.84 
18,0, 4, 0,Col,158, 13,238 , 3566 , 35.66 
19,0, 4, 0,Row,155, 12,191 , 3263 , 32.63 
19,0, 4, 0,Col,155, 12,96 , 3168 , 31.68 
20,0, 4, 0,Row,153, 12,84 , 3156 , 31.56 
20,0, 4, 0,Col,153, 11,221 , 3037 , 30.37 
21,0, 4, 0,Row,150, 13,32 , 3360 , 33.6 
21,0, 4, 0,Col,150, 12,174 , 3246 , 32.46 
22,0, 4, 0,Row,147, 13,206 , 3534 , 35.34 
22,0, 4, 0,Col,147, 13,106 , 3434 , 34.34 
22,0, 4, 0,Row,19, 15,118 , 3958 , 39.58 
22,0, 4, 0,Col,19, 15,101 , 3941 , 39.41 
23,0, 4, 0,Row,16, 1,78 , 334 , 3.34 
