NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,20, 8,79 , 2127 , 21.27 
0,0, 4, 0,Col,20, 14,36 , 3620 , 36.2 
0,0, 4, 0,Row,193, 3,235 , 1003 , 10.03 
0,0, 4, 0,Col,193, 0,210 , 210 , 2.1 
1,0, 4, 0,Row,62, 15,57 , 3897 , 38.97 
1,0, 4, 0,Col,62, 14,193 , 3777 , 37.77 
2,0, 4, 0,Row,60, 12,93 , 3165 , 31.65 
2,0, 4, 0,Col,60, 11,228 , 3044 , 30.44 
3,0, 4, 0,Row,57, 12,55 , 3127 , 31.27 
3,0, 4, 0,Col,57, 11,185 , 3001 , 30.01 
3,0, 4, 0,Row,184, 2,105 , 617 , 6.17 
3,0, 4, 0,Col,184, 2,86 , 598 , 5.98 
4,0, 4, 0,Row,182, 10,151 , 2711 , 27.11 
4,0, 4, 0,Col,182, 10,22 , 2582 , 25.82 
5,0, 4, 0,Row,179, 10,187 , 2747 , 27.47 
5,0, 4, 0,Col,179, 10,87 , 2647 , 26.47 
6,0, 4, 0,Row,176, 13,53 , 3381 , 33.81 
6,0, 4, 0,Col,176, 12,179 , 3251 , 32.51 
7,0, 4, 0,Row,46, 7,92 , 1884 , 18.84 
7,0, 4, 0,Col,46, 6,253 , 1789 , 17.89 
8,0, 4, 0,Row,43, 12,189 , 3261 , 32.61 
8,0, 4, 0,Col,43, 12,60 , 3132 , 31.32 
9,0, 4, 0,Row,41, 12,69 , 3141 , 31.41 
9,0, 4, 0,Col,41, 11,208 , 3024 , 30.24 
10,0, 4, 0,Row,38, 11,135 , 2951 , 29.51 
10,0, 4, 0,Col,38, 11,11 , 2827 , 28.27 
11,0, 4, 0,Row,35, 11,162 , 2978 , 29.78 
11,0, 4, 0,Col,35, 11,25 , 2841 , 28.41 
12,0, 4, 0,Row,33, 11,22 , 2838 , 28.38 
12,0, 4, 0,Col,33, 10,159 , 2719 , 27.19 
13,0, 4, 0,Row,30, 9,240 , 2544 , 25.44 
13,0, 4, 0,Col,30, 9,135 , 2439 , 24.39 
14,0, 4, 0,Row,27, 10,64 , 2624 , 26.24 
14,0, 4, 0,Col,27, 9,191 , 2495 , 24.95 
14,0, 4, 0,Row,155, 3,133 , 901 , 9.01 
14,0, 4, 0,Col,155, 3,118 , 886 , 8.86 
15,0, 4, 0,Row,24, 6,40 , 1576 , 15.76 
15,0, 4, 0,Col,24, 5,197 , 1477 , 14.77 
15,0, 4, 0,Row,152, 5,187 , 1467 , 14.67 
15,0, 4, 0,Col,152, 5,164 , 1444 , 14.44 
16,0, 4, 0,Row,149, 2,169 , 681 , 6.81 
16,0, 4, 0,Col,149, 2,31 , 543 , 5.43 
17,0, 4, 0,Row,147, 9,255 , 2559 , 25.59 
17,0, 4, 0,Col,147, 9,141 , 2445 , 24.45 
18,0, 4, 0,Row,144, 13,216 , 3544 , 35.44 
18,0, 4, 0,Col,144, 13,112 , 3440 , 34.4 
19,0, 4, 0,Row,141, 10,151 , 2711 , 27.11 
19,0, 4, 0,Col,141, 10,44 , 2604 , 26.04 
20,0, 4, 0,Row,139, 10,148 , 2708 , 27.08 
20,0, 4, 0,Col,139, 10,25 , 2585 , 25.85 
21,0, 4, 0,Row,136, 10,224 , 2784 , 27.84 
21,0, 4, 0,Col,136, 10,102 , 2662 , 26.62 
22,0, 4, 0,Row,133, 12,60 , 3132 , 31.32 
22,0, 4, 0,Col,133, 11,201 , 3017 , 30.17 
23,0, 4, 0,Row,130, 13,67 , 3395 , 33.95 
23,0, 4, 0,Col,130, 12,204 , 3276 , 32.76 
24,0, 4, 0,Row,128, 11,178 , 2994 , 29.94 
24,0, 4, 0,Col,128, 11,55 , 2871 , 28.71 
25,0, 4, 0,Row,125, 12,123 , 3195 , 31.95 
25,0, 4, 0,Col,125, 12,4 , 3076 , 30.76 
26,0, 4, 0,Row,122, 14,10 , 3594 , 35.94 
26,0, 4, 0,Col,122, 13,154 , 3482 , 34.82 
27,0, 4, 0,Row,120, 10,107 , 2667 , 26.67 
27,0, 4, 0,Col,120, 9,244 , 2548 , 25.48 
28,0, 4, 0,Row,117, 13,161 , 3489 , 34.89 
28,0, 4, 0,Col,117, 13,59 , 3387 , 33.87 
29,0, 4, 0,Row,114, 10,236 , 2796 , 27.96 
29,0, 4, 0,Col,114, 10,116 , 2676 , 26.76 
30,0, 4, 0,Row,112, 14,36 , 3620 , 36.2 
30,0, 4, 0,Col,112, 13,178 , 3506 , 35.06 
31,0, 4, 0,Row,109, 8,95 , 2143 , 21.43 
31,0, 4, 0,Col,109, 7,237 , 2029 , 20.29 
32,0, 4, 0,Row,106, 11,140 , 2956 , 29.56 
32,0, 4, 0,Col,106, 11,22 , 2838 , 28.38 
33,0, 4, 0,Row,231, 0,184 , 184 , 1.84 
33,0, 4, 0,Col,231, 0,55 , 55 , 0.55 
34,0, 4, 0,Row,228, 11,237 , 3053 , 30.53 
34,0, 4, 0,Col,228, 11,136 , 2952 , 29.52 
35,0, 4, 0,Row,226, 10,185 , 2745 , 27.45 
35,0, 4, 0,Col,226, 10,47 , 2607 , 26.07 
36,0, 4, 0,Row,223, 12,86 , 3158 , 31.58 
36,0, 4, 0,Col,223, 11,218 , 3034 , 30.34 
37,0, 4, 0,Row,220, 3,179 , 947 , 9.47 
37,0, 4, 0,Col,220, 3,33 , 801 , 8.01 
38,0, 4, 0,Row,217, 12,65 , 3137 , 31.37 
38,0, 4, 0,Col,217, 11,208 , 3024 , 30.24 
39,0, 4, 0,Row,86, 0,213 , 213 , 2.13 
39,0, 4, 0,Col,86, 0,71 , 71 , 0.71 
40,0, 4, 0,Row,84, 10,172 , 2732 , 27.32 
40,0, 4, 0,Col,84, 10,69 , 2629 , 26.29 
41,0, 4, 0,Row,209, 6,230 , 1766 , 17.66 
41,0, 4, 0,Col,209, 6,133 , 1669 , 16.69 
42,0, 4, 0,Row,78, 14,17 , 3601 , 36.01 
42,0, 4, 0,Col,78, 13,134 , 3462 , 34.62 
43,0, 4, 0,Row,75, 11,12 , 2828 , 28.28 
43,0, 4, 0,Col,75, 10,161 , 2721 , 27.21 
44,0, 4, 0,Row,73, 12,63 , 3135 , 31.35 
44,0, 4, 0,Col,73, 11,213 , 3029 , 30.29 
45,0, 4, 0,Row,70, 13,215 , 3543 , 35.43 
45,0, 4, 0,Col,70, 13,101 , 3429 , 34.29 
46,0, 4, 0,Row,67, 9,50 , 2354 , 23.54 
46,0, 4, 0,Col,67, 8,181 , 2229 , 22.29 
47,0, 4, 0,Row,65, 12,107 , 3179 , 31.79 
47,0, 4, 0,Col,65, 12,0 , 3072 , 30.72 
48,0, 4, 0,Row,62, 13,104 , 3432 , 34.32 
48,0, 4, 0,Col,62, 12,254 , 3326 , 33.26 
49,0, 4, 0,Row,59, 12,83 , 3155 , 31.55 
49,0, 4, 0,Col,59, 11,230 , 3046 , 30.46 
50,0, 4, 0,Row,57, 12,201 , 3273 , 32.73 
50,0, 4, 0,Col,57, 12,84 , 3156 , 31.56 
51,0, 4, 0,Row,54, 10,21 , 2581 , 25.81 
51,0, 4, 0,Col,54, 9,163 , 2467 , 24.67 
52,0, 4, 0,Row,51, 9,116 , 2420 , 24.2 
52,0, 4, 0,Col,51, 9,27 , 2331 , 23.31 
53,0, 4, 0,Row,48, 8,102 , 2150 , 21.5 
53,0, 4, 0,Col,49, 7,240 , 2032 , 20.32 
54,0, 4, 0,Row,46, 11,116 , 2932 , 29.32 
54,0, 4, 0,Col,46, 11,13 , 2829 , 28.29 
55,0, 4, 0,Row,43, 12,61 , 3133 , 31.33 
55,0, 4, 0,Col,43, 11,157 , 2973 , 29.73 
56,0, 4, 0,Row,40, 11,191 , 3007 , 30.07 
56,0, 4, 0,Col,40, 11,85 , 2901 , 29.01 
57,0, 4, 0,Row,38, 11,227 , 3043 , 30.43 
57,0, 4, 0,Col,38, 11,106 , 2922 , 29.22 
58,0, 4, 0,Row,163, 0,44 , 44 , 0.44 
58,0, 4, 0,Col,163, 15,164 , 4004 , 40.04 
59,0, 4, 0,Row,160, 12,139 , 3211 , 32.11 
59,0, 4, 0,Col,160, 11,230 , 3046 , 30.46 
60,0, 4, 0,Row,157, 10,100 , 2660 , 26.6 
60,0, 4, 0,Col,157, 10,0 , 2560 , 25.6 
61,0, 4, 0,Row,154, 12,94 , 3166 , 31.66 
61,0, 4, 0,Col,154, 11,247 , 3063 , 30.63 
62,0, 4, 0,Row,152, 13,121 , 3449 , 34.49 
62,0, 4, 0,Col,152, 13,21 , 3349 , 33.49 
63,0, 4, 0,Row,149, 10,172 , 2732 , 27.32 
63,0, 4, 0,Col,149, 10,47 , 2607 , 26.07 
64,0, 4, 0,Row,146, 12,210 , 3282 , 32.82 
64,0, 4, 0,Col,146, 12,91 , 3163 , 31.63 
64,0, 4, 0,Row,18, 2,134 , 646 , 6.46 
64,0, 4, 0,Col,18, 2,113 , 625 , 6.25 
65,0, 4, 0,Row,15, 12,240 , 3312 , 33.12 
65,0, 4, 0,Col,15, 12,130 , 3202 , 32.02 
66,0, 4, 0,Row,12, 8,100 , 2148 , 21.48 
66,0, 4, 0,Col,141, 7,244 , 2036 , 20.36 
67,0, 4, 0,Row,10, 10,99 , 2659 , 26.59 
67,0, 4, 0,Col,10, 9,246 , 2550 , 25.5 
68,0, 4, 0,Row,7, 12,238 , 3310 , 33.1 
68,0, 4, 0,Col,7, 12,128 , 3200 , 32.0 
69,0, 4, 0,Row,132, 0,193 , 193 , 1.93 
69,0, 4, 0,Col,132, 0,43 , 43 , 0.43 
70,0, 4, 0,Row,129, 10,232 , 2792 , 27.92 
70,0, 4, 0,Col,129, 10,125 , 2685 , 26.85 
71,0, 4, 0,Row,127, 12,109 , 3181 , 31.81 
71,0, 4, 0,Col,127, 11,242 , 3058 , 30.58 
72,0, 4, 0,Row,124, 10,235 , 2795 , 27.95 
72,0, 4, 0,Col,124, 10,113 , 2673 , 26.73 
73,0, 4, 0,Row,249, 15,2 , 3842 , 38.42 
73,0, 4, 0,Col,249, 14,115 , 3699 , 36.99 
74,0, 4, 0,Row,246, 13,81 , 3409 , 34.09 
74,0, 4, 0,Col,246, 12,220 , 3292 , 32.92 
75,0, 4, 0,Row,243, 10,23 , 2583 , 25.83 
75,0, 4, 0,Col,243, 9,160 , 2464 , 24.64 
76,0, 4, 0,Row,241, 9,207 , 2511 , 25.11 
76,0, 4, 0,Col,241, 9,81 , 2385 , 23.85 
77,0, 4, 0,Row,238, 13,103 , 3431 , 34.31 
77,0, 4, 0,Col,238, 12,243 , 3315 , 33.15 
78,0, 4, 0,Row,107, 15,113 , 3953 , 39.53 
78,0, 4, 0,Col,107, 14,223 , 3807 , 38.07 
79,0, 4, 0,Row,104, 10,2 , 2562 , 25.62 
79,0, 4, 0,Col,104, 9,143 , 2447 , 24.47 
80,0, 4, 0,Row,101, 10,216 , 2776 , 27.76 
80,0, 4, 0,Col,101, 10,92 , 2652 , 26.52 
81,0, 4, 0,Row,99, 10,19 , 2579 , 25.79 
81,0, 4, 0,Col,99, 9,154 , 2458 , 24.58 
82,0, 4, 0,Row,96, 12,60 , 3132 , 31.32 
