NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,217, 6,138 , 1674 , 16.74 
0,0, 4, 0,Col,217, 9,179 , 2483 , 24.83 
0,0, 4, 0,Row,241, 13,61 , 3389 , 33.89 
0,0, 4, 0,Row,241, 13,0 , 3328 , 33.28 
0,0, [0;31;40m0[0m, 7,Row,4, 0,240 , 240 , 2.4 
0,[0;31;40m1[0m, [0;31;40m1[0m, 60,Col,4, 0,0 , 0 , 0.0 
0,0, [0;31;40m6[0m, 50,Col,61, 13,61 , 3389 , 33.89 
1,0, 4, 0,Row,109, 15,183 , 4023 , 40.23 
1,0, 4, 0,Col,109, 15,64 , 3904 , 39.04 
2,0, 4, 0,Row,233, 13,134 , 3462 , 34.62 
2,0, 4, 0,Col,233, 13,14 , 3342 , 33.42 
3,0, 4, 0,Row,231, 2,233 , 745 , 7.45 
3,0, 4, 0,Col,231, 2,133 , 645 , 6.45 
4,0, 4, 0,Row,228, 0,178 , 178 , 1.78 
4,0, 4, 0,Col,228, 0,81 , 81 , 0.81 
5,0, 4, 0,Row,225, 1,112 , 368 , 3.68 
5,0, 4, 0,Col,225, 1,11 , 267 , 2.67 
6,0, 4, 0,Row,223, 13,204 , 3532 , 35.32 
6,0, 4, 0,Col,223, 13,101 , 3429 , 34.29 
7,0, 4, 0,Row,220, 7,83 , 1875 , 18.75 
7,0, 4, 0,Col,220, 6,233 , 1769 , 17.69 
8,0, 4, 0,Row,217, 0,51 , 51 , 0.51 
8,0, 4, 0,Col,217, 15,203 , 4043 , 40.43 
9,0, 4, 0,Row,215, 10,91 , 2651 , 26.51 
9,0, 4, 0,Col,215, 9,240 , 2544 , 25.44 
10,0, 4, 0,Row,83, 2,218 , 730 , 7.3 
10,0, 4, 0,Col,83, 2,102 , 614 , 6.14 
11,0, 4, 0,Row,209, 6,24 , 1560 , 15.6 
11,0, 4, 0,Col,209, 5,195 , 1475 , 14.75 
11,0, 4, 0,Row,179, 14,119 , 3703 , 37.03 
11,0, 4, 0,Col,179, 14,101 , 3685 , 36.85 
12,0, 4, 0,Row,78, 11,0 , 2816 , 28.16 
12,0, 4, 0,Col,78, 10,139 , 2699 , 26.99 
13,0, 4, 0,Row,75, 2,167 , 679 , 6.79 
13,0, 4, 0,Col,75, 2,67 , 579 , 5.79 
14,0, 4, 0,Row,73, 13,140 , 3468 , 34.68 
14,0, 4, 0,Col,73, 13,35 , 3363 , 33.63 
15,0, 4, 0,Row,70, 15,116 , 3956 , 39.56 
15,0, 4, 0,Col,70, 15,12 , 3852 , 38.52 
16,0, 4, 0,Row,67, 6,146 , 1682 , 16.82 
16,0, 4, 0,Col,67, 6,45 , 1581 , 15.81 
17,0, 4, 0,Row,64, 15,114 , 3954 , 39.54 
17,0, 4, 0,Col,64, 15,12 , 3852 , 38.52 
18,0, 4, 0,Row,62, 12,201 , 3273 , 32.73 
18,0, 4, 0,Col,62, 12,102 , 3174 , 31.74 
19,0, 4, 0,Row,59, 4,117 , 1141 , 11.41 
19,0, 4, 0,Col,59, 4,14 , 1038 , 10.38 
20,0, 4, 0,Row,56, 1,141 , 397 , 3.97 
20,0, 4, 0,Col,56, 1,40 , 296 , 2.96 
21,0, 4, 0,Row,54, 13,74 , 3402 , 34.02 
21,0, 4, 0,Col,54, 12,225 , 3297 , 32.97 
22,0, 4, 0,Row,51, 10,25 , 2585 , 25.85 
22,0, 4, 0,Col,51, 9,181 , 2485 , 24.85 
23,0, 4, 0,Row,48, 6,200 , 1736 , 17.36 
23,0, 4, 0,Col,48, 6,94 , 1630 , 16.3 
24,0, 4, 0,Row,46, 2,176 , 688 , 6.88 
24,0, 4, 0,Col,46, 2,74 , 586 , 5.86 
25,0, 4, 0,Row,43, 1,214 , 470 , 4.7 
25,0, 4, 0,Col,43, 1,114 , 370 , 3.7 
26,0, 4, 0,Row,168, 6,175 , 1711 , 17.11 
26,0, 4, 0,Col,168, 6,59 , 1595 , 15.95 
27,0, 4, 0,Row,165, 4,51 , 1075 , 10.75 
27,0, 4, 0,Col,165, 3,201 , 969 , 9.69 
28,0, 4, 0,Row,162, 3,140 , 908 , 9.08 
28,0, 4, 0,Col,162, 3,40 , 808 , 8.08 
29,0, 4, 0,Row,160, 12,44 , 3116 , 31.16 
29,0, 4, 0,Col,160, 11,196 , 3012 , 30.12 
30,0, 4, 0,Row,157, 5,233 , 1513 , 15.13 
30,0, 4, 0,Col,157, 5,126 , 1406 , 14.06 
31,0, 4, 0,Row,154, 12,99 , 3171 , 31.71 
31,0, 4, 0,Col,154, 11,252 , 3068 , 30.68 
32,0, 4, 0,Row,152, 3,83 , 851 , 8.51 
32,0, 4, 0,Col,3, 2,239 , 751 , 7.51 
33,0, 4, 0,Row,149, 1,37 , 293 , 2.93 
33,0, 4, 0,Col,149, 0,192 , 192 , 1.92 
34,0, 4, 0,Row,146, 5,134 , 1414 , 14.14 
34,0, 4, 0,Col,146, 5,37 , 1317 , 13.17 
35,0, 4, 0,Row,143, 7,60 , 1852 , 18.52 
35,0, 4, 0,Col,143, 6,205 , 1741 , 17.41 
36,0, 4, 0,Row,141, 10,109 , 2669 , 26.69 
36,0, 4, 0,Col,141, 10,16 , 2576 , 25.76 
37,0, 4, 0,Row,138, 6,34 , 1570 , 15.7 
37,0, 4, 0,Col,138, 5,186 , 1466 , 14.66 
38,0, 4, 0,Row,135, 3,60 , 828 , 8.28 
38,0, 4, 0,Col,135, 2,212 , 724 , 7.24 
39,0, 4, 0,Row,4, 9,119 , 2423 , 24.23 
39,0, 4, 0,Col,4, 9,0 , 2304 , 23.04 
40,0, 4, 0,Row,1, 11,51 , 2867 , 28.67 
40,0, 4, 0,Col,1, 10,204 , 2764 , 27.64 
41,0, 4, 0,Row,255, 6,247 , 1783 , 17.83 
41,0, 4, 0,Col,255, 6,148 , 1684 , 16.84 
42,0, 4, 0,Row,252, 7,209 , 2001 , 20.01 
42,0, 4, 0,Col,252, 7,108 , 1900 , 19.0 
43,0, 4, 0,Row,249, 3,79 , 847 , 8.47 
43,0, 4, 0,Col,249, 2,234 , 746 , 7.46 
44,0, 4, 0,Row,247, 1,243 , 499 , 4.99 
44,0, 4, 0,Col,247, 1,141 , 397 , 3.97 
45,0, 4, 0,Row,244, 8,60 , 2108 , 21.08 
45,0, 4, 0,Col,244, 7,213 , 2005 , 20.05 
46,0, 4, 0,Row,113, 0,210 , 210 , 2.1 
46,0, 4, 0,Col,113, 0,90 , 90 , 0.9 
47,0, 4, 0,Row,110, 1,46 , 302 , 3.02 
47,0, 4, 0,Col,110, 0,196 , 196 , 1.96 
48,0, 4, 0,Row,107, 12,225 , 3297 , 32.97 
48,0, 4, 0,Col,107, 12,123 , 3195 , 31.95 
49,0, 4, 0,Row,105, 15,132 , 3972 , 39.72 
49,0, 4, 0,Col,105, 15,32 , 3872 , 38.72 
50,0, 4, 0,Row,102, 12,150 , 3222 , 32.22 
50,0, 4, 0,Col,102, 12,46 , 3118 , 31.18 
51,0, 4, 0,Row,99, 15,192 , 4032 , 40.32 
51,0, 4, 0,Col,99, 15,88 , 3928 , 39.28 
52,0, 4, 0,Row,224, 6,143 , 1679 , 16.79 
52,0, 4, 0,Col,224, 6,23 , 1559 , 15.59 
53,0, 4, 0,Row,221, 2,146 , 658 , 6.58 
53,0, 4, 0,Col,221, 2,46 , 558 , 5.58 
54,0, 4, 0,Row,219, 4,28 , 1052 , 10.52 
54,0, 4, 0,Col,219, 3,184 , 952 , 9.52 
55,0, 4, 0,Row,216, 0,204 , 204 , 2.04 
55,0, 4, 0,Col,216, 0,97 , 97 , 0.97 
56,0, 4, 0,Row,213, 11,9 , 2825 , 28.25 
56,0, 4, 0,Col,213, 10,166 , 2726 , 27.26 
57,0, 4, 0,Row,82, 14,88 , 3672 , 36.72 
57,0, 4, 0,Col,82, 13,229 , 3557 , 35.57 
