NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,50, 4,62 , 1086 , 10.86 
0,0, 4, 0,Col,50, 15,65 , 3905 , 39.05 
0,0, 4, 61,Row,61, 13,61 , 3389 , 33.89 
0,0, 4, 61,Row,0, 0,1 , 1 , 0.01 
0,0, [0;31;40m0[0m, 0,Row,1, 10,4 , 2564 , 25.64 
0,0, [0;31;40m0[0m, 16,Row,15, 13,4 , 3332 , 33.32 
0,[0;31;40m16[0m, [0;31;40m0[0m, 16,Row,12, 2,61 , 573 , 5.73 
1,0, 4, 0,Row,141, 8,214 , 2262 , 22.62 
1,0, 4, 0,Col,141, 8,89 , 2137 , 21.37 
2,0, 4, 0,Row,138, 5,72 , 1352 , 13.52 
2,0, 4, 0,Col,138, 4,228 , 1252 , 12.52 
2,0, 4, 0,Row,131, 3,63 , 831 , 8.31 
2,0, 4, 0,Col,131, 3,55 , 823 , 8.23 
2,0, 4, 0,Row,10, 14,98 , 3682 , 36.82 
2,0, 4, 0,Col,10, 14,90 , 3674 , 36.74 
3,0, 4, 0,Row,7, 1,179 , 435 , 4.35 
3,0, 4, 0,Col,7, 1,77 , 333 , 3.33 
4,0, 4, 0,Row,4, 11,194 , 3010 , 30.1 
4,0, 4, 0,Col,4, 11,95 , 2911 , 29.11 
5,0, 4, 0,Row,2, 1,172 , 428 , 4.28 
5,0, 4, 0,Col,2, 1,68 , 324 , 3.24 
6,0, 4, 0,Row,255, 1,126 , 382 , 3.82 
6,0, 4, 0,Col,255, 1,18 , 274 , 2.74 
7,0, 4, 0,Row,252, 14,60 , 3644 , 36.44 
7,0, 4, 0,Col,252, 13,207 , 3535 , 35.35 
8,0, 4, 0,Row,250, 15,234 , 4074 , 40.74 
8,0, 4, 0,Col,250, 15,128 , 3968 , 39.68 
9,0, 4, 0,Row,247, 15,9 , 3849 , 38.49 
9,0, 4, 0,Col,247, 14,167 , 3751 , 37.51 
10,0, 4, 0,Row,244, 9,183 , 2487 , 24.87 
10,0, 4, 0,Col,244, 9,83 , 2387 , 23.87 
11,0, 4, 0,Row,242, 1,67 , 323 , 3.23 
11,0, 4, 0,Col,242, 0,220 , 220 , 2.2 
12,0, 4, 0,Row,239, 9,190 , 2494 , 24.94 
12,0, 4, 0,Col,239, 9,88 , 2392 , 23.92 
13,0, 4, 0,Row,236, 14,34 , 3618 , 36.18 
13,0, 4, 0,Col,236, 13,192 , 3520 , 35.2 
14,0, 4, 0,Row,233, 8,78 , 2126 , 21.26 
14,0, 4, 0,Col,233, 7,231 , 2023 , 20.23 
15,0, 4, 0,Row,231, 1,41 , 297 , 2.97 
15,0, 4, 0,Col,231, 0,197 , 197 , 1.97 
16,0, 4, 0,Row,228, 10,188 , 2748 , 27.48 
16,0, 4, 0,Col,228, 10,89 , 2649 , 26.49 
17,0, 4, 0,Row,225, 10,200 , 2760 , 27.6 
17,0, 4, 0,Col,225, 10,96 , 2656 , 26.56 
18,0, 4, 0,Row,223, 5,247 , 1527 , 15.27 
18,0, 4, 0,Col,223, 5,145 , 1425 , 14.25 
19,0, 4, 0,Row,220, 8,73 , 2121 , 21.21 
19,0, 4, 0,Col,220, 7,227 , 2019 , 20.19 
20,0, 4, 0,Row,217, 15,166 , 4006 , 40.06 
20,0, 4, 0,Col,217, 15,62 , 3902 , 39.02 
21,0, 4, 0,Row,215, 2,163 , 675 , 6.75 
21,0, 4, 0,Col,215, 2,53 , 565 , 5.65 
22,0, 4, 0,Row,212, 14,240 , 3824 , 38.24 
22,0, 4, 0,Col,212, 14,140 , 3724 , 37.24 
23,0, 4, 0,Row,209, 9,80 , 2384 , 23.84 
23,0, 4, 0,Col,209, 8,235 , 2283 , 22.83 
24,0, 4, 0,Row,206, 5,84 , 1364 , 13.64 
24,0, 4, 0,Col,206, 4,237 , 1261 , 12.61 
25,0, 4, 0,Row,204, 4,80 , 1104 , 11.04 
25,0, 4, 0,Col,204, 3,234 , 1002 , 10.02 
26,0, 4, 0,Row,73, 7,6 , 1798 , 17.98 
26,0, 4, 0,Col,73, 6,140 , 1676 , 16.76 
27,0, 4, 0,Row,70, 2,150 , 662 , 6.62 
