NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
NEvent,0, 4, 0,Row,68, 9,7 , 2311 , 23.11 
NEvent,0, 4, 0,Col,68, 13,121 , 3449 , 34.49 
NEvent,0, 4, 0,Row,44, 2,188 , 700 , 7.0 
NEvent,0, 4, 0,Col,44, 14,124 , 3708 , 37.08 
NEvent,0, 4, 0,Row,168, 2,99 , 611 , 6.11 
NEvent,0, 4, 0,Col,168, 1,117 , 373 , 3.73 
NEvent,0, 4, 0,Row,5, 4,188 , 1212 , 12.12 
NEvent,0, 4, 0,Col,5, 4,5 , 1029 , 10.29 
NEvent,0, 4, 0,Row,34, 4,175 , 1199 , 11.99 
NEvent,0, 4, 0,Col,34, 3,218 , 986 , 9.86 
NEvent,0, 4, 0,Row,158, 15,47 , 3887 , 38.87 
NEvent,0, 4, 0,Col,158, 14,122 , 3706 , 37.06 
NEvent,0, 4, 0,Row,155, 13,75 , 3403 , 34.03 
NEvent,0, 4, 0,Col,155, 12,113 , 3185 , 31.85 
NEvent,0, 4, 0,Row,151, 14,132 , 3716 , 37.16 
NEvent,0, 4, 0,Col,151, 13,175 , 3503 , 35.03 
NEvent,0, 4, 0,Row,148, 2,112 , 624 , 6.24 
NEvent,0, 4, 0,Col,148, 1,154 , 410 , 4.1 
NEvent,0, 4, 0,Row,17, 15,43 , 3883 , 38.83 
NEvent,0, 4, 0,Col,17, 14,110 , 3694 , 36.94 
NEvent,0, 4, 0,Row,13, 1,5 , 261 , 2.61 
NEvent,0, 4, 0,Col,13, 0,48 , 48 , 0.48 
NEvent,0, 4, 0,Row,138, 5,143 , 1423 , 14.23 
NEvent,0, 4, 0,Col,138, 4,212 , 1236 , 12.36 
NEvent,0, 4, 0,Row,134, 1,123 , 379 , 3.79 
NEvent,0, 4, 0,Col,134, 0,170 , 170 , 1.7 
NEvent,0, 4, 0,Row,3, 13,255 , 3583 , 35.83 
NEvent,0, 4, 0,Col,3, 13,68 , 3396 , 33.96 
NEvent,0, 4, 0,Row,131, 15,119 , 3959 , 39.59 
NEvent,0, 4, 0,Col,131, 15,92 , 3932 , 39.32 
NEvent,0, 4, 0,Row,255, 0,249 , 249 , 2.49 
NEvent,0, 4, 0,Col,255, 0,63 , 63 , 0.63 
NEvent,0, 4, 0,Row,252, 1,1 , 257 , 2.57 
NEvent,0, 4, 0,Col,252, 0,46 , 46 , 0.46 
NEvent,0, 4, 0,Row,121, 0,241 , 241 , 2.41 
NEvent,0, 4, 0,Col,121, 0,54 , 54 , 0.54 
NEvent,0, 4, 0,Row,117, 14,85 , 3669 , 36.69 
NEvent,0, 4, 0,Col,117, 13,127 , 3455 , 34.55 
NEvent,0, 4, 0,Row,242, 2,146 , 658 , 6.58 
NEvent,0, 4, 0,Col,242, 1,212 , 468 , 4.68 
NEvent,0, 4, 0,Row,113, 1,150 , 406 , 4.06 
NEvent,0, 4, 0,Col,113, 1,124 , 380 , 3.8 
NEvent,0, 4, 0,Row,238, 0,85 , 85 , 0.85 
NEvent,0, 4, 0,Col,238, 15,158 , 3998 , 39.98 
NEvent,0, 4, 0,Row,235, 0,167 , 167 , 1.67 
NEvent,0, 4, 0,Col,235, 15,211 , 4051 , 40.51 
NEvent,0, 4, 0,Row,104, 13,145 , 3473 , 34.73 
NEvent,0, 4, 0,Col,104, 12,215 , 3287 , 32.87 
NEvent,0, 4, 0,Row,100, 6,33 , 1569 , 15.69 
NEvent,0, 4, 0,Col,100, 5,78 , 1358 , 13.58 
NEvent,0, 4, 0,Row,96, 15,192 , 4032 , 40.32 
NEvent,0, 4, 0,Col,96, 14,237 , 3821 , 38.21 
NEvent,0, 4, 0,Row,221, 14,245 , 3829 , 38.29 
NEvent,0, 4, 0,Col,221, 14,49 , 3633 , 36.33 
NEvent,0, 4, 0,Row,218, 11,24 , 2840 , 28.4 
NEvent,0, 4, 0,Col,218, 10,69 , 2629 , 26.29 
NEvent,0, 4, 0,Row,86, 6,92 , 1628 , 16.28 
NEvent,0, 4, 0,Col,86, 5,159 , 1439 , 14.39 
NEvent,0, 4, 0,Row,83, 4,139 , 1163 , 11.63 
NEvent,0, 4, 0,Col,83, 3,183 , 951 , 9.51 
NEvent,0, 4, 0,Row,79, 4,16 , 1040 , 10.4 
NEvent,0, 4, 0,Col,79, 3,54 , 822 , 8.22 
NEvent,0, 4, 0,Row,204, 4,145 , 1169 , 11.69 
NEvent,0, 4, 0,Col,204, 3,217 , 985 , 9.85 
NEvent,0, 4, 0,Row,201, 14,216 , 3800 , 38.0 
NEvent,0, 4, 0,Col,201, 14,1 , 3585 , 35.85 
NEvent,0, 4, 0,Row,69, 3,104 , 872 , 8.72 
NEvent,0, 4, 0,Col,69, 2,171 , 683 , 6.83 
NEvent,0, 4, 0,Row,66, 0,28 , 28 , 0.28 
NEvent,0, 4, 0,Col,66, 15,68 , 3908 , 39.08 
NEvent,0, 4, 0,Row,191, 15,137 , 3977 , 39.77 
NEvent,0, 4, 0,Col,191, 14,208 , 3792 , 37.92 
NEvent,0, 4, 0,Row,187, 3,61 , 829 , 8.29 
NEvent,0, 4, 0,Col,187, 2,104 , 616 , 6.16 
