NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,44, 12,160 , 3232 , 32.32 
0,0, 4, 0,Col,44, 11,85 , 2901 , 29.01 
0,0, 4, 0,Row,75, 0,232 , 232 , 2.32 
0,0, 4, 0,Col,75, 13,111 , 3439 , 34.39 
1,0, 4, 0,Row,199, 4,21 , 1045 , 10.45 
1,0, 4, 0,Col,199, 3,136 , 904 , 9.04 
2,0, 4, 0,Row,197, 4,60 , 1084 , 10.84 
2,0, 4, 0,Col,197, 3,194 , 962 , 9.62 
3,0, 4, 0,Row,194, 1,196 , 452 , 4.52 
3,0, 4, 0,Col,194, 1,57 , 313 , 3.13 
4,0, 4, 0,Row,191, 6,90 , 1626 , 16.26 
4,0, 4, 0,Col,191, 5,225 , 1505 , 15.05 
5,0, 4, 0,Row,60, 3,186 , 954 , 9.54 
5,0, 4, 0,Col,60, 3,34 , 802 , 8.02 
6,0, 4, 0,Row,58, 7,23 , 1815 , 18.15 
6,0, 4, 0,Col,58, 6,145 , 1681 , 16.81 
7,0, 4, 0,Row,55, 3,214 , 982 , 9.82 
7,0, 4, 0,Col,55, 3,76 , 844 , 8.44 
8,0, 4, 0,Row,52, 2,5 , 517 , 5.17 
8,0, 4, 0,Col,52, 1,133 , 389 , 3.89 
9,0, 4, 0,Row,49, 1,147 , 403 , 4.03 
9,0, 4, 0,Col,49, 1,41 , 297 , 2.97 
10,0, 4, 0,Row,47, 3,192 , 960 , 9.6 
10,0, 4, 0,Col,47, 3,78 , 846 , 8.46 
11,0, 4, 0,Row,44, 2,174 , 686 , 6.86 
11,0, 4, 0,Col,44, 2,19 , 531 , 5.31 
12,0, 4, 0,Row,41, 0,6 , 6 , 0.06 
12,0, 4, 0,Col,41, 15,136 , 3976 , 39.76 
13,0, 4, 0,Row,39, 4,58 , 1082 , 10.82 
13,0, 4, 0,Col,39, 3,197 , 965 , 9.65 
14,0, 4, 0,Row,36, 0,210 , 210 , 2.1 
14,0, 4, 0,Col,36, 0,78 , 78 , 0.78 
15,0, 4, 0,Row,33, 3,233 , 1001 , 10.01 
15,0, 4, 0,Col,33, 3,84 , 852 , 8.52 
16,0, 4, 0,Row,31, 8,5 , 2053 , 20.53 
16,0, 4, 0,Col,31, 7,129 , 1921 , 19.21 
17,0, 4, 0,Row,28, 13,13 , 3341 , 33.41 
17,0, 4, 0,Col,28, 12,160 , 3232 , 32.32 
18,0, 4, 0,Row,25, 2,118 , 630 , 6.3 
