NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,73, 15,87 , 3927 , 39.27 
0,0, 4, 0,Col,73, 13,41 , 3369 , 33.69 
0,0, 4, 0,Row,8, 5,111 , 1391 , 13.91 
0,0, 4, 0,Col,8, 2,95 , 607 , 6.07 
1,0, 4, 0,Row,132, 10,157 , 2717 , 27.17 
1,0, 4, 0,Col,132, 9,243 , 2547 , 25.47 
2,0, 4, 0,Row,128, 0,192 , 192 , 1.92 
2,0, 4, 0,Col,128, 0,14 , 14 , 0.14 
3,0, 4, 0,Row,253, 6,115 , 1651 , 16.51 
3,0, 4, 0,Col,253, 5,220 , 1500 , 15.0 
4,0, 4, 0,Row,250, 2,163 , 675 , 6.75 
4,0, 4, 0,Col,250, 1,244 , 500 , 5.0 
5,0, 4, 0,Row,246, 0,25 , 25 , 0.25 
5,0, 4, 0,Col,246, 15,127 , 3967 , 39.67 
6,0, 4, 0,Row,115, 7,169 , 1961 , 19.61 
6,0, 4, 0,Col,115, 7,46 , 1838 , 18.38 
7,0, 4, 0,Row,111, 0,212 , 212 , 2.12 
7,0, 4, 0,Col,111, 0,61 , 61 , 0.61 
8,0, 4, 0,Row,108, 15,167 , 4007 , 40.07 
8,0, 4, 0,Col,108, 15,2 , 3842 , 38.42 
9,0, 4, 0,Row,104, 15,220 , 4060 , 40.6 
9,0, 4, 0,Col,104, 15,59 , 3899 , 38.99 
10,0, 4, 0,Row,100, 0,171 , 171 , 1.71 
10,0, 4, 0,Col,100, 0,17 , 17 , 0.17 
11,0, 4, 0,Row,97, 15,48 , 3888 , 38.88 
11,0, 4, 0,Col,97, 14,158 , 3742 , 37.42 
12,0, 4, 0,Row,222, 12,47 , 3119 , 31.19 
12,0, 4, 0,Col,222, 11,145 , 2961 , 29.61 
13,0, 4, 0,Row,218, 1,166 , 422 , 4.22 
13,0, 4, 0,Col,218, 1,3 , 259 , 2.59 
14,0, 4, 0,Row,214, 15,219 , 4059 , 40.59 
14,0, 4, 0,Col,214, 15,72 , 3912 , 39.12 
15,0, 4, 0,Row,211, 15,209 , 4049 , 40.49 
15,0, 4, 0,Col,211, 15,62 , 3902 , 39.02 
16,0, 4, 0,Row,207, 0,208 , 208 , 2.08 
16,0, 4, 0,Col,207, 0,68 , 68 , 0.68 
17,0, 4, 0,Row,204, 1,58 , 314 , 3.14 
17,0, 4, 0,Col,204, 0,178 , 178 , 1.78 
18,0, 4, 0,Row,73, 6,198 , 1734 , 17.34 
18,0, 4, 0,Col,73, 6,58 , 1594 , 15.94 
19,0, 4, 0,Row,69, 1,71 , 327 , 3.27 
19,0, 4, 0,Col,69, 0,172 , 172 , 1.72 
20,0, 4, 0,Row,65, 0,57 , 57 , 0.57 
20,0, 4, 0,Col,65, 15,158 , 3998 , 39.98 
21,0, 4, 0,Row,62, 0,72 , 72 , 0.72 
21,0, 4, 0,Col,62, 15,174 , 4014 , 40.14 
22,0, 4, 0,Row,58, 1,44 , 300 , 3.0 
22,0, 4, 0,Col,58, 0,154 , 154 , 1.54 
23,0, 4, 0,Row,55, 1,163 , 419 , 4.19 
23,0, 4, 0,Col,55, 1,19 , 275 , 2.75 
24,0, 4, 0,Row,179, 9,224 , 2528 , 25.28 
24,0, 4, 0,Col,179, 9,89 , 2393 , 23.93 
25,0, 4, 0,Row,176, 15,244 , 4084 , 40.84 
25,0, 4, 0,Col,176, 15,100 , 3940 , 39.4 
26,0, 4, 0,Row,172, 14,163 , 3747 , 37.47 
26,0, 4, 0,Col,172, 14,18 , 3602 , 36.02 
27,0, 4, 0,Row,169, 11,253 , 3069 , 30.69 
27,0, 4, 0,Col,169, 11,115 , 2931 , 29.31 
28,0, 4, 0,Row,165, 0,214 , 214 , 2.14 
28,0, 4, 0,Col,165, 0,40 , 40 , 0.4 
29,0, 4, 0,Row,161, 0,10 , 10 , 0.1 
29,0, 4, 0,Col,161, 15,123 , 3963 , 39.63 
30,0, 4, 0,Row,30, 8,133 , 2181 , 21.81 
30,0, 4, 0,Col,30, 7,254 , 2046 , 20.46 
31,0, 4, 0,Row,27, 2,4 , 516 , 5.16 
31,0, 4, 0,Col,27, 1,99 , 355 , 3.55 
32,0, 4, 0,Row,23, 14,201 , 3785 , 37.85 
32,0, 4, 0,Col,23, 14,47 , 3631 , 36.31 
33,0, 4, 0,Row,19, 15,100 , 3940 , 39.4 
33,0, 4, 0,Col,19, 14,185 , 3769 , 37.69 
34,0, 4, 0,Row,16, 0,221 , 221 , 2.21 
34,0, 4, 0,Col,16, 0,56 , 56 , 0.56 
35,0, 4, 0,Row,141, 6,252 , 1788 , 17.88 
35,0, 4, 0,Col,141, 6,109 , 1645 , 16.45 
36,0, 4, 0,Row,137, 14,230 , 3814 , 38.14 
36,0, 4, 0,Col,137, 14,74 , 3658 , 36.58 
37,0, 4, 0,Row,133, 14,162 , 3746 , 37.46 
37,0, 4, 0,Col,133, 14,10 , 3594 , 35.94 
38,0, 4, 0,Row,2, 8,224 , 2272 , 22.72 
38,0, 4, 0,Col,2, 8,75 , 2123 , 21.23 
39,0, 4, 0,Row,255, 2,33 , 545 , 5.45 
39,0, 4, 0,Col,255, 1,143 , 399 , 3.99 
40,0, 4, 0,Row,251, 15,113 , 3953 , 39.53 
40,0, 4, 0,Col,251, 14,231 , 3815 , 38.15 
41,0, 4, 0,Row,120, 10,243 , 2803 , 28.03 
41,0, 4, 0,Col,120, 10,115 , 2675 , 26.75 
42,0, 4, 0,Row,116, 0,112 , 112 , 1.12 
42,0, 4, 0,Col,116, 15,232 , 4072 , 40.72 
43,0, 4, 0,Row,113, 14,154 , 3738 , 37.38 
43,0, 4, 0,Col,113, 14,8 , 3592 , 35.92 
44,0, 4, 0,Row,109, 13,250 , 3578 , 35.78 
44,0, 4, 0,Col,109, 13,105 , 3433 , 34.33 
45,0, 4, 0,Row,106, 15,80 , 3920 , 39.2 
45,0, 4, 0,Col,106, 14,176 , 3760 , 37.6 
46,0, 4, 0,Row,102, 15,124 , 3964 , 39.64 
46,0, 4, 0,Col,102, 14,228 , 3812 , 38.12 
47,0, 4, 0,Row,98, 3,67 , 835 , 8.35 
47,0, 4, 0,Col,98, 2,189 , 701 , 7.01 
48,0, 4, 0,Row,223, 7,59 , 1851 , 18.51 
48,0, 4, 0,Col,223, 6,176 , 1712 , 17.12 
49,0, 4, 0,Row,220, 0,17 , 17 , 0.17 
49,0, 4, 0,Col,220, 15,131 , 3971 , 39.71 
50,0, 4, 0,Row,216, 0,162 , 162 , 1.62 
50,0, 4, 0,Col,216, 0,8 , 8 , 0.08 
51,0, 4, 0,Row,212, 0,144 , 144 , 1.44 
51,0, 4, 0,Col,212, 15,232 , 4072 , 40.72 
52,0, 4, 0,Row,209, 3,48 , 816 , 8.16 
52,0, 4, 0,Col,209, 2,158 , 670 , 6.7 
53,0, 4, 0,Row,205, 13,188 , 3516 , 35.16 
53,0, 4, 0,Col,205, 13,40 , 3368 , 33.68 
54,0, 4, 0,Row,74, 9,73 , 2377 , 23.77 
54,0, 4, 0,Col,74, 8,197 , 2245 , 22.45 
55,0, 4, 0,Row,70, 15,145 , 3985 , 39.85 
55,0, 4, 0,Col,70, 15,0 , 3840 , 38.4 
56,0, 4, 0,Row,67, 1,79 , 335 , 3.35 
56,0, 4, 0,Col,67, 0,180 , 180 , 1.8 
57,0, 4, 0,Row,63, 0,230 , 230 , 2.3 
57,0, 4, 0,Col,63, 0,79 , 79 , 0.79 
58,0, 4, 0,Row,60, 1,111 , 367 , 3.67 
58,0, 4, 0,Col,60, 0,217 , 217 , 2.17 
59,0, 4, 0,Row,57, 7,10 , 1802 , 18.02 
59,0, 4, 0,Col,185, 6,123 , 1659 , 16.59 
60,0, 4, 0,Row,181, 14,64 , 3648 , 36.48 
60,0, 4, 0,Col,181, 13,163 , 3491 , 34.91 
61,0, 4, 0,Row,177, 15,105 , 3945 , 39.45 
61,0, 4, 0,Col,177, 14,198 , 3782 , 37.82 
62,0, 4, 0,Row,174, 0,43 , 43 , 0.43 
62,0, 4, 0,Col,174, 15,16 , 3856 , 38.56 
63,0, 4, 0,Row,170, 5,70 , 1350 , 13.5 
63,0, 4, 0,Col,170, 4,155 , 1179 , 11.79 
64,0, 4, 0,Row,39, 6,91 , 1627 , 16.27 
64,0, 4, 0,Col,39, 5,225 , 1505 , 15.05 
65,0, 4, 0,Row,35, 14,0 , 3584 , 35.84 
65,0, 4, 0,Col,35, 13,102 , 3430 , 34.3 
66,0, 4, 0,Row,32, 12,27 , 3099 , 30.99 
66,0, 4, 0,Col,32, 11,132 , 2948 , 29.48 
67,0, 4, 0,Row,28, 15,59 , 3899 , 38.99 
67,0, 4, 0,Col,28, 14,169 , 3753 , 37.53 
68,0, 4, 0,Row,153, 9,156 , 2460 , 24.6 
68,0, 4, 0,Col,153, 9,21 , 2325 , 23.25 
69,0, 4, 0,Row,149, 4,71 , 1095 , 10.95 
69,0, 4, 0,Col,149, 3,161 , 929 , 9.29 
70,0, 4, 0,Row,146, 0,141 , 141 , 1.41 
70,0, 4, 0,Col,146, 15,232 , 4072 , 40.72 
71,0, 4, 0,Row,142, 2,182 , 694 , 6.94 
71,0, 4, 0,Col,142, 2,18 , 530 , 5.3 
72,0, 4, 0,Row,139, 13,46 , 3374 , 33.74 
72,0, 4, 0,Col,139, 12,146 , 3218 , 32.18 
73,0, 4, 0,Row,135, 1,44 , 300 , 3.0 
73,0, 4, 0,Col,135, 0,145 , 145 , 1.45 
74,0, 4, 0,Row,131, 0,74 , 74 , 0.74 
74,0, 4, 0,Col,131, 15,160 , 4000 , 40.0 
75,0, 4, 0,Row,128, 15,254 , 4094 , 40.94 
75,0, 4, 0,Col,128, 15,104 , 3944 , 39.44 
76,0, 4, 0,Row,124, 14,123 , 3707 , 37.07 
76,0, 4, 0,Col,124, 13,230 , 3558 , 35.58 
77,0, 4, 0,Row,249, 7,118 , 1910 , 19.1 
77,0, 4, 0,Col,249, 7,6 , 1798 , 17.98 
78,0, 4, 0,Row,245, 2,104 , 616 , 6.16 
78,0, 4, 0,Col,245, 1,227 , 483 , 4.83 
79,0, 4, 0,Row,242, 0,228 , 228 , 2.28 
79,0, 4, 0,Col,242, 0,70 , 70 , 0.7 
80,0, 4, 0,Row,111, 10,128 , 2688 , 26.88 
80,0, 4, 0,Col,111, 1,210 , 466 , 4.66 
81,0, 4, 0,Row,107, 13,24 , 3352 , 33.52 
81,0, 4, 0,Col,107, 12,123 , 3195 , 31.95 
82,0, 4, 0,Row,103, 1,118 , 374 , 3.74 
82,0, 4, 0,Col,104, 0,218 , 218 , 2.18 
83,0, 4, 0,Row,68, 13,235 , 3563 , 35.63 
83,0, 4, 0,Col,68, 13,84 , 3412 , 34.12 
84,0, 4, 0,Row,225, 5,176 , 1456 , 14.56 
84,0, 4, 0,Col,225, 5,38 , 1318 , 13.18 
85,0, 4, 0,Row,221, 3,153 , 921 , 9.21 
85,0, 4, 0,Col,221, 3,13 , 781 , 7.81 
86,0, 4, 0,Row,218, 0,176 , 176 , 1.76 
86,0, 4, 0,Col,218, 0,16 , 16 , 0.16 
87,0, 4, 0,Row,214, 0,13 , 13 , 0.13 
87,0, 4, 0,Col,214, 15,112 , 3952 , 39.52 
88,0, 4, 0,Row,210, 2,206 , 718 , 7.18 
88,0, 4, 0,Col,210, 2,50 , 562 , 5.62 
89,0, 4, 0,Row,79, 7,137 , 1929 , 19.29 
89,0, 4, 0,Col,79, 7,9 , 1801 , 18.01 
90,0, 4, 0,Row,76, 4,20 , 1044 , 10.44 
90,0, 4, 0,Col,76, 3,123 , 891 , 8.91 
91,0, 4, 0,Row,72, 2,139 , 651 , 6.51 
91,0, 4, 0,Col,72, 1,245 , 501 , 5.01 
92,0, 4, 0,Row,68, 2,224 , 736 , 7.36 
92,0, 4, 0,Col,68, 2,79 , 591 , 5.91 
93,0, 4, 0,Row,65, 1,156 , 412 , 4.12 
93,0, 4, 0,Col,65, 0,246 , 246 , 2.46 
94,0, 4, 0,Row,61, 1,115 , 371 , 3.71 
94,0, [0;31;40m1[0m, 51,Row,4, 0,61 , 61 , 0.61 
94,0, [0;31;40m0[0m, 47,Col,61, 13,61 , 3389 , 33.89 
95,0, 4, 0,Row,58, 0,53 , 53 , 0.53 
95,0, 4, 0,Col,58, 15,164 , 4004 , 40.04 
96,0, 4, 0,Row,182, 9,196 , 2500 , 25.0 
96,0, 4, 0,Col,182, 9,68 , 2372 , 23.72 
96,0, 4, 0,Row,54, 5,191 , 1471 , 14.71 
96,0, 4, 0,Col,54, 5,177 , 1457 , 14.57 
96,0, 4, 0,Col,54, 5,177 , 1457 , 14.57 
97,0, 4, 0,Row,179, 8,191 , 2239 , 22.39 
97,0, 4, 0,Col,179, 8,73 , 2121 , 21.21 
98,0, 4, 0,Row,175, 4,59 , 1083 , 10.83 
98,0, 4, 0,Col,175, 3,157 , 925 , 9.25 
99,0, 4, 0,Row,172, 14,226 , 3810 , 38.1 
99,0, 4, 0,Col,172, 14,58 , 3642 , 36.42 
100,0, 4, 0,Row,40, 1,116 , 372 , 3.72 
100,0, 4, 0,Col,40, 8,240 , 2288 , 22.88 
101,0, 4, 0,Row,37, 3,116 , 884 , 8.84 
101,0, 4, 0,Col,37, 2,228 , 740 , 7.4 
102,0, 4, 0,Row,33, 15,94 , 3934 , 39.34 
102,0, 4, 0,Col,33, 14,208 , 3792 , 37.92 
103,0, 4, 0,Row,30, 15,23 , 3863 , 38.63 
103,0, 4, 0,Col,30, 14,118 , 3702 , 37.02 
104,0, 4, 0,Row,26, 1,163 , 419 , 4.19 
104,0, 4, 0,Col,26, 0,253 , 253 , 2.53 
105,0, 4, 0,Row,22, 0,81 , 81 , 0.81 
105,0, 4, 0,Col,22, 15,216 , 4056 , 40.56 
106,0, 4, 0,Row,147, 11,252 , 3068 , 30.68 
106,0, 4, 0,Col,147, 11,98 , 2914 , 29.14 
107,0, 4, 0,Row,16, 1,28 , 284 , 2.84 
107,0, 4, 0,Col,16, 0,137 , 137 , 1.37 
108,0, 4, 0,Row,140, 14,46 , 3630 , 36.3 
108,0, 4, 0,Col,140, 13,154 , 3482 , 34.82 
109,0, 4, 0,Row,9, 9,3 , 2307 , 23.07 
109,0, 4, 0,Col,9, 8,131 , 2179 , 21.79 
110,0, 4, 0,Row,5, 2,91 , 603 , 6.03 
110,0, 4, 0,Col,5, 1,214 , 470 , 4.7 
111,0, 4, 0,Row,2, 1,190 , 446 , 4.46 
111,0, 4, 0,Col,2, 1,50 , 306 , 3.06 
112,0, 4, 0,Row,254, 0,60 , 60 , 0.6 
112,0, 4, 0,Col,254, 15,148 , 3988 , 39.88 
113,0, 4, 0,Row,123, 10,96 , 2656 , 26.56 
113,0, 4, 0,Col,123, 9,220 , 2524 , 25.24 
114,0, 4, 0,Row,119, 1,244 , 500 , 5.0 
114,0, 4, 0,Col,119, 1,90 , 346 , 3.46 
115,0, 4, 0,Row,116, 13,66 , 3394 , 33.94 
115,0, 4, 0,Col,116, 12,167 , 3239 , 32.39 
116,0, 4, 0,Row,112, 13,210 , 3538 , 35.38 
116,0, 4, 0,Col,112, 13,69 , 3397 , 33.97 
117,0, 4, 0,Row,109, 2,31 , 543 , 5.43 
117,0, 4, 0,Col,109, 1,135 , 391 , 3.91 
118,0, 4, 0,Row,234, 8,101 , 2149 , 21.49 
118,0, 4, 0,Col,234, 7,235 , 2027 , 20.27 
119,0, 4, 0,Row,230, 0,216 , 216 , 2.16 
119,0, 4, 0,Col,230, 0,84 , 84 , 0.84 
120,0, 4, 0,Row,226, 0,9 , 9 , 0.09 
120,0, 4, 0,Col,226, 15,120 , 3960 , 39.6 
121,0, 4, 0,Row,223, 1,46 , 302 , 3.02 
121,0, 4, 0,Col,223, 0,165 , 165 , 1.65 
122,0, 4, 0,Row,219, 0,23 , 23 , 0.23 
122,0, 4, 0,Col,219, 15,144 , 3984 , 39.84 
123,0, 4, 0,Row,88, 8,247 , 2295 , 22.95 
123,0, 4, 0,Col,88, 8,121 , 2169 , 21.69 
124,0, 4, 0,Row,84, 14,248 , 3832 , 38.32 
124,0, 4, 0,Col,84, 14,100 , 3684 , 36.84 
125,0, 4, 0,Row,81, 1,230 , 486 , 4.86 
125,0, 4, 0,Col,81, 1,86 , 342 , 3.42 
126,0, 4, 0,Row,77, 1,221 , 477 , 4.77 
126,0, 4, 0,Col,77, 1,88 , 344 , 3.44 
127,0, 4, 0,Row,74, 0,56 , 56 , 0.56 
127,0, 4, 0,Col,74, 15,156 , 3996 , 39.96 
128,0, 4, 0,Row,198, 9,13 , 2317 , 23.17 
128,0, 4, 0,Col,198, 8,123 , 2171 , 21.71 
129,0, 4, 0,Row,195, 0,132 , 132 , 1.32 
129,0, 4, 0,Col,195, 15,238 , 4078 , 40.78 
130,0, 4, 0,Row,191, 1,26 , 282 , 2.82 
130,0, 4, 0,Col,191, 0,133 , 133 , 1.33 
131,0, 4, 0,Row,188, 0,94 , 94 , 0.94 
131,0, 4, 0,Col,188, 15,206 , 4046 , 40.46 
132,0, 4, 0,Row,56, 5,176 , 1456 , 14.56 
132,0, 4, 0,Col,56, 5,56 , 1336 , 13.36 
133,0, 4, 0,Row,53, 1,171 , 427 , 4.27 
133,0, 4, 0,Col,53, 1,15 , 271 , 2.71 
134,0, 4, 0,Row,49, 0,198 , 198 , 1.98 
134,0, 4, 0,Col,49, 0,35 , 35 , 0.35 
135,0, 4, 0,Row,46, 15,103 , 3943 , 39.43 
135,0, 4, 0,Col,46, 14,222 , 3806 , 38.06 
136,0, 4, 0,Row,171, 10,184 , 2744 , 27.44 
136,0, 4, 0,Col,171, 10,46 , 2606 , 26.06 
137,0, 4, 0,Row,167, 0,110 , 110 , 1.1 
137,0, 4, 0,Col,167, 15,225 , 4065 , 40.65 
138,0, 4, 0,Row,163, 1,21 , 277 , 2.77 
138,0, 4, 0,Col,163, 0,131 , 131 , 1.31 
139,0, 4, 0,Row,32, 8,103 , 2151 , 21.51 
139,0, 4, 0,Col,32, 7,224 , 2016 , 20.16 
140,0, 4, 0,Row,29, 1,159 , 415 , 4.15 
140,0, 4, 0,Col,29, 0,250 , 250 , 2.5 
141,0, 4, 0,Row,25, 13,38 , 3366 , 33.66 
141,0, 4, 0,Col,25, 12,158 , 3230 , 32.3 
142,0, 4, 0,Row,150, 9,34 , 2338 , 23.38 
142,0, 4, 0,Col,150, 8,149 , 2197 , 21.97 
143,0, 4, 0,Row,146, 1,15 , 271 , 2.71 
143,0, 4, 0,Col,146, 0,140 , 140 , 1.4 
144,0, 4, 0,Row,143, 14,197 , 3781 , 37.81 
144,0, 4, 0,Col,143, 14,52 , 3636 , 36.36 
145,0, 4, 0,Row,139, 12,193 , 3265 , 32.65 
145,0, 4, 0,Col,139, 12,41 , 3113 , 31.13 
146,0, 4, 0,Row,8, 8,48 , 2096 , 20.96 
146,0, 4, 0,Col,8, 7,176 , 1968 , 19.68 
147,0, 4, 0,Row,4, 0,12 , 12 , 0.12 
147,0, 4, 0,Col,4, 15,123 , 3963 , 39.63 
148,0, 4, 0,Row,129, 7,148 , 1940 , 19.4 
148,0, 4, 0,Col,129, 7,13 , 1805 , 18.05 
149,0, 4, 0,Row,125, 1,79 , 335 , 3.35 
149,0, 4, 0,Col,125, 0,195 , 195 , 1.95 
150,0, 4, 0,Row,122, 14,240 , 3824 , 38.24 
150,0, 4, 0,Col,122, 14,96 , 3680 , 36.8 
151,0, 4, 0,Row,118, 13,210 , 3538 , 35.38 
151,0, 4, 0,Col,118, 13,58 , 3386 , 33.86 
152,0, 4, 0,Row,115, 2,59 , 571 , 5.71 
152,0, 4, 0,Col,115, 1,125 , 381 , 3.81 
153,0, 4, 0,Row,240, 9,32 , 2336 , 23.36 
153,0, 4, 0,Col,240, 8,156 , 2204 , 22.04 
154,0, 4, 0,Row,236, 1,207 , 463 , 4.63 
154,0, 4, 0,Col,236, 1,33 , 289 , 2.89 
155,0, 4, 0,Row,232, 0,8 , 8 , 0.08 
155,0, 4, 0,Col,232, 15,125 , 3965 , 39.65 
156,0, 4, 0,Row,229, 14,85 , 3669 , 36.69 
156,0, 4, 0,Col,229, 13,204 , 3532 , 35.32 
157,0, 4, 0,Row,98, 5,99 , 1379 , 13.79 
157,0, 4, 0,Col,98, 4,241 , 1265 , 12.65 
158,0, 4, 0,Row,94, 2,189 , 701 , 7.01 
158,0, 4, 0,Col,94, 2,23 , 535 , 5.35 
159,0, 4, 0,Row,90, 1,26 , 282 , 2.82 
159,0, 4, 0,Col,90, 0,132 , 132 , 1.32 
160,0, 4, 0,Row,87, 0,242 , 242 , 2.42 
160,0, 4, 0,Col,87, 0,102 , 102 , 1.02 
161,0, 4, 0,Row,212, 7,22 , 1814 , 18.14 
161,0, 4, 0,Col,212, 6,133 , 1669 , 16.69 
162,0, 4, 0,Row,208, 0,51 , 51 , 0.51 
162,0, 4, 0,Col,208, 15,153 , 3993 , 39.93 
163,0, 4, 0,Row,204, 15,128 , 3968 , 39.68 
163,0, 4, 0,Col,204, 14,225 , 3809 , 38.09 
164,0, 4, 0,Row,201, 1,159 , 415 , 4.15 
164,0, 4, 0,Col,201, 0,254 , 254 , 2.54 
165,0, 4, 0,Row,197, 13,247 , 3575 , 35.75 
165,0, 4, 0,Col,197, 13,65 , 3393 , 33.93 
166,0, 4, 0,Row,66, 6,220 , 1756 , 17.56 
166,0, 4, 0,Col,66, 6,93 , 1629 , 16.29 
167,0, 4, 0,Row,63, 15,108 , 3948 , 39.48 
167,0, 4, 0,Col,63, 14,218 , 3802 , 38.02 
168,0, 4, 0,Row,59, 0,34 , 34 , 0.34 
168,0, 4, 0,Col,59, 15,135 , 3975 , 39.75 
169,0, 4, 0,Row,184, 10,3 , 2563 , 25.63 
