NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,4, 10,153 , 2713 , 27.13 
0,0, 4, 0,Col,4, 0,218 , 218 , 2.18 
0,0, 4, 0,Row,231, 13,61 , 3389 , 33.89 
0,0, 4, 0,Row,231, 13,1 , 3329 , 33.29 
0,0, [0;31;40m1[0m, 3,Col,4, 0,45 , 45 , 0.45 
0,[0;31;40m1[0m, [0;31;40m6[0m, 37,Col,4, 0,45 , 45 , 0.45 
0,[0;31;40m1[0m, 4, 1,Row,61, 13,61 , 3389 , 33.89 
1,0, 4, 0,Row,170, 8,90 , 2138 , 21.38 
1,0, 4, 0,Col,170, 7,227 , 2019 , 20.19 
2,0, 4, 0,Row,167, 12,58 , 3130 , 31.3 
2,0, 4, 0,Col,167, 11,214 , 3030 , 30.3 
3,0, 4, 0,Row,165, 4,2 , 1026 , 10.26 
3,0, 4, 0,Col,165, 3,161 , 929 , 9.29 
4,0, 4, 0,Row,162, 12,28 , 3100 , 31.0 
4,0, 4, 0,Col,162, 11,175 , 2991 , 29.91 
5,0, 4, 0,Row,159, 3,238 , 1006 , 10.06 
5,0, 4, 0,Col,159, 3,139 , 907 , 9.07 
6,0, 4, 0,Row,156, 12,245 , 3317 , 33.17 
6,0, 4, 0,Col,156, 12,147 , 3219 , 32.19 
7,0, 4, 0,Row,154, 9,188 , 2492 , 24.92 
7,0, 4, 0,Col,154, 9,86 , 2390 , 23.9 
8,0, 4, 0,Row,23, 8,196 , 2244 , 22.44 
8,0, 4, 0,Col,23, 8,82 , 2130 , 21.3 
9,0, 4, 0,Row,20, 13,189 , 3517 , 35.17 
9,0, 4, 0,Col,20, 13,89 , 3417 , 34.17 
10,0, 4, 0,Row,17, 12,140 , 3212 , 32.12 
10,0, 4, 0,Col,17, 12,38 , 3110 , 31.1 
11,0, 4, 0,Row,14, 11,201 , 3017 , 30.17 
11,0, 4, 0,Col,14, 11,93 , 2909 , 29.09 
12,0, 4, 0,Row,12, 0,248 , 248 , 2.48 
12,0, 4, 0,Col,12, 0,149 , 149 , 1.49 
13,0, 4, 0,Row,9, 1,72 , 328 , 3.28 
13,0, 4, 0,Col,9, 0,226 , 226 , 2.26 
14,0, 4, 0,Row,6, 9,213 , 2517 , 25.17 
14,0, 4, 0,Col,6, 9,115 , 2419 , 24.19 
15,0, 4, 0,Row,4, 6,143 , 1679 , 16.79 
15,0, 4, 0,Col,4, 6,43 , 1579 , 15.79 
16,0, 4, 0,Row,1, 9,229 , 2533 , 25.33 
16,0, 4, 0,Col,1, 9,127 , 2431 , 24.31 
17,0, 4, 0,Row,254, 15,174 , 4014 , 40.14 
17,0, 4, 0,Col,254, 15,71 , 3911 , 39.11 
18,0, 4, 0,Row,252, 8,2 , 2050 , 20.5 
18,0, 4, 0,Col,252, 7,160 , 1952 , 19.52 
19,0, 4, 0,Row,249, 1,226 , 482 , 4.82 
19,0, 4, 0,Col,249, 1,127 , 383 , 3.83 
20,0, 4, 0,Row,246, 1,142 , 398 , 3.98 
20,0, 4, 0,Col,246, 1,43 , 299 , 2.99 
21,0, 4, 0,Row,243, 0,95 , 95 , 0.95 
21,0, 4, 0,Col,243, 15,244 , 4084 , 40.84 
22,0, 4, 0,Row,241, 5,208 , 1488 , 14.88 
22,0, 4, 0,Col,241, 5,107 , 1387 , 13.87 
23,0, 4, 0,Row,238, 0,5 , 5 , 0.05 
