NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us)
0,0, 4, 0,Row,111, 7,192 , 1984 , 19.84 
0,0, 4, 0,Col,111, 1,255 , 511 , 5.11 
0,0, 4, 0,Row,166, 15,82 , 3922 , 39.22 
0,0, 4, 0,Row,41, 11,152 , 2968 , 29.68 
0,0, 4, 0,Col,41, 8,39 , 2087 , 20.87 
1,0, 4, 0,Row,166, 7,231 , 2023 , 20.23 
1,0, 4, 0,Col,165, 7,119 , 1911 , 19.11 
2,0, 4, 0,Row,163, 13,91 , 3419 , 34.19 
2,0, 4, 0,Col,163, 12,242 , 3314 , 33.14 
3,0, 4, 0,Row,160, 3,255 , 1023 , 10.23 
3,0, 4, 0,Col,160, 3,154 , 922 , 9.22 
4,0, 4, 0,Row,157, 14,57 , 3641 , 36.41 
4,0, 4, 0,Col,157, 13,195 , 3523 , 35.23 
5,0, 4, 0,Row,155, 2,140 , 652 , 6.52 
5,0, 4, 0,Col,155, 2,41 , 553 , 5.53 
6,0, 4, 0,Row,152, 8,185 , 2233 , 22.33 
6,0, 4, 0,Col,152, 8,81 , 2129 , 21.29 
7,0, 4, 0,Row,149, 1,64 , 320 , 3.2 
7,0, 4, 0,Col,149, 0,215 , 215 , 2.15 
8,0, 4, 0,Row,147, 1,114 , 370 , 3.7 
8,0, 4, 0,Col,147, 1,13 , 269 , 2.69 
9,0, 4, 0,Row,144, 10,213 , 2773 , 27.73 
9,0, 4, 0,Col,144, 10,105 , 2665 , 26.65 
10,0, 4, 0,Row,141, 14,169 , 3753 , 37.53 
10,0, 4, 0,Col,141, 14,71 , 3655 , 36.55 
11,0, 4, 0,Row,139, 6,226 , 1762 , 17.62 
11,0, 4, 0,Col,138, 6,127 , 1663 , 16.63 
12,0, 4, 0,Row,136, 4,189 , 1213 , 12.13 
12,0, 4, 0,Col,136, 4,88 , 1112 , 11.12 
13,0, 4, 0,Row,133, 2,96 , 608 , 6.08 
13,0, 4, 0,Col,133, 1,253 , 509 , 5.09 
14,0, 4, 0,Row,130, 1,192 , 448 , 4.48 
14,0, 4, 0,Col,130, 1,92 , 348 , 3.48 
15,0, 4, 0,Row,128, 13,162 , 3490 , 34.9 
15,0, 4, 0,Col,128, 13,60 , 3388 , 33.88 
16,0, 4, 0,Row,125, 0,162 , 162 , 1.62 
16,0, 4, 0,Col,125, 0,65 , 65 , 0.65 
17,0, 4, 0,Row,122, 14,40 , 3624 , 36.24 
17,0, 4, 0,Col,122, 13,193 , 3521 , 35.21 
18,0, 4, 0,Row,120, 5,47 , 1327 , 13.27 
18,0, 4, 0,Col,120, 4,197 , 1221 , 12.21 
19,0, 4, 0,Row,117, 13,212 , 3540 , 35.4 
19,0, 4, 0,Col,117, 13,109 , 3437 , 34.37 
20,0, 4, 0,Row,114, 2,0 , 512 , 5.12 
20,0, 4, 0,Col,114, 1,151 , 407 , 4.07 
21,0, 4, 0,Row,112, 4,35 , 1059 , 10.59 
21,0, 4, 0,Col,111, 3,192 , 960 , 9.6 
22,0, 4, 0,Row,109, 11,127 , 2943 , 29.43 
22,0, 4, 0,Col,109, 11,26 , 2842 , 28.42 
23,0, 4, 0,Row,106, 0,145 , 145 , 1.45 
23,0, 4, 0,Col,106, 0,40 , 40 , 0.4 
24,0, 4, 0,Row,231, 2,93 , 605 , 6.05 
24,0, 4, 0,Col,231, 1,227 , 483 , 4.83 
25,0, 4, 0,Row,228, 7,5 , 1797 , 17.97 
