,deltaT,digital_i,analog_i,digital_time,analog_time,digital_ToT,analog_ToT
0,0.0009999275207519531,0,1,1666205881.9677153,1666205881.9667153,12.63,13.23
1,0.021204710006713867,2,4,1666205893.0784006,1666205893.0996053,10.02,10.64
2,0.01561594009399414,3,5,1666205895.845183,1666205895.8607988,5.58,6.17
3,0.0004432201385498047,4,6,1666205900.9508038,1666205900.9503605,2.38,3.13
4,0.04212784767150879,5,8,1666205902.351508,1666205902.30938,9.35,9.93
5,7.939338684082031e-05,6,9,1666205927.8487835,1666205927.848863,7.56,8.0
6,0.03802633285522461,8,10,1666205929.2240665,1666205929.1860402,7.38,7.91
7,0.004000425338745117,9,11,1666205942.1958487,1666205942.1998491,7.46,8.1
8,0.00010132789611816406,10,12,1666205943.063475,1666205943.0635762,4.92,5.54
9,0.0009641647338867188,11,13,1666205970.77063,1666205970.7696657,6.64,7.44
10,0.022185325622558594,12,16,1666205985.520492,1666205985.5426774,9.09,9.79
11,0.05176067352294922,13,18,1666206012.18249,1666206012.1307294,7.02,7.69
12,0.0029528141021728516,14,19,1666206015.9093788,1666206015.906426,14.16,14.66
13,0.04573678970336914,15,20,1666206016.480819,1666206016.4350822,6.74,7.24
14,0.0070302486419677734,16,21,1666206020.6953983,1666206020.688368,7.16,7.75
15,0.035546302795410156,17,22,1666206025.070278,1666206025.0347316,1.97,6.77
16,0.041298627853393555,18,25,1666206043.425764,1666206043.3844655,7.64,8.15
17,0.0031287670135498047,19,26,1666206043.9101388,1666206043.90701,9.82,10.46
18,0.009940385818481445,20,27,1666206044.194635,1666206044.1846945,20.31,20.82
19,0.003503084182739258,21,29,1666206051.7316282,1666206051.728125,12.2,12.81
20,0.04872250556945801,23,31,1666206054.495434,1666206054.4467115,6.8,7.38
21,0.01296544075012207,24,32,1666206055.5218062,1666206055.5347717,5.87,6.43
22,0.04058241844177246,25,33,1666206059.313419,1666206059.2728367,6.32,6.96
23,0.007771730422973633,26,35,1666206073.8481958,1666206073.8559675,14.58,7.46
24,0.04816293716430664,27,36,1666206081.3251662,1666206081.2770033,6.8,7.42
25,0.051888227462768555,28,37,1666206087.6529076,1666206087.6010194,7.42,8.05
26,0.0018112659454345703,29,40,1666206105.9661062,1666206105.964295,4.21,5.1
27,0.017256736755371094,30,41,1666206106.6306903,1666206106.647947,7.32,7.85
28,0.05545496940612793,31,42,1666206106.9812312,1666206106.9257762,6.36,6.85
29,0.002994537353515625,32,43,1666206110.331727,1666206110.3287325,7.3,7.82
30,0.045960187911987305,33,44,1666206114.2200997,1666206114.1741395,5.4,6.15
31,0.03803753852844238,34,46,1666206119.3247435,1666206119.286706,7.48,8.01
32,0.008826255798339844,35,47,1666206131.6155715,1666206131.6243978,6.57,7.16
33,0.04734468460083008,36,48,1666206132.2653694,1666206132.2180247,7.47,8.0
34,0.04993104934692383,37,49,1666206133.814258,1666206133.764327,8.54,9.08
35,0.011953592300415039,38,51,1666206137.4880023,1666206137.499956,6.1,6.7
36,0.010460376739501953,39,52,1666206140.3093195,1666206140.3197799,7.72,8.34
37,0.011365890502929688,40,53,1666206142.991047,1666206143.0024128,7.36,7.91
38,0.0459744930267334,41,55,1666206158.088613,1666206158.0426385,8.18,8.73
39,0.0021812915802001953,42,58,1666206172.3367145,1666206172.3388958,2.5,3.03
40,0.009248733520507812,43,59,1666206173.304088,1666206173.3133368,2.04,3.02
41,0.0032377243041992188,44,61,1666206187.0014343,1666206187.004672,6.54,7.07
42,0.04550957679748535,45,62,1666206191.8179204,1666206191.7724109,3.94,25.0
43,0.04176187515258789,46,63,1666206209.307521,1666206209.2657592,5.71,6.3
44,0.0029973983764648438,47,64,1666206215.3077831,1666206215.3107805,6.51,7.11
45,0.0009918212890625,48,66,1666206220.8854578,1666206220.884466,8.06,8.63
46,0.003094911575317383,49,67,1666206223.298854,1666206223.301949,6.84,7.58
47,0.010281801223754883,50,70,1666206236.3249676,1666206236.3352494,5.62,6.17
48,0.0049571990966796875,51,71,1666206240.8359752,1666206240.831018,6.11,6.6
49,0.008115768432617188,52,72,1666206244.524647,1666206244.5327628,7.24,7.76
50,0.0010039806365966797,53,73,1666206246.6692133,1666206246.6682093,7.6,8.11
51,0.0020303726196289062,54,74,1666206248.4335368,1666206248.4315064,4.67,5.35
52,0.019356727600097656,55,77,1666206262.9908702,1666206263.010227,11.19,11.72
53,0.008485794067382812,56,79,1666206265.8599403,1666206265.868426,6.68,7.37
54,0.0057184696197509766,57,80,1666206266.7458074,1666206266.7515259,6.71,7.3
55,2.384185791015625e-07,58,83,1666206271.356773,1666206271.3567727,5.86,6.54
56,0.030806303024291992,59,84,1666206277.1725428,1666206277.1417365,7.64,8.27
57,0.0418858528137207,60,87,1666206283.897052,1666206283.8551662,6.38,6.93
58,0.021026611328125,61,88,1666206291.5320003,1666206291.553027,7.17,7.69
59,0.0012111663818359375,62,89,1666206297.3950086,1666206297.3937974,6.66,7.2
60,0.038268089294433594,63,90,1666206304.35569,1666206304.317422,6.64,7.24
61,0.013947486877441406,64,91,1666206305.5952966,1666206305.609244,3.99,4.7
62,0.03937840461730957,65,95,1666206318.2546396,1666206318.2152612,7.85,8.45
63,0.045455217361450195,66,99,1666206352.300452,1666206352.2549968,6.12,6.63
64,0.0015561580657958984,67,101,1666206356.846866,1666206356.8453097,6.51,7.18
65,0.038793087005615234,68,105,1666206373.207636,1666206373.168843,7.06,7.52
66,0.0,69,106,1666206375.5556364,1666206375.5556364,7.19,7.78
67,0.02003335952758789,70,107,1666206376.1866884,1666206376.2067218,3.97,4.58
68,0.002996683120727539,71,108,1666206379.5304658,1666206379.5274692,7.18,7.85
69,0.04938459396362305,72,109,1666206387.4439058,1666206387.3945212,6.92,7.4
70,0.0047075748443603516,73,110,1666206392.0837452,1666206392.0790377,4.44,5.08
71,0.0030028820037841797,74,111,1666206393.189016,1666206393.192019,6.41,7.06
72,0.034845590591430664,75,112,1666206396.3294256,1666206396.29458,8.57,9.21
73,0.03897833824157715,76,115,1666206410.4689703,1666206410.429992,14.48,15.03
74,0.0,77,116,1666206418.1140406,1666206418.1140406,7.82,8.28
75,0.05031943321228027,78,117,1666206421.6612782,1666206421.6109588,3.18,4.27
76,0.003715991973876953,79,119,1666206430.6496642,1666206430.6459482,4.07,25.14
77,0.005077838897705078,81,121,1666206434.1223218,1666206434.1273997,6.0,6.46
78,0.006596088409423828,82,123,1666206442.474856,1666206442.481452,7.83,8.29
79,0.05048322677612305,83,124,1666206449.9691713,1666206449.918688,6.39,6.95
80,0.004006147384643555,84,125,1666206452.3633268,1666206452.3593206,3.46,4.03
81,0.04535365104675293,85,126,1666206453.9311936,1666206453.88584,6.34,6.9
82,0.004227876663208008,86,127,1666206457.7968411,1666206457.7926133,6.24,6.75
83,0.04583907127380371,87,128,1666206461.942192,1666206461.896353,7.4,7.88
84,0.03891348838806152,88,129,1666206465.6908586,1666206465.651945,5.04,5.55
85,0.04787039756774902,89,130,1666206469.3606482,1666206469.3127778,7.32,7.87
86,0.03593897819519043,90,133,1666206485.3938954,1666206485.3579564,13.3,13.98
87,0.006073713302612305,91,134,1666206491.548952,1666206491.5550258,4.32,4.97
88,0.01987433433532715,92,136,1666206499.8957348,1666206499.9156091,6.99,7.58
89,0.019755840301513672,93,138,1666206510.4743984,1666206510.4941542,6.42,7.05
90,0.04765486717224121,94,139,1666206510.9843566,1666206510.9367018,6.54,7.18
91,0.046675920486450195,95,141,1666206521.060207,1666206521.013531,3.6,4.35
92,0.04333806037902832,96,142,1666206523.5292804,1666206523.4859424,6.87,7.51
93,0.01879596710205078,97,144,1666206528.73466,1666206528.7534559,6.7,7.2
94,0.05040383338928223,98,145,1666206529.0626678,1666206529.012264,6.38,7.05
95,0.015501737594604492,99,146,1666206533.7199788,1666206533.7354805,5.49,6.01
96,0.04703688621520996,100,147,1666206534.234285,1666206534.1872482,15.37,15.93
97,0.0019953250885009766,101,149,1666206537.0678835,1666206537.0698788,17.82,18.31
98,0.05287027359008789,102,151,1666206548.434437,1666206548.3815668,7.56,8.12
99,0.009230375289916992,103,152,1666206551.3564649,1666206551.3656952,0.62,2.04
100,0.03767991065979004,105,153,1666206551.7612605,1666206551.7235806,7.74,8.25
101,0.026749134063720703,106,154,1666206573.2150042,1666206573.188255,6.56,7.14
102,0.021570920944213867,107,155,1666206577.4565752,1666206577.4350042,6.42,7.02
