,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
0,6.0,47.0,7.0,16.0,16.0,32.0,43.0,111.0,33.0,10.0,19.0,9.0,11.0,18.0,4.0,40.0,12.0,13.0,21.0,26.0,9.0,17.0,13.0,41.0,23.0,16.0,17.0,15.0,8.0,14.0,5.0,13.0,7.0,10.0,8.0
1,131.0,104.0,65.0,53.0,16.0,50.0,59.0,96.0,53.0,50.0,41.0,43.0,114.0,19.0,126.0,47.0,56.0,58.0,96.0,59.0,153.0,45.0,147.0,67.0,70.0,49.0,102.0,88.0,121.0,43.0,17.0,133.0,64.0,78.0,65.0
2,74.0,126.0,16.0,84.0,25.0,32.0,85.0,27.0,167.0,89.0,43.0,67.0,16.0,15.0,85.0,113.0,88.0,158.0,154.0,114.0,54.0,123.0,60.0,75.0,16.0,35.0,96.0,156.0,88.0,103.0,79.0,143.0,77.0,73.0,26.0
3,11.0,61.0,51.0,74.0,24.0,49.0,45.0,40.0,124.0,128.0,124.0,16.0,34.0,105.0,36.0,20.0,88.0,117.0,90.0,40.0,113.0,31.0,32.0,24.0,81.0,17.0,31.0,52.0,24.0,111.0,30.0,108.0,75.0,102.0,21.0
4,11.0,110.0,20.0,35.0,34.0,116.0,123.0,127.0,35.0,30.0,122.0,39.0,74.0,119.0,100.0,36.0,59.0,88.0,29.0,127.0,243.0,161.0,10.0,103.0,58.0,115.0,101.0,109.0,105.0,40.0,118.0,160.0,22.0,24.0,55.0
5,103.0,101.0,124.0,104.0,99.0,76.0,16.0,65.0,208.0,68.0,81.0,18.0,47.0,65.0,105.0,28.0,36.0,70.0,116.0,105.0,39.0,45.0,22.0,98.0,23.0,7.0,98.0,24.0,52.0,120.0,89.0,60.0,112.0,89.0,12.0
6,13.0,23.0,96.0,87.0,99.0,23.0,22.0,115.0,87.0,62.0,81.0,141.0,33.0,70.0,71.0,124.0,113.0,68.0,69.0,39.0,91.0,96.0,41.0,178.0,120.0,16.0,37.0,13.0,21.0,155.0,47.0,97.0,97.0,138.0,112.0
7,62.0,32.0,140.0,91.0,149.0,19.0,58.0,51.0,125.0,144.0,60.0,33.0,91.0,75.0,172.0,150.0,15.0,37.0,135.0,103.0,175.0,179.0,119.0,106.0,87.0,129.0,718.0,136.0,99.0,98.0,59.0,30.0,65.0,48.0,51.0
8,61.0,16.0,147.0,46.0,30.0,166.0,114.0,24.0,27.0,140.0,18.0,63.0,34.0,39.0,180.0,63.0,170.0,43.0,74.0,60.0,123.0,64.0,142.0,92.0,76.0,143.0,119.0,31.0,160.0,82.0,99.0,79.0,41.0,97.0,68.0
9,7.0,115.0,157.0,96.0,149.0,61.0,101.0,86.0,84.0,128.0,89.0,155.0,82.0,104.0,34.0,171.0,113.0,100.0,94.0,26.0,117.0,92.0,95.0,117.0,97.0,123.0,126.0,92.0,86.0,113.0,87.0,95.0,129.0,151.0,43.0
10,100.0,103.0,61.0,125.0,97.0,12.0,54.0,73.0,155.0,110.0,73.0,66.0,42.0,68.0,125.0,131.0,61.0,81.0,90.0,59.0,180.0,23.0,123.0,99.0,7.0,111.0,180.0,85.0,69.0,81.0,84.0,119.0,8.0,29.0,82.0
11,26.0,11.0,58.0,83.0,47.0,84.0,24.0,17.0,59.0,103.0,78.0,87.0,26.0,106.0,28.0,50.0,115.0,35.0,127.0,51.0,79.0,110.0,160.0,64.0,93.0,107.0,64.0,12.0,88.0,64.0,81.0,110.0,13.0,50.0,72.0
12,50.0,62.0,162.0,49.0,137.0,81.0,11.0,88.0,60.0,71.0,137.0,127.0,91.0,127.0,186.0,40.0,96.0,117.0,28.0,101.0,49.0,62.0,201.0,101.0,66.0,22.0,61.0,41.0,143.0,84.0,96.0,69.0,36.0,59.0,32.0
13,46.0,18.0,38.0,6.0,57.0,89.0,39.0,110.0,12.0,97.0,77.0,17.0,78.0,134.0,175.0,67.0,57.0,64.0,81.0,54.0,69.0,96.0,92.0,48.0,127.0,61.0,39.0,106.0,163.0,149.0,46.0,87.0,40.0,74.0,135.0
14,90.0,33.0,39.0,15.0,41.0,68.0,94.0,81.0,47.0,94.0,57.0,139.0,43.0,106.0,70.0,118.0,106.0,111.0,220.0,156.0,80.0,106.0,89.0,108.0,25.0,141.0,119.0,82.0,117.0,37.0,63.0,163.0,74.0,50.0,53.0
15,118.0,17.0,138.0,24.0,107.0,16.0,97.0,96.0,87.0,44.0,42.0,35.0,23.0,103.0,52.0,141.0,378.0,97.0,72.0,32.0,79.0,105.0,42.0,64.0,75.0,91.0,122.0,184.0,108.0,89.0,86.0,63.0,82.0,81.0,160.0
16,73.0,61.0,111.0,53.0,25.0,102.0,147.0,114.0,125.0,68.0,189.0,109.0,29.0,119.0,50.0,56.0,138.0,110.0,66.0,98.0,165.0,125.0,82.0,381.0,96.0,87.0,59.0,74.0,39.0,38.0,66.0,122.0,71.0,105.0,89.0
17,96.0,89.0,137.0,66.0,179.0,81.0,29.0,96.0,46.0,171.0,97.0,133.0,78.0,158.0,102.0,123.0,106.0,134.0,93.0,138.0,115.0,48.0,98.0,55.0,55.0,47.0,69.0,97.0,114.0,15.0,73.0,68.0,19.0,27.0,87.0
18,33.0,81.0,128.0,118.0,34.0,69.0,134.0,73.0,44.0,103.0,98.0,87.0,24.0,102.0,80.0,159.0,110.0,112.0,87.0,123.0,53.0,30.0,114.0,28.0,51.0,16.0,21.0,51.0,13.0,77.0,145.0,23.0,93.0,86.0,30.0
19,21.0,32.0,30.0,74.0,19.0,35.0,131.0,141.0,130.0,155.0,76.0,59.0,77.0,96.0,85.0,55.0,87.0,50.0,45.0,118.0,70.0,151.0,57.0,74.0,91.0,137.0,133.0,132.0,17.0,159.0,123.0,19.0,164.0,123.0,93.0
20,33.0,83.0,16.0,131.0,82.0,130.0,76.0,58.0,45.0,121.0,67.0,48.0,144.0,117.0,34.0,79.0,54.0,82.0,126.0,58.0,179.0,52.0,32.0,79.0,93.0,47.0,122.0,44.0,33.0,91.0,148.0,102.0,118.0,15.0,34.0
21,57.0,45.0,96.0,42.0,126.0,86.0,27.0,141.0,107.0,482.0,172.0,124.0,59.0,94.0,120.0,121.0,111.0,134.0,60.0,115.0,44.0,46.0,83.0,190.0,124.0,70.0,90.0,98.0,26.0,34.0,54.0,108.0,73.0,16.0,175.0
22,81.0,21.0,20.0,60.0,104.0,99.0,105.0,198.0,23.0,131.0,93.0,77.0,17.0,19.0,87.0,57.0,115.0,33.0,28.0,43.0,38.0,100.0,65.0,159.0,24.0,104.0,83.0,147.0,74.0,13.0,50.0,83.0,146.0,38.0,29.0
23,52.0,140.0,112.0,199.0,116.0,21.0,116.0,86.0,80.0,93.0,54.0,15.0,90.0,32.0,110.0,15.0,114.0,24.0,199.0,87.0,122.0,34.0,57.0,61.0,208.0,20.0,83.0,108.0,33.0,91.0,98.0,85.0,124.0,58.0,23.0
24,12.0,110.0,21.0,314.0,91.0,182.0,57.0,14.0,63.0,14.0,21.0,83.0,92.0,155.0,99.0,52.0,22.0,33.0,32.0,75.0,138.0,125.0,83.0,84.0,134.0,93.0,25.0,116.0,39.0,28.0,74.0,88.0,119.0,54.0,160.0
25,105.0,95.0,33.0,123.0,28.0,96.0,56.0,90.0,137.0,75.0,87.0,83.0,59.0,60.0,17.0,63.0,185.0,159.0,130.0,92.0,69.0,134.0,75.0,88.0,118.0,65.0,246.0,194.0,153.0,45.0,136.0,58.0,73.0,110.0,82.0
26,75.0,23.0,55.0,51.0,91.0,93.0,124.0,105.0,122.0,90.0,22.0,129.0,151.0,53.0,25.0,113.0,35.0,137.0,72.0,61.0,89.0,124.0,107.0,47.0,126.0,174.0,96.0,88.0,23.0,67.0,48.0,121.0,119.0,72.0,26.0
27,89.0,48.0,50.0,16.0,119.0,99.0,78.0,91.0,44.0,99.0,107.0,112.0,26.0,70.0,134.0,150.0,74.0,61.0,110.0,62.0,144.0,72.0,75.0,56.0,14.0,69.0,92.0,15.0,44.0,77.0,16.0,85.0,117.0,69.0,20.0
28,79.0,219.0,31.0,140.0,66.0,30.0,53.0,117.0,111.0,81.0,64.0,61.0,68.0,136.0,1.0,19.0,108.0,37.0,61.0,155.0,32.0,142.0,5.0,81.0,128.0,102.0,72.0,64.0,121.0,82.0,115.0,66.0,123.0,23.0,103.0
29,31.0,34.0,38.0,125.0,147.0,80.0,45.0,67.0,128.0,133.0,133.0,12.0,56.0,162.0,105.0,160.0,139.0,109.0,24.0,43.0,126.0,27.0,56.0,134.0,47.0,71.0,144.0,34.0,51.0,35.0,143.0,51.0,28.0,88.0,64.0
30,131.0,85.0,114.0,84.0,62.0,162.0,49.0,98.0,133.0,139.0,28.0,124.0,92.0,118.0,34.0,123.0,67.0,32.0,91.0,70.0,108.0,60.0,77.0,71.0,88.0,68.0,117.0,85.0,58.0,105.0,158.0,78.0,108.0,16.0,82.0
31,62.0,85.0,22.0,42.0,36.0,91.0,64.0,64.0,158.0,146.0,218.0,76.0,94.0,79.0,9.0,91.0,68.0,153.0,84.0,111.0,99.0,65.0,131.0,37.0,96.0,134.0,10.0,67.0,35.0,161.0,69.0,92.0,44.0,21.0,52.0
32,73.0,95.0,43.0,43.0,64.0,35.0,119.0,30.0,121.0,79.0,109.0,34.0,43.0,89.0,82.0,37.0,99.0,84.0,11.0,47.0,74.0,72.0,85.0,89.0,112.0,26.0,89.0,88.0,125.0,108.0,99.0,99.0,60.0,48.0,78.0
33,24.0,57.0,130.0,71.0,118.0,51.0,47.0,13.0,86.0,66.0,23.0,19.0,43.0,108.0,95.0,96.0,119.0,113.0,74.0,52.0,105.0,117.0,70.0,57.0,23.0,104.0,67.0,24.0,120.0,26.0,92.0,12.0,122.0,152.0,62.0
34,33.0,30.0,104.0,47.0,156.0,20.0,15.0,92.0,63.0,160.0,42.0,83.0,98.0,18.0,101.0,44.0,90.0,54.0,37.0,81.0,78.0,63.0,27.0,65.0,142.0,85.0,82.0,22.0,33.0,149.0,80.0,64.0,105.0,52.0,69.0
