,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
0,37.0,21.0,15.0,17.0,18.0,31.0,22.0,25.0,27.0,89.0,38.0,45.0,35.0,19.0,28.0,46.0,30.0,89.0,23.0,42.0,33.0,33.0,18.0,23.0,19.0,39.0,40.0,51.0,12.0,25.0,116.0,26.0,68.0,13.0,53.0
1,178.0,165.0,97.0,123.0,61.0,164.0,116.0,87.0,256.0,186.0,310.0,192.0,29.0,130.0,174.0,294.0,93.0,101.0,39.0,213.0,64.0,118.0,40.0,272.0,126.0,41.0,160.0,63.0,126.0,162.0,101.0,280.0,117.0,87.0,199.0
2,176.0,175.0,33.0,115.0,201.0,51.0,52.0,56.0,40.0,45.0,113.0,244.0,79.0,31.0,218.0,207.0,100.0,111.0,140.0,42.0,361.0,26.0,156.0,236.0,89.0,66.0,378.0,73.0,105.0,77.0,136.0,92.0,235.0,91.0,271.0
3,81.0,186.0,191.0,204.0,84.0,70.0,40.0,52.0,213.0,44.0,150.0,259.0,118.0,210.0,117.0,147.0,99.0,226.0,76.0,231.0,89.0,114.0,181.0,122.0,81.0,80.0,341.0,157.0,121.0,283.0,81.0,183.0,130.0,185.0,45.0
4,71.0,180.0,266.0,156.0,201.0,224.0,142.0,146.0,167.0,127.0,41.0,118.0,113.0,36.0,117.0,60.0,173.0,284.0,119.0,368.0,204.0,305.0,150.0,138.0,335.0,197.0,216.0,158.0,178.0,181.0,45.0,135.0,104.0,236.0,223.0
5,256.0,133.0,178.0,257.0,74.0,297.0,170.0,179.0,221.0,228.0,92.0,101.0,268.0,36.0,65.0,0.0,101.0,245.0,48.0,261.0,152.0,168.0,367.0,45.0,167.0,222.0,189.0,195.0,154.0,37.0,76.0,111.0,299.0,261.0,257.0
6,200.0,345.0,55.0,118.0,137.0,205.0,267.0,235.0,69.0,230.0,164.0,123.0,40.0,273.0,220.0,281.0,120.0,244.0,311.0,263.0,304.0,0.0,50.0,236.0,273.0,181.0,47.0,271.0,313.0,128.0,204.0,154.0,226.0,30.0,246.0
7,301.0,110.0,147.0,369.0,216.0,235.0,198.0,211.0,176.0,136.0,198.0,252.0,144.0,77.0,277.0,236.0,93.0,211.0,129.0,162.0,107.0,236.0,222.0,296.0,261.0,203.0,345.0,304.0,149.0,328.0,36.0,190.0,188.0,158.0,120.0
8,178.0,29.0,196.0,283.0,342.0,252.0,135.0,47.0,221.0,167.0,94.0,160.0,231.0,201.0,265.0,207.0,174.0,86.0,365.0,98.0,228.0,231.0,194.0,203.0,245.0,223.0,344.0,207.0,200.0,24.0,142.0,27.0,226.0,159.0,424.0
9,265.0,154.0,133.0,196.0,329.0,116.0,212.0,182.0,134.0,41.0,161.0,110.0,216.0,340.0,221.0,175.0,63.0,217.0,152.0,277.0,301.0,139.0,191.0,403.0,77.0,168.0,177.0,132.0,295.0,105.0,198.0,187.0,235.0,181.0,186.0
10,312.0,87.0,99.0,105.0,237.0,152.0,202.0,276.0,55.0,304.0,204.0,59.0,130.0,86.0,178.0,382.0,267.0,249.0,362.0,100.0,185.0,177.0,270.0,62.0,319.0,203.0,85.0,266.0,125.0,63.0,193.0,35.0,208.0,278.0,149.0
11,202.0,264.0,231.0,115.0,165.0,49.0,300.0,329.0,213.0,227.0,361.0,185.0,94.0,174.0,207.0,299.0,290.0,323.0,30.0,261.0,226.0,349.0,108.0,243.0,128.0,135.0,214.0,341.0,188.0,209.0,252.0,372.0,295.0,216.0,184.0
12,23.0,213.0,213.0,1.0,231.0,222.0,241.0,123.0,202.0,298.0,211.0,223.0,142.0,195.0,190.0,276.0,242.0,359.0,172.0,145.0,75.0,180.0,199.0,389.0,299.0,195.0,79.0,271.0,237.0,46.0,108.0,223.0,90.0,188.0,167.0
13,178.0,193.0,180.0,42.0,382.0,161.0,193.0,365.0,76.0,228.0,125.0,95.0,279.0,226.0,268.0,567.0,143.0,66.0,351.0,318.0,80.0,54.0,116.0,124.0,202.0,101.0,249.0,182.0,114.0,207.0,335.0,340.0,235.0,146.0,183.0
14,67.0,125.0,133.0,224.0,38.0,224.0,182.0,297.0,137.0,38.0,240.0,320.0,337.0,28.0,230.0,236.0,351.0,139.0,294.0,292.0,85.0,176.0,376.0,248.0,44.0,121.0,296.0,188.0,93.0,407.0,152.0,174.0,112.0,166.0,75.0
15,191.0,91.0,173.0,107.0,271.0,196.0,83.0,205.0,69.0,290.0,243.0,271.0,470.0,88.0,319.0,199.0,82.0,152.0,161.0,347.0,266.0,89.0,221.0,228.0,227.0,150.0,216.0,274.0,152.0,214.0,247.0,167.0,357.0,17.0,236.0
16,198.0,62.0,280.0,102.0,658.0,110.0,264.0,130.0,201.0,245.0,181.0,191.0,281.0,103.0,78.0,230.0,138.0,235.0,375.0,192.0,265.0,352.0,86.0,101.0,328.0,454.0,302.0,192.0,232.0,296.0,105.0,240.0,108.0,232.0,356.0
17,214.0,332.0,177.0,236.0,226.0,259.0,350.0,307.0,184.0,59.0,53.0,58.0,201.0,250.0,385.0,183.0,245.0,65.0,219.0,285.0,327.0,207.0,146.0,235.0,355.0,276.0,177.0,47.0,229.0,202.0,193.0,237.0,190.0,217.0,139.0
18,449.0,115.0,138.0,323.0,248.0,106.0,287.0,69.0,384.0,191.0,187.0,265.0,319.0,389.0,199.0,284.0,393.0,214.0,143.0,410.0,80.0,128.0,417.0,70.0,233.0,330.0,152.0,295.0,164.0,216.0,244.0,186.0,182.0,192.0,386.0
19,68.0,177.0,150.0,309.0,197.0,286.0,329.0,61.0,189.0,263.0,163.0,246.0,186.0,198.0,228.0,417.0,349.0,319.0,544.0,296.0,173.0,373.0,185.0,268.0,77.0,197.0,539.0,191.0,82.0,54.0,171.0,284.0,150.0,133.0,64.0
20,234.0,365.0,281.0,208.0,272.0,322.0,108.0,162.0,354.0,81.0,405.0,160.0,312.0,146.0,228.0,315.0,267.0,299.0,68.0,212.0,116.0,267.0,309.0,282.0,182.0,233.0,218.0,123.0,275.0,298.0,138.0,277.0,43.0,125.0,79.0
21,219.0,80.0,291.0,272.0,142.0,108.0,140.0,117.0,38.0,111.0,233.0,168.0,341.0,326.0,216.0,261.0,208.0,71.0,239.0,347.0,377.0,343.0,59.0,379.0,185.0,160.0,259.0,138.0,289.0,206.0,331.0,130.0,151.0,253.0,369.0
22,234.0,130.0,271.0,192.0,37.0,234.0,342.0,331.0,331.0,100.0,315.0,277.0,180.0,261.0,208.0,215.0,219.0,395.0,147.0,163.0,241.0,185.0,259.0,228.0,176.0,188.0,268.0,297.0,291.0,307.0,150.0,210.0,237.0,355.0,232.0
23,258.0,264.0,116.0,209.0,296.0,285.0,156.0,280.0,206.0,202.0,125.0,275.0,182.0,251.0,44.0,72.0,343.0,181.0,357.0,97.0,197.0,313.0,186.0,138.0,172.0,171.0,291.0,239.0,309.0,86.0,102.0,136.0,67.0,179.0,322.0
24,214.0,128.0,53.0,38.0,107.0,330.0,258.0,292.0,263.0,313.0,297.0,286.0,129.0,232.0,312.0,139.0,318.0,230.0,101.0,137.0,7.0,340.0,190.0,101.0,280.0,222.0,170.0,373.0,191.0,213.0,244.0,210.0,77.0,299.0,350.0
25,78.0,210.0,155.0,286.0,288.0,172.0,136.0,287.0,24.0,183.0,283.0,211.0,341.0,210.0,349.0,209.0,233.0,223.0,152.0,55.0,114.0,346.0,103.0,176.0,327.0,290.0,102.0,65.0,49.0,209.0,154.0,213.0,138.0,231.0,316.0
26,284.0,156.0,266.0,223.0,241.0,156.0,146.0,206.0,392.0,247.0,240.0,88.0,164.0,209.0,117.0,156.0,225.0,89.0,221.0,72.0,338.0,201.0,66.0,218.0,155.0,118.0,336.0,352.0,180.0,197.0,189.0,351.0,168.0,342.0,312.0
27,83.0,43.0,171.0,151.0,78.0,337.0,169.0,164.0,223.0,195.0,106.0,179.0,167.0,36.0,78.0,212.0,78.0,65.0,124.0,315.0,281.0,234.0,214.0,368.0,61.0,53.0,257.0,149.0,93.0,240.0,323.0,60.0,183.0,223.0,68.0
28,157.0,304.0,120.0,161.0,218.0,605.0,240.0,177.0,203.0,272.0,319.0,164.0,146.0,321.0,260.0,167.0,183.0,360.0,7.0,46.0,202.0,127.0,234.0,269.0,193.0,246.0,281.0,93.0,320.0,230.0,239.0,206.0,191.0,316.0,304.0
29,131.0,97.0,284.0,210.0,208.0,248.0,205.0,260.0,52.0,160.0,272.0,64.0,239.0,176.0,292.0,297.0,258.0,86.0,115.0,183.0,210.0,280.0,346.0,365.0,222.0,213.0,35.0,196.0,151.0,324.0,7.0,254.0,219.0,166.0,90.0
30,354.0,106.0,18.0,29.0,318.0,261.0,125.0,331.0,173.0,249.0,315.0,218.0,127.0,275.0,80.0,332.0,203.0,123.0,188.0,489.0,212.0,241.0,86.0,99.0,173.0,198.0,204.0,159.0,61.0,238.0,302.0,43.0,160.0,263.0,156.0
31,142.0,204.0,31.0,257.0,93.0,212.0,269.0,211.0,239.0,318.0,319.0,195.0,178.0,321.0,96.0,241.0,86.0,199.0,25.0,133.0,118.0,183.0,195.0,248.0,178.0,154.0,190.0,163.0,177.0,226.0,324.0,312.0,269.0,140.0,23.0
32,289.0,45.0,197.0,235.0,104.0,144.0,203.0,171.0,162.0,61.0,191.0,291.0,119.0,307.0,248.0,219.0,145.0,108.0,205.0,234.0,278.0,148.0,146.0,224.0,161.0,265.0,261.0,147.0,144.0,318.0,76.0,178.0,141.0,209.0,122.0
33,257.0,70.0,102.0,265.0,207.0,285.0,45.0,147.0,303.0,207.0,115.0,193.0,222.0,243.0,57.0,175.0,52.0,255.0,167.0,164.0,154.0,107.0,326.0,267.0,274.0,103.0,304.0,282.0,79.0,128.0,58.0,172.0,55.0,160.0,192.0
34,0.0,1.0,4.0,2.0,141.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,164.0,58.0,2.0,0.0,0.0,2.0,0.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
