,REL,SEC,SOUR,SOURSTAT,STAT,READ
0,0.0,1656243085.0,-59.99842,136,8,-3.114118e-08
1,0.06923434,1656243085.0,-59.99856,136,8,-3.166949e-08
2,0.1384639,1656243085.0,-59.99853,136,8,-3.163653e-08
3,0.2077034,1656243085.0,-59.9985,136,8,-3.14775e-08
4,0.2769286,1656243085.0,-59.99844,136,8,-3.120181e-08
5,0.3461647,1656243085.0,-59.99851,136,8,-3.142928e-08
6,0.4153983,1656243086.0,-59.99851,136,8,-3.178351e-08
7,0.4846212,1656243086.0,-59.99855,136,8,-3.145132e-08
8,0.5538382,1656243086.0,-59.99854,136,8,-3.15632e-08
9,0.6230611,1656243086.0,-59.9985,136,8,-3.114448e-08
10,0.6922849,1656243086.0,-59.99854,136,8,-3.118555e-08
11,0.7615118,1656243086.0,-59.99847,136,8,-3.14213e-08
12,0.8307324,1656243086.0,-59.99859,136,8,-3.219881e-08
13,0.8999684,1656243086.0,-59.99858,136,8,-3.145058e-08
14,0.9691857,1656243086.0,-59.9985,136,8,-3.127415e-08
15,1.038423,1656243086.0,-59.99858,136,8,-3.154648e-08
16,1.107642,1656243086.0,-59.9985,136,8,-3.098531e-08
17,1.176869,1656243086.0,-59.99854,136,8,-3.143737e-08
18,1.246103,1656243086.0,-59.99852,136,8,-3.138442e-08
19,1.315319,1656243086.0,-59.9985,136,8,-3.161851e-08
20,1.384537,1656243086.0,-59.99852,136,8,-3.178106e-08
21,1.453758,1656243087.0,-59.99857,136,8,-3.1269e-08
22,1.522992,1656243087.0,-59.99861,136,8,-3.172347e-08
23,1.592218,1656243087.0,-59.99852,136,8,-3.128032e-08
24,1.661451,1656243087.0,-59.99853,136,8,-3.150672e-08
25,1.730674,1656243087.0,-59.99849,136,8,-3.151034e-08
26,1.799903,1656243087.0,-59.99846,136,8,-3.116812e-08
27,1.869119,1656243087.0,-59.99849,136,8,-3.132938e-08
28,1.938357,1656243087.0,-59.99855,136,8,-3.180226e-08
29,2.00759,1656243087.0,-59.99851,136,8,-3.190004e-08
30,2.076828,1656243087.0,-59.99849,136,8,-3.118485e-08
31,2.14606,1656243087.0,-59.99852,136,8,-3.154682e-08
