,REL,SEC,SOUR,SOURSTAT,STAT,READ
0,0.0,1656231338.0,-59.99863,136,8,-4.245799e-09
1,0.06923008,1656231338.0,-59.99884,136,8,-4.887577e-09
2,0.1384655,1656231338.0,-59.99877,136,8,-4.687468e-09
3,0.2076808,1656231338.0,-59.99872,136,8,-4.352535e-09
4,0.2769042,1656231338.0,-59.99875,136,8,-4.565945e-09
5,0.3461271,1656231338.0,-59.99868,136,8,-4.351422e-09
6,0.4153415,1656231338.0,-59.99873,136,8,-4.647091e-09
7,0.4845783,1656231338.0,-59.99872,136,8,-4.278583e-09
8,0.5538062,1656231338.0,-59.99879,136,8,-4.869713e-09
9,0.6230263,1656231338.0,-59.99875,136,8,-4.458468e-09
10,0.6922601,1656231338.0,-59.99868,136,8,-4.368375e-09
11,0.7614912,1656231338.0,-59.99874,136,8,-4.981995e-09
12,0.8307173,1656231339.0,-59.99868,136,8,-4.233775e-09
13,0.8999342,1656231339.0,-59.9988,136,8,-4.484931e-09
14,0.9691635,1656231339.0,-59.99871,136,8,-4.405583e-09
15,1.038382,1656231339.0,-59.99868,136,8,-4.415429e-09
16,1.10761,1656231339.0,-59.99881,136,8,-5.032487e-09
17,1.176832,1656231339.0,-59.99869,136,8,-4.515742e-09
18,1.246048,1656231339.0,-59.9988,136,8,-4.481421e-09
19,1.31527,1656231339.0,-59.99886,136,8,-4.82299e-09
20,1.384497,1656231339.0,-59.99872,136,8,-4.213612e-09
21,1.453714,1656231339.0,-59.99875,136,8,-4.365153e-09
22,1.522933,1656231339.0,-59.99876,136,8,-4.820965e-09
23,1.592162,1656231339.0,-59.99868,136,8,-4.378689e-09
24,1.661389,1656231339.0,-59.9987,136,8,-4.292794e-09
25,1.730607,1656231339.0,-59.99862,136,8,-4.077761e-09
26,1.799829,1656231340.0,-59.99866,136,8,-4.512005e-09
27,1.869056,1656231340.0,-59.99865,136,8,-4.291045e-09
28,1.938271,1656231340.0,-59.99869,136,8,-4.684621e-09
29,2.007506,1656231340.0,-59.99873,136,8,-4.51589e-09
30,2.076731,1656231340.0,-59.99866,136,8,-4.530051e-09
31,2.145951,1656231340.0,-59.99875,136,8,-4.740661e-09
32,2.215181,1656231340.0,-59.99868,136,8,-4.337707e-09
33,2.284402,1656231340.0,-59.9987,136,8,-4.645935e-09
34,2.353626,1656231340.0,-59.99879,136,8,-4.507056e-09
35,2.422859,1656231340.0,-59.99871,136,8,-4.557689e-09
36,2.492075,1656231340.0,-59.99868,136,8,-3.918537e-09
37,2.561307,1656231340.0,-59.99879,136,8,-5.041763e-09
38,2.630549,1656231340.0,-59.99873,136,8,-4.420034e-09
39,2.699768,1656231340.0,-59.99863,136,8,-4.343994e-09
40,2.768995,1656231340.0,-59.99858,136,8,-4.709205e-09
41,2.838213,1656231341.0,-59.99858,136,8,-4.336835e-09
42,2.907434,1656231341.0,-59.99864,136,8,-4.605013e-09
43,2.976651,1656231341.0,-59.9986,136,8,-4.372379e-09
44,3.045879,1656231341.0,-59.99863,136,8,-4.244621e-09
45,3.115111,1656231341.0,-59.99868,136,8,-4.705903e-09
46,3.184326,1656231341.0,-59.99858,136,8,-4.080992e-09
47,3.253549,1656231341.0,-59.99867,136,8,-4.67938e-09
48,3.322762,1656231341.0,-59.99867,136,8,-4.454257e-09
49,3.391983,1656231341.0,-59.9987,136,8,-4.974406e-09
50,3.461207,1656231341.0,-59.99867,136,8,-4.337296e-09
51,3.53044,1656231341.0,-59.99875,136,8,-4.518187e-09
52,3.599669,1656231341.0,-59.99869,136,8,-4.684209e-09
53,3.668889,1656231341.0,-59.99874,136,8,-4.456348e-09
54,3.738111,1656231341.0,-59.99874,136,8,-4.324478e-09
55,3.807337,1656231342.0,-59.99879,136,8,-4.637556e-09
56,3.876576,1656231342.0,-59.99879,136,8,-4.687819e-09
57,3.945791,1656231342.0,-59.9988,136,8,-4.674182e-09
58,4.015023,1656231342.0,-59.99878,136,8,-4.607717e-09
59,4.084239,1656231342.0,-59.99871,136,8,-4.191929e-09
60,4.153455,1656231342.0,-59.99873,136,8,-4.638642e-09
61,4.222678,1656231342.0,-59.99878,136,8,-4.71034e-09
62,4.291897,1656231342.0,-59.9987,136,8,-4.806702e-09
63,4.36113,1656231342.0,-59.99871,136,8,-4.286328e-09
64,4.430361,1656231342.0,-59.99882,136,8,-4.412818e-09
65,4.499592,1656231342.0,-59.99876,136,8,-4.383426e-09
66,4.568824,1656231342.0,-59.99872,136,8,-4.229024e-09
67,4.638036,1656231342.0,-59.99875,136,8,-4.111201e-09
68,4.707279,1656231342.0,-59.99873,136,8,-4.559561e-09
69,4.776505,1656231342.0,-59.99876,136,8,-4.29547e-09
70,4.845735,1656231343.0,-59.99876,136,8,-4.750266e-09
71,4.914967,1656231343.0,-59.99878,136,8,-4.548689e-09
72,4.984195,1656231343.0,-59.99871,136,8,-4.110631e-09
73,5.053421,1656231343.0,-59.99875,136,8,-4.674284e-09
74,5.122636,1656231343.0,-59.99874,136,8,-4.432932e-09
75,5.191854,1656231343.0,-59.99878,136,8,-4.274277e-09
76,5.261084,1656231343.0,-59.99884,136,8,-4.666427e-09
77,5.330304,1656231343.0,-59.99887,136,8,-5.063962e-09
78,5.399532,1656231343.0,-59.99886,136,8,-4.511831e-09
79,5.468757,1656231343.0,-59.99883,136,8,-4.68922e-09
80,5.53799,1656231343.0,-59.99882,136,8,-4.527266e-09
81,5.607214,1656231343.0,-59.9988,136,8,-4.330011e-09
82,5.676444,1656231343.0,-59.99891,136,8,-5.118349e-09
83,5.745672,1656231343.0,-59.99887,136,8,-4.655496e-09
84,5.814884,1656231344.0,-59.99874,136,8,-4.211315e-09
85,5.884112,1656231344.0,-59.99884,136,8,-4.435686e-09
86,5.953341,1656231344.0,-59.99878,136,8,-3.960698e-09
87,6.022565,1656231344.0,-59.99875,136,8,-4.429365e-09
88,6.091797,1656231344.0,-59.99871,136,8,-4.110963e-09
89,6.161013,1656231344.0,-59.99876,136,8,-4.822374e-09
90,6.230243,1656231344.0,-59.99882,136,8,-4.661161e-09
91,6.299467,1656231344.0,-59.99878,136,8,-4.408563e-09
92,6.36868,1656231344.0,-59.99874,136,8,-4.068313e-09
93,6.437902,1656231344.0,-59.99885,136,8,-4.633542e-09
94,6.507121,1656231344.0,-59.99872,136,8,-3.952938e-09
95,6.576349,1656231344.0,-59.99882,136,8,-4.417926e-09
96,6.64558,1656231344.0,-59.99872,136,8,-4.360385e-09
97,6.7148,1656231344.0,-59.99872,136,8,-4.442406e-09
