NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 4,Row,80, 15,127 , 3967 , 39.67,1657306173.2035742 
0,0, 4, 5,Row,225, 1,232 , 488 , 4.88,1657306173.2035742 
0,0, 4, 0,Col,79, 1,135 , 391 , 3.91,1657306173.2035742 
0,7, 5, 61,Row,61, 13,61 , 3389 , 33.89,1657306173.2035742 
0,7, 5, 61,Row,135, 13,61 , 3389 , 33.89,1657306173.2035742 
0,0, 4, 5,Row,215, 10,197 , 2757 , 27.57,1657306173.2035742 
0,0, 4, 0,Col,214, 10,202 , 2762 , 27.62,1657306173.2035742 
1,0, 4, 5,Row,47, 11,86 , 2902 , 29.02,1657306201.8268158 
1,0, 4, 0,Col,47, 11,94 , 2910 , 29.1,1657306201.8268158 
2,0, 4, 5,Row,146, 6,100 , 1636 , 16.36,1657306208.2449985 
2,0, 4, 0,Col,146, 6,106 , 1642 , 16.42,1657306208.2449985 
3,0, 4, 5,Row,72, 8,146 , 2194 , 21.94,1657306264.8761942 
3,0, 4, 0,Col,72, 8,147 , 2195 , 21.95,1657306264.8761942 
4,0, 4, 5,Row,110, 8,225 , 2273 , 22.73,1657306279.3458624 
4,0, 4, 0,Col,110, 8,231 , 2279 , 22.79,1657306279.3458624 
5,0, 4, 5,Row,104, 5,13 , 1293 , 12.93,1657306280.9017198 
5,0, 4, 0,Col,104, 5,20 , 1300 , 13.0,1657306280.9017198 
6,0, 4, 5,Row,180, 2,180 , 692 , 6.92,1657306302.764302 
6,0, 4, 0,Col,180, 2,187 , 699 , 6.99,1657306302.764302 
7,0, 4, 5,Row,204, 5,186 , 1466 , 14.66,1657306309.054873 
7,0, 4, 0,Col,204, 5,190 , 1470 , 14.7,1657306309.054873 
8,0, 4, 5,Row,146, 2,187 , 699 , 6.99,1657306334.6866622 
8,0, 4, 0,Col,146, 2,193 , 705 , 7.05,1657306334.6866622 
9,0, 4, 5,Row,153, 9,232 , 2536 , 25.36,1657306338.222112 
9,0, 4, 0,Col,153, 9,237 , 2541 , 25.41,1657306338.222112 
