NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,157, 6,218 , 1754 , 17.54,1656536242.6224358 
0,0, 4, 0,Col,156, 6,227 , 1763 , 17.63,1656536242.6224358 
0,0, 4, 0,Row,171, 4,125 , 1149 , 11.49,1656536242.6224358 
0,0, 4, 0,Col,171, 5,128 , 1408 , 14.08,1656536242.6224358 
1,0, 4, 0,Row,40, 14,135 , 3719 , 37.19,1656536243.1342711 
1,0, 4, 0,Col,40, 14,196 , 3780 , 37.8,1656536243.1342711 
2,0, 4, 0,Row,37, 13,181 , 3509 , 35.09,1656536243.5995982 
2,0, 4, 0,Col,37, 13,231 , 3559 , 35.59,1656536243.5995982 
3,0, 4, 0,Row,35, 14,1 , 3585 , 35.85,1656536244.0681343 
3,0, 4, 0,Col,34, 14,49 , 3633 , 36.33,1656536244.0681343 
4,0, 4, 0,Row,32, 11,48 , 2864 , 28.64,1656536244.5170598 
4,0, 4, 0,Col,32, 11,97 , 2913 , 29.13,1656536244.5170598 
5,0, 4, 0,Row,29, 0,162 , 162 , 1.62,1656536244.9860225 
5,0, 4, 0,Col,29, 0,217 , 217 , 2.17,1656536244.9860225 
6,0, 4, 0,Row,26, 1,143 , 399 , 3.99,1656536245.4503844 
6,0, 4, 0,Col,26, 1,191 , 447 , 4.47,1656536245.4503844 
7,0, 4, 0,Row,24, 13,107 , 3435 , 34.35,1656536245.9170785 
7,0, 4, 0,Col,24, 13,160 , 3488 , 34.88,1656536245.9170785 
8,0, 4, 0,Row,21, 4,27 , 1051 , 10.51,1656536246.3848448 
8,0, 4, 0,Col,21, 4,79 , 1103 , 11.03,1656536246.3848448 
9,0, 4, 0,Row,18, 1,205 , 461 , 4.61,1656536246.8534381 
9,0, 4, 0,Col,18, 2,3 , 515 , 5.15,1656536246.8534381 
10,0, 4, 0,Row,16, 0,202 , 202 , 2.02,1656536247.3197482 
10,0, 4, 0,Col,15, 0,255 , 255 , 2.55,1656536247.3197482 
11,0, 4, 0,Row,13, 14,144 , 3728 , 37.28,1656536247.7893257 
11,0, 4, 0,Col,13, 14,192 , 3776 , 37.76,1656536247.7893257 
12,0, 4, 0,Row,10, 15,8 , 3848 , 38.48,1656536248.2631571 
12,0, 4, 0,Col,10, 15,62 , 3902 , 39.02,1656536248.2631571 
13,0, 4, 0,Row,8, 2,3 , 515 , 5.15,1656536248.7325773 
