NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,152, 2,0 , 512 , 5.12,1657567151.8841302 
0,0, 4, 0,Col,152, 3,240 , 1008 , 10.08,1657567151.8841302 
0,0, 4, 0,Row,73, 12,235 , 3307 , 33.07,1657567151.8841302 
0,0, 4, 0,Col,73, 14,83 , 3667 , 36.67,1657567151.8841302 
1,0, 4, 0,Row,198, 2,17 , 529 , 5.29,1657567152.4287586 
1,0, 4, 0,Col,198, 2,75 , 587 , 5.87,1657567152.4287586 
2,0, 4, 0,Row,67, 3,255 , 1023 , 10.23,1657567152.8962858 
2,0, 4, 0,Col,67, 4,62 , 1086 , 10.86,1657567152.8962858 
3,0, 4, 0,Row,64, 5,178 , 1458 , 14.58,1657567153.3786242 
3,0, 4, 0,Col,64, 5,228 , 1508 , 15.08,1657567153.3786242 
4,0, 4, 0,Row,62, 4,67 , 1091 , 10.91,1657567153.865202 
4,0, 4, 0,Col,61, 4,115 , 1139 , 11.39,1657567153.865202 
4,0, 4, 51,Row,61, 13,61 , 3389 , 33.89,1657567153.865202 
5,0, 4, 0,Row,59, 2,213 , 725 , 7.25,1657567154.345237 
5,0, 4, 0,Col,59, 3,3 , 771 , 7.71,1657567154.345237 
6,0, 4, 0,Row,56, 6,178 , 1714 , 17.14,1657567154.8113 
6,0, 4, 0,Col,56, 6,226 , 1762 , 17.62,1657567154.8113 
7,0, 4, 0,Row,53, 9,212 , 2516 , 25.16,1657567155.2780576 
7,0, 4, 0,Col,53, 10,6 , 2566 , 25.66,1657567155.2780576 
8,0, 4, 0,Row,51, 8,253 , 2301 , 23.01,1657567155.7463741 
8,0, 4, 0,Col,51, 9,58 , 2362 , 23.62,1657567155.7463741 
9,0, 4, 0,Row,48, 8,105 , 2153 , 21.53,1657567156.211811 
9,0, 4, 0,Col,48, 8,153 , 2201 , 22.01,1657567156.211811 
10,0, 4, 0,Row,173, 4,74 , 1098 , 10.98,1657567156.6929786 
10,0, 4, 0,Col,173, 4,133 , 1157 , 11.57,1657567156.6929786 
11,0, 4, 0,Row,170, 5,163 , 1443 , 14.43,1657567157.1630852 
11,0, 4, 0,Col,170, 5,212 , 1492 , 14.92,1657567157.1630852 
12,0, 4, 0,Row,168, 6,111 , 1647 , 16.47,1657567157.6489587 
12,0, 4, 0,Col,167, 6,160 , 1696 , 16.96,1657567157.6489587 
13,0, 4, 0,Row,165, 15,191 , 4031 , 40.31,1657567158.1169605 
13,0, 4, 0,Col,165, 15,247 , 4087 , 40.87,1657567158.1169605 
14,0, 4, 0,Row,162, 9,53 , 2357 , 23.57,1657567158.598639 
14,0, 4, 0,Col,162, 9,107 , 2411 , 24.11,1657567158.598639 
15,0, 4, 0,Row,159, 0,209 , 209 , 2.09,1657567159.0669498 
15,0, 4, 0,Col,159, 1,4 , 260 , 2.6,1657567159.0669498 
16,0, 4, 0,Row,157, 12,53 , 3125 , 31.25,1657567159.5363712 
16,0, 4, 0,Col,157, 12,102 , 3174 , 31.74,1657567159.5363712 
17,0, 4, 0,Row,154, 0,11 , 11 , 0.11,1657567160.004392 
