NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,125, 9,78 , 2382 , 23.82,1657567307.3482563 
0,0, 4, 0,Col,125, 10,168 , 2728 , 27.28,1657567307.3482563 
0,0, 4, 0,Row,57, 15,122 , 3962 , 39.62,1657567307.3482563 
0,0, 4, 0,Col,57, 0,234 , 234 , 2.34,1657567307.3482563 
1,0, 4, 0,Row,182, 6,121 , 1657 , 16.57,1657567307.8925538 
1,0, 4, 0,Col,182, 6,179 , 1715 , 17.15,1657567307.8925538 
2,0, 4, 0,Row,179, 0,178 , 178 , 1.78,1657567308.3605387 
2,0, 4, 0,Col,179, 0,225 , 225 , 2.25,1657567308.3605387 
3,0, 4, 0,Row,48, 15,67 , 3907 , 39.07,1657567308.8409512 
3,0, 4, 0,Col,48, 15,125 , 3965 , 39.65,1657567308.8409512 
4,0, 4, 0,Row,45, 7,63 , 1855 , 18.55,1657567309.3245564 
4,0, 4, 0,Col,45, 7,113 , 1905 , 19.05,1657567309.3245564 
5,0, 4, 0,Row,43, 7,79 , 1871 , 18.71,1657567309.7750907 
5,0, 4, 0,Col,43, 7,132 , 1924 , 19.24,1657567309.7750907 
6,0, 4, 0,Row,40, 6,0 , 1536 , 15.36,1657567310.2526486 
6,0, 4, 0,Col,40, 6,52 , 1588 , 15.88,1657567310.2526486 
7,0, 4, 0,Row,37, 8,204 , 2252 , 22.52,1657567310.720517 
7,0, 4, 0,Col,37, 8,254 , 2302 , 23.02,1657567310.720517 
8,0, 4, 0,Row,35, 7,230 , 2022 , 20.22,1657567311.1874247 
8,0, 4, 0,Col,35, 8,26 , 2074 , 20.74,1657567311.1874247 
9,0, 4, 0,Row,32, 7,172 , 1964 , 19.64,1657567311.6729844 
9,0, 4, 0,Col,32, 7,221 , 2013 , 20.13,1657567311.6729844 
10,0, 4, 0,Row,29, 11,165 , 2981 , 29.81,1657567312.1530552 
10,0, 4, 0,Col,29, 11,217 , 3033 , 30.33,1657567312.1530552 
11,0, 4, 0,Row,27, 9,63 , 2367 , 23.67,1657567312.6031802 
11,0, 4, 0,Col,26, 9,119 , 2423 , 24.23,1657567312.6031802 
12,0, 4, 0,Row,151, 10,108 , 2668 , 26.68,1657567313.0852234 
12,0, 4, 0,Col,151, 10,170 , 2730 , 27.3,1657567313.0852234 
13,0, 4, 0,Row,149, 1,178 , 434 , 4.34,1657567313.553035 
13,0, 4, 0,Col,149, 1,228 , 484 , 4.84,1657567313.553035 
14,0, 4, 0,Row,146, 15,77 , 3917 , 39.17,1657567314.0342865 
14,0, 4, 0,Col,146, 15,132 , 3972 , 39.72,1657567314.0342865 
15,0, 4, 0,Row,143, 3,246 , 1014 , 10.14,1657567314.5031424 
15,0, 4, 0,Col,143, 4,45 , 1069 , 10.69,1657567314.5031424 
16,0, 4, 0,Row,141, 12,107 , 3179 , 31.79,1657567314.9698446 
16,0, 4, 0,Col,140, 12,157 , 3229 , 32.29,1657567314.9698446 
17,0, 4, 0,Row,138, 1,66 , 322 , 3.22,1657567315.4354427 
17,0, 4, 0,Col,138, 1,118 , 374 , 3.74,1657567315.4354427 
18,0, 4, 0,Row,135, 5,247 , 1527 , 15.27,1657567315.9173198 
18,0, 4, 0,Col,135, 6,43 , 1579 , 15.79,1657567315.9173198 
19,0, 4, 0,Row,133, 14,63 , 3647 , 36.47,1657567316.3857572 
19,0, 4, 0,Col,132, 14,114 , 3698 , 36.98,1657567316.3857572 
20,0, 4, 0,Row,1, 14,39 , 3623 , 36.23,1657567316.8713968 
20,0, 4, 0,Col,1, 14,101 , 3685 , 36.85,1657567316.8713968 
21,0, 4, 0,Row,255, 8,124 , 2172 , 21.72,1657567317.3519347 
21,0, 4, 0,Col,255, 8,178 , 2226 , 22.26,1657567317.3519347 
22,0, 4, 0,Row,252, 6,179 , 1715 , 17.15,1657567317.8445346 
22,0, 4, 0,Col,252, 6,231 , 1767 , 17.67,1657567317.8445346 
23,0, 4, 0,Row,249, 7,140 , 1932 , 19.32,1657567318.3102407 
23,0, 4, 0,Col,249, 7,190 , 1982 , 19.82,1657567318.3102407 
24,0, 4, 0,Row,247, 2,146 , 658 , 6.58,1657567318.780241 
24,0, 4, 0,Col,246, 2,194 , 706 , 7.06,1657567318.780241 
25,0, 4, 0,Row,244, 5,113 , 1393 , 13.93,1657567319.2637887 
25,0, 4, 0,Col,244, 5,168 , 1448 , 14.48,1657567319.2637887 
26,0, 4, 0,Row,241, 6,179 , 1715 , 17.15,1657567319.716339 
26,0, 4, 0,Col,241, 6,230 , 1766 , 17.66,1657567319.716339 
27,0, 4, 0,Row,110, 7,162 , 1954 , 19.54,1657567320.197189 
27,0, 4, 0,Col,110, 7,214 , 2006 , 20.06,1657567320.197189 
28,0, 4, 0,Row,107, 14,249 , 3833 , 38.33,1657567320.6797931 
28,0, 4, 0,Col,107, 15,43 , 3883 , 38.83,1657567320.6797931 
29,0, 4, 0,Row,105, 7,222 , 2014 , 20.14,1657567321.1482975 
29,0, 4, 0,Col,104, 8,18 , 2066 , 20.66,1657567321.1482975 
30,0, 4, 0,Row,102, 3,164 , 932 , 9.32,1657567321.6152804 
30,0, 4, 0,Col,102, 3,213 , 981 , 9.81,1657567321.6152804 
31,0, 4, 0,Row,99, 8,105 , 2153 , 21.53,1657567322.0829763 
31,0, 4, 0,Col,99, 8,155 , 2203 , 22.03,1657567322.0829763 
32,0, 4, 0,Row,225, 8,95 , 2143 , 21.43,1657567322.5508447 
32,0, 4, 0,Col,96, 8,150 , 2198 , 21.98,1657567322.5508447 
33,0, 4, 0,Row,94, 4,127 , 1151 , 11.51,1657567323.046349 
33,0, 4, 0,Col,94, 4,180 , 1204 , 12.04,1657567323.046349 
34,0, 4, 0,Row,219, 3,232 , 1000 , 10.0,1657567323.5439289 
34,0, 4, 0,Col,218, 4,38 , 1062 , 10.62,1657567323.5439289 
35,0, 4, 0,Row,216, 4,84 , 1108 , 11.08,1657567324.026056 
35,0, 4, 0,Col,216, 4,128 , 1152 , 11.52,1657567324.026056 
36,0, 4, 0,Row,213, 14,236 , 3820 , 38.2,1657567324.509292 
36,0, 4, 0,Col,213, 15,36 , 3876 , 38.76,1657567324.509292 
37,0, 4, 0,Row,211, 6,100 , 1636 , 16.36,1657567324.9745533 
37,0, 4, 0,Col,210, 6,154 , 1690 , 16.9,1657567324.9745533 
38,0, 4, 0,Row,208, 8,166 , 2214 , 22.14,1657567325.441084 
38,0, 4, 0,Col,208, 8,217 , 2265 , 22.65,1657567325.441084 
39,0, 4, 0,Row,77, 3,10 , 778 , 7.78,1657567325.9254282 
39,0, 4, 0,Col,77, 3,67 , 835 , 8.35,1657567325.9254282 
40,0, 4, 0,Row,74, 5,138 , 1418 , 14.18,1657567326.4088929 
40,0, 4, 0,Col,74, 5,190 , 1470 , 14.7,1657567326.4088929 
41,0, 4, 0,Row,71, 4,132 , 1156 , 11.56,1657567326.891346 
41,0, 4, 0,Col,71, 4,189 , 1213 , 12.13,1657567326.891346 
42,0, 4, 0,Row,69, 7,21 , 1813 , 18.13,1657567327.3599873 
42,0, 4, 0,Col,68, 7,76 , 1868 , 18.68,1657567327.3599873 
43,0, 4, 0,Row,66, 0,72 , 72 , 0.72,1657567327.8436627 
43,0, 4, 0,Col,66, 0,135 , 135 , 1.35,1657567327.8436627 
44,0, 4, 0,Row,63, 0,161 , 161 , 1.61,1657567328.3149998 
44,0, 4, 0,Col,63, 0,213 , 213 , 2.13,1657567328.3149998 
45,0, 4, 0,Row,188, 5,189 , 1469 , 14.69,1657567328.7992666 
45,0, 4, 0,Col,188, 5,248 , 1528 , 15.28,1657567328.7992666 
46,0, 4, 0,Row,185, 4,95 , 1119 , 11.19,1657567329.2669847 
46,0, 4, 0,Col,185, 4,147 , 1171 , 11.71,1657567329.2669847 
47,0, 4, 0,Row,183, 4,187 , 1211 , 12.11,1657567329.7553582 
47,0, 4, 0,Col,183, 4,232 , 1256 , 12.56,1657567329.7553582 
48,0, 4, 0,Row,180, 3,243 , 1011 , 10.11,1657567330.2416317 
48,0, 4, 0,Col,180, 4,35 , 1059 , 10.59,1657567330.2416317 
49,0, 4, 0,Row,177, 9,222 , 2526 , 25.26,1657567330.7089055 
49,0, 4, 0,Col,177, 10,18 , 2578 , 25.78,1657567330.7089055 
