NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,40, 2,174 , 686 , 6.86,1657134078.7176702 
0,0, 4, 1,Row,40, 14,15 , 3599 , 35.99,1657134078.7176702 
0,0, 4, 2,Row,40, 2,82 , 594 , 5.94,1657134078.7176702 
0,0, 4, 3,Row,40, 6,91 , 1627 , 16.27,1657134078.7176702 
0,0, 4, 4,Row,82, 4,3 , 1027 , 10.27,1657134078.7176702 
0,[0;31;40m5[0m, [0;31;40m0[0m, 6,Row,91, 4,4 , 1028 , 10.28,1657134078.7176702 
2,0, [0;31;40m2[0m, 40,Row,7, 3,4 , 772 , 7.72,1657134080.05587 
2,0, [0;31;40m7[0m, 15,Row,5, 8,4 , 2052 , 20.52,1657134080.05587 
2,[0;31;40m16[0m, [0;31;40m0[0m, 15,Row,5, 3,61 , 829 , 8.29,1657134080.05587 
3,0, 4, 7,Row,74, 5,19 , 1299 , 12.99,1657134080.5369017 
3,0, 4, 19,Row,75, 10,15 , 2575 , 25.75,1657134080.5369017 
3,0, 4, 0,Col,74, 10,114 , 2674 , 26.74,1657134080.5369017 
4,0, 4, 1,Row,199, 7,197 , 1989 , 19.89,1657134081.0029638 
4,0, 4, 19,Row,78, 8,12 , 2060 , 20.6,1657134081.0029638 
4,0, 4, 21,Row,200, 3,142 , 910 , 9.1,1657134081.0029638 
4,0, 4, 23,Row,75, 2,185 , 697 , 6.97,1657134081.0029638 
4,0, 4, 28,Row,201, 7,116 , 1908 , 19.08,1657134081.0029638 
4,0, 4, 0,Col,74, 11,51 , 2867 , 28.67,1657134081.0029638 
5,0, 4, 14,Row,71, 3,224 , 992 , 9.92,1657134081.4858062 
5,0, 4, 19,Row,200, 6,39 , 1575 , 15.75,1657134081.4858062 
5,0, 4, 21,Row,198, 3,102 , 870 , 8.7,1657134081.4858062 
5,0, 4, 32,Row,68, 9,165 , 2469 , 24.69,1657134081.4858062 
5,0, 4, 0,Col,199, 8,31 , 2079 , 20.79,1657134081.4858062 
6,0, 4, 19,Row,68, 6,180 , 1716 , 17.16,1657134081.9836135 
6,0, 4, 28,Row,65, 3,248 , 1016 , 10.16,1657134081.9836135 
