NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,58, 12,139 , 3211 , 32.11,1657306017.9715254 
0,0, 4, 2,Row,127, 12,80 , 3152 , 31.52,1657306017.9715254 
0,0, 4, 0,Col,127, 8,232 , 2280 , 22.8,1657306017.9715254 
0,7, 5, 61,Row,61, 13,61 , 3389 , 33.89,1657306017.9715254 
0,7, 5, 61,Row,232, 13,61 , 3389 , 33.89,1657306017.9715254 
0,0, 4, 0,Row,135, 1,164 , 420 , 4.2,1657306017.9715254 
0,0, 4, 0,Col,135, 3,32 , 800 , 8.0,1657306017.9715254 
1,0, 4, 0,Row,4, 15,255 , 4095 , 40.95,1657306018.522443 
1,0, 4, 0,Col,4, 0,71 , 71 , 0.71,1657306018.522443 
2,0, 4, 0,Row,129, 4,89 , 1113 , 11.13,1657306019.006632 
2,0, 4, 0,Col,129, 4,147 , 1171 , 11.71,1657306019.006632 
3,0, 4, 0,Row,126, 6,119 , 1655 , 16.55,1657306019.4762604 
3,0, 4, 0,Col,126, 6,164 , 1700 , 17.0,1657306019.4762604 
4,0, 4, 0,Row,124, 12,237 , 3309 , 33.09,1657306019.9757915 
4,0, 4, 0,Col,123, 13,24 , 3352 , 33.52,1657306019.9757915 
5,0, 4, 0,Row,121, 10,41 , 2601 , 26.01,1657306020.459716 
5,0, 4, 0,Col,121, 10,94 , 2654 , 26.54,1657306020.459716 
