NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 34,Row,7, 4,7 , 1031 , 10.31,1657296575.2797294 
0,0, 4, 34,Col,6, 2,197 , 709 , 7.09,1657296575.2797294 
0,0, 4, 34,Row,124, 9,145 , 2449 , 24.49,1657296575.2797294 
0,0, 4, 34,Col,124, 8,86 , 2134 , 21.34,1657296575.2797294 
1,0, 4, 34,Row,249, 13,27 , 3355 , 33.55,1657296575.8156774 
1,0, 4, 34,Col,249, 12,227 , 3299 , 32.99,1657296575.8156774 
2,0, 4, 34,Row,246, 0,143 , 143 , 1.43,1657296576.2882938 
2,0, 4, 34,Col,246, 0,97 , 97 , 0.97,1657296576.2882938 
3,0, 4, 34,Row,243, 2,164 , 676 , 6.76,1657296576.7392006 
3,0, 4, 34,Col,243, 2,115 , 627 , 6.27,1657296576.7392006 
4,0, 4, 34,Row,241, 0,72 , 72 , 0.72,1657296577.209846 
4,0, 4, 34,Col,240, 0,21 , 21 , 0.21,1657296577.209846 
5,0, 4, 34,Row,238, 0,82 , 82 , 0.82,1657296577.680248 
5,0, 4, 34,Col,238, 0,45 , 45 , 0.45,1657296577.680248 
6,0, 4, 34,Row,235, 0,33 , 33 , 0.33,1657296578.1340764 
6,0, 4, 34,Col,235, 15,255 , 4095 , 40.95,1657296578.1340764 
7,0, 4, 34,Row,232, 13,199 , 3527 , 35.27,1657296578.6002953 
7,0, 4, 34,Col,232, 13,154 , 3482 , 34.82,1657296578.6002953 
8,0, 4, 34,Row,230, 0,185 , 185 , 1.85,1657296579.052516 
8,0, 4, 34,Col,230, 0,140 , 140 , 1.4,1657296579.052516 
9,0, 4, 34,Row,227, 1,148 , 404 , 4.04,1657296579.5179675 
9,0, 4, 34,Col,227, 1,112 , 368 , 3.68,1657296579.5179675 
10,0, 4, 34,Row,224, 13,190 , 3518 , 35.18,1657296579.98708 
10,0, 4, 34,Col,224, 13,130 , 3458 , 34.58,1657296579.98708 
11,0, 4, 34,Row,222, 1,245 , 501 , 5.01,1657296580.4376006 
11,0, 4, 34,Col,222, 1,205 , 461 , 4.61,1657296580.4376006 
12,0, 4, 34,Row,219, 2,210 , 722 , 7.22,1657296580.9038484 
12,0, 4, 34,Col,219, 2,156 , 668 , 6.68,1657296580.9038484 
13,0, 4, 34,Row,216, 1,88 , 344 , 3.44,1657296581.3683548 
13,0, 4, 34,Col,216, 1,39 , 295 , 2.95,1657296581.3683548 
14,0, 4, 34,Row,214, 2,168 , 680 , 6.8,1657296581.851591 
14,0, 4, 34,Col,213, 2,125 , 637 , 6.37,1657296581.851591 
15,0, 4, 34,Row,211, 1,177 , 433 , 4.33,1657296582.3378258 
15,0, 4, 34,Col,211, 1,143 , 399 , 3.99,1657296582.3378258 
16,0, 4, 34,Row,208, 15,225 , 4065 , 40.65,1657296582.8226871 
16,0, 4, 34,Col,208, 15,184 , 4024 , 40.24,1657296582.8226871 
17,0, 4, 34,Row,77, 12,167 , 3239 , 32.39,1657296583.3077073 
17,0, 4, 34,Col,77, 12,119 , 3191 , 31.91,1657296583.3077073 
18,0, 4, 34,Row,74, 15,98 , 3938 , 39.38,1657296583.7903893 
18,0, 4, 34,Col,74, 15,53 , 3893 , 38.93,1657296583.7903893 
19,0, 4, 34,Row,72, 15,161 , 4001 , 40.01,1657296584.2573693 
19,0, 4, 34,Col,72, 15,95 , 3935 , 39.35,1657296584.2573693 
20,0, 4, 34,Row,69, 0,119 , 119 , 1.19,1657296584.7436686 
20,0, 4, 34,Col,69, 0,86 , 86 , 0.86,1657296584.7436686 
21,0, 4, 34,Row,66, 2,27 , 539 , 5.39,1657296585.2093706 
21,0, 4, 34,Col,66, 1,243 , 499 , 4.99,1657296585.2093706 
22,0, 4, 34,Row,191, 13,135 , 3463 , 34.63,1657296585.6975844 
22,0, 4, 34,Col,191, 13,79 , 3407 , 34.07,1657296585.6975844 
23,0, 4, 34,Row,188, 1,94 , 350 , 3.5,1657296586.1636071 
23,0, 4, 34,Col,188, 1,22 , 278 , 2.78,1657296586.1636071 
24,0, 4, 34,Row,186, 15,13 , 3853 , 38.53,1657296586.6315305 
24,0, 4, 34,Col,186, 14,233 , 3817 , 38.17,1657296586.6315305 
25,0, 4, 34,Row,183, 2,68 , 580 , 5.8,1657296587.0995536 
25,0, 4, 34,Col,183, 2,32 , 544 , 5.44,1657296587.0995536 
26,0, 4, 34,Row,180, 2,88 , 600 , 6.0,1657296587.5682476 
26,0, 4, 34,Col,180, 2,27 , 539 , 5.39,1657296587.5682476 
27,0, 4, 34,Row,178, 15,153 , 3993 , 39.93,1657296588.0371065 
27,0, 4, 34,Col,177, 15,118 , 3958 , 39.58,1657296588.0371065 
28,0, 4, 34,Row,175, 1,101 , 357 , 3.57,1657296588.5359066 
28,0, 4, 34,Col,175, 1,69 , 325 , 3.25,1657296588.5359066 
29,0, 4, 34,Row,172, 0,152 , 152 , 1.52,1657296589.0074668 
29,0, 4, 34,Col,172, 0,113 , 113 , 1.13,1657296589.0074668 
30,0, 4, 34,Row,169, 0,216 , 216 , 2.16,1657296589.47673 
30,0, 4, 34,Col,169, 0,173 , 173 , 1.73,1657296589.47673 
31,0, 4, 34,Row,38, 9,124 , 2428 , 24.28,1657296589.962578 
31,0, 4, 34,Col,38, 9,87 , 2391 , 23.91,1657296589.962578 
32,0, 4, 34,Row,36, 15,10 , 3850 , 38.5,1657296590.449375 
32,0, 4, 34,Col,35, 14,233 , 3817 , 38.17,1657296590.449375 
33,0, 4, 34,Row,33, 0,15 , 15 , 0.15,1657296590.9312675 
33,0, 4, 34,Col,33, 15,230 , 4070 , 40.7,1657296590.9312675 
34,0, 4, 34,Row,158, 9,24 , 2328 , 23.28,1657296591.4283788 
34,0, 4, 34,Col,158, 8,228 , 2276 , 22.76,1657296591.4283788 
35,0, 4, 34,Row,155, 2,44 , 556 , 5.56,1657296591.8956022 
35,0, 4, 34,Col,155, 2,13 , 525 , 5.25,1657296591.8956022 
36,0, 4, 34,Row,152, 2,42 , 554 , 5.54,1657296592.36128 
36,0, 4, 34,Col,152, 1,242 , 498 , 4.98,1657296592.36128 
37,0, 4, 34,Row,150, 2,231 , 743 , 7.43,1657296592.8291435 
37,0, 4, 34,Col,150, 2,190 , 702 , 7.02,1657296592.8291435 
38,0, 4, 34,Row,147, 2,7 , 519 , 5.19,1657296593.3123894 
38,0, 4, 34,Col,147, 1,212 , 468 , 4.68,1657296593.3123894 
39,0, 4, 34,Row,144, 0,146 , 146 , 1.46,1657296593.7788825 
39,0, 4, 34,Col,144, 0,95 , 95 , 0.95,1657296593.7788825 
40,0, 4, 34,Row,142, 0,92 , 92 , 0.92,1657296594.2473996 
40,0, 4, 34,Col,141, 0,52 , 52 , 0.52,1657296594.2473996 
41,0, 4, 34,Row,139, 1,92 , 348 , 3.48,1657296594.7017233 
41,0, 4, 34,Col,139, 1,48 , 304 , 3.04,1657296594.7017233 
42,0, 4, 34,Row,136, 14,116 , 3700 , 37.0,1657296595.1733794 
42,0, 4, 34,Col,136, 14,35 , 3619 , 36.19,1657296595.1733794 
43,0, 4, 34,Row,133, 0,167 , 167 , 1.67,1657296595.6573188 
43,0, 4, 34,Col,133, 0,135 , 135 , 1.35,1657296595.6573188 
44,0, 4, 34,Row,131, 1,249 , 505 , 5.05,1657296596.124203 
44,0, 4, 34,Col,131, 1,214 , 470 , 4.7,1657296596.124203 
45,0, 4, 34,Row,0, 12,103 , 3175 , 31.75,1657296596.61144 
45,0, 4, 34,Col,0, 12,61 , 3133 , 31.33,1657296596.61144 
46,0, 4, 34,Row,253, 1,218 , 474 , 4.74,1657296597.0811481 
46,0, 4, 34,Col,253, 1,181 , 437 , 4.37,1657296597.0811481 
47,0, 4, 34,Row,250, 2,82 , 594 , 5.94,1657296597.548241 
47,0, 4, 34,Col,250, 2,47 , 559 , 5.59,1657296597.548241 
48,0, 4, 34,Row,247, 1,246 , 502 , 5.02,1657296598.0145898 
48,0, 4, 34,Col,247, 1,192 , 448 , 4.48,1657296598.0145898 
49,0, 4, 34,Row,245, 0,246 , 246 , 2.46,1657296598.4959753 
49,0, 4, 34,Col,245, 0,183 , 183 , 1.83,1657296598.4959753 
50,0, 4, 34,Row,242, 0,159 , 159 , 1.59,1657296598.9801447 
50,0, 4, 34,Col,242, 0,103 , 103 , 1.03,1657296598.9801447 
51,0, 4, 34,Row,111, 11,29 , 2845 , 28.45,1657296599.4650433 
51,0, 4, 34,Col,111, 10,247 , 2807 , 28.07,1657296599.4650433 
52,0, 4, 34,Row,108, 14,235 , 3819 , 38.19,1657296599.9492385 
52,0, 4, 34,Col,108, 14,192 , 3776 , 37.76,1657296599.9492385 
53,0, 4, 34,Row,106, 0,50 , 50 , 0.5,1657296600.4313736 
53,0, 4, 34,Col,105, 0,10 , 10 , 0.1,1657296600.4313736 
54,0, 4, 34,Row,103, 1,208 , 464 , 4.64,1657296600.899142 
54,0, 4, 34,Col,103, 1,175 , 431 , 4.31,1657296600.899142 
55,0, 4, 34,Row,100, 15,65 , 3905 , 39.05,1657296601.3680692 
55,0, 4, 34,Col,100, 15,22 , 3862 , 38.62,1657296601.3680692 
56,0, 4, 34,Row,97, 1,33 , 289 , 2.89,1657296601.852186 
56,0, 4, 34,Col,97, 0,248 , 248 , 2.48,1657296601.852186 
57,0, 4, 34,Row,95, 0,35 , 35 , 0.35,1657296602.319022 
57,0, 4, 34,Col,95, 15,249 , 4089 , 40.89,1657296602.319022 
57,0, 4, 34,Row,222, 11,155 , 2971 , 29.71,1657296602.319022 
57,0, 4, 34,Col,222, 11,149 , 2965 , 29.65,1657296602.319022 
58,0, 4, 34,Row,220, 1,52 , 308 , 3.08,1657296602.7991395 
58,0, 4, 34,Col,220, 1,6 , 262 , 2.62,1657296602.7991395 
59,0, 4, 34,Row,217, 1,160 , 416 , 4.16,1657296603.265929 
59,0, 4, 34,Col,217, 1,109 , 365 , 3.65,1657296603.265929 
60,0, 4, 34,Row,214, 15,233 , 4073 , 40.73,1657296603.746632 
60,0, 4, 34,Col,214, 15,189 , 4029 , 40.29,1657296603.746632 
61,0, 4, 34,Row,211, 1,19 , 275 , 2.75,1657296604.2345269 
61,0, 4, 34,Col,211, 0,243 , 243 , 2.43,1657296604.2345269 
62,0, 4, 34,Row,209, 0,171 , 171 , 1.71,1657296604.7156866 
62,0, 4, 34,Col,209, 0,122 , 122 , 1.22,1657296604.7156866 
63,0, 4, 34,Row,78, 10,223 , 2783 , 27.83,1657296605.183968 
63,0, 4, 34,Col,78, 10,173 , 2733 , 27.33,1657296605.183968 
64,0, 4, 34,Row,75, 0,128 , 128 , 1.28,1657296605.6650846 
64,0, 4, 34,Col,75, 0,91 , 91 , 0.91,1657296605.6650846 
65,0, 4, 34,Row,72, 1,41 , 297 , 2.97,1657296606.1463823 
65,0, 4, 34,Col,72, 1,3 , 259 , 2.59,1657296606.1463823 
66,0, 4, 34,Row,70, 0,84 , 84 , 0.84,1657296606.6140285 
66,0, 4, 34,Col,69, 0,35 , 35 , 0.35,1657296606.6140285 
67,0, 4, 34,Row,67, 3,18 , 786 , 7.86,1657296607.0973482 
67,0, 4, 34,Col,67, 2,233 , 745 , 7.45,1657296607.0973482 
68,0, 4, 34,Row,64, 15,49 , 3889 , 38.89,1657296607.579383 
68,0, 4, 34,Col,64, 15,7 , 3847 , 38.47,1657296607.579383 
68,0, 4, 34,Row,192, 10,220 , 2780 , 27.8,1657296607.579383 
68,0, 4, 34,Col,192, 10,212 , 2772 , 27.72,1657296607.579383 
69,0, 4, 34,Row,189, 0,82 , 82 , 0.82,1657296608.0469503 
69,0, 4, 34,Col,189, 0,31 , 31 , 0.31,1657296608.0469503 
70,0, 4, 34,Row,186, 15,230 , 4070 , 40.7,1657296608.5120502 
70,0, 4, 34,Col,186, 15,191 , 4031 , 40.31,1657296608.5120502 
71,0, 4, 34,Row,184, 0,63 , 63 , 0.63,1657296608.99478 
71,0, 4, 34,Col,184, 0,19 , 19 , 0.19,1657296608.99478 
72,0, 4, 34,Row,181, 0,33 , 33 , 0.33,1657296609.4648323 
72,0, 4, 34,Col,181, 15,255 , 4095 , 40.95,1657296609.4648323 
73,0, 4, 34,Row,178, 0,130 , 130 , 1.3,1657296609.9466422 
73,0, 4, 34,Col,178, 0,89 , 89 , 0.89,1657296609.9466422 
74,0, 4, 34,Row,176, 15,74 , 3914 , 39.14,1657296610.4436448 
74,0, 4, 34,Col,175, 15,26 , 3866 , 38.66,1657296610.4436448 
75,0, 4, 34,Row,173, 1,13 , 269 , 2.69,1657296610.9102921 
75,0, 4, 34,Col,173, 0,225 , 225 , 2.25,1657296610.9102921 
75,0, 4, 34,Row,44, 11,35 , 2851 , 28.51,1657296610.9102921 
75,0, 4, 34,Col,44, 11,28 , 2844 , 28.44,1657296610.9102921 
76,0, 4, 34,Row,42, 0,161 , 161 , 1.61,1657296611.3795524 
76,0, 4, 34,Col,42, 0,119 , 119 , 1.19,1657296611.3795524 
77,0, 4, 34,Row,39, 14,183 , 3767 , 37.67,1657296611.8424265 
77,0, 4, 34,Col,39, 14,137 , 3721 , 37.21,1657296611.8424265 
78,0, 4, 34,Row,36, 1,31 , 287 , 2.87,1657296612.3092685 
78,0, 4, 34,Col,36, 0,235 , 235 , 2.35,1657296612.3092685 
79,0, 4, 34,Row,162, 4,102 , 1126 , 11.26,1657296612.760915 
79,0, 4, 34,Col,162, 4,45 , 1069 , 10.69,1657296612.760915 
80,0, 4, 34,Row,159, 2,52 , 564 , 5.64,1657296613.226965 
80,0, 4, 34,Col,159, 2,7 , 519 , 5.19,1657296613.226965 
81,0, 4, 34,Row,28, 9,66 , 2370 , 23.7,1657296613.6960356 
81,0, 4, 34,Col,28, 9,2 , 2306 , 23.06,1657296613.6960356 
82,0, 4, 34,Row,25, 0,135 , 135 , 1.35,1657296614.1772556 
82,0, 4, 34,Col,25, 0,89 , 89 , 0.89,1657296614.1772556 
83,0, 4, 34,Row,23, 14,245 , 3829 , 38.29,1657296614.642591 
83,0, 4, 34,Col,23, 14,204 , 3788 , 37.88,1657296614.642591 
84,0, 4, 34,Row,20, 0,113 , 113 , 1.13,1657296615.1093032 
