dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,3,False,164,8,2,2050,10.25,1669937072.32963
1,0,0,4,19,True,164,7,222,2014,10.07,1669937072.32963
0,1,0,4,3,False,35,7,253,2045,10.225,1669937072.4282057
1,1,0,4,19,True,35,7,218,2010,10.05,1669937072.4282057
0,2,0,4,3,False,163,7,242,2034,10.17,1669937072.5043156
1,2,0,4,19,True,163,7,206,1998,9.99,1669937072.505277
0,3,0,4,3,False,35,8,27,2075,10.375,1669937072.5862658
1,3,0,4,19,True,35,7,248,2040,10.2,1669937072.5862658
0,4,0,4,3,False,162,8,5,2053,10.265,1669937072.6603887
1,4,0,4,19,True,162,7,226,2018,10.09,1669937072.6613858
0,5,0,4,3,False,34,7,251,2043,10.215,1669937072.709314
1,5,0,4,19,True,34,7,216,2008,10.04,1669937072.710351
0,6,0,4,3,False,161,7,237,2029,10.145,1669937072.7828128
1,6,0,4,19,True,161,7,202,1994,9.97,1669937072.7828128
0,7,0,4,3,False,33,7,207,1999,9.995,1669937072.8805373
1,7,0,4,19,True,33,7,172,1964,9.82,1669937072.8807392
0,8,0,4,3,False,160,7,234,2026,10.13,1669937072.9382417
1,8,0,4,19,True,160,7,200,1992,9.96,1669937072.939269
0,9,0,4,3,False,32,7,242,2034,10.17,1669937073.038997
1,9,0,4,19,True,32,7,208,2000,10.0,1669937073.038997
0,10,0,4,3,False,159,8,31,2079,10.395,1669937073.115228
1,10,0,4,19,True,159,7,252,2044,10.22,1669937073.115228
0,11,0,4,3,False,31,8,6,2054,10.27,1669937073.1903017
1,11,0,4,19,True,31,7,226,2018,10.09,1669937073.1912978
0,12,0,4,3,False,159,7,250,2042,10.21,1669937073.264554
1,12,0,4,19,True,159,7,215,2007,10.035,1669937073.2655535
0,13,0,4,3,False,30,7,222,2014,10.07,1669937073.344412
1,13,0,4,19,True,30,7,188,1980,9.9,1669937073.344412
0,14,0,4,3,False,158,8,21,2069,10.345,1669937073.4217262
1,14,0,4,19,True,158,7,242,2034,10.17,1669937073.4217262
0,15,0,4,3,False,29,8,63,2111,10.555,1669937073.4982865
1,15,0,4,19,True,29,8,28,2076,10.38,1669937073.4982865
0,16,0,4,3,False,157,8,73,2121,10.605,1669937073.5827947
1,16,0,4,19,True,157,8,38,2086,10.43,1669937073.5836186
0,17,0,4,3,False,28,7,211,2003,10.015,1669937073.6561105
1,17,0,4,19,True,28,7,176,1968,9.84,1669937073.656378
0,18,0,4,3,False,156,8,16,2064,10.32,1669937073.733936
1,18,0,4,19,True,156,7,238,2030,10.15,1669937073.7341855
0,19,0,4,3,False,27,7,245,2037,10.185,1669937073.8165758
1,19,0,4,19,True,27,7,210,2002,10.01,1669937073.8167963
0,20,0,4,3,False,155,8,49,2097,10.485,1669937073.8905513
1,20,0,4,19,True,155,8,14,2062,10.31,1669937073.8908508
0,21,0,4,3,False,26,8,103,2151,10.755,1669937073.9725792
1,21,0,4,19,True,26,8,68,2116,10.58,1669937073.973402
0,22,0,4,3,False,154,7,177,1969,9.845,1669937074.048828
1,22,0,4,19,True,154,7,142,1934,9.67,1669937074.0501351
0,23,0,4,3,False,26,8,19,2067,10.335,1669937074.1264105
1,23,0,4,19,True,26,7,241,2033,10.165,1669937074.127135
0,24,0,4,3,False,153,8,39,2087,10.435,1669937074.1833715
1,24,0,4,19,True,153,8,4,2052,10.26,1669937074.1835952
0,25,0,4,3,False,25,8,47,2095,10.475,1669937074.2742012
1,25,0,4,19,True,25,8,12,2060,10.3,1669937074.2742012
0,26,0,4,3,False,152,7,147,1939,9.695,1669937074.3563914
1,26,0,4,19,True,152,7,112,1904,9.52,1669937074.3563914
0,27,0,4,3,False,24,7,224,2016,10.08,1669937074.4302337
1,27,0,4,19,True,24,7,189,1981,9.905,1669937074.4302337
0,28,0,4,3,False,151,7,197,1989,9.945,1669937074.5095284
1,28,0,4,19,True,151,7,162,1954,9.77,1669937074.5105226
0,29,0,4,3,False,23,7,238,2030,10.15,1669937074.585607
1,29,0,4,19,True,23,7,203,1995,9.975,1669937074.585607
0,30,0,4,3,False,150,7,232,2024,10.12,1669937074.6671557
1,30,0,4,19,True,150,7,197,1989,9.945,1669937074.6673791
0,31,0,4,3,False,22,8,17,2065,10.325,1669937074.744119
1,31,0,4,19,True,22,7,238,2030,10.15,1669937074.745011
0,32,0,4,3,False,150,7,245,2037,10.185,1669937074.8067842
