dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,123,0,37,37,0.185,1670609377.1586986
1,0,0,4,20,True,123,0,2,2,0.01,1670609377.1586986
0,1,0,4,0,False,251,1,66,322,1.61,1670609377.2573173
1,1,0,4,20,True,251,1,33,289,1.445,1670609377.2578223
0,2,0,4,0,False,122,14,198,3782,18.91,1670609377.3341062
1,2,0,4,20,True,122,14,163,3747,18.735,1670609377.335168
0,3,0,4,0,False,250,15,68,3908,19.54,1670609377.4069817
1,3,0,4,20,True,250,15,34,3874,19.37,1670609377.4069817
0,4,0,4,0,False,121,1,52,308,1.54,1670609377.4848144
1,4,0,4,20,True,121,1,18,274,1.37,1670609377.4848144
0,5,0,4,0,False,249,1,11,267,1.335,1670609377.5614395
1,5,0,4,20,True,249,0,232,232,1.16,1670609377.5616653
0,6,0,4,0,False,120,15,221,4061,20.305,1670609377.6394153
1,6,0,4,20,True,120,15,187,4027,20.135,1670609377.6404169
0,7,0,4,0,False,248,0,8,8,0.04,1670609377.702765
1,7,0,4,20,True,248,15,230,4070,20.35,1670609377.7029316
0,8,0,4,0,False,120,0,106,106,0.53,1670609377.7802298
1,8,0,4,20,True,119,0,71,71,0.355,1670609377.7802298
0,9,0,4,0,False,247,0,183,183,0.915,1670609377.8732817
1,9,0,4,20,True,247,0,148,148,0.74,1670609377.8732817
0,10,0,4,0,False,119,15,177,4017,20.085,1670609377.9522827
1,10,0,4,20,True,119,15,143,3983,19.915,1670609377.9525015
0,11,0,4,0,False,246,1,2,258,1.29,1670609378.0180564
1,11,0,4,20,True,246,0,224,224,1.12,1670609378.0182645
0,12,0,4,0,False,118,0,38,38,0.19,1670609378.0755239
1,12,0,4,20,True,118,0,3,3,0.015,1670609378.0755239
0,13,0,4,0,False,245,15,113,3953,19.765,1670609378.1538124
1,13,0,4,20,True,245,15,78,3918,19.59,1670609378.1538124
0,14,0,4,0,False,117,15,242,4082,20.41,1670609378.2307196
1,14,0,4,20,True,117,15,207,4047,20.235,1670609378.230918
0,15,0,4,0,False,244,0,250,250,1.25,1670609378.3245344
1,15,0,4,20,True,244,0,215,215,1.075,1670609378.324793
0,16,0,4,0,False,116,0,104,104,0.52,1670609378.4000664
1,16,0,4,20,True,116,0,70,70,0.35,1670609378.4000664
0,17,0,4,0,False,243,0,222,222,1.11,1670609378.4637964
1,17,0,4,20,True,243,0,188,188,0.94,1670609378.4637964
0,18,0,4,0,False,115,14,103,3687,18.435,1670609378.5426314
1,18,0,4,20,True,115,14,68,3652,18.26,1670609378.5428371
0,19,0,4,0,False,243,1,72,328,1.64,1670609378.6363955
1,19,0,4,20,True,243,1,37,293,1.465,1670609378.6363955
0,20,0,4,0,False,114,13,120,3448,17.24,1670609378.695524
1,20,0,4,20,True,114,13,85,3413,17.065,1670609378.695524
0,21,0,4,0,False,242,0,99,99,0.495,1670609378.789668
1,21,0,4,20,True,242,0,63,63,0.315,1670609378.7898862
0,22,0,4,0,False,113,0,141,141,0.705,1670609378.8495967
1,22,0,4,20,True,113,0,106,106,0.53,1670609378.8495967
0,23,0,4,0,False,241,14,218,3802,19.01,1670609378.9439938
1,23,0,4,20,True,241,14,183,3767,18.835,1670609378.9439938
0,24,0,4,0,False,112,11,254,3070,15.35,1670609379.0182202
1,24,0,4,20,True,112,11,220,3036,15.18,1670609379.0182202
0,25,0,4,0,False,240,1,11,267,1.335,1670609379.0975795
1,25,0,4,20,True,240,0,232,232,1.16,1670609379.097804
0,26,0,4,0,False,111,0,135,135,0.675,1670609379.17503
1,26,0,4,20,True,111,0,101,101,0.505,1670609379.1752436
0,27,0,4,0,False,239,15,102,3942,19.71,1670609379.2366824
1,27,0,4,20,True,239,15,67,3907,19.535,1670609379.2368827
0,28,0,4,0,False,110,0,118,118,0.59,1670609379.3276637
1,28,0,4,20,True,110,0,83,83,0.415,1670609379.3276637
0,29,0,4,0,False,238,14,86,3670,18.35,1670609379.4125545
1,29,0,4,20,True,238,14,51,3635,18.175,1670609379.4130518
0,30,0,4,0,False,110,13,54,3382,16.91,1670609379.4829764
1,30,0,4,20,True,110,13,20,3348,16.74,1670609379.483185
0,31,0,4,0,False,237,14,132,3716,18.58,1670609379.5737095
1,31,0,4,20,True,237,14,97,3681,18.405,1670609379.5746803
0,32,0,4,0,False,109,1,240,496,2.48,1670609379.6365564
1,32,0,4,20,True,109,1,206,462,2.31,1670609379.6367996
