dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,180,5,40,1320,6.6,1670610682.2213883
1,0,0,4,14,True,180,5,6,1286,6.43,1670610682.2213883
0,1,0,4,0,False,51,5,87,1367,6.835,1670610682.331619
1,1,0,4,14,True,51,5,53,1333,6.665,1670610682.3318532
0,2,0,4,0,False,179,5,159,1439,7.195,1670610682.3918016
1,2,0,4,14,True,179,5,125,1405,7.025,1670610682.3918655
0,3,0,4,0,False,50,5,192,1472,7.36,1670610682.4833977
1,3,0,4,14,True,50,5,159,1439,7.195,1670610682.4833977
0,4,0,4,0,False,178,5,105,1385,6.925,1670610682.5617151
1,4,0,4,14,True,178,5,71,1351,6.755,1670610682.5617151
0,5,0,4,0,False,49,5,125,1405,7.025,1670610682.640039
1,5,0,4,14,True,49,5,92,1372,6.86,1670610682.640253
0,6,0,4,0,False,177,5,82,1362,6.81,1670610682.7011561
1,6,0,4,14,True,177,5,49,1329,6.645,1670610682.7011561
0,7,0,4,0,False,48,5,45,1325,6.625,1670610682.7940958
1,7,0,4,14,True,48,5,11,1291,6.455,1670610682.7940958
0,8,0,4,0,False,176,5,91,1371,6.855,1670610682.871491
1,8,0,4,14,True,176,5,58,1338,6.69,1670610682.8725035
0,9,0,4,0,False,48,5,105,1385,6.925,1670610682.9498339
1,9,0,4,14,True,48,5,72,1352,6.76,1670610682.9498339
0,10,0,4,0,False,175,5,47,1327,6.635,1670610683.0279982
1,10,0,4,14,True,175,5,13,1293,6.465,1670610683.028204
0,11,0,4,0,False,47,5,39,1319,6.595,1670610683.0747094
1,11,0,4,14,True,47,5,5,1285,6.425,1670610683.0747094
0,12,0,4,0,False,174,5,108,1388,6.94,1670610683.1667728
1,12,0,4,14,True,174,5,74,1354,6.77,1670610683.1667728
0,13,0,4,0,False,46,5,142,1422,7.11,1670610683.2439866
1,13,0,4,14,True,46,5,108,1388,6.94,1670610683.2439866
0,14,0,4,0,False,173,5,185,1465,7.325,1670610683.3239777
1,14,0,4,14,True,173,5,151,1431,7.155,1670610683.3239777
0,15,0,4,0,False,45,5,158,1438,7.19,1670610683.3849454
1,15,0,4,14,True,45,5,124,1404,7.02,1670610683.385942
0,16,0,4,0,False,172,5,130,1410,7.05,1670610683.4771128
1,16,0,4,14,True,172,5,95,1375,6.875,1670610683.4771128
0,17,0,4,0,False,44,5,123,1403,7.015,1670610683.5392065
1,17,0,4,14,True,44,5,90,1370,6.85,1670610683.5392065
0,18,0,4,0,False,172,5,15,1295,6.475,1670610683.6310692
1,18,0,4,14,True,171,4,238,1262,6.31,1670610683.6310692
0,19,0,4,0,False,43,5,53,1333,6.665,1670610683.7071347
1,19,0,4,14,True,43,5,20,1300,6.5,1670610683.7071347
0,20,0,4,0,False,171,5,84,1364,6.82,1670610683.784949
1,20,0,4,14,True,171,5,50,1330,6.65,1670610683.784949
0,21,0,4,0,False,42,5,170,1450,7.25,1670610683.8774877
1,21,0,4,14,True,42,5,136,1416,7.08,1670610683.8774877
0,22,0,4,0,False,170,4,201,1225,6.125,1670610683.9549897
1,22,0,4,14,True,170,4,166,1190,5.95,1670610683.9549897
0,23,0,4,0,False,41,5,153,1433,7.165,1670610684.002856
1,23,0,4,14,True,41,5,118,1398,6.99,1670610684.002856
0,24,0,4,0,False,169,5,107,1387,6.935,1670610684.078787
1,24,0,4,14,True,169,5,73,1353,6.765,1670610684.078787
0,25,0,4,0,False,40,5,14,1294,6.47,1670610684.1727962
1,25,0,4,14,True,40,4,236,1260,6.3,1670610684.1727962
0,26,0,4,0,False,168,5,86,1366,6.83,1670610684.2512376
1,26,0,4,14,True,168,5,51,1331,6.655,1670610684.2514613
0,27,0,4,0,False,168,5,40,1320,6.6,1670610684.3269854
1,27,0,4,14,True,39,5,7,1287,6.435,1670610684.3279989
0,28,0,4,0,False,167,5,92,1372,6.86,1670610684.4049325
1,28,0,4,14,True,167,5,58,1338,6.69,1670610684.4049325
0,29,0,4,0,False,39,5,103,1383,6.915,1670610684.4675202
1,29,0,4,14,True,39,5,69,1349,6.745,1670610684.4676847
0,30,0,4,0,False,166,5,76,1356,6.78,1670610684.5598354
1,30,0,4,14,True,166,5,43,1323,6.615,1670610684.5600393
0,31,0,4,0,False,38,5,63,1343,6.715,1670610684.6369247
1,31,0,4,14,True,38,5,28,1308,6.54,1670610684.6369247
