dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,34,False,92,12,239,3311,16.555,1670453156.4600706
1,0,0,4,6,True,92,6,193,1729,8.645,1670453156.4600706
2,0,0,4,34,False,92,14,173,3757,18.785,1670453156.4600706
3,0,0,4,6,True,92,8,103,2151,10.755,1670453156.4600706
4,0,0,4,34,False,139,14,166,3750,18.75,1670453156.4600706
5,0,0,4,6,True,139,14,148,3732,18.66,1670453156.4600706
0,1,0,4,34,False,78,2,110,622,3.11,1670453156.5046074
1,1,0,4,6,True,78,4,53,1077,5.385,1670453156.5046074
2,1,0,4,34,False,121,14,25,3609,18.045,1670453156.5046074
3,1,0,4,6,True,121,14,7,3591,17.955,1670453156.5046074
4,1,0,4,34,False,172,13,28,3356,16.78,1670453156.5046074
5,1,0,4,6,True,172,13,10,3338,16.69,1670453156.5046074
0,2,0,4,34,False,48,0,125,125,0.625,1670453156.5486598
1,2,0,4,6,True,48,2,13,525,2.625,1670453156.5486598
2,2,0,4,34,False,95,12,195,3267,16.335,1670453156.5486598
3,2,0,4,6,True,95,12,177,3249,16.245,1670453156.5486598
0,3,0,4,34,False,165,1,40,296,1.48,1670453156.596926
1,3,0,4,6,True,165,2,164,676,3.38,1670453156.596926
2,3,0,4,34,False,203,12,240,3312,16.56,1670453156.596926
3,3,0,4,6,True,203,12,222,3294,16.47,1670453156.596926
0,4,0,4,34,False,199,2,202,714,3.57,1670453156.6427746
1,4,0,4,6,True,199,4,54,1078,5.39,1670453156.6427746
2,4,0,4,34,False,199,12,42,3114,15.57,1670453156.6427746
3,4,0,4,6,True,199,13,126,3454,17.27,1670453156.6427746
4,4,0,4,34,False,235,13,96,3424,17.12,1670453156.6427746
5,4,0,4,6,True,235,13,78,3406,17.03,1670453156.6427746
0,5,0,4,34,False,78,7,180,1972,9.86,1670453156.688315
1,5,0,4,6,True,78,8,124,2172,10.86,1670453156.688315
2,5,0,4,34,False,78,2,250,762,3.81,1670453156.688315
3,5,0,4,6,True,78,3,170,938,4.69,1670453156.688315
4,5,0,4,34,False,134,12,158,3230,16.15,1670453156.688315
5,5,0,4,6,True,134,12,140,3212,16.06,1670453156.689313
0,6,0,4,34,False,176,13,3,3331,16.655,1670453156.735089
1,6,18,6,4,False,34,4,10,1034,5.17,1670453156.735089
2,6,27,6,4,False,134,3,14,782,3.91,1670453156.735089
3,6,12,6,61,False,61,13,61,3389,16.945,1670453156.7360854
4,6,0,4,2,False,196,2,3,515,2.575,1670453156.7360854
5,6,0,4,6,True,195,4,52,1076,5.38,1670453156.7360854
6,6,0,4,34,False,232,5,99,1379,6.895,1670453156.7360854
7,6,0,4,6,True,232,13,0,3328,16.64,1670453156.7360854
0,7,0,4,34,False,167,7,136,1928,9.64,1670453156.7822623
1,7,0,4,6,True,167,8,234,2282,11.41,1670453156.7822623
2,7,0,4,34,False,167,11,84,2900,14.5,1670453156.7832618
3,7,0,4,6,True,204,4,198,1222,6.11,1670453156.7832618
4,7,0,4,34,False,204,13,134,3462,17.31,1670453156.7832618
5,7,0,4,6,True,204,10,18,2578,12.89,1670453156.7832618
0,8,0,4,34,False,242,14,32,3616,18.08,1670453156.8291779
1,8,0,4,34,False,119,12,137,3209,16.045,1670453156.8291779
2,8,0,4,6,True,119,12,200,3272,16.36,1670453156.8291779
3,8,0,4,34,False,119,4,120,1144,5.72,1670453156.8291779
4,8,0,4,6,True,168,4,16,1040,5.2,1670453156.8291779
5,8,0,4,34,False,168,11,158,2974,14.87,1670453156.8291779
6,8,0,4,6,True,168,0,43,43,0.215,1670453156.8291779
0,9,0,4,34,False,198,12,66,3138,15.69,1670453156.8767083
1,9,0,4,61,False,61,4,34,1058,5.29,1670453156.8767083
2,9,0,4,34,False,187,12,56,3128,15.64,1670453156.8767083
3,9,0,4,6,True,187,14,103,3687,18.435,1670453156.8767083
4,9,0,4,34,False,187,4,122,1146,5.73,1670453156.8767083
5,9,0,4,6,True,187,6,145,1681,8.405,1670453156.8767083
6,9,0,4,34,False,234,14,81,3665,18.325,1670453156.8767083
7,9,0,4,6,True,234,14,63,3647,18.235,1670453156.8767083
0,10,0,4,34,False,127,11,156,2972,14.86,1670453156.9229603
1,10,0,4,6,True,127,12,100,3172,15.86,1670453156.9229603
2,10,0,4,34,False,171,11,78,2894,14.47,1670453156.9229603
3,10,0,4,6,True,171,11,60,2876,14.38,1670453156.9229603
4,10,0,4,34,False,208,12,142,3214,16.07,1670453156.9229603
5,10,0,4,6,True,208,12,124,3196,15.98,1670453156.9229603
0,11,0,4,34,False,226,2,228,740,3.7,1670453156.9688346
1,11,0,4,6,True,226,4,67,1091,5.455,1670453156.9688346
2,11,0,4,34,False,226,13,71,3399,16.995,1670453156.9688346
3,11,0,4,6,True,226,14,143,3727,18.635,1670453156.9688346
4,11,0,4,34,False,8,12,122,3194,15.97,1670453156.9688346
5,11,0,4,6,True,8,12,104,3176,15.88,1670453156.9688346
0,12,0,4,34,False,255,3,194,962,4.81,1670453157.014101
1,12,0,2,63,True,3,2,4,516,2.58,1670453157.015101
2,12,4,2,7,False,14,3,61,829,4.145,1670453157.015101
3,12,0,4,34,False,42,13,57,3385,16.925,1670453157.015101
4,12,0,4,6,True,42,13,39,3367,16.835,1670453157.015101
0,13,0,4,34,False,241,11,151,2967,14.835,1670453157.062586
1,13,0,4,6,True,241,13,17,3345,16.725,1670453157.062586
2,13,0,4,34,False,241,13,235,3563,17.815,1670453157.062586
3,13,0,4,6,True,241,15,77,3917,19.585,1670453157.062586
