dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,14,False,151,8,133,2181,10.905,1666974797.0119326
1,0,0,4,34,True,151,8,135,2183,10.915,1666974797.0120082
0,1,0,4,14,False,23,8,95,2143,10.715,1666974797.0739083
1,1,0,4,34,True,23,8,97,2145,10.725,1666974797.0739083
0,2,0,4,14,False,150,8,113,2161,10.805,1666974797.1546907
1,2,0,4,34,True,150,8,115,2163,10.815,1666974797.1546907
0,3,0,4,14,False,22,8,106,2154,10.77,1666974797.2336123
1,3,0,4,34,True,22,8,109,2157,10.785,1666974797.2339852
0,4,0,4,14,False,149,8,145,2193,10.965,1666974797.3350677
1,4,0,4,34,True,149,8,146,2194,10.97,1666974797.3358848
0,5,0,4,14,False,21,8,99,2147,10.735,1666974797.389936
1,5,0,4,34,True,21,8,100,2148,10.74,1666974797.3901527
0,6,0,4,14,False,148,8,7,2055,10.275,1666974797.466463
1,6,0,4,34,True,148,8,9,2057,10.285,1666974797.4667187
0,7,0,4,14,False,20,8,149,2197,10.985,1666974797.546011
1,7,0,4,34,True,20,8,153,2201,11.005,1666974797.5469882
0,8,0,4,14,False,148,8,85,2133,10.665,1666974797.626783
1,8,0,4,34,True,147,8,87,2135,10.675,1666974797.6274316
0,9,0,4,14,False,19,8,131,2179,10.895,1666974797.701455
1,9,0,4,34,True,19,8,132,2180,10.9,1666974797.7024522
0,10,0,4,14,False,147,8,143,2191,10.955,1666974797.76129
1,10,0,4,34,True,146,8,145,2193,10.965,1666974797.7615085
0,11,0,4,14,False,18,8,71,2119,10.595,1666974797.852083
1,11,0,4,34,True,18,8,72,2120,10.6,1666974797.8530478
0,12,0,4,14,False,146,8,41,2089,10.445,1666974797.9152703
1,12,0,4,34,True,146,8,44,2092,10.46,1666974797.9152703
0,13,0,4,14,False,17,8,153,2201,11.005,1666974798.007464
1,13,0,4,34,True,17,8,156,2204,11.02,1666974798.007802
0,14,0,4,14,False,145,8,116,2164,10.82,1666974798.0857337
1,14,0,4,34,True,145,8,118,2166,10.83,1666974798.0859833
0,15,0,4,14,False,16,8,162,2210,11.05,1666974798.1631324
1,15,0,4,34,True,16,8,165,2213,11.065,1666974798.1631324
0,16,0,4,14,False,144,8,122,2170,10.85,1666974798.2427044
1,16,0,4,34,True,144,8,124,2172,10.86,1666974798.2427044
0,17,0,4,14,False,15,8,76,2124,10.62,1666974798.3199744
1,17,0,4,34,True,15,8,79,2127,10.635,1666974798.320205
0,18,0,4,14,False,143,8,60,2108,10.54,1666974798.4029276
1,18,0,4,34,True,143,8,61,2109,10.545,1666974798.4029276
0,19,0,4,14,False,15,8,38,2086,10.43,1666974798.479572
1,19,0,4,34,True,14,8,42,2090,10.45,1666974798.4805753
0,20,0,4,14,False,142,8,205,2253,11.265,1666974798.5540164
1,20,0,4,34,True,142,8,207,2255,11.275,1666974798.5542557
0,21,0,4,14,False,14,8,102,2150,10.75,1666974798.6380458
1,21,0,4,34,True,14,8,106,2154,10.77,1666974798.6394258
0,22,0,4,14,False,141,8,111,2159,10.795,1666974798.7160902
1,22,0,4,34,True,141,8,114,2162,10.81,1666974798.717321
0,23,0,4,14,False,13,8,155,2203,11.015,1666974798.7949204
1,23,0,4,34,True,13,8,158,2206,11.03,1666974798.7953196
0,24,0,4,14,False,140,8,148,2196,10.98,1666974798.8709033
1,24,0,4,34,True,140,8,149,2197,10.985,1666974798.871901
0,25,0,4,14,False,12,8,60,2108,10.54,1666974798.9449456
1,25,0,4,34,True,12,8,63,2111,10.555,1666974798.9449456
0,26,0,4,14,False,139,8,108,2156,10.78,1666974799.0219939
1,26,0,4,34,True,139,8,110,2158,10.79,1666974799.0219939
0,27,0,4,14,False,11,8,112,2160,10.8,1666974799.0967035
1,27,0,4,34,True,11,8,115,2163,10.815,1666974799.0967035
0,28,0,4,14,False,138,8,140,2188,10.94,1666974799.1752374
1,28,0,4,34,True,138,8,141,2189,10.945,1666974799.175546
0,29,0,4,14,False,10,8,128,2176,10.88,1666974799.256503
1,29,0,4,34,True,10,8,129,2177,10.885,1666974799.2567277
0,30,0,4,14,False,138,8,82,2130,10.65,1666974799.3349967
1,30,0,4,34,True,138,8,83,2131,10.655,1666974799.3349967
0,31,0,4,14,False,9,8,148,2196,10.98,1666974799.4119387
1,31,0,4,34,True,9,8,150,2198,10.99,1666974799.4129474
0,32,0,4,14,False,137,8,138,2186,10.93,1666974799.4925964
1,32,0,4,34,True,137,8,141,2189,10.945,1666974799.4925964
0,33,0,4,14,False,8,8,120,2168,10.84,1666974799.5687048
1,33,0,4,34,True,8,8,122,2170,10.85,1666974799.5694454
0,34,0,4,14,False,136,8,77,2125,10.625,1666974799.6429555
1,34,0,4,34,True,136,8,82,2130,10.65,1666974799.6429555
0,35,0,4,14,False,7,8,95,2143,10.715,1666974799.7171926
1,35,0,4,34,True,7,8,97,2145,10.725,1666974799.7171926
0,36,0,4,14,False,135,8,156,2204,11.02,1666974799.7953956
1,36,0,4,34,True,135,8,160,2208,11.04,1666974799.7956083
0,37,0,4,14,False,6,8,14,2062,10.31,1666974799.878754
1,37,0,4,34,True,6,8,18,2066,10.33,1666974799.878754
0,38,0,4,14,False,134,8,54,2102,10.51,1666974799.9544091
1,38,0,4,34,True,134,8,56,2104,10.52,1666974799.9554138
0,39,0,4,14,False,6,8,44,2092,10.46,1666974800.0325837
1,39,0,4,34,True,5,8,44,2092,10.46,1666974800.034177
0,40,0,4,14,False,133,8,81,2129,10.645,1666974800.1110866
1,40,0,4,34,True,133,8,84,2132,10.66,1666974800.1115873
0,41,0,4,14,False,5,7,248,2040,10.2,1666974800.18962
1,41,0,4,34,True,5,7,250,2042,10.21,1666974800.1901603
0,42,0,4,14,False,132,8,160,2208,11.04,1666974800.2653868
1,42,0,4,34,True,132,8,160,2208,11.04,1666974800.2659304
0,43,0,4,14,False,4,8,84,2132,10.66,1666974800.3437936
1,43,0,4,34,True,4,8,85,2133,10.665,1666974800.3444154
0,44,0,4,14,False,131,8,150,2198,10.99,1666974800.4200997
1,44,0,4,34,True,131,8,153,2201,11.005,1666974800.4212656
0,45,0,4,14,False,3,8,122,2170,10.85,1666974800.4942079
1,45,0,4,34,True,3,8,124,2172,10.86,1666974800.4944463
0,46,0,4,14,False,130,8,207,2255,11.275,1666974800.573706
1,46,0,4,34,True,130,8,209,2257,11.285,1666974800.573706
0,47,0,4,14,False,2,8,116,2164,10.82,1666974800.655526
1,47,0,4,34,True,2,8,118,2166,10.83,1666974800.6560714
0,48,0,4,14,False,130,8,71,2119,10.595,1666974800.7319689
1,48,0,4,34,True,129,8,73,2121,10.605,1666974800.7333083
0,49,0,4,14,False,1,8,182,2230,11.15,1666974800.8107264
1,49,0,4,34,True,1,8,185,2233,11.165,1666974800.8111572
0,50,0,4,14,False,129,8,66,2114,10.57,1666974800.882902
1,50,0,4,34,True,128,8,69,2117,10.585,1666974800.882902
0,51,0,4,14,False,0,8,109,2157,10.785,1666974800.9460669
1,51,0,4,34,True,0,8,119,2167,10.835,1666974800.9463155
0,52,0,4,14,False,128,8,147,2195,10.975,1666974801.045412
1,52,0,4,34,True,128,8,149,2197,10.985,1666974801.0464196
0,53,0,4,14,False,255,8,94,2142,10.71,1666974801.107094
1,53,0,4,34,True,255,8,95,2143,10.715,1666974801.1076405
0,54,0,4,14,False,127,8,34,2082,10.41,1666974801.185552
1,54,0,4,34,True,127,8,37,2085,10.425,1666974801.185552
0,55,0,4,14,False,254,8,89,2137,10.685,1666974801.262334
1,55,0,4,34,True,254,8,92,2140,10.7,1666974801.263503
0,56,0,4,14,False,126,8,123,2171,10.855,1666974801.3329217
1,56,0,4,34,True,126,8,127,2175,10.875,1666974801.3329217
0,57,0,4,14,False,253,8,14,2062,10.31,1666974801.4004917
1,57,0,4,34,True,253,8,16,2064,10.32,1666974801.4010034
0,58,0,4,14,False,125,8,85,2133,10.665,1666974801.4962125
1,58,0,4,34,True,125,8,89,2137,10.685,1666974801.4966722
0,59,0,4,14,False,253,8,61,2109,10.545,1666974801.5712986
1,59,0,4,34,True,252,8,62,2110,10.55,1666974801.5718417
0,60,0,4,14,False,124,8,58,2106,10.53,1666974801.6491067
1,60,0,4,34,True,124,8,62,2110,10.55,1666974801.6495552
0,61,0,4,14,False,252,8,59,2107,10.535,1666974801.7215621
1,61,0,4,34,True,252,8,60,2108,10.54,1666974801.7215621
0,62,0,4,14,False,123,8,104,2152,10.76,1666974801.8038003
1,62,0,4,34,True,123,8,107,2155,10.775,1666974801.8038003
0,63,0,4,14,False,251,8,133,2181,10.905,1666974801.8769882
1,63,0,4,34,True,251,8,135,2183,10.915,1666974801.8769882
0,64,0,4,14,False,122,8,185,2233,11.165,1666974801.9562862
1,64,0,4,34,True,122,8,189,2237,11.185,1666974801.9565618
0,65,0,4,14,False,250,8,105,2153,10.765,1666974802.0360248
1,65,0,4,34,True,250,8,108,2156,10.78,1666974802.0370321
0,66,0,4,14,False,121,8,123,2171,10.855,1666974802.1146653
1,66,0,4,34,True,121,8,125,2173,10.865,1666974802.1156688
0,67,0,4,14,False,249,8,141,2189,10.945,1666974802.193853
1,67,0,4,34,True,249,8,143,2191,10.955,1666974802.1943939
0,68,0,4,14,False,121,8,88,2136,10.68,1666974802.270623
1,68,0,4,34,True,120,8,91,2139,10.695,1666974802.2713854
0,69,0,4,14,False,248,8,43,2091,10.455,1666974802.3424404
1,69,0,4,34,True,248,8,45,2093,10.465,1666974802.3424404
0,70,0,4,14,False,120,8,61,2109,10.545,1666974802.4267454
1,70,0,4,34,True,119,8,63,2111,10.555,1666974802.4275556
0,71,0,4,14,False,247,8,119,2167,10.835,1666974802.4835064
1,71,0,4,34,True,247,8,120,2168,10.84,1666974802.4837365
0,72,0,4,14,False,119,8,100,2148,10.74,1666974802.5806618
1,72,0,4,34,True,119,8,101,2149,10.745,1666974802.5806618
0,73,0,4,14,False,246,8,48,2096,10.48,1666974802.6529198
1,73,0,4,34,True,246,8,49,2097,10.485,1666974802.6529198
0,74,0,4,14,False,118,8,129,2177,10.885,1666974802.737928
1,74,0,4,34,True,118,8,130,2178,10.89,1666974802.7384746
0,75,0,4,14,False,245,8,198,2246,11.23,1666974802.8130302
1,75,0,4,34,True,245,8,200,2248,11.24,1666974802.8130302
0,76,0,4,14,False,117,8,75,2123,10.615,1666974802.8848374
1,76,0,4,34,True,117,8,79,2127,10.635,1666974802.8848374
0,77,0,4,14,False,244,8,105,2153,10.765,1666974802.9690557
1,77,0,4,34,True,244,8,106,2154,10.77,1666974802.9690557
0,78,0,4,14,False,116,8,136,2184,10.92,1666974803.046609
1,78,0,4,34,True,116,8,138,2186,10.93,1666974803.046609
0,79,0,4,14,False,244,8,86,2134,10.67,1666974803.1254368
1,79,0,4,34,True,243,8,89,2137,10.685,1666974803.1259801
0,80,0,4,14,False,115,8,109,2157,10.785,1666974803.2015283
1,80,0,4,34,True,115,8,108,2156,10.78,1666974803.2015283
0,81,0,4,14,False,243,8,82,2130,10.65,1666974803.281667
