dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,22,False,43,7,246,2038,10.19,1667240721.4406579
1,0,0,4,6,True,43,7,224,2016,10.08,1667240721.441906
0,1,0,4,22,False,171,7,195,1987,9.935,1667240721.5197752
1,1,0,4,6,True,171,7,174,1966,9.83,1667240721.520776
0,2,0,4,22,False,42,7,193,1985,9.925,1667240721.5980024
1,2,0,4,6,True,42,7,172,1964,9.82,1667240721.5984669
0,3,0,4,22,False,170,7,181,1973,9.865,1667240721.6754
1,3,0,4,6,True,170,7,159,1951,9.755,1667240721.6754
0,4,0,4,22,False,42,8,57,2105,10.525,1667240721.755642
1,4,0,4,6,True,42,8,35,2083,10.415,1667240721.7561944
0,5,0,4,22,False,169,7,145,1937,9.685,1667240721.832511
1,5,0,4,6,True,169,7,124,1916,9.58,1667240721.8334541
0,6,0,4,22,False,41,7,240,2032,10.16,1667240721.8933837
1,6,0,4,6,True,41,7,219,2011,10.055,1667240721.893786
0,7,0,4,22,False,168,7,102,1894,9.47,1667240721.9766653
1,7,0,4,6,True,168,7,81,1873,9.365,1667240721.9771836
0,8,0,4,22,False,40,7,156,1948,9.74,1667240722.0517256
1,8,0,4,6,True,40,7,135,1927,9.635,1667240722.0519552
0,9,0,4,22,False,167,7,115,1907,9.535,1667240722.1300244
1,9,0,4,6,True,167,7,95,1887,9.435,1667240722.1305795
0,10,0,4,22,False,39,8,26,2074,10.37,1667240722.2077386
1,10,0,4,6,True,39,8,5,2053,10.265,1667240722.2077386
0,11,0,4,22,False,166,8,73,2121,10.605,1667240722.284699
1,11,0,4,6,True,166,8,51,2099,10.495,1667240722.284699
0,12,0,4,22,False,38,8,5,2053,10.265,1667240722.3649704
1,12,0,4,6,True,38,7,239,2031,10.155,1667240722.3664262
0,13,0,4,22,False,166,8,77,2125,10.625,1667240722.4373283
1,13,0,4,6,True,165,8,56,2104,10.52,1667240722.4373283
0,14,0,4,22,False,37,8,51,2099,10.495,1667240722.5215328
1,14,0,4,6,True,37,8,30,2078,10.39,1667240722.5225341
0,15,0,4,22,False,165,7,123,1915,9.575,1667240722.582059
1,15,0,4,6,True,165,7,102,1894,9.47,1667240722.582059
0,16,0,4,22,False,36,8,18,2066,10.33,1667240722.6552098
