dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,183,8,174,2222,11.11,1666893350.9968996
1,0,0,4,0,True,183,8,155,2203,11.015,1666893350.9968996
0,1,0,4,0,False,55,9,42,2346,11.73,1666893351.1057227
1,1,0,4,0,True,55,9,23,2327,11.635,1666893351.1057227
0,2,0,4,0,False,182,8,165,2213,11.065,1666893351.1675253
1,2,0,4,0,True,182,8,145,2193,10.965,1666893351.1675253
0,3,0,4,0,False,54,9,39,2343,11.715,1666893351.261865
1,3,0,4,0,True,54,9,19,2323,11.615,1666893351.261865
0,4,0,4,0,False,181,8,174,2222,11.11,1666893351.337677
1,4,0,4,0,True,181,8,154,2202,11.01,1666893351.338168
0,5,0,4,0,False,53,8,163,2211,11.055,1666893351.3989305
1,5,0,4,0,True,53,8,144,2192,10.96,1666893351.3989305
0,6,0,4,0,False,180,8,163,2211,11.055,1666893351.4909112
1,6,0,4,0,True,180,8,144,2192,10.96,1666893351.4919086
0,7,0,4,0,False,52,8,75,2123,10.615,1666893351.5693421
1,7,0,4,0,True,52,8,55,2103,10.515,1666893351.5693421
0,8,0,4,0,False,180,7,201,1993,9.965,1666893351.645837
1,8,0,4,0,True,179,7,181,1973,9.865,1666893351.6462002
0,9,0,4,0,False,51,8,133,2181,10.905,1666893351.706873
1,9,0,4,0,True,51,8,114,2162,10.81,1666893351.706873
0,10,0,4,0,False,179,8,74,2122,10.61,1666893351.7838073
1,10,0,4,0,True,179,8,55,2103,10.515,1666893351.7838073
0,11,0,4,0,False,50,8,46,2094,10.47,1666893351.875922
1,11,0,4,0,True,50,8,26,2074,10.37,1666893351.8761494
0,12,0,4,0,False,178,8,36,2084,10.42,1666893351.9512105
1,12,0,4,0,True,178,8,17,2065,10.325,1666893351.9512105
0,13,0,4,0,False,49,8,63,2111,10.555,1666893352.014834
1,13,0,4,0,True,49,8,44,2092,10.46,1666893352.014834
0,14,0,4,0,False,177,8,172,2220,11.1,1666893352.1084971
1,14,0,4,0,True,177,8,154,2202,11.01,1666893352.1084971
0,15,0,4,0,False,48,8,138,2186,10.93,1666893352.1689036
1,15,0,4,0,True,48,8,120,2168,10.84,1666893352.1689036
0,16,0,4,0,False,176,8,192,2240,11.2,1666893352.247957
1,16,0,4,0,True,176,8,174,2222,11.11,1666893352.247957
0,17,0,4,0,False,47,9,27,2331,11.655,1666893352.3247263
1,17,0,4,0,True,47,9,8,2312,11.56,1666893352.3247263
0,18,0,4,0,False,175,8,114,2162,10.81,1666893352.4027932
1,18,0,4,0,True,175,8,94,2142,10.71,1666893352.4027932
0,19,0,4,0,False,47,8,196,2244,11.22,1666893352.4966605
1,19,0,4,0,True,46,8,177,2225,11.125,1666893352.4968717
0,20,0,4,0,False,174,9,75,2379,11.895,1666893352.5591278
1,20,0,4,0,True,174,9,56,2360,11.8,1666893352.5591278
0,21,0,4,0,False,46,8,139,2187,10.935,1666893352.6528387
1,21,0,4,0,True,46,8,120,2168,10.84,1666893352.6528387
0,22,0,4,0,False,173,9,30,2334,11.67,1666893352.715014
1,22,0,4,0,True,173,9,11,2315,11.575,1666893352.71598
0,23,0,4,0,False,45,8,160,2208,11.04,1666893352.807297
1,23,0,4,0,True,45,8,142,2190,10.95,1666893352.807297
0,24,0,4,0,False,172,8,161,2209,11.045,1666893352.8852417
1,24,0,4,0,True,172,8,142,2190,10.95,1666893352.8852417
0,25,0,4,0,False,44,8,90,2138,10.69,1666893352.9491975
1,25,0,4,0,True,44,8,71,2119,10.595,1666893352.9491975
0,26,0,4,0,False,171,8,214,2262,11.31,1666893353.026666
1,26,0,4,0,True,171,8,195,2243,11.215,1666893353.026666
0,27,0,4,0,False,43,8,150,2198,10.99,1666893353.1189613
1,27,0,4,0,True,43,8,130,2178,10.89,1666893353.1189613
0,28,0,4,0,False,171,8,155,2203,11.015,1666893353.203647
1,28,0,4,0,True,170,8,136,2184,10.92,1666893353.203647
0,29,0,4,0,False,42,8,171,2219,11.095,1666893353.2601583
1,29,0,4,0,True,42,8,152,2200,11.0,1666893353.2603645
0,30,0,4,0,False,170,8,149,2197,10.985,1666893353.3227873
1,30,0,4,0,True,170,8,130,2178,10.89,1666893353.3227873
0,31,0,4,0,False,41,9,65,2369,11.845,1666893353.4236703
1,31,0,4,0,True,41,9,46,2350,11.75,1666893353.4236703
0,32,0,4,0,False,169,8,117,2165,10.825,1666893353.494828
1,32,0,4,0,True,169,8,97,2145,10.725,1666893353.4958248
0,33,0,4,0,False,40,8,133,2181,10.905,1666893353.5727587
1,33,0,4,0,True,40,8,113,2161,10.805,1666893353.5727587
