dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,253,7,181,1973,9.865,1666722428.633329
1,0,0,4,0,True,252,7,223,2015,10.075,1666722428.633531
0,1,0,4,0,False,124,7,189,1981,9.905,1666722428.6835217
1,1,0,4,0,True,124,7,235,2027,10.135,1666722428.6849332
0,2,0,4,0,False,252,8,81,2129,10.645,1666722428.7767873
1,2,0,4,0,True,252,8,131,2179,10.895,1666722428.7779136
0,3,0,4,0,False,124,7,53,1845,9.225,1666722428.8644204
1,3,0,4,0,True,123,7,100,1892,9.46,1666722428.8644204
0,4,0,4,0,False,251,7,211,2003,10.015,1666722428.9409997
1,4,0,4,0,True,251,8,4,2052,10.26,1666722428.9409997
0,5,0,4,0,False,123,8,52,2100,10.5,1666722429.004151
1,5,0,4,0,True,122,8,98,2146,10.73,1666722429.004151
0,6,0,4,0,False,250,7,120,1912,9.56,1666722429.08219
1,6,0,4,0,True,250,7,164,1956,9.78,1666722429.0824103
0,7,0,4,0,False,122,7,188,1980,9.9,1666722429.176495
1,7,0,4,0,True,121,7,231,2023,10.115,1666722429.1767437
0,8,0,4,0,False,249,8,141,2189,10.945,1666722429.2358217
1,8,0,4,0,True,249,8,189,2237,11.185,1666722429.2358217
0,9,0,4,0,False,121,7,196,1988,9.94,1666722429.3017204
1,9,0,4,0,True,120,7,241,2033,10.165,1666722429.302723
0,10,0,4,0,False,248,8,12,2060,10.3,1666722429.393245
1,10,0,4,0,True,248,8,58,2106,10.53,1666722429.393245
0,11,0,4,0,False,120,8,52,2100,10.5,1666722429.4548733
1,11,0,4,0,True,119,8,96,2144,10.72,1666722429.4548733
0,12,0,4,0,False,247,7,182,1974,9.87,1666722429.5478692
1,12,0,4,0,True,247,7,229,2021,10.105,1666722429.5478692
0,13,0,4,0,False,119,7,235,2027,10.135,1666722429.6086683
1,13,0,4,0,True,119,8,31,2079,10.395,1666722429.6086683
0,14,0,4,0,False,247,7,159,1951,9.755,1666722429.701749
1,14,0,4,0,True,246,7,205,1997,9.985,1666722429.701749
0,15,0,4,0,False,118,8,45,2093,10.465,1666722429.7648137
1,15,0,4,0,True,118,8,90,2138,10.69,1666722429.7658226
0,16,0,4,0,False,246,7,72,1864,9.32,1666722429.859336
1,16,0,4,0,True,245,7,115,1907,9.535,1666722429.859336
0,17,0,4,0,False,117,8,48,2096,10.48,1666722429.921863
1,17,0,4,0,True,117,8,92,2140,10.7,1666722429.9220746
0,18,0,4,0,False,245,7,201,1993,9.965,1666722429.9988694
1,18,0,4,0,True,244,7,245,2037,10.185,1666722429.9988694
0,19,0,4,0,False,116,8,5,2053,10.265,1666722430.0951555
1,19,0,4,0,True,116,8,49,2097,10.485,1666722430.0951555
0,20,0,4,0,False,244,7,214,2006,10.03,1666722430.1673813
1,20,0,4,0,True,243,8,3,2051,10.255,1666722430.1673813
0,21,0,4,0,False,115,8,1,2049,10.245,1666722430.2314544
1,21,0,4,0,True,115,8,61,2109,10.545,1666722430.231593
0,22,0,4,0,False,243,7,162,1954,9.77,1666722430.3237512
1,22,0,4,0,True,243,7,211,2003,10.015,1666722430.3237512
0,23,0,4,0,False,115,7,245,2037,10.185,1666722430.400896
1,23,0,4,0,True,114,8,37,2085,10.425,1666722430.400896
0,24,0,4,0,False,242,8,41,2089,10.445,1666722430.4795527
1,24,0,4,0,True,242,8,86,2134,10.67,1666722430.4795527
0,25,0,4,0,False,114,7,161,1953,9.765,1666722430.5579956
1,25,0,4,0,True,113,7,212,2004,10.02,1666722430.5579956
0,26,0,4,0,False,241,7,242,2034,10.17,1666722430.6338162
1,26,0,4,0,True,241,8,36,2084,10.42,1666722430.6348176
0,27,0,4,0,False,113,7,221,2013,10.065,1666722430.7146585
1,27,0,4,0,True,112,8,10,2058,10.29,1666722430.7146585
0,28,0,4,0,False,240,7,248,2040,10.2,1666722430.7887897
1,28,0,4,0,True,240,8,35,2083,10.415,1666722430.7887897
0,29,0,4,0,False,112,7,249,2041,10.205,1666722430.8710926
1,29,0,4,0,True,111,8,40,2088,10.44,1666722430.8710926
0,30,0,4,0,False,239,7,113,1905,9.525,1666722430.9436438
1,30,0,4,0,True,239,7,162,1954,9.77,1666722430.9439416
0,31,0,4,0,False,111,8,131,2179,10.895,1666722431.0196977
1,31,0,4,0,True,110,8,176,2224,11.12,1666722431.0199347
0,32,0,4,0,False,238,8,111,2159,10.795,1666722431.1006513
1,32,0,4,0,True,238,8,158,2206,11.03,1666722431.1008484
0,33,0,4,0,False,110,8,59,2107,10.535,1666722431.1830256
1,33,0,4,0,True,110,8,105,2153,10.765,1666722431.1830256
0,34,0,4,0,False,238,7,88,1880,9.4,1666722431.2569509
1,34,0,4,0,True,237,7,135,1927,9.635,1666722431.2571774
0,35,0,4,0,False,109,7,104,1896,9.48,1666722431.3372412
1,35,0,4,0,True,109,7,148,1940,9.7,1666722431.3376942
0,36,0,4,0,False,237,7,140,1932,9.66,1666722431.4078403
1,36,0,4,0,True,236,7,188,1980,9.9,1666722431.4078403
0,37,0,4,0,False,108,7,135,1927,9.635,1666722431.4844224
1,37,0,4,0,True,108,7,181,1973,9.865,1666722431.4846656
0,38,0,4,0,False,236,7,202,1994,9.97,1666722431.5630221
1,38,0,4,0,True,235,7,251,2043,10.215,1666722431.5630221
0,39,0,4,0,False,107,8,21,2069,10.345,1666722431.6403306
1,39,0,4,0,True,107,8,67,2115,10.575,1666722431.6403306
0,40,0,4,0,False,235,8,17,2065,10.325,1666722431.7229323
1,40,0,4,0,True,234,8,69,2117,10.585,1666722431.7235436
0,41,0,4,0,False,106,7,210,2002,10.01,1666722431.79877
1,41,0,4,0,True,106,8,5,2053,10.265,1666722431.79877
0,42,0,4,0,False,234,8,18,2066,10.33,1666722431.876355
1,42,0,4,0,True,234,8,63,2111,10.555,1666722431.876355
0,43,0,4,0,False,106,7,253,2045,10.225,1666722431.9530485
1,43,0,4,0,True,105,8,42,2090,10.45,1666722431.9537845
0,44,0,4,0,False,233,7,86,1878,9.39,1666722432.0296168
1,44,0,4,0,True,233,7,135,1927,9.635,1666722432.0296168
0,45,0,4,0,False,105,7,209,2001,10.005,1666722432.1078587
1,45,0,4,0,True,104,8,2,2050,10.25,1666722432.1078587
0,46,0,4,0,False,232,8,181,2229,11.145,1666722432.1912107
1,46,0,4,0,True,232,8,230,2278,11.39,1666722432.1915188
0,47,0,4,0,False,104,8,41,2089,10.445,1666722432.2654274
1,47,0,4,0,True,103,8,86,2134,10.67,1666722432.2654274
0,48,0,4,0,False,231,7,180,1972,9.86,1666722432.3423796
1,48,0,4,0,True,231,7,227,2019,10.095,1666722432.3426223
0,49,0,4,0,False,103,8,56,2104,10.52,1666722432.4232268
1,49,0,4,0,True,102,8,101,2149,10.745,1666722432.4235318
0,50,0,4,0,False,230,8,70,2118,10.59,1666722432.4934742
1,50,0,4,0,True,230,8,167,2215,11.075,1666722432.4934742
0,51,0,4,0,False,102,8,69,2117,10.585,1666722432.5710773
1,51,0,4,0,True,101,8,114,2162,10.81,1666722432.5710773
0,52,0,4,0,False,229,7,204,1996,9.98,1666722432.6544333
1,52,0,4,0,True,229,7,250,2042,10.21,1666722432.6544333
0,53,0,4,0,False,101,7,165,1957,9.785,1666722432.7131588
1,53,0,4,0,True,101,7,214,2006,10.03,1666722432.7131588
0,54,0,4,0,False,229,8,37,2085,10.425,1666722432.8063726
1,54,0,4,0,True,228,8,86,2134,10.67,1666722432.8063726
0,55,0,4,0,False,100,7,247,2039,10.195,1666722432.8893278
1,55,0,4,0,True,100,8,37,2085,10.425,1666722432.8895094
0,56,0,4,0,False,228,8,49,2097,10.485,1666722432.965096
1,56,0,4,0,True,227,8,94,2142,10.71,1666722432.965096
0,57,0,4,0,False,99,7,97,1889,9.445,1666722433.0447893
1,57,0,4,0,True,99,7,149,1941,9.705,1666722433.0454597
0,58,0,4,0,False,227,7,74,1866,9.33,1666722433.1205783
1,58,0,4,0,True,226,7,119,1911,9.555,1666722433.1215873
0,59,0,4,0,False,98,8,101,2149,10.745,1666722433.1971803
1,59,0,4,0,True,98,8,145,2193,10.965,1666722433.1976287
0,60,0,4,0,False,226,7,175,1967,9.835,1666722433.2579713
1,60,0,4,0,True,225,7,222,2014,10.07,1666722433.2592885
0,61,0,4,0,False,97,8,68,2116,10.58,1666722433.3507578
1,61,0,4,0,True,97,8,115,2163,10.815,1666722433.3507578
0,62,0,4,0,False,225,7,120,1912,9.56,1666722433.4271986
1,62,0,4,0,True,225,7,166,1958,9.79,1666722433.4274957
0,63,0,4,0,False,97,8,232,2280,11.4,1666722433.5051935
