dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,146,5,115,1395,13.95,1660068451.896773
1,0,0,4,0,True,146,5,124,1404,14.04,1660068451.896773
0,1,0,4,0,False,17,4,118,1142,11.42,1660068451.9753125
1,1,0,4,0,True,17,4,127,1151,11.51,1660068451.9755113
0,2,0,4,0,False,145,3,234,1002,10.02,1660068452.0688384
1,2,0,4,0,True,145,3,244,1012,10.12,1660068452.069089
0,3,0,4,0,False,16,1,161,417,4.17,1660068452.1503549
1,3,0,4,0,True,16,1,170,426,4.26,1660068452.151353
0,4,0,4,0,False,144,0,109,109,1.09,1660068452.2215486
1,4,0,4,0,True,144,0,120,120,1.2,1660068452.2215486
0,5,0,4,0,False,15,1,119,375,3.75,1660068452.298721
1,5,0,4,0,True,15,1,127,383,3.83,1660068452.298721
0,6,0,4,0,False,143,3,29,797,7.97,1660068452.376521
1,6,0,4,0,True,143,3,39,807,8.07,1660068452.376521
0,7,0,4,0,False,15,2,208,720,7.2,1660068452.4543495
1,7,0,4,0,True,14,2,217,729,7.29,1660068452.4543495
0,8,0,4,0,False,142,1,121,377,3.77,1660068452.5387092
1,8,0,4,0,True,142,1,127,383,3.83,1660068452.539715
0,9,0,4,0,False,14,4,1,1025,10.25,1660068452.6161227
1,9,0,4,0,True,14,4,9,1033,10.33,1660068452.6161227
0,10,0,4,0,False,141,4,126,1150,11.5,1660068452.6883833
1,10,0,4,0,True,141,4,133,1157,11.57,1660068452.6883833
0,11,0,4,0,False,13,1,154,410,4.1,1660068452.7504456
1,11,0,4,0,True,13,1,162,418,4.18,1660068452.7514439
0,12,0,4,0,False,140,4,125,1149,11.49,1660068452.8124456
1,12,0,4,0,True,140,4,135,1159,11.59,1660068452.8124456
0,13,0,4,0,False,12,3,86,854,8.54,1660068452.890357
1,13,0,4,0,True,12,3,95,863,8.63,1660068452.890357
0,14,0,4,0,False,139,2,90,602,6.02,1660068452.969047
1,14,0,4,0,True,139,2,99,611,6.11,1660068452.9700358
0,15,0,4,0,False,11,3,154,922,9.22,1660068453.0612376
1,15,0,4,0,True,11,3,160,928,9.28,1660068453.0614433
0,16,0,4,0,False,139,3,25,793,7.93,1660068453.1241565
