dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,174,7,227,2019,10.095,1666294997.4627447
1,0,0,4,0,True,173,8,42,2090,10.45,1666294997.4633148
0,1,0,4,0,False,45,7,65,1857,9.285,1666294997.512228
1,1,0,4,0,True,44,7,134,1926,9.63,1666294997.512724
0,2,0,4,0,False,173,7,142,1934,9.67,1666294997.6007276
1,2,0,4,0,True,172,7,215,2007,10.035,1666294997.6007276
0,3,0,4,0,False,44,7,72,1864,9.32,1666294997.6849105
1,3,0,4,0,True,43,7,145,1937,9.685,1666294997.6849105
0,4,0,4,0,False,172,7,252,2044,10.22,1666294997.7653985
1,4,0,4,0,True,171,8,72,2120,10.6,1666294997.765932
0,5,0,4,0,False,43,7,167,1959,9.795,1666294997.8233566
1,5,0,4,0,True,43,7,235,2027,10.135,1666294997.8237908
0,6,0,4,0,False,171,7,246,2038,10.19,1666294997.9034448
1,6,0,4,0,True,170,8,64,2112,10.56,1666294997.9041321
0,7,0,4,0,False,42,7,186,1978,9.89,1666294997.9815195
1,7,0,4,0,True,42,8,3,2051,10.255,1666294997.982107
0,8,0,4,0,False,170,7,152,1944,9.72,1666294998.0523388
1,8,0,4,0,True,169,7,221,2013,10.065,1666294998.0523388
0,9,0,4,0,False,41,7,125,1917,9.585,1666294998.1159306
1,9,0,4,0,True,41,7,191,1983,9.915,1666294998.1159306
0,10,0,4,0,False,169,7,194,1986,9.93,1666294998.2133148
1,10,0,4,0,True,168,8,12,2060,10.3,1666294998.2135186
0,11,0,4,0,False,41,7,146,1938,9.69,1666294998.2930765
1,11,0,4,0,True,40,7,218,2010,10.05,1666294998.2930765
0,12,0,4,0,False,168,7,156,1948,9.74,1666294998.3492398
1,12,0,4,0,True,167,7,223,2015,10.075,1666294998.3493514
0,13,0,4,0,False,40,7,69,1861,9.305,1666294998.427458
1,13,0,4,0,True,39,7,141,1933,9.665,1666294998.427458
0,14,0,4,0,False,167,7,125,1917,9.585,1666294998.5081902
1,14,0,4,0,True,167,7,199,1991,9.955,1666294998.5081902
0,15,0,4,0,False,39,7,112,1904,9.52,1666294998.6002476
1,15,0,4,0,True,38,7,185,1977,9.885,1666294998.6013563
0,16,0,4,0,False,166,8,7,2055,10.275,1666294998.6639109
1,16,0,4,0,True,166,8,83,2131,10.655,1666294998.6641972
0,17,0,4,0,False,38,7,189,1981,9.905,1666294998.7592676
1,17,0,4,0,True,37,8,13,2061,10.305,1666294998.7592676
0,18,0,4,0,False,165,7,197,1989,9.945,1666294998.8325238
1,18,0,4,0,True,165,8,17,2065,10.325,1666294998.8325238
0,19,0,4,0,False,37,8,107,2155,10.775,1666294998.917327
1,19,0,4,0,True,36,8,181,2229,11.145,1666294998.9178908
0,20,0,4,0,False,164,7,145,1937,9.685,1666294998.9954305
1,20,0,4,0,True,164,7,223,2015,10.075,1666294998.9959595
0,21,0,4,0,False,36,7,192,1984,9.92,1666294999.0735557
1,21,0,4,0,True,35,8,20,2068,10.34,1666294999.0740921
0,22,0,4,0,False,164,7,131,1923,9.615,1666294999.153754
1,22,0,4,0,True,163,7,202,1994,9.97,1666294999.1543474
0,23,0,4,0,False,35,7,212,2004,10.02,1666294999.2288122
1,23,0,4,0,True,34,8,24,2072,10.36,1666294999.229837
0,24,0,4,0,False,163,7,154,1946,9.73,1666294999.3072884
1,24,0,4,0,True,162,7,231,2023,10.115,1666294999.307824
0,25,0,4,0,False,34,7,160,1952,9.76,1666294999.3849857
1,25,0,4,0,True,34,7,225,2017,10.085,1666294999.3849857
0,26,0,4,0,False,162,7,30,1822,9.11,1666294999.465318
1,26,0,4,0,True,161,7,111,1903,9.515,1666294999.4658358
0,27,0,4,0,False,33,7,92,1884,9.42,1666294999.52712
1,27,0,4,0,True,33,7,174,1966,9.83,1666294999.5276468
0,28,0,4,0,False,161,7,187,1979,9.895,1666294999.6012006
1,28,0,4,0,True,160,8,1,2049,10.245,1666294999.6021621
0,29,0,4,0,False,32,7,84,1876,9.38,1666294999.677103
1,29,0,4,0,True,32,7,158,1950,9.75,1666294999.6774144
0,30,0,4,0,False,160,7,208,2000,10.0,1666294999.7673655
1,30,0,4,0,True,159,8,24,2072,10.36,1666294999.7673655
0,31,0,4,0,False,32,8,90,2138,10.69,1666294999.8285468
1,31,0,4,0,True,31,8,165,2213,11.065,1666294999.8285468
0,32,0,4,0,False,159,8,39,2087,10.435,1666294999.9129372
1,32,0,4,0,True,158,8,110,2158,10.79,1666294999.9137642
0,33,0,4,0,False,31,7,224,2016,10.08,1666294999.9860673
1,33,0,4,0,True,30,8,40,2088,10.44,1666294999.9860673
0,34,0,4,0,False,158,7,180,1972,9.86,1666295000.0472085
1,34,0,4,0,True,158,8,1,2049,10.245,1666295000.0474272
0,35,0,4,0,False,30,7,173,1965,9.825,1666295000.1548123
1,35,0,4,0,True,29,7,242,2034,10.17,1666295000.1548123
0,36,0,4,0,False,157,7,61,1853,9.265,1666295000.2172358
1,36,0,4,0,True,157,7,134,1926,9.63,1666295000.2173805
0,37,0,4,0,False,29,7,150,1942,9.71,1666295000.2943954
1,37,0,4,0,True,28,7,231,2023,10.115,1666295000.2946794
0,38,0,4,0,False,156,7,254,2046,10.23,1666295000.391149
1,38,0,4,0,True,156,8,69,2117,10.585,1666295000.391149
0,39,0,4,0,False,28,7,104,1896,9.48,1666295000.4500241
1,39,0,4,0,True,27,7,182,1974,9.87,1666295000.4500241
0,40,0,4,0,False,155,7,120,1912,9.56,1666295000.5151849
1,40,0,4,0,True,155,7,193,1985,9.925,1666295000.515682
0,41,0,4,0,False,27,7,241,2033,10.165,1666295000.6047153
1,41,0,4,0,True,26,8,54,2102,10.51,1666295000.6047153
0,42,0,4,0,False,155,7,188,1980,9.9,1666295000.6847768
1,42,0,4,0,True,154,8,4,2052,10.26,1666295000.685081
0,43,0,4,0,False,26,7,121,1913,9.565,1666295000.7615988
1,43,0,4,0,True,25,7,201,1993,9.965,1666295000.7615988
0,44,0,4,0,False,154,7,235,2027,10.135,1666295000.8430562
1,44,0,4,0,True,153,8,52,2100,10.5,1666295000.8432815
0,45,0,4,0,False,25,7,163,1955,9.775,1666295000.9232147
1,45,0,4,0,True,25,7,237,2029,10.145,1666295000.92374
0,46,0,4,0,False,153,7,167,1959,9.795,1666295001.0005798
1,46,0,4,0,True,152,7,247,2039,10.195,1666295001.0015705
0,47,0,4,0,False,24,7,210,2002,10.01,1666295001.0791194
1,47,0,4,0,True,24,8,25,2073,10.365,1666295001.0791194
0,48,0,4,0,False,152,7,108,1900,9.5,1666295001.1568277
1,48,0,4,0,True,151,7,189,1981,9.905,1666295001.1568277
0,49,0,4,0,False,23,7,249,2041,10.205,1666295001.2130969
1,49,0,4,0,True,23,8,67,2115,10.575,1666295001.2133014
0,50,0,4,0,False,151,7,11,1803,9.015,1666295001.3110075
1,50,0,4,0,True,150,7,93,1885,9.425,1666295001.3113465
0,51,0,4,0,False,22,7,242,2034,10.17,1666295001.3880627
1,51,0,4,0,True,22,8,69,2117,10.585,1666295001.3882883
0,52,0,4,0,False,150,8,68,2116,10.58,1666295001.464961
1,52,0,4,0,True,149,8,140,2188,10.94,1666295001.4659598
0,53,0,4,0,False,22,7,88,1880,9.4,1666295001.5408053
1,53,0,4,0,True,21,7,165,1957,9.785,1666295001.5416825
0,54,0,4,0,False,149,7,190,1982,9.91,1666295001.613409
1,54,0,4,0,True,149,8,9,2057,10.285,1666295001.613409
0,55,0,4,0,False,21,8,71,2119,10.595,1666295001.69721
1,55,0,4,0,True,20,8,138,2186,10.93,1666295001.6977396
0,56,0,4,0,False,148,7,97,1889,9.445,1666295001.7771978
1,56,0,4,0,True,148,7,167,1959,9.795,1666295001.7777252
0,57,0,4,0,False,20,7,202,1994,9.97,1666295001.8497314
1,57,0,4,0,True,19,8,13,2061,10.305,1666295001.8497314
0,58,0,4,0,False,147,7,105,1897,9.485,1666295001.9335642
1,58,0,4,0,True,147,7,179,1971,9.855,1666295001.9341464
0,59,0,4,0,False,19,7,227,2019,10.095,1666295001.989006
1,59,0,4,0,True,18,8,44,2092,10.46,1666295001.9892092
0,60,0,4,0,False,147,7,191,1983,9.915,1666295002.0867662
1,60,0,4,0,True,146,8,10,2058,10.29,1666295002.0867662
0,61,0,4,0,False,18,7,184,1976,9.88,1666295002.1654665
1,61,0,4,0,True,17,8,11,2059,10.295,1666295002.1654665
0,62,0,4,0,False,146,7,237,2029,10.145,1666295002.220075
1,62,0,4,0,True,145,8,56,2104,10.52,1666295002.220075
0,63,0,4,0,False,17,8,21,2069,10.345,1666295002.3198354
1,63,0,4,0,True,16,8,96,2144,10.72,1666295002.3198354
0,64,0,4,0,False,145,7,116,1908,9.54,1666295002.398888
1,64,0,4,0,True,144,7,194,1986,9.93,1666295002.399888
0,65,0,4,0,False,16,7,189,1981,9.905,1666295002.4770832
1,65,0,4,0,True,16,8,10,2058,10.29,1666295002.4770832
0,66,0,4,0,False,144,7,172,1964,9.82,1666295002.5573843
1,66,0,4,0,True,143,7,251,2043,10.215,1666295002.5579054
0,67,0,4,0,False,15,7,32,1824,9.12,1666295002.6280138
1,67,0,4,0,True,15,7,99,1891,9.455,1666295002.6280138
0,68,0,4,0,False,143,7,184,1976,9.88,1666295002.7099228
1,68,0,4,0,True,142,8,4,2052,10.26,1666295002.7099228
0,69,0,4,0,False,15,7,88,1880,9.4,1666295002.785728
1,69,0,4,0,True,14,7,173,1965,9.825,1666295002.7861857
0,70,0,4,0,False,142,7,177,1969,9.845,1666295002.867234
1,70,0,4,0,True,141,8,1,2049,10.245,1666295002.8676696
0,71,0,4,0,False,13,7,137,1929,9.645,1666295002.9457467
1,71,0,4,0,True,13,7,212,2004,10.02,1666295002.9462774
0,72,0,4,0,False,141,8,43,2091,10.455,1666295003.021613
1,72,0,4,0,True,140,8,113,2161,10.805,1666295003.021804
0,73,0,4,0,False,13,7,174,1966,9.83,1666295003.1009161
1,73,0,4,0,True,12,7,246,2038,10.19,1666295003.1009161
0,74,0,4,0,False,140,7,125,1917,9.585,1666295003.159001
1,74,0,4,0,True,140,7,197,1989,9.945,1666295003.159001
0,75,0,4,0,False,12,7,88,1880,9.4,1666295003.2367597
1,75,0,4,0,True,11,7,170,1962,9.81,1666295003.2367597
0,76,0,4,0,False,139,7,132,1924,9.62,1666295003.313093
1,76,0,4,0,True,139,7,200,1992,9.96,1666295003.3132975
0,77,0,4,0,False,11,8,25,2073,10.365,1666295003.3930163
1,77,0,4,0,True,10,8,101,2149,10.745,1666295003.3933282
0,78,0,4,0,False,138,7,66,1858,9.29,1666295003.4724982
1,78,0,4,0,True,138,7,135,1927,9.635,1666295003.4727244
0,79,0,4,0,False,10,7,189,1981,9.905,1666295003.544641
1,79,0,4,0,True,9,8,2,2050,10.25,1666295003.544641
0,80,0,4,0,False,137,8,7,2055,10.275,1666295003.623953
1,80,0,4,0,True,137,8,71,2119,10.595,1666295003.623953
0,81,0,4,0,False,9,7,163,1955,9.775,1666295003.6892235
1,81,0,4,0,True,8,7,238,2030,10.15,1666295003.6902308
0,82,0,4,0,False,137,7,190,1982,9.91,1666295003.7853332
1,82,0,4,0,True,136,8,19,2067,10.335,1666295003.785859
0,83,0,4,0,False,8,7,67,1859,9.295,1666295003.8577816
1,83,0,4,0,True,7,7,138,1930,9.65,1666295003.8579648
0,84,0,4,0,False,136,7,96,1888,9.44,1666295003.9389842
1,84,0,4,0,True,135,7,181,1973,9.865,1666295003.9392784
0,85,0,4,0,False,7,7,222,2014,10.07,1666295004.0169017
1,85,0,4,0,True,7,8,32,2080,10.4,1666295004.017956
0,86,0,4,0,False,135,7,196,1988,9.94,1666295004.0929089
1,86,0,4,0,True,134,8,16,2064,10.32,1666295004.0929089
0,87,0,4,0,False,6,8,6,2054,10.27,1666295004.1692283
1,87,0,4,0,True,6,8,83,2131,10.655,1666295004.1692972
0,88,0,4,0,False,134,7,179,1971,9.855,1666295004.2443533
1,88,0,4,0,True,133,8,6,2054,10.27,1666295004.2443533
0,89,0,4,0,False,6,7,142,1934,9.67,1666295004.3213723
1,89,0,4,0,True,5,7,225,2017,10.085,1666295004.3214877
0,90,0,4,0,False,133,7,105,1897,9.485,1666295004.3992941
1,90,0,4,0,True,132,7,184,1976,9.88,1666295004.3992941
0,91,0,4,0,False,5,8,122,2170,10.85,1666295004.4827006
1,91,0,4,0,True,4,8,197,2245,11.225,1666295004.4827006
0,92,0,4,0,False,132,7,201,1993,9.965,1666295004.5588906
1,92,0,4,0,True,131,8,19,2067,10.335,1666295004.559318
0,93,0,4,0,False,4,7,156,1948,9.74,1666295004.6356683
1,93,0,4,0,True,3,7,235,2027,10.135,1666295004.6358774
0,94,0,4,0,False,131,7,134,1926,9.63,1666295004.7111583
1,94,0,4,0,True,131,7,208,2000,10.0,1666295004.7111583
0,95,0,4,0,False,3,7,223,2015,10.075,1666295004.7897973
1,95,0,4,0,True,2,8,39,2087,10.435,1666295004.790964
0,96,0,4,0,False,130,7,91,1883,9.415,1666295004.8479266
1,96,0,4,0,True,130,7,165,1957,9.785,1666295004.8479266
0,97,0,4,0,False,2,7,244,2036,10.18,1666295004.9487631
1,97,0,4,0,True,1,8,55,2103,10.515,1666295004.949761
0,98,0,4,0,False,129,7,108,1900,9.5,1666295005.0276759
1,98,0,4,0,True,129,7,177,1969,9.845,1666295005.0282054
0,99,0,4,0,False,1,7,77,1869,9.345,1666295005.1029084
1,99,0,4,0,True,0,7,144,1936,9.68,1666295005.103463
0,100,0,4,0,False,128,7,36,1828,9.14,1666295005.174164
1,100,0,4,0,True,128,7,112,1904,9.52,1666295005.174164
0,101,0,4,0,False,0,8,54,2102,10.51,1666295005.259111
1,101,0,4,0,True,255,8,138,2186,10.93,1666295005.2593076
0,102,0,4,0,False,128,7,185,1977,9.885,1666295005.3343894
1,102,0,4,0,True,127,8,8,2056,10.28,1666295005.3346183
0,103,0,4,0,False,255,7,56,1848,9.24,1666295005.4149258
1,103,0,4,0,True,254,7,128,1920,9.6,1666295005.4158394
0,104,0,4,0,False,127,7,77,1869,9.345,1666295005.4872296
1,104,0,4,0,True,126,7,147,1939,9.695,1666295005.4874582
0,105,0,4,0,False,254,7,203,1995,9.975,1666295005.5702255
1,105,0,4,0,True,254,8,21,2069,10.345,1666295005.571276
0,106,0,4,0,False,126,7,252,2044,10.22,1666295005.6433392
1,106,0,4,0,True,125,8,68,2116,10.58,1666295005.6435692
0,107,0,4,0,False,253,7,17,1809,9.045,1666295005.7268953
1,107,0,4,0,True,253,7,86,1878,9.39,1666295005.7277665
0,108,0,4,0,False,125,7,205,1997,9.985,1666295005.8051255
1,108,0,4,0,True,124,8,24,2072,10.36,1666295005.80565
0,109,0,4,0,False,252,8,62,2110,10.55,1666295005.8836503
1,109,0,4,0,True,252,8,134,2182,10.91,1666295005.8841794
0,110,0,4,0,False,124,7,229,2021,10.105,1666295005.9545233
1,110,0,4,0,True,123,8,43,2091,10.455,1666295005.9545233
0,111,0,4,0,False,251,7,244,2036,10.18,1666295006.0356271
1,111,0,4,0,True,251,8,65,2113,10.565,1666295006.0358357
0,112,0,4,0,False,123,7,108,1900,9.5,1666295006.1149614
1,112,0,4,0,True,122,7,184,1976,9.88,1666295006.115811
0,113,0,4,0,False,251,7,111,1903,9.515,1666295006.19102
1,113,0,4,0,True,250,7,194,1986,9.93,1666295006.1916695
0,114,0,4,0,False,122,7,119,1911,9.555,1666295006.2640712
1,114,0,4,0,True,122,7,189,1981,9.905,1666295006.2640712
0,115,0,4,0,False,250,8,62,2110,10.55,1666295006.3266847
1,115,0,4,0,True,249,8,140,2188,10.94,1666295006.3269536
0,116,0,4,0,False,121,7,30,1822,9.11,1666295006.4237597
1,116,0,4,0,True,121,7,106,1898,9.49,1666295006.4242826
0,117,0,4,0,False,249,6,157,1693,8.465,1666295006.5031927
1,117,0,4,0,True,248,6,230,1766,8.83,1666295006.5037174
0,118,0,4,0,False,120,7,122,1914,9.57,1666295006.5787194
1,118,0,4,0,True,120,7,207,1999,9.995,1666295006.5792286
0,119,0,4,0,False,248,7,152,1944,9.72,1666295006.6556726
1,119,0,4,0,True,247,7,223,2015,10.075,1666295006.6556726
0,120,0,4,0,False,120,7,128,1920,9.6,1666295006.729268
1,120,0,4,0,True,119,7,207,1999,9.995,1666295006.729268
