dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,63,9,152,2456,12.28,1666882738.1232483
1,0,0,4,0,True,63,9,55,2359,11.795,1666882738.1232483
0,1,0,4,0,False,191,9,119,2423,12.115,1666882738.2202137
1,1,0,4,0,True,191,9,23,2327,11.635,1666882738.2213495
0,2,0,4,0,False,63,9,36,2340,11.7,1666882738.3074584
1,2,0,4,0,True,62,8,196,2244,11.22,1666882738.3074584
0,3,0,4,0,False,190,9,141,2445,12.225,1666882738.3851056
1,3,0,4,0,True,190,9,43,2347,11.735,1666882738.3851056
0,4,0,4,0,False,62,9,137,2441,12.205,1666882738.4468126
1,4,0,4,0,True,62,9,41,2345,11.725,1666882738.4468126
0,5,0,4,0,False,189,9,78,2382,11.91,1666882738.523903
1,5,0,4,0,True,189,8,236,2284,11.42,1666882738.5241091
0,6,0,4,0,False,61,10,23,2583,12.915,1666882738.6010845
1,6,0,4,0,True,61,9,183,2487,12.435,1666882738.6010845
0,7,0,4,0,False,188,8,228,2276,11.38,1666882738.691413
1,7,0,4,0,True,188,8,131,2179,10.895,1666882738.691413
0,8,0,4,0,False,60,9,207,2511,12.555,1666882738.7699833
1,8,0,4,0,True,60,9,110,2414,12.07,1666882738.7699833
0,9,0,4,0,False,187,9,92,2396,11.98,1666882738.8473442
1,9,0,4,0,True,187,8,252,2300,11.5,1666882738.8473442
0,10,0,4,0,False,59,9,79,2383,11.915,1666882738.9075117
1,10,0,4,0,True,59,8,239,2287,11.435,1666882738.9075117
0,11,0,4,0,False,186,9,155,2459,12.295,1666882739.0020468
1,11,0,4,0,True,186,9,58,2362,11.81,1666882739.002325
0,12,0,4,0,False,58,9,72,2376,11.88,1666882739.0633
1,12,0,4,0,True,58,8,231,2279,11.395,1666882739.0633
0,13,0,4,0,False,186,9,122,2426,12.13,1666882739.1569893
1,13,0,4,0,True,185,9,25,2329,11.645,1666882739.1569893
0,14,0,4,0,False,57,9,162,2466,12.33,1666882739.2187765
1,14,0,4,0,True,57,9,65,2369,11.845,1666882739.2187765
0,15,0,4,0,False,185,8,209,2257,11.285,1666882739.3054109
1,15,0,4,0,True,185,8,111,2159,10.795,1666882739.3054109
0,16,0,4,0,False,56,9,66,2370,11.85,1666882739.3833601
1,16,0,4,0,True,56,8,224,2272,11.36,1666882739.3833601
0,17,0,4,0,False,184,9,210,2514,12.57,1666882739.445473
1,17,0,4,0,True,184,9,113,2417,12.085,1666882739.445473
0,18,0,4,0,False,55,9,152,2456,12.28,1666882739.5373578
1,18,0,4,0,True,55,9,55,2359,11.795,1666882739.5373578
0,19,0,4,0,False,183,9,64,2368,11.84,1666882739.6132596
1,19,0,4,0,True,183,8,224,2272,11.36,1666882739.6132596
0,20,0,4,0,False,54,9,97,2401,12.005,1666882739.6921186
1,20,0,4,0,True,54,9,0,2304,11.52,1666882739.6921186
0,21,0,4,0,False,182,8,252,2300,11.5,1666882739.7513602
1,21,0,4,0,True,182,8,155,2203,11.015,1666882739.7513602
0,22,0,4,0,False,53,9,96,2400,12.0,1666882739.8469527
1,22,0,4,0,True,53,8,255,2303,11.515,1666882739.8469527
0,23,0,4,0,False,181,9,105,2409,12.045,1666882739.9070277
1,23,0,4,0,True,181,9,8,2312,11.56,1666882739.9070277
0,24,0,4,0,False,53,8,206,2254,11.27,1666882739.9993546
1,24,0,4,0,True,52,8,108,2156,10.78,1666882739.9993546
0,25,0,4,0,False,180,8,247,2295,11.475,1666882740.0795708
1,25,0,4,0,True,180,8,150,2198,10.99,1666882740.0795708
0,26,0,4,0,False,52,9,180,2484,12.42,1666882740.138918
1,26,0,4,0,True,52,9,84,2388,11.94,1666882740.138918
0,27,0,4,0,False,179,9,71,2375,11.875,1666882740.2150693
1,27,0,4,0,True,179,8,230,2278,11.39,1666882740.2150693
0,28,0,4,0,False,51,9,157,2461,12.305,1666882740.3085213
1,28,0,4,0,True,51,9,60,2364,11.82,1666882740.3085213
0,29,0,4,0,False,178,9,155,2459,12.295,1666882740.3688185
1,29,0,4,0,True,178,9,58,2362,11.81,1666882740.3688185
0,30,0,4,0,False,50,9,126,2430,12.15,1666882740.4628193
1,30,0,4,0,True,50,9,30,2334,11.67,1666882740.4630232
0,31,0,4,0,False,177,9,118,2422,12.11,1666882740.5529857
1,31,0,4,0,True,177,9,21,2325,11.625,1666882740.5537717
0,32,0,4,0,False,49,9,130,2434,12.17,1666882740.6289566
1,32,0,4,0,True,49,9,32,2336,11.68,1666882740.6289566
0,33,0,4,0,False,49,9,71,2375,11.875,1666882740.7079809
1,33,0,4,0,True,176,8,229,2277,11.385,1666882740.7079809
0,34,0,4,0,False,48,9,10,2314,11.57,1666882740.7687087
1,34,0,4,0,True,48,8,169,2217,11.085,1666882740.7687087
0,35,0,4,0,False,176,9,190,2494,12.47,1666882740.847393
1,35,0,4,0,True,176,9,93,2397,11.985,1666882740.847393
0,36,0,4,0,False,47,9,102,2406,12.03,1666882740.9252343
1,36,0,4,0,True,47,9,5,2309,11.545,1666882740.9252343
0,37,0,4,0,False,175,9,130,2434,12.17,1666882741.004122
1,37,0,4,0,True,175,9,33,2337,11.685,1666882741.0041838
0,38,0,4,0,False,46,9,9,2313,11.565,1666882741.0652425
1,38,0,4,0,True,46,8,168,2216,11.08,1666882741.0652425
0,39,0,4,0,False,174,9,96,2400,12.0,1666882741.1580696
1,39,0,4,0,True,174,8,254,2302,11.51,1666882741.1580696
0,40,0,4,0,False,45,9,46,2350,11.75,1666882741.2192042
1,40,0,4,0,True,45,8,205,2253,11.265,1666882741.2192042
0,41,0,4,0,False,173,8,196,2244,11.22,1666882741.312921
1,41,0,4,0,True,173,8,99,2147,10.735,1666882741.312921
0,42,0,4,0,False,44,9,133,2437,12.185,1666882741.3913887
1,42,0,4,0,True,44,9,36,2340,11.7,1666882741.3913887
0,43,0,4,0,False,172,9,118,2422,12.11,1666882741.4670124
1,43,0,4,0,True,172,9,21,2325,11.625,1666882741.4670124
0,44,0,4,0,False,44,9,198,2502,12.51,1666882741.5307755
