dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,66,7,46,1838,9.19,1666294185.5627034
1,0,0,4,0,True,66,7,64,1856,9.28,1666294185.5627034
0,1,0,4,0,False,194,7,219,2011,10.055,1666294185.6469605
1,1,0,4,0,True,193,7,238,2030,10.15,1666294185.6474392
0,2,0,4,0,False,65,8,74,2122,10.61,1666294185.7248168
1,2,0,4,0,True,65,8,92,2140,10.7,1666294185.7255232
0,3,0,4,0,False,193,8,124,2172,10.86,1666294185.8030322
1,3,0,4,0,True,192,8,143,2191,10.955,1666294185.8030322
0,4,0,4,0,False,64,8,29,2077,10.385,1666294185.875724
1,4,0,4,0,True,64,8,47,2095,10.475,1666294185.8760862
0,5,0,4,0,False,192,7,190,1982,9.91,1666294185.9569151
1,5,0,4,0,True,192,7,210,2002,10.01,1666294185.9569151
0,6,0,4,0,False,63,7,200,1992,9.96,1666294186.0308735
1,6,0,4,0,True,63,7,220,2012,10.06,1666294186.0310829
0,7,0,4,0,False,191,8,1,2049,10.245,1666294186.1108916
1,7,0,4,0,True,191,8,20,2068,10.34,1666294186.1108916
0,8,0,4,0,False,62,7,199,1991,9.955,1666294186.1849647
1,8,0,4,0,True,62,7,219,2011,10.055,1666294186.1849647
0,9,0,4,0,False,190,8,39,2087,10.435,1666294186.2473018
1,9,0,4,0,True,190,8,57,2105,10.525,1666294186.247534
0,10,0,4,0,False,62,8,111,2159,10.795,1666294186.3450727
1,10,0,4,0,True,61,8,130,2178,10.89,1666294186.3460436
0,11,0,4,0,False,189,8,47,2095,10.475,1666294186.423012
1,11,0,4,0,True,189,8,66,2114,10.57,1666294186.423012
0,12,0,4,0,False,61,7,212,2004,10.02,1666294186.480979
1,12,0,4,0,True,60,7,231,2023,10.115,1666294186.4812913
0,13,0,4,0,False,188,7,197,1989,9.945,1666294186.5586722
1,13,0,4,0,True,188,7,215,2007,10.035,1666294186.5586722
0,14,0,4,0,False,60,8,77,2125,10.625,1666294186.6208096
1,14,0,4,0,True,60,8,96,2144,10.72,1666294186.621167
0,15,0,4,0,False,187,8,94,2142,10.71,1666294186.7207055
1,15,0,4,0,True,187,8,112,2160,10.8,1666294186.7217035
0,16,0,4,0,False,59,8,21,2069,10.345,1666294186.798922
1,16,0,4,0,True,59,8,39,2087,10.435,1666294186.798922
0,17,0,4,0,False,186,8,43,2091,10.455,1666294186.8722436
1,17,0,4,0,True,186,8,62,2110,10.55,1666294186.8722436
0,18,0,4,0,False,58,8,166,2214,11.07,1666294186.9522333
1,18,0,4,0,True,58,8,185,2233,11.165,1666294186.9532268
0,19,0,4,0,False,186,8,6,2054,10.27,1666294187.015237
1,19,0,4,0,True,185,8,25,2073,10.365,1666294187.0165114
0,20,0,4,0,False,57,8,117,2165,10.825,1666294187.0881891
1,20,0,4,0,True,57,8,136,2184,10.92,1666294187.0881891
0,21,0,4,0,False,185,7,227,2019,10.095,1666294187.1815994
1,21,0,4,0,True,184,7,246,2038,10.19,1666294187.181825
0,22,0,4,0,False,56,8,98,2146,10.73,1666294187.2647867
1,22,0,4,0,True,56,8,118,2166,10.83,1666294187.2655451
0,23,0,4,0,False,184,7,178,1970,9.85,1666294187.3411996
1,23,0,4,0,True,183,7,197,1989,9.945,1666294187.3417833
0,24,0,4,0,False,55,7,245,2037,10.185,1666294187.4193547
1,24,0,4,0,True,55,8,7,2055,10.275,1666294187.4199064
0,25,0,4,0,False,183,8,14,2062,10.31,1666294187.4974098
1,25,0,4,0,True,183,8,33,2081,10.405,1666294187.4979353
0,26,0,4,0,False,54,7,169,1961,9.805,1666294187.574815
1,26,0,4,0,True,54,7,188,1980,9.9,1666294187.575716
0,27,0,4,0,False,182,8,20,2068,10.34,1666294187.6530526
1,27,0,4,0,True,182,8,39,2087,10.435,1666294187.6530526
0,28,0,4,0,False,53,7,250,2042,10.21,1666294187.7249613
1,28,0,4,0,True,53,8,13,2061,10.305,1666294187.7249613
0,29,0,4,0,False,181,8,32,2080,10.4,1666294187.784531
1,29,0,4,0,True,181,8,50,2098,10.49,1666294187.784531
0,30,0,4,0,False,53,7,246,2038,10.19,1666294187.8621168
1,30,0,4,0,True,52,8,9,2057,10.285,1666294187.8621168
0,31,0,4,0,False,180,8,20,2068,10.34,1666294187.9406748
1,31,0,4,0,True,180,8,40,2088,10.44,1666294187.9406748
0,32,0,4,0,False,52,7,242,2034,10.17,1666294188.0186853
1,32,0,4,0,True,51,8,5,2053,10.265,1666294188.0186853
0,33,0,4,0,False,179,8,122,2170,10.85,1666294188.1103284
1,33,0,4,0,True,179,8,140,2188,10.94,1666294188.1103284
0,34,0,4,0,False,51,8,123,2171,10.855,1666294188.1727996
1,34,0,4,0,True,50,8,142,2190,10.95,1666294188.1727996
0,35,0,4,0,False,178,8,76,2124,10.62,1666294188.2643752
1,35,0,4,0,True,178,8,95,2143,10.715,1666294188.2643752
0,36,0,4,0,False,50,7,99,1891,9.455,1666294188.3483138
1,36,0,4,0,True,50,7,118,1910,9.55,1666294188.3485146
0,37,0,4,0,False,177,8,50,2098,10.49,1666294188.4249294
1,37,0,4,0,True,177,8,69,2117,10.585,1666294188.4257793
0,38,0,4,0,False,49,7,135,1927,9.635,1666294188.4997222
1,38,0,4,0,True,49,7,155,1947,9.735,1666294188.4999504
0,39,0,4,0,False,177,8,7,2055,10.275,1666294188.57616
1,39,0,4,0,True,176,8,26,2074,10.37,1666294188.57616
0,40,0,4,0,False,48,7,247,2039,10.195,1666294188.655105
1,40,0,4,0,True,48,8,11,2059,10.295,1666294188.655105
0,41,0,4,0,False,176,8,24,2072,10.36,1666294188.7369227
1,41,0,4,0,True,175,8,42,2090,10.45,1666294188.7369227
0,42,0,4,0,False,47,8,5,2053,10.265,1666294188.8127692
1,42,0,4,0,True,47,8,23,2071,10.355,1666294188.8127692
0,43,0,4,0,False,175,7,133,1925,9.625,1666294188.8849146
