dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,42,8,188,2236,22.36,1661274262.694634
1,0,0,4,5,True,42,8,216,2264,22.64,1661274262.694634
0,1,0,4,0,False,170,8,52,2100,21.0,1661274262.7806444
1,1,0,4,5,True,169,8,80,2128,21.28,1661274262.7811704
0,2,0,4,0,False,41,8,220,2268,22.68,1661274262.8498743
1,2,0,4,5,True,41,8,249,2297,22.97,1661274262.850841
0,3,0,4,0,False,169,8,34,2082,20.82,1661274262.9142027
1,3,0,4,5,True,168,8,64,2112,21.12,1661274262.9142027
0,4,0,4,0,False,40,9,109,2413,24.13,1661274263.0130298
1,4,0,4,5,True,40,9,135,2439,24.39,1661274263.0130298
0,5,0,4,0,False,168,8,2,2050,20.5,1661274263.0853229
1,5,0,4,5,True,167,8,31,2079,20.79,1661274263.0853229
0,6,0,4,0,False,39,8,107,2155,21.55,1661274263.1625483
1,6,0,4,5,True,39,8,136,2184,21.84,1661274263.1625483
0,7,0,4,0,False,167,8,35,2083,20.83,1661274263.2290013
1,7,0,4,5,True,166,8,63,2111,21.11,1661274263.2290013
0,8,0,4,0,False,38,8,167,2215,22.15,1661274263.3171914
1,8,0,4,5,True,38,8,195,2243,22.43,1661274263.3171914
0,9,0,4,0,False,166,8,11,2059,20.59,1661274263.3944283
1,9,0,4,5,True,166,8,40,2088,20.88,1661274263.3944283
0,10,0,4,0,False,38,8,233,2281,22.81,1661274263.4730952
1,10,0,4,5,True,37,9,6,2310,23.1,1661274263.4730952
0,11,0,4,0,False,165,8,186,2234,22.34,1661274263.5515578
1,11,0,4,5,True,165,8,215,2263,22.63,1661274263.5517707
0,12,0,4,0,False,37,8,47,2095,20.95,1661274263.6119483
1,12,0,4,5,True,36,8,75,2123,21.23,1661274263.6119483
0,13,0,4,0,False,164,8,110,2158,21.58,1661274263.6883445
1,13,0,4,5,True,164,8,137,2185,21.85,1661274263.6883445
0,14,0,4,0,False,36,9,36,2340,23.4,1661274263.7888772
1,14,0,4,5,True,35,9,64,2368,23.68,1661274263.7898753
0,15,0,4,0,False,163,8,172,2220,22.2,1661274263.8602483
1,15,0,4,5,True,163,8,199,2247,22.47,1661274263.8602483
0,16,0,4,0,False,35,8,31,2079,20.79,1661274263.945334
1,16,0,4,5,True,34,8,58,2106,21.06,1661274263.946347
0,17,0,4,0,False,162,8,115,2163,21.63,1661274264.015769
1,17,0,4,5,True,162,8,144,2192,21.92,1661274264.0168374
0,18,0,4,0,False,34,8,48,2096,20.96,1661274264.0928338
1,18,0,4,5,True,34,8,76,2124,21.24,1661274264.0928338
0,19,0,4,0,False,162,7,191,1983,19.83,1661274264.156002
1,19,0,4,5,True,161,7,221,2013,20.13,1661274264.156002
0,20,0,4,0,False,33,8,181,2229,22.29,1661274264.2488952
1,20,0,4,5,True,33,8,213,2261,22.61,1661274264.2488952
0,21,0,4,0,False,161,8,155,2203,22.03,1661274264.3279262
1,21,0,4,5,True,160,8,183,2231,22.31,1661274264.3279262
0,22,0,4,0,False,32,8,182,2230,22.3,1661274264.4044137
1,22,0,4,5,True,32,8,210,2258,22.58,1661274264.4044137
0,23,0,4,0,False,160,8,109,2157,21.57,1661274264.483121
1,23,0,4,5,True,159,8,137,2185,21.85,1661274264.483121
0,24,0,4,0,False,31,8,77,2125,21.25,1661274264.5436106
1,24,0,4,5,True,31,8,106,2154,21.54,1661274264.5436106
0,25,0,4,0,False,159,8,117,2165,21.65,1661274264.6405008
1,25,0,4,5,True,158,8,145,2193,21.93,1661274264.6405716
0,26,0,4,0,False,30,8,211,2259,22.59,1661274264.6998985
1,26,0,4,5,True,30,8,239,2287,22.87,1661274264.6998985
0,27,0,4,0,False,158,8,150,2198,21.98,1661274264.7926347
1,27,0,4,5,True,158,8,177,2225,22.25,1661274264.7926347
0,28,0,4,0,False,29,8,158,2206,22.06,1661274264.8723984
1,28,0,4,5,True,29,8,184,2232,22.32,1661274264.8723984
0,29,0,4,0,False,157,8,106,2154,21.54,1661274264.932463
1,29,0,4,5,True,157,8,136,2184,21.84,1661274264.932463
0,30,0,4,0,False,29,8,85,2133,21.33,1661274265.0245926
1,30,0,4,5,True,28,8,115,2163,21.63,1661274265.0245926
0,31,0,4,0,False,156,8,56,2104,21.04,1661274265.1027966
1,31,0,4,5,True,156,8,82,2130,21.3,1661274265.1027966
0,32,0,4,0,False,28,8,199,2247,22.47,1661274265.1815557
1,32,0,4,5,True,27,8,228,2276,22.76,1661274265.1817944
0,33,0,4,0,False,155,8,47,2095,20.95,1661274265.2582297
1,33,0,4,5,True,155,8,74,2122,21.22,1661274265.2582297
0,34,0,4,0,False,27,8,53,2101,21.01,1661274265.320181
1,34,0,4,5,True,26,8,81,2129,21.29,1661274265.320181
0,35,0,4,0,False,154,8,232,2280,22.8,1661274265.4127371
1,35,0,4,5,True,154,9,4,2308,23.08,1661274265.4127371
0,36,0,4,0,False,26,8,133,2181,21.81,1661274265.4900837
1,36,0,4,5,True,25,8,162,2210,22.1,1661274265.4900837
0,37,0,4,0,False,153,7,232,2024,20.24,1661274265.5707068
1,37,0,4,5,True,153,8,5,2053,20.53,1661274265.5707068
0,38,0,4,0,False,25,7,174,1966,19.66,1661274265.6319826
1,38,0,4,5,True,25,7,203,1995,19.95,1661274265.6319826
0,39,0,4,0,False,152,8,157,2205,22.05,1661274265.7244775
1,39,0,4,5,True,152,8,186,2234,22.34,1661274265.7244775
0,40,0,4,0,False,24,7,201,1993,19.93,1661274265.8030202
1,40,0,4,5,True,24,7,231,2023,20.23,1661274265.8030202
0,41,0,4,0,False,152,8,168,2216,22.16,1661274265.880122
1,41,0,4,5,True,151,8,196,2244,22.44,1661274265.8801851
0,42,0,4,0,False,23,8,227,2275,22.75,1661274265.9568315
1,42,0,4,5,True,23,8,255,2303,23.03,1661274265.9568315
0,43,0,4,0,False,151,8,126,2174,21.74,1661274266.0272443
1,43,0,4,5,True,150,8,155,2203,22.03,1661274266.0273643
0,44,0,4,0,False,22,8,100,2148,21.48,1661274266.1052783
1,44,0,4,5,True,22,8,129,2177,21.77,1661274266.1054988
0,45,0,4,0,False,150,8,7,2055,20.55,1661274266.1819015
1,45,0,4,5,True,149,8,36,2084,20.84,1661274266.1819015
0,46,0,4,0,False,21,8,211,2259,22.59,1661274266.2435875
1,46,0,4,5,True,21,8,238,2286,22.86,1661274266.2435875
0,47,0,4,0,False,149,8,0,2048,20.48,1661274266.3386478
1,47,0,4,5,True,149,8,28,2076,20.76,1661274266.3386478
0,48,0,4,0,False,20,8,109,2157,21.57,1661274266.4017699
1,48,0,4,5,True,20,8,136,2184,21.84,1661274266.4017699
0,49,0,4,0,False,148,7,169,1961,19.61,1661274266.4957528
1,49,0,4,5,True,148,7,196,1988,19.88,1661274266.4959857
0,50,0,4,0,False,20,8,194,2242,22.42,1661274266.5792892
1,50,0,4,5,True,19,8,222,2270,22.7,1661274266.5792892
0,51,0,4,0,False,147,8,1,2049,20.49,1661274266.6478057
1,51,0,4,5,True,147,8,28,2076,20.76,1661274266.6478057
0,52,0,4,0,False,19,8,117,2165,21.65,1661274266.727528
1,52,0,4,5,True,18,8,148,2196,21.96,1661274266.727528
0,53,0,4,0,False,146,8,143,2191,21.91,1661274266.8047945
1,53,0,4,5,True,146,8,171,2219,22.19,1661274266.8047945
0,54,0,4,0,False,18,8,99,2147,21.47,1661274266.8660126
1,54,0,4,5,True,17,8,128,2176,21.76,1661274266.8660126
0,55,0,4,0,False,145,8,163,2211,22.11,1661274266.9613702
1,55,0,4,5,True,145,8,192,2240,22.4,1661274266.9613702
0,56,0,4,0,False,17,8,85,2133,21.33,1661274267.0382993
1,56,0,4,5,True,16,8,112,2160,21.6,1661274267.0382993
0,57,0,4,0,False,144,8,115,2163,21.63,1661274267.1022143
1,57,0,4,5,True,144,8,145,2193,21.93,1661274267.1022143
0,58,0,4,0,False,16,9,53,2357,23.57,1661274267.2026074
1,58,0,4,5,True,16,9,83,2387,23.87,1661274267.2026074
0,59,0,4,0,False,143,8,163,2211,22.11,1661274267.274657
1,59,0,4,5,True,143,8,192,2240,22.4,1661274267.274657
0,60,0,4,0,False,15,7,217,2009,20.09,1661274267.3503332
1,60,0,4,5,True,15,7,247,2039,20.39,1661274267.3503332
0,61,0,4,0,False,143,8,143,2191,21.91,1661274267.430396
1,61,0,4,5,True,142,8,173,2221,22.21,1661274267.430396
0,62,0,4,0,False,14,8,126,2174,21.74,1661274267.5147126
1,62,0,4,5,True,14,8,153,2201,22.01,1661274267.5157225
0,63,0,4,0,False,142,8,101,2149,21.49,1661274267.5865312
