dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,119,15,200,4040,40.4,1660076800.077388
1,0,0,4,5,True,119,15,208,4048,40.48,1660076800.0775173
0,1,0,4,0,False,247,0,213,213,2.13,1660076800.1717923
1,1,0,4,5,True,246,0,217,217,2.17,1660076800.1717923
0,2,0,4,0,False,118,0,123,123,1.23,1660076800.2330923
1,2,0,4,5,True,118,0,130,130,1.3,1660076800.2330923
0,3,0,4,0,False,246,4,74,1098,10.98,1660076800.3308625
1,3,0,4,5,True,245,4,81,1105,11.05,1660076800.3308625
0,4,0,4,0,False,117,1,58,314,3.14,1660076800.3887184
1,4,0,4,5,True,117,1,64,320,3.2,1660076800.3887184
0,5,0,4,0,False,245,5,149,1429,14.29,1660076800.4684672
1,5,0,4,5,True,245,5,156,1436,14.36,1660076800.4686768
0,6,0,4,0,False,116,1,175,431,4.31,1660076800.5455694
1,6,0,4,5,True,116,1,183,439,4.39,1660076800.5455694
0,7,0,4,0,False,244,15,250,4090,40.9,1660076800.6232455
1,7,0,4,5,True,244,0,2,2,0.02,1660076800.6232455
0,8,0,4,0,False,115,5,32,1312,13.12,1660076800.6854415
1,8,0,4,5,True,115,5,40,1320,13.2,1660076800.6854415
0,9,0,4,0,False,243,15,133,3973,39.73,1660076800.7796433
1,9,0,4,5,True,243,15,140,3980,39.8,1660076800.7796433
0,10,0,4,0,False,114,1,244,500,5.0,1660076800.8548014
1,10,0,4,5,True,114,1,253,509,5.09,1660076800.8548014
0,11,0,4,0,False,242,2,165,677,6.77,1660076800.919689
1,11,0,4,5,True,242,2,172,684,6.84,1660076800.91987
0,12,0,4,0,False,114,15,10,3850,38.5,1660076801.0116808
1,12,0,4,5,True,113,15,17,3857,38.57,1660076801.0117555
0,13,0,4,0,False,241,3,114,882,8.82,1660076801.089089
1,13,0,4,5,True,241,3,120,888,8.88,1660076801.089089
0,14,0,4,0,False,113,13,108,3436,34.36,1660076801.1527154
1,14,0,4,5,True,113,13,115,3443,34.43,1660076801.1527154
0,15,0,4,0,False,240,11,63,2879,28.79,1660076801.246933
1,15,0,4,5,True,240,11,69,2885,28.85,1660076801.246933
0,16,0,4,0,False,112,3,192,960,9.6,1660076801.3086827
1,16,0,4,5,True,112,3,195,963,9.63,1660076801.3086827
0,17,0,4,0,False,239,1,177,433,4.33,1660076801.3900611
1,17,0,4,5,True,239,1,181,437,4.37,1660076801.3900611
0,18,0,4,0,False,111,11,99,2915,29.15,1660076801.464889
1,18,0,4,5,True,111,11,101,2917,29.17,1660076801.464889
0,19,0,4,0,False,238,15,22,3862,38.62,1660076801.54412
1,19,0,4,5,True,238,15,28,3868,38.68,1660076801.54412
0,20,0,4,0,False,110,0,59,59,0.59,1660076801.6183674
1,20,0,4,5,True,110,0,66,66,0.66,1660076801.6183674
0,21,0,4,0,False,238,13,12,3340,33.4,1660076801.7144918
1,21,0,4,5,True,237,13,17,3345,33.45,1660076801.714624
0,22,0,4,0,False,109,4,187,1211,12.11,1660076801.796715
1,22,0,4,5,True,109,4,191,1215,12.15,1660076801.7969153
0,23,0,4,0,False,237,3,119,887,8.87,1660076801.8668313
1,23,0,4,5,True,236,3,127,895,8.95,1660076801.8668313
0,24,0,4,0,False,108,3,230,998,9.98,1660076801.9423392
1,24,0,4,5,True,108,3,238,1006,10.06,1660076801.9433358
