dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,34,12,163,3235,32.35,1660154089.5372672
1,0,0,4,5,True,34,12,170,3242,32.42,1660154089.5372672
0,1,0,4,0,False,162,13,198,3526,35.26,1660154089.6353333
1,1,0,4,5,True,162,13,206,3534,35.34,1660154089.6353333
0,2,0,4,0,False,33,13,34,3362,33.62,1660154089.7131982
1,2,0,4,5,True,33,13,41,3369,33.69,1660154089.714162
0,3,0,4,0,False,161,12,208,3280,32.8,1660154089.785372
1,3,0,4,5,True,161,12,215,3287,32.87,1660154089.785372
0,4,0,4,0,False,32,12,8,3080,30.8,1660154089.8334384
1,4,0,4,5,True,32,12,17,3089,30.89,1660154089.834426
0,5,0,4,0,False,160,13,105,3433,34.33,1660154089.9275374
1,5,0,4,5,True,160,13,113,3441,34.41,1660154089.9285338
0,6,0,4,0,False,32,12,58,3130,31.3,1660154089.989227
1,6,0,4,5,True,31,12,63,3135,31.35,1660154089.989227
0,7,0,4,0,False,159,10,213,2773,27.73,1660154090.0873387
1,7,0,4,5,True,159,10,221,2781,27.81,1660154090.0873387
0,8,0,4,0,False,31,9,241,2545,25.45,1660154090.1432793
1,8,0,4,5,True,30,9,247,2551,25.51,1660154090.1432793
0,9,0,4,0,False,158,9,56,2360,23.6,1660154090.2375696
1,9,0,4,5,True,158,9,65,2369,23.69,1660154090.2375696
0,10,0,4,0,False,30,13,234,3562,35.62,1660154090.315864
1,10,0,4,5,True,30,13,240,3568,35.68,1660154090.315864
0,11,0,4,0,False,157,11,147,2963,29.63,1660154090.394609
1,11,0,4,5,True,157,11,155,2971,29.71,1660154090.394609
0,12,0,4,0,False,29,9,44,2348,23.48,1660154090.4552197
1,12,0,4,5,True,29,9,51,2355,23.55,1660154090.4552197
0,13,0,4,0,False,156,11,84,2900,29.0,1660154090.5488014
1,13,0,4,5,True,156,11,88,2904,29.04,1660154090.5488014
0,14,0,4,0,False,28,10,169,2729,27.29,1660154090.6111202
1,14,0,4,5,True,28,10,177,2737,27.37,1660154090.6111202
0,15,0,4,0,False,155,13,45,3373,33.73,1660154090.6892002
1,15,0,4,5,True,155,13,53,3381,33.81,1660154090.6892002
0,16,0,4,0,False,27,10,44,2604,26.04,1660154090.7816901
1,16,0,4,5,True,27,10,38,2598,25.98,1660154090.7816901
0,17,0,4,0,False,155,11,73,2889,28.89,1660154090.845413
1,17,0,4,5,True,154,11,81,2897,28.97,1660154090.845413
0,18,0,4,0,False,26,11,162,2978,29.78,1660154090.9371996
1,18,0,4,5,True,26,11,169,2985,29.85,1660154090.9371996
0,19,0,4,0,False,154,12,44,3116,31.16,1660154091.0016038
1,19,0,4,5,True,153,12,50,3122,31.22,1660154091.0016038
0,20,0,4,0,False,25,10,206,2766,27.66,1660154091.1017635
1,20,0,4,5,True,25,10,209,2769,27.69,1660154091.1017635
0,21,0,4,0,False,153,8,135,2183,21.83,1660154091.1732078
1,21,0,4,5,True,153,8,142,2190,21.9,1660154091.1732078
0,22,0,4,0,False,24,14,29,3613,36.13,1660154091.257513
1,22,0,4,5,True,24,14,34,3618,36.18,1660154091.2584906
0,23,0,4,0,False,152,11,105,2921,29.21,1660154091.3348677
1,23,0,4,5,True,152,11,113,2929,29.29,1660154091.3358605
0,24,0,4,0,False,23,9,57,2361,23.61,1660154091.4074416
1,24,0,4,5,True,23,9,65,2369,23.69,1660154091.4074416
0,25,0,4,0,False,151,12,33,3105,31.05,1660154091.485385
1,25,0,4,5,True,151,12,42,3114,31.14,1660154091.486382
0,26,0,4,0,False,23,11,126,2942,29.42,1660154091.5479364
1,26,0,4,5,True,22,11,132,2948,29.48,1660154091.5479364
0,27,0,4,0,False,150,11,132,2948,29.48,1660154091.6253269
1,27,0,4,5,True,150,11,138,2954,29.54,1660154091.6253269
0,28,0,4,0,False,22,15,86,3926,39.26,1660154091.723817
1,28,0,4,5,True,21,15,95,3935,39.35,1660154091.7241251
0,29,0,4,0,False,149,12,53,3125,31.25,1660154091.7816415
1,29,0,4,5,True,149,12,61,3133,31.33,1660154091.7816415
0,30,0,4,0,False,21,11,91,2907,29.07,1660154091.8596406
1,30,0,4,5,True,21,11,99,2915,29.15,1660154091.8596406
0,31,0,4,0,False,148,9,192,2496,24.96,1660154091.9227412
1,31,0,4,5,True,148,9,200,2504,25.04,1660154091.9229445
0,32,0,4,0,False,20,12,118,3190,31.9,1660154091.9993541
1,32,0,4,5,True,20,12,127,3199,31.99,1660154091.9993541
0,33,0,4,0,False,147,12,94,3166,31.66,1660154092.0934758
1,33,0,4,5,True,147,12,104,3176,31.76,1660154092.0934758
0,34,0,4,0,False,19,13,111,3439,34.39,1660154092.169558
1,34,0,4,5,True,19,13,119,3447,34.47,1660154092.169558
0,35,0,4,0,False,146,11,1,2817,28.17,1660154092.2479515
1,35,0,4,5,True,146,11,8,2824,28.24,1660154092.2479515
0,36,0,4,0,False,18,11,127,2943,29.43,1660154092.3249626
1,36,0,4,5,True,18,11,129,2945,29.45,1660154092.32596
0,37,0,4,0,False,146,14,163,3747,37.47,1660154092.4090016
1,37,0,4,5,True,145,14,171,3755,37.55,1660154092.4099991
0,38,0,4,0,False,17,10,102,2662,26.62,1660154092.4822395
1,38,0,4,5,True,17,10,108,2668,26.68,1660154092.482442
0,39,0,4,0,False,145,13,71,3399,33.99,1660154092.557181
1,39,0,4,5,True,144,13,78,3406,34.06,1660154092.557181
0,40,0,4,0,False,16,8,181,2229,22.29,1660154092.6194556
1,40,0,4,5,True,16,8,186,2234,22.34,1660154092.6194556
0,41,0,4,0,False,144,11,46,2862,28.62,1660154092.7143064
1,41,0,4,5,True,144,11,53,2869,28.69,1660154092.7144654
0,42,0,4,0,False,15,10,75,2635,26.35,1660154092.790849
1,42,0,4,5,True,15,10,83,2643,26.43,1660154092.790849
0,43,0,4,0,False,143,10,194,2754,27.54,1660154092.8757038
1,43,0,4,5,True,143,10,203,2763,27.63,1660154092.8757038
0,44,0,4,0,False,14,11,68,2884,28.84,1660154092.9474666
1,44,0,4,5,True,14,11,75,2891,28.91,1660154092.9474666
0,45,0,4,0,False,142,13,89,3417,34.17,1660154093.025184
1,45,0,4,5,True,142,13,95,3423,34.23,1660154093.025184
0,46,0,4,0,False,14,10,237,2797,27.97,1660154093.095449
