dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,157,12,132,3204,32.04,1660070486.0645711
1,0,0,4,5,True,157,12,139,3211,32.11,1660070486.0645711
0,1,0,4,0,False,29,13,221,3549,35.49,1660070486.1596026
1,1,0,4,5,True,29,13,229,3557,35.57,1660070486.159765
0,2,0,4,0,False,156,13,248,3576,35.76,1660070486.2211342
1,2,0,4,5,True,156,14,0,3584,35.84,1660070486.2211342
0,3,0,4,0,False,28,0,79,79,0.79,1660070486.2993312
1,3,0,4,5,True,28,0,86,86,0.86,1660070486.2993312
0,4,0,4,0,False,155,14,42,3626,36.26,1660070486.3767314
1,4,0,4,5,True,155,14,51,3635,36.35,1660070486.3767314
0,5,0,4,0,False,27,14,50,3634,36.34,1660070486.47521
1,5,0,4,5,True,27,14,58,3642,36.42,1660070486.4755137
0,6,0,4,0,False,154,12,236,3308,33.08,1660070486.5468721
1,6,0,4,5,True,154,12,245,3317,33.17,1660070486.5468721
0,7,0,4,0,False,26,14,247,3831,38.31,1660070486.5949194
1,7,0,4,5,True,26,15,1,3841,38.41,1660070486.5949194
0,8,0,4,0,False,154,15,172,4012,40.12,1660070486.6866834
1,8,0,4,5,True,153,15,180,4020,40.2,1660070486.6866834
0,9,0,4,0,False,25,14,68,3652,36.52,1660070486.7697196
1,9,0,4,5,True,25,14,75,3659,36.59,1660070486.7703118
0,10,0,4,0,False,153,14,158,3742,37.42,1660070486.8266144
1,10,0,4,5,True,153,14,166,3750,37.5,1660070486.8266144
0,11,0,4,0,False,24,14,2,3586,35.86,1660070486.9196537
1,11,0,4,5,True,24,14,8,3592,35.92,1660070486.9196537
0,12,0,4,0,False,152,13,191,3519,35.19,1660070486.9969301
1,12,0,4,5,True,152,13,199,3527,35.27,1660070486.9969301
0,13,0,4,0,False,23,13,5,3333,33.33,1660070487.0755517
1,13,0,4,5,True,23,13,13,3341,33.41,1660070487.0757551
0,14,0,4,0,False,151,12,229,3301,33.01,1660070487.15332
1,14,0,4,5,True,151,12,237,3309,33.09,1660070487.15332
0,15,0,4,0,False,22,12,226,3298,32.98,1660070487.2316115
1,15,0,4,5,True,22,12,233,3305,33.05,1660070487.2316797
0,16,0,4,0,False,150,14,203,3787,37.87,1660070487.292599
1,16,0,4,5,True,150,14,210,3794,37.94,1660070487.292599
0,17,0,4,0,False,22,13,128,3456,34.56,1660070487.3714638
1,17,0,4,5,True,21,13,135,3463,34.63,1660070487.3717155
0,18,0,4,0,False,149,13,33,3361,33.61,1660070487.4486923
1,18,0,4,5,True,149,13,41,3369,33.69,1660070487.4496844
