NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,14, 9,81 , 2385 , 23.85,1657136729.1087692 
0,0, 4, 0,Col,14, 9,154 , 2458 , 24.58,1657136729.1087692 
0,0, 4, 0,Row,159, 3,0 , 768 , 7.68,1657136729.1087692 
0,0, 4, 0,Col,159, 4,116 , 1140 , 11.4,1657136729.1087692 
1,0, 4, 0,Row,28, 7,181 , 1973 , 19.73,1657136729.6372929 
1,0, 4, 0,Col,27, 7,238 , 2030 , 20.3,1657136729.6372929 
2,0, 4, 0,Row,25, 1,178 , 434 , 4.34,1657136730.1014643 
2,0, 4, 0,Col,25, 1,225 , 481 , 4.81,1657136730.1014643 
3,0, 4, 0,Row,22, 14,105 , 3689 , 36.89,1657136730.5848703 
3,0, 4, 0,Col,22, 14,157 , 3741 , 37.41,1657136730.5848703 
4,0, 4, 0,Row,19, 4,30 , 1054 , 10.54,1657136731.0655954 
4,0, 4, 0,Col,19, 4,86 , 1110 , 11.1,1657136731.0655954 
5,0, 4, 0,Row,17, 1,140 , 396 , 3.96,1657136731.5325525 
5,0, 4, 0,Col,17, 1,194 , 450 , 4.5,1657136731.5325525 
5,0, 4, 0,Row,144, 5,93 , 1373 , 13.73,1657136731.5325525 
5,0, 4, 0,Col,144, 5,102 , 1382 , 13.82,1657136731.5325525 
6,0, 4, 0,Row,14, 15,1 , 3841 , 38.41,1657136731.9955707 
6,0, 4, 0,Col,14, 15,46 , 3886 , 38.86,1657136731.9955707 
7,0, 4, 0,Row,142, 5,141 , 1421 , 14.21,1657136732.4615476 
7,0, 4, 0,Col,61, 13,4 , 3332 , 33.32,1657136732.4615476 
7,0, 4, 0,Row,139, 3,255 , 1023 , 10.23,1657136732.4615476 
7,0, 4, 0,Col,139, 4,51 , 1075 , 10.75,1657136732.4615476 
8,0, 4, 0,Row,9, 14,83 , 3667 , 36.67,1657136732.9235985 
8,0, 4, 0,Col,8, 14,126 , 3710 , 37.1,1657136732.9235985 
9,0, 4, 0,Row,6, 2,55 , 567 , 5.67,1657136733.3902128 
9,0, 4, 0,Col,6, 2,108 , 620 , 6.2,1657136733.3902128 
9,0, 4, 0,Row,133, 4,183 , 1207 , 12.07,1657136733.3902128 
9,0, 4, 0,Col,133, 4,191 , 1215 , 12.15,1657136733.3902128 
10,0, 4, 0,Row,3, 13,207 , 3535 , 35.35,1657136733.8534644 
10,0, 4, 0,Col,3, 13,252 , 3580 , 35.8,1657136733.8534644 
10,0, 4, 0,Row,131, 6,150 , 1686 , 16.86,1657136733.8534644 
10,0, 4, 0,Col,131, 6,158 , 1694 , 16.94,1657136733.8534644 
11,0, 4, 0,Row,128, 3,118 , 886 , 8.86,1657136734.3200314 
11,0, 4, 0,Col,128, 3,168 , 936 , 9.36,1657136734.3200314 
12,0, 4, 0,Row,125, 5,123 , 1403 , 14.03,1657136734.789084 
12,0, 4, 0,Col,125, 5,170 , 1450 , 14.5,1657136734.789084 
13,0, 4, 0,Row,123, 5,62 , 1342 , 13.42,1657136735.2560673 
13,0, 4, 0,Col,123, 5,114 , 1394 , 13.94,1657136735.2560673 
14,0, 4, 0,Row,120, 2,242 , 754 , 7.54,1657136735.737994 
14,0, 4, 0,Col,120, 3,29 , 797 , 7.97,1657136735.737994 
15,0, 4, 0,Row,117, 5,31 , 1311 , 13.11,1657136736.220666 
15,0, 4, 0,Col,117, 5,81 , 1361 , 13.61,1657136736.220666 
16,0, 4, 0,Row,115, 3,251 , 1019 , 10.19,1657136736.7035882 
16,0, 4, 0,Col,114, 4,43 , 1067 , 10.67,1657136736.7035882 
17,0, 4, 0,Row,112, 4,245 , 1269 , 12.69,1657136737.1700232 
17,0, 4, 0,Col,112, 5,19 , 1299 , 12.99,1657136737.1700232 
18,0, 4, 0,Row,109, 5,72 , 1352 , 13.52,1657136737.636964 
18,0, 4, 0,Col,109, 5,120 , 1400 , 14.0,1657136737.636964 
19,0, 4, 0,Row,106, 1,201 , 457 , 4.57,1657136738.103001 
19,0, 4, 0,Col,106, 1,255 , 511 , 5.11,1657136738.103001 
20,0, 4, 0,Row,104, 4,177 , 1201 , 12.01,1657136738.5684016 
20,0, 4, 0,Col,104, 4,231 , 1255 , 12.55,1657136738.5684016 
21,0, 4, 0,Row,229, 8,222 , 2270 , 22.7,1657136739.0502172 
21,0, 4, 0,Col,228, 9,26 , 2330 , 23.3,1657136739.0502172 
22,0, 4, 0,Row,226, 1,156 , 412 , 4.12,1657136739.5181737 
22,0, 4, 0,Col,226, 1,209 , 465 , 4.65,1657136739.5181737 
23,0, 4, 0,Row,223, 1,49 , 305 , 3.05,1657136740.0003304 
23,0, 4, 0,Col,223, 1,98 , 354 , 3.54,1657136740.0003304 
24,0, 4, 0,Row,221, 1,45 , 301 , 3.01,1657136740.4816556 
24,0, 4, 0,Col,220, 1,95 , 351 , 3.51,1657136740.4816556 
25,0, 4, 0,Row,218, 4,66 , 1090 , 10.9,1657136740.9625244 
25,0, 4, 0,Col,218, 4,115 , 1139 , 11.39,1657136740.9625244 
26,0, 4, 0,Row,215, 2,45 , 557 , 5.57,1657136741.4328458 
26,0, 4, 0,Col,215, 2,98 , 610 , 6.1,1657136741.4328458 
27,0, 4, 0,Row,84, 7,122 , 1914 , 19.14,1657136741.9099953 
27,0, 4, 0,Col,84, 7,179 , 1971 , 19.71,1657136741.9099953 
28,0, 4, 0,Row,81, 3,164 , 932 , 9.32,1657136742.3708227 
28,0, 4, 0,Col,81, 3,214 , 982 , 9.82,1657136742.3708227 
29,0, 4, 0,Row,79, 3,84 , 852 , 8.52,1657136742.8528285 
29,0, 4, 0,Col,78, 3,140 , 908 , 9.08,1657136742.8528285 
30,0, 4, 0,Row,76, 3,57 , 825 , 8.25,1657136743.3348167 
30,0, 4, 0,Col,76, 3,106 , 874 , 8.74,1657136743.3348167 
31,0, 4, 0,Row,73, 4,66 , 1090 , 10.9,1657136743.798948 
31,0, 4, 0,Col,73, 4,117 , 1141 , 11.41,1657136743.798948 
32,0, 4, 0,Row,70, 4,228 , 1252 , 12.52,1657136744.2827325 
32,0, 4, 0,Col,70, 5,37 , 1317 , 13.17,1657136744.2827325 
33,0, 4, 0,Row,68, 7,92 , 1884 , 18.84,1657136744.750407 
33,0, 4, 0,Col,68, 7,147 , 1939 , 19.39,1657136744.750407 
34,0, 4, 0,Row,65, 5,207 , 1487 , 14.87,1657136745.2157445 
34,0, 4, 0,Col,65, 6,4 , 1540 , 15.4,1657136745.2157445 
35,0, 4, 0,Row,50, 5,16 , 1296 , 12.96,1657136745.6815932 
35,0, 4, 0,Col,50, 5,97 , 1377 , 13.77,1657136745.6815932 
36,0, 4, 0,Row,187, 11,129 , 2945 , 29.45,1657136746.1527598 
36,0, 4, 0,Col,187, 11,187 , 3003 , 30.03,1657136746.1527598 
37,0, 4, 0,Row,185, 5,19 , 1299 , 12.99,1657136746.6484592 
37,0, 4, 0,Col,184, 5,72 , 1352 , 13.52,1657136746.6484592 
38,0, 4, 0,Row,182, 4,140 , 1164 , 11.64,1657136747.129335 
38,0, 4, 0,Col,182, 4,193 , 1217 , 12.17,1657136747.129335 
39,0, 4, 0,Row,179, 2,235 , 747 , 7.47,1657136747.5969865 
39,0, 4, 0,Col,179, 3,30 , 798 , 7.98,1657136747.5969865 
40,0, 4, 0,Row,176, 4,167 , 1191 , 11.91,1657136748.064522 
40,0, 4, 0,Col,176, 4,220 , 1244 , 12.44,1657136748.064522 
41,0, 4, 0,Row,174, 3,122 , 890 , 8.9,1657136748.5458236 
41,0, 4, 0,Col,174, 3,176 , 944 , 9.44,1657136748.5458236 
42,0, 4, 0,Row,171, 2,148 , 660 , 6.6,1657136749.0110254 
42,0, 4, 0,Col,171, 2,200 , 712 , 7.12,1657136749.0110254 
43,0, 4, 0,Row,40, 11,90 , 2906 , 29.06,1657136749.4901884 
43,0, 4, 0,Col,40, 11,155 , 2971 , 29.71,1657136749.4901884 
44,0, 4, 0,Row,166, 13,30 , 3358 , 33.58,1657136749.9408135 
44,0, 4, 0,Col,37, 11,56 , 2872 , 28.72,1657136749.9408135 
44,0, 4, 0,Row,37, 7,67 , 1859 , 18.59,1657136749.9408135 
44,0, 4, 0,Col,37, 4,144 , 1168 , 11.68,1657136749.9408135 
45,0, 4, 0,Row,34, 5,33 , 1313 , 13.13,1657136750.4071767 
45,0, 4, 0,Col,34, 5,85 , 1365 , 13.65,1657136750.4071767 
46,0, 4, 0,Row,32, 15,20 , 3860 , 38.6,1657136750.8873997 
46,0, 4, 0,Col,32, 15,69 , 3909 , 39.09,1657136750.8873997 
47,0, 4, 0,Row,29, 2,245 , 757 , 7.57,1657136751.352767 
47,0, 4, 0,Col,29, 3,42 , 810 , 8.1,1657136751.352767 
48,0, 4, 0,Row,26, 1,223 , 479 , 4.79,1657136751.8635886 
48,0, 4, 0,Col,26, 2,38 , 550 , 5.5,1657136751.8635886 
49,0, 4, 0,Row,24, 3,119 , 887 , 8.87,1657136752.3146935 
49,0, 4, 0,Col,24, 3,171 , 939 , 9.39,1657136752.3146935 
50,0, 4, 0,Row,21, 3,116 , 884 , 8.84,1657136752.7953656 
50,0, 4, 0,Col,21, 3,166 , 934 , 9.34,1657136752.7953656 
51,0, 4, 0,Row,146, 10,185 , 2745 , 27.45,1657136753.2754447 
51,0, 4, 0,Col,146, 10,242 , 2802 , 28.02,1657136753.2754447 
52,0, 4, 0,Row,143, 1,221 , 477 , 4.77,1657136753.7408895 
52,0, 4, 0,Col,143, 2,11 , 523 , 5.23,1657136753.7408895 
53,0, 4, 0,Row,140, 2,230 , 742 , 7.42,1657136754.205328 
53,0, 4, 0,Col,140, 3,28 , 796 , 7.96,1657136754.205328 
54,0, 4, 0,Row,138, 4,95 , 1119 , 11.19,1657136754.6866698 
54,0, 4, 0,Col,138, 4,179 , 1203 , 12.03,1657136754.6866698 
55,0, 4, 0,Row,135, 6,38 , 1574 , 15.74,1657136755.1693845 
55,0, 4, 0,Col,135, 6,86 , 1622 , 16.22,1657136755.1693845 
56,0, 4, 0,Row,132, 2,132 , 644 , 6.44,1657136755.6356382 
56,0, 4, 0,Col,132, 2,182 , 694 , 6.94,1657136755.6356382 
57,0, 4, 0,Row,130, 6,92 , 1628 , 16.28,1657136756.114347 
57,0, 4, 0,Col,129, 6,146 , 1682 , 16.82,1657136756.114347 
58,0, 4, 0,Row,127, 2,97 , 609 , 6.09,1657136756.5803945 
58,0, 4, 0,Col,127, 2,150 , 662 , 6.62,1657136756.5803945 
59,0, 4, 0,Row,124, 1,136 , 392 , 3.92,1657136757.0471058 
59,0, 4, 0,Col,124, 1,188 , 444 , 4.44,1657136757.0471058 
60,0, 4, 0,Row,249, 8,24 , 2072 , 20.72,1657136757.5312657 
60,0, 4, 0,Col,249, 8,82 , 2130 , 21.3,1657136757.5312657 
61,0, 4, 0,Row,246, 2,9 , 521 , 5.21,1657136758.001351 
61,0, 4, 0,Col,246, 2,59 , 571 , 5.71,1657136758.001351 
62,0, 4, 0,Row,244, 1,225 , 481 , 4.81,1657136758.4714613 
62,0, 4, 0,Col,244, 2,19 , 531 , 5.31,1657136758.4714613 
63,0, 4, 0,Row,241, 3,143 , 911 , 9.11,1657136758.9406862 
63,0, 4, 0,Col,241, 3,192 , 960 , 9.6,1657136758.9406862 
64,0, 4, 0,Row,238, 0,217 , 217 , 2.17,1657136759.4153283 
64,0, 4, 0,Col,238, 1,16 , 272 , 2.72,1657136759.4153283 
65,0, 4, 0,Row,236, 4,60 , 1084 , 10.84,1657136759.8839827 
65,0, 4, 0,Col,235, 4,113 , 1137 , 11.37,1657136759.8839827 
66,0, 4, 0,Row,233, 7,114 , 1906 , 19.06,1657136760.3532672 
66,0, 4, 0,Col,233, 7,165 , 1957 , 19.57,1657136760.3532672 
67,0, 4, 0,Row,230, 3,228 , 996 , 9.96,1657136760.8198686 
67,0, 4, 0,Col,230, 4,25 , 1049 , 10.49,1657136760.8198686 
68,0, 4, 0,Row,227, 5,56 , 1336 , 13.36,1657136761.287282 
68,0, 4, 0,Col,227, 5,107 , 1387 , 13.87,1657136761.287282 
69,0, 4, 0,Row,225, 2,61 , 573 , 5.73,1657136761.7570305 
69,0, 4, 0,Col,225, 2,114 , 626 , 6.26,1657136761.7570305 
70,0, 4, 0,Row,222, 3,251 , 1019 , 10.19,1657136762.2280269 
70,0, 4, 0,Col,222, 4,53 , 1077 , 10.77,1657136762.2280269 
