NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,141, 13,128 , 3456 , 34.56,1657136160.9142773 
0,0, 4, 0,Col,140, 13,226 , 3554 , 35.54,1657136160.9142773 
0,0, 4, 0,Row,193, 11,200 , 3016 , 30.16,1657136160.9142773 
0,0, 4, 0,Col,193, 13,57 , 3385 , 33.85,1657136160.9142773 
1,0, 4, 0,Row,62, 6,215 , 1751 , 17.51,1657136161.45767 
1,0, 4, 0,Col,62, 7,20 , 1812 , 18.12,1657136161.45767 
2,0, 4, 0,Row,59, 10,179 , 2739 , 27.39,1657136161.9297714 
2,0, 4, 0,Col,59, 10,217 , 2777 , 27.77,1657136161.9297714 
2,0, 4, 0,Row,187, 0,169 , 169 , 1.69,1657136161.9297714 
2,0, 4, 0,Col,187, 0,177 , 177 , 1.77,1657136161.9297714 
3,0, 4, 0,Row,184, 12,234 , 3306 , 33.06,1657136162.402027 
3,0, 4, 0,Col,184, 13,23 , 3351 , 33.51,1657136162.402027 
4,0, 4, 0,Row,181, 0,183 , 183 , 1.83,1657136162.8994644 
4,0, 4, 0,Col,181, 0,232 , 232 , 2.32,1657136162.8994644 
5,0, 4, 0,Row,179, 13,117 , 3445 , 34.45,1657136163.371837 
5,0, 4, 0,Col,179, 13,169 , 3497 , 34.97,1657136163.371837 
6,0, 4, 0,Row,176, 15,213 , 4053 , 40.53,1657136163.8545628 
6,0, 4, 0,Col,176, 0,7 , 7 , 0.07,1657136163.8545628 
7,0, 4, 0,Row,188, 11,174 , 2990 , 29.9,1657136164.3234475 
7,0, 4, 0,Col,188, 11,242 , 3058 , 30.58,1657136164.3234475 
8,0, 4, 0,Row,171, 9,86 , 2390 , 23.9,1657136164.790119 
8,0, 4, 0,Col,171, 9,133 , 2437 , 24.37,1657136164.790119 
9,0, 4, 0,Row,40, 10,143 , 2703 , 27.03,1657136165.25937 
9,0, 4, 0,Col,39, 10,205 , 2765 , 27.65,1657136165.25937 
10,0, 4, 0,Row,37, 5,250 , 1530 , 15.3,1657136165.728343 
10,0, 4, 0,Col,37, 6,48 , 1584 , 15.84,1657136165.728343 
11,0, 4, 0,Row,34, 11,53 , 2869 , 28.69,1657136166.197604 
11,0, 4, 0,Col,34, 11,108 , 2924 , 29.24,1657136166.197604 
12,0, 4, 0,Row,32, 8,167 , 2215 , 22.15,1657136166.6775634 
12,0, 4, 0,Col,31, 8,218 , 2266 , 22.66,1657136166.6775634 
13,0, 4, 0,Row,29, 14,197 , 3781 , 37.81,1657136167.1440065 
13,0, 4, 0,Col,29, 14,249 , 3833 , 38.33,1657136167.1440065 
14,0, 4, 0,Row,26, 13,51 , 3379 , 33.79,1657136167.6309345 
14,0, 4, 0,Col,26, 13,102 , 3430 , 34.3,1657136167.6309345 
15,0, 4, 0,Row,151, 14,173 , 3757 , 37.57,1657136168.1284335 
15,0, 4, 0,Col,151, 14,229 , 3813 , 38.13,1657136168.1284335 
16,0, 4, 0,Row,148, 12,207 , 3279 , 32.79,1657136168.595358 
16,0, 4, 0,Col,148, 13,4 , 3332 , 33.32,1657136168.595358 
17,0, 4, 0,Row,146, 2,246 , 758 , 7.58,1657136169.0785892 
17,0, 4, 0,Col,145, 3,39 , 807 , 8.07,1657136169.0785892 
18,0, 4, 0,Row,143, 5,239 , 1519 , 15.19,1657136169.5456026 
18,0, 4, 0,Col,143, 6,27 , 1563 , 15.63,1657136169.5456026 
19,0, 4, 0,Row,140, 7,16 , 1808 , 18.08,1657136170.0274117 
19,0, 4, 0,Col,140, 7,65 , 1857 , 18.57,1657136170.0274117 
20,0, 4, 0,Row,137, 11,215 , 3031 , 30.31,1657136170.4898114 
20,0, 4, 0,Col,137, 12,14 , 3086 , 30.86,1657136170.4898114 
21,0, 4, 0,Row,135, 11,57 , 2873 , 28.73,1657136170.9563746 
21,0, 4, 0,Col,135, 11,108 , 2924 , 29.24,1657136170.9563746 
22,0, 4, 0,Row,132, 14,251 , 3835 , 38.35,1657136171.4366703 
22,0, 4, 0,Col,132, 15,46 , 3886 , 38.86,1657136171.4366703 
23,0, 4, 0,Row,129, 5,138 , 1418 , 14.18,1657136171.9049203 
23,0, 4, 0,Col,129, 5,186 , 1466 , 14.66,1657136171.9049203 
24,0, 4, 0,Row,127, 12,182 , 3254 , 32.54,1657136172.3710575 
24,0, 4, 0,Col,127, 12,235 , 3307 , 33.07,1657136172.3710575 
25,0, 4, 0,Row,251, 11,227 , 3043 , 30.43,1657136172.8665392 
25,0, 4, 0,Col,251, 12,30 , 3102 , 31.02,1657136172.8665392 
26,0, 4, 0,Row,249, 13,126 , 3454 , 34.54,1657136173.348547 
26,0, 4, 0,Col,249, 13,179 , 3507 , 35.07,1657136173.348547 
27,0, 4, 0,Row,246, 11,125 , 2941 , 29.41,1657136173.8284838 
27,0, 4, 0,Col,246, 11,179 , 2995 , 29.95,1657136173.8284838 
28,0, 4, 0,Row,243, 9,70 , 2374 , 23.74,1657136174.2928717 
28,0, 4, 0,Col,243, 9,128 , 2432 , 24.32,1657136174.2928717 
29,0, 4, 0,Row,241, 10,37 , 2597 , 25.97,1657136174.759964 
29,0, 4, 0,Col,241, 10,84 , 2644 , 26.44,1657136174.759964 
30,0, 4, 0,Row,238, 1,59 , 315 , 3.15,1657136175.2238019 
30,0, 4, 0,Col,238, 1,109 , 365 , 3.65,1657136175.2238019 
31,0, 4, 0,Row,107, 7,231 , 2023 , 20.23,1657136175.7020164 
31,0, 4, 0,Col,107, 8,32 , 2080 , 20.8,1657136175.7020164 
32,0, 4, 0,Row,104, 6,171 , 1707 , 17.07,1657136176.1838176 
32,0, 4, 0,Col,104, 6,224 , 1760 , 17.6,1657136176.1838176 
33,0, 4, 0,Row,101, 11,154 , 2970 , 29.7,1657136176.6481576 
33,0, 4, 0,Col,101, 11,203 , 3019 , 30.19,1657136176.6481576 
34,0, 4, 0,Row,99, 14,43 , 3627 , 36.27,1657136177.1445172 
34,0, 4, 0,Col,99, 14,92 , 3676 , 36.76,1657136177.1445172 
35,0, 4, 0,Row,96, 12,82 , 3154 , 31.54,1657136177.5953884 
35,0, 4, 0,Col,96, 12,134 , 3206 , 32.06,1657136177.5953884 
36,0, 4, 0,Row,93, 0,18 , 18 , 0.18,1657136178.0593367 
36,0, 4, 0,Col,93, 0,64 , 64 , 0.64,1657136178.0593367 
37,0, 4, 0,Row,91, 12,65 , 3137 , 31.37,1657136178.5198395 
37,0, 4, 0,Col,91, 12,116 , 3188 , 31.88,1657136178.5198395 
38,0, 4, 0,Row,88, 11,118 , 2934 , 29.34,1657136178.9881363 
38,0, 4, 0,Col,88, 11,167 , 2983 , 29.83,1657136178.9881363 
39,0, 4, 0,Row,85, 13,182 , 3510 , 35.1,1657136179.4564073 
39,0, 4, 0,Col,85, 13,235 , 3563 , 35.63,1657136179.4564073 
40,0, 4, 0,Row,83, 14,186 , 3770 , 37.7,1657136179.9230065 
40,0, 4, 0,Col,82, 14,238 , 3822 , 38.22,1657136179.9230065 
41,0, 4, 0,Row,80, 9,57 , 2361 , 23.61,1657136180.3751318 
41,0, 4, 0,Col,80, 9,107 , 2411 , 24.11,1657136180.3751318 
42,0, 4, 0,Row,77, 8,236 , 2284 , 22.84,1657136180.8422346 
42,0, 4, 0,Col,77, 9,34 , 2338 , 23.38,1657136180.8422346 
43,0, 4, 0,Row,74, 14,161 , 3745 , 37.45,1657136181.3100185 
43,0, 4, 0,Col,74, 14,211 , 3795 , 37.95,1657136181.3100185 
44,0, 4, 0,Row,72, 11,230 , 3046 , 30.46,1657136181.7761424 
44,0, 4, 0,Col,72, 12,26 , 3098 , 30.98,1657136181.7761424 
45,0, 4, 0,Row,69, 13,92 , 3420 , 34.2,1657136182.2401226 
45,0, 4, 0,Col,69, 13,144 , 3472 , 34.72,1657136182.2401226 
46,0, 4, 0,Row,66, 10,205 , 2765 , 27.65,1657136182.7057915 
46,0, 4, 0,Col,66, 11,1 , 2817 , 28.17,1657136182.7057915 
47,0, 4, 0,Row,64, 12,219 , 3291 , 32.91,1657136183.171006 
47,0, 4, 0,Col,63, 13,17 , 3345 , 33.45,1657136183.171006 
48,0, 4, 0,Row,61, 13,150 , 3478 , 34.78,1657136183.6374097 
48,[0;31;40m1[0m, [0;31;40m5[0m, 22,Col,4, 0,61 , 61 , 0.61,1657136183.6374097 
48,[0;31;40m1[0m, [0;31;40m5[0m, 8,Col,61, 13,61 , 3389 , 33.89,1657136183.6374097 
49,0, 4, 0,Row,58, 14,123 , 3707 , 37.07,1657136184.1175997 
49,0, 4, 0,Col,58, 14,175 , 3759 , 37.59,1657136184.1175997 
50,0, 4, 0,Row,56, 15,60 , 3900 , 39.0,1657136184.5889227 
50,0, 4, 0,Col,55, 15,119 , 3959 , 39.59,1657136184.5889227 
51,0, 4, 0,Row,53, 14,176 , 3760 , 37.6,1657136185.05637 
51,0, 4, 0,Col,53, 14,224 , 3808 , 38.08,1657136185.05637 
52,0, 4, 0,Row,178, 14,46 , 3630 , 36.3,1657136185.523906 
52,0, 4, 0,Col,178, 14,110 , 3694 , 36.94,1657136185.523906 
53,0, 4, 0,Row,175, 14,53 , 3637 , 36.37,1657136185.9929066 
53,0, 4, 0,Col,175, 14,102 , 3686 , 36.86,1657136185.9929066 
54,0, 4, 0,Row,172, 8,17 , 2065 , 20.65,1657136186.4609253 
54,0, 4, 0,Col,172, 8,69 , 2117 , 21.17,1657136186.4609253 
