dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,78,8,48,2096,10.48,1670444133.011295
1,0,0,4,0,True,78,8,27,2075,10.375,1670444133.0115192
0,1,0,4,0,False,206,8,110,2158,10.79,1670444133.1017904
1,1,0,4,0,True,206,8,90,2138,10.69,1670444133.1017904
0,2,0,4,0,False,78,7,188,1980,9.9,1670444133.1795206
1,2,0,4,0,True,78,7,168,1960,9.8,1670444133.1795206
0,3,0,4,0,False,205,7,67,1859,9.295,1670444133.257109
1,3,0,4,0,True,205,7,48,1840,9.2,1670444133.2581058
0,4,0,4,0,False,77,7,104,1896,9.48,1670444133.3326342
1,4,0,4,0,True,77,7,84,1876,9.38,1670444133.3326342
0,5,0,4,0,False,204,7,76,1868,9.34,1670444133.4117482
1,5,0,4,0,True,204,7,55,1847,9.235,1670444133.4120224
0,6,0,4,0,False,76,7,150,1942,9.71,1670444133.49219
1,6,0,4,0,True,76,7,130,1922,9.61,1670444133.49219
0,7,0,4,0,False,203,7,119,1911,9.555,1670444133.5662847
1,7,0,4,0,True,203,7,99,1891,9.455,1670444133.5662847
0,8,0,4,0,False,75,6,231,1767,8.835,1670444133.6507857
1,8,0,4,0,True,75,6,211,1747,8.735,1670444133.6509926
0,9,0,4,0,False,202,7,89,1881,9.405,1670444133.720461
1,9,0,4,0,True,202,7,69,1861,9.305,1670444133.7206774
0,10,0,4,0,False,74,7,185,1977,9.885,1670444133.7811062
1,10,0,4,0,True,74,7,165,1957,9.785,1670444133.7811062
0,11,0,4,0,False,202,7,81,1873,9.365,1670444133.8594317
1,11,0,4,0,True,201,7,61,1853,9.265,1670444133.8594317
0,12,0,4,0,False,73,7,15,1807,9.035,1670444133.937705
1,12,0,4,0,True,73,6,251,1787,8.935,1670444133.937705
0,13,0,4,0,False,201,6,247,1783,8.915,1670444134.0294564
1,13,0,4,0,True,201,6,227,1763,8.815,1670444134.0294564
0,14,0,4,0,False,72,7,134,1926,9.63,1670444134.1094568
1,14,0,4,0,True,72,7,113,1905,9.525,1670444134.1094568
0,15,0,4,0,False,200,8,104,2152,10.76,1670444134.1879346
1,15,0,4,0,True,200,8,84,2132,10.66,1670444134.188174
0,16,0,4,0,False,71,7,16,1808,9.04,1670444134.265297
1,16,0,4,0,True,71,6,251,1787,8.935,1670444134.2662568
0,17,0,4,0,False,199,7,122,1914,9.57,1670444134.3481197
1,17,0,4,0,True,199,7,101,1893,9.465,1670444134.3491473
0,18,0,4,0,False,70,6,130,1666,8.33,1670444134.4242747
1,18,0,4,0,True,70,6,110,1646,8.23,1670444134.4242747
0,19,0,4,0,False,198,7,82,1874,9.37,1670444134.496216
1,19,0,4,0,True,198,7,62,1854,9.27,1670444134.496216
0,20,0,4,0,False,69,7,90,1882,9.41,1670444134.5735981
1,20,0,4,0,True,69,7,71,1863,9.315,1670444134.573806
0,21,0,4,0,False,197,7,221,2013,10.065,1670444134.6564302
1,21,0,4,0,True,197,7,200,1992,9.96,1670444134.656624
0,22,0,4,0,False,69,8,154,2202,11.01,1670444134.7132058
1,22,0,4,0,True,69,8,134,2182,10.91,1670444134.7132058
0,23,0,4,0,False,196,7,142,1934,9.67,1670444134.8065834
1,23,0,4,0,True,196,7,121,1913,9.565,1670444134.807584
0,24,0,4,0,False,68,8,148,2196,10.98,1670444134.8673844
1,24,0,4,0,True,68,8,128,2176,10.88,1670444134.8673844
0,25,0,4,0,False,195,7,109,1901,9.505,1670444134.9596941
1,25,0,4,0,True,195,7,89,1881,9.405,1670444134.9596941
0,26,0,4,0,False,67,7,247,2039,10.195,1670444135.0270116
1,26,0,4,0,True,67,7,228,2020,10.1,1670444135.0275717
0,27,0,4,0,False,194,7,106,1898,9.49,1670444135.0976093
1,27,0,4,0,True,194,7,85,1877,9.385,1670444135.0976093
0,28,0,4,0,False,66,8,20,2068,10.34,1670444135.1922684
1,28,0,4,0,True,66,8,0,2048,10.24,1670444135.1922684
0,29,0,4,0,False,193,7,198,1990,9.95,1670444135.254463
1,29,0,4,0,True,193,7,177,1969,9.845,1670444135.25453
0,30,0,4,0,False,65,6,235,1771,8.855,1670444135.3462312
1,30,0,4,0,True,65,6,216,1752,8.76,1670444135.3462312
0,31,0,4,0,False,192,7,63,1855,9.275,1670444135.423603
1,31,0,4,0,True,192,7,44,1836,9.18,1670444135.423603
0,32,0,4,0,False,64,6,190,1726,8.63,1670444135.4907935
1,32,0,4,0,True,64,6,170,1706,8.53,1670444135.4913936
0,33,0,4,0,False,192,8,66,2114,10.57,1670444135.5640435
1,33,0,4,0,True,192,8,46,2094,10.47,1670444135.5642698
0,34,0,4,0,False,63,7,235,2027,10.135,1670444135.6572468
1,34,0,4,0,True,63,7,214,2006,10.03,1670444135.6582167
0,35,0,4,0,False,191,6,59,1595,7.975,1670444135.7199419
1,35,0,4,0,True,191,6,39,1575,7.875,1670444135.720187
0,36,0,4,0,False,62,7,217,2009,10.045,1670444135.7980907
1,36,0,4,0,True,62,7,198,1990,9.95,1670444135.7982051
0,37,0,4,0,False,190,8,49,2097,10.485,1670444135.8730388
1,37,0,4,0,True,190,8,30,2078,10.39,1670444135.8730388
0,38,0,4,0,False,61,8,255,2303,11.515,1670444135.9681695
1,38,0,4,0,True,61,8,236,2284,11.42,1670444135.968411
0,39,0,4,0,False,189,8,106,2154,10.77,1670444136.0445502
1,39,0,4,0,True,189,8,86,2134,10.67,1670444136.0445502
0,40,0,4,0,False,61,6,255,1791,8.955,1670444136.122275
1,40,0,4,0,True,61,6,235,1771,8.855,1670444136.122275
0,41,0,4,0,False,188,8,13,2061,10.305,1670444136.2016985
1,41,0,4,0,True,188,7,249,2041,10.205,1670444136.2019017
0,42,0,4,0,False,60,7,189,1981,9.905,1670444136.2471132
1,42,0,4,0,True,60,7,169,1961,9.805,1670444136.2471132
0,43,0,4,0,False,187,8,24,2072,10.36,1670444136.3416631
1,43,0,4,0,True,187,8,5,2053,10.265,1670444136.3426788
0,44,0,4,0,False,59,7,182,1974,9.87,1670444136.4043522
1,44,0,4,0,True,59,7,163,1955,9.775,1670444136.4045203
0,45,0,4,0,False,186,7,191,1983,9.915,1670444136.5131474
1,45,0,4,0,True,186,7,171,1963,9.815,1670444136.5141475
0,46,0,4,0,False,58,7,68,1860,9.3,1670444136.5710542
1,46,0,4,0,True,58,7,48,1840,9.2,1670444136.572024
0,47,0,4,0,False,185,6,155,1691,8.455,1670444136.6584852
1,47,0,4,0,True,185,6,135,1671,8.355,1670444136.6584852
0,48,0,4,0,False,57,7,44,1836,9.18,1670444136.715054
1,48,0,4,0,True,57,7,25,1817,9.085,1670444136.715054
0,49,0,4,0,False,184,7,178,1970,9.85,1670444136.8080838
1,49,0,4,0,True,184,7,157,1949,9.745,1670444136.8080838
0,50,0,4,0,False,56,7,134,1926,9.63,1670444136.8850675
1,50,0,4,0,True,56,7,115,1907,9.535,1670444136.8850675
0,51,0,4,0,False,184,7,123,1915,9.575,1670444136.9624536
1,51,0,4,0,True,184,7,103,1895,9.475,1670444136.9624536
0,52,0,4,0,False,55,6,191,1727,8.635,1670444137.0396326
1,52,0,4,0,True,55,6,170,1706,8.53,1670444137.0396326
0,53,0,4,0,False,183,7,129,1921,9.605,1670444137.1170113
1,53,0,4,0,True,183,7,109,1901,9.505,1670444137.117315
0,54,0,4,0,False,54,7,45,1837,9.185,1670444137.1979997
1,54,0,4,0,True,54,7,26,1818,9.09,1670444137.1979997
0,55,0,4,0,False,182,7,18,1810,9.05,1670444137.2694087
1,55,0,4,0,True,182,6,255,1791,8.955,1670444137.2694087
0,56,0,4,0,False,53,7,17,1809,9.045,1670444137.3316755
1,56,0,4,0,True,53,6,253,1789,8.945,1670444137.3316755
0,57,0,4,0,False,181,7,41,1833,9.165,1670444137.4245474
1,57,0,4,0,True,181,7,20,1812,9.06,1670444137.4245474
0,58,0,4,0,False,52,7,86,1878,9.39,1670444137.5016305
1,58,0,4,0,True,52,7,66,1858,9.29,1670444137.5016305
0,59,0,4,0,False,180,6,167,1703,8.515,1670444137.563909
1,59,0,4,0,True,180,6,147,1683,8.415,1670444137.5640993
0,60,0,4,0,False,51,7,225,2017,10.085,1670444137.6645381
1,60,0,4,0,True,51,7,205,1997,9.985,1670444137.6645381
0,61,0,4,0,False,179,7,194,1986,9.93,1670444137.7328098
1,61,0,4,0,True,179,7,174,1966,9.83,1670444137.7328098
0,62,0,4,0,False,51,7,239,2031,10.155,1670444137.7952647
1,62,0,4,0,True,51,7,218,2010,10.05,1670444137.7952647
0,63,0,4,0,False,178,7,157,1949,9.745,1670444137.890547
1,63,0,4,0,True,178,7,136,1928,9.64,1670444137.890758
0,64,0,4,0,False,50,7,147,1939,9.695,1670444137.9679725
1,64,0,4,0,True,50,7,128,1920,9.6,1670444137.9679725
0,65,0,4,0,False,177,7,118,1910,9.55,1670444138.0441747
1,65,0,4,0,True,177,7,98,1890,9.45,1670444138.0441747
0,66,0,4,0,False,49,7,144,1936,9.68,1670444138.1069524
1,66,0,4,0,True,49,7,125,1917,9.585,1670444138.1069524
0,67,0,4,0,False,176,6,253,1789,8.945,1670444138.198994
1,67,0,4,0,True,176,6,232,1768,8.84,1670444138.199965
0,68,0,4,0,False,48,6,163,1699,8.495,1670444138.2790349
1,68,0,4,0,True,48,6,143,1679,8.395,1670444138.2792718
0,69,0,4,0,False,175,8,88,2136,10.68,1670444138.3718028
1,69,0,4,0,True,175,8,67,2115,10.575,1670444138.3720474
0,70,0,4,0,False,47,7,170,1962,9.81,1670444138.4337075
1,70,0,4,0,True,47,7,149,1941,9.705,1670444138.4337075
0,71,0,4,0,False,175,7,166,1958,9.79,1670444138.4960027
1,71,0,4,0,True,175,7,146,1938,9.69,1670444138.4962075
0,72,0,4,0,False,46,7,150,1942,9.71,1670444138.588344
1,72,0,4,0,True,46,7,130,1922,9.61,1670444138.5885508
0,73,0,4,0,False,174,6,80,1616,8.08,1670444138.6650312
1,73,0,4,0,True,174,6,60,1596,7.98,1670444138.6650312
0,74,0,4,0,False,45,8,101,2149,10.745,1670444138.7444966
1,74,0,4,0,True,45,8,81,2129,10.645,1670444138.7444966
0,75,0,4,0,False,173,7,254,2046,10.23,1670444138.8216076
1,75,0,4,0,True,173,7,234,2026,10.13,1670444138.8216076
0,76,0,4,0,False,44,7,213,2005,10.025,1670444138.897526
1,76,0,4,0,True,44,7,193,1985,9.925,1670444138.897526
0,77,0,4,0,False,172,7,163,1955,9.775,1670444138.9745321
1,77,0,4,0,True,172,7,142,1934,9.67,1670444138.9745321
0,78,0,4,0,False,43,7,253,2045,10.225,1670444139.0520601
1,78,0,4,0,True,43,7,232,2024,10.12,1670444139.0520601
0,79,0,4,0,False,171,7,176,1968,9.84,1670444139.1368792
1,79,0,4,0,True,171,7,156,1948,9.74,1670444139.1378407
0,80,0,4,0,False,42,7,151,1943,9.715,1670444139.2133236
1,80,0,4,0,True,42,7,131,1923,9.615,1670444139.2138562
0,81,0,4,0,False,170,6,217,1753,8.765,1670444139.2845068
1,81,0,4,0,True,170,6,197,1733,8.665,1670444139.2845068
0,82,0,4,0,False,42,7,214,2006,10.03,1670444139.3609686
1,82,0,4,0,True,42,7,193,1985,9.925,1670444139.3609686
0,83,0,4,0,False,169,7,117,1909,9.545,1670444139.4374652
1,83,0,4,0,True,169,7,97,1889,9.445,1670444139.4374652
0,84,0,4,0,False,41,7,129,1921,9.605,1670444139.51756
1,84,0,4,0,True,41,7,110,1902,9.51,1670444139.5177872
0,85,0,4,0,False,168,7,192,1984,9.92,1670444139.5770419
1,85,0,4,0,True,168,7,173,1965,9.825,1670444139.5770419
0,86,0,4,0,False,40,7,199,1991,9.955,1670444139.6719985
1,86,0,4,0,True,40,7,179,1971,9.855,1670444139.6719985
0,87,0,4,0,False,167,7,63,1855,9.275,1670444139.7342365
1,87,0,4,0,True,167,7,43,1835,9.175,1670444139.734458
0,88,0,4,0,False,39,6,116,1652,8.26,1670444139.8342102
1,88,0,4,0,True,39,6,96,1632,8.16,1670444139.834509
0,89,0,4,0,False,166,7,201,1993,9.965,1670444139.9035392
1,89,0,4,0,True,166,7,182,1974,9.87,1670444139.9035392
0,90,0,4,0,False,38,7,132,1924,9.62,1670444139.9837344
1,90,0,4,0,True,38,7,112,1904,9.52,1670444139.9838603
0,91,0,4,0,False,166,7,140,1932,9.66,1670444140.0587888
1,91,0,4,0,True,166,7,121,1913,9.565,1670444140.0590155
0,92,0,4,0,False,37,7,58,1850,9.25,1670444140.1359122
1,92,0,4,0,True,37,7,38,1830,9.15,1670444140.1359122
