dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,63,1,218,474,2.37,1670516612.7357185
1,0,0,4,0,True,63,1,198,454,2.27,1670516612.7357185
0,1,0,4,0,False,84,3,118,886,4.43,1670516612.786246
1,1,0,4,0,True,84,3,77,845,4.225,1670516612.786246
0,2,0,4,0,False,191,1,252,508,2.54,1670516612.8305283
1,2,0,4,0,True,191,1,231,487,2.435,1670516612.8307602
0,3,0,4,0,False,62,1,182,438,2.19,1670516612.907216
1,3,0,4,0,True,62,1,163,419,2.095,1670516612.907216
0,4,0,4,0,False,190,2,31,543,2.715,1670516612.9699745
1,4,0,4,0,True,190,2,12,524,2.62,1670516612.9701855
0,5,0,4,0,False,61,2,57,569,2.845,1670516613.0480719
1,5,0,4,0,True,61,2,37,549,2.745,1670516613.0480719
0,6,0,4,0,False,189,2,26,538,2.69,1670516613.131194
1,6,0,4,0,True,189,2,6,518,2.59,1670516613.1322017
0,7,0,4,0,False,61,4,194,1218,6.09,1670516613.1867166
1,7,0,4,0,True,61,4,154,1178,5.89,1670516613.1867166
0,8,0,4,0,False,188,2,3,515,2.575,1670516613.265903
1,8,0,4,0,True,188,1,239,495,2.475,1670516613.2661235
0,9,0,4,0,False,60,1,237,493,2.465,1670516613.3607066
1,9,0,4,0,True,60,1,217,473,2.365,1670516613.3609126
0,10,0,4,0,False,47,4,60,1084,5.42,1670516613.4430273
1,10,0,4,0,True,47,4,21,1045,5.225,1670516613.4430273
0,11,0,4,0,False,59,2,205,717,3.585,1670516613.513635
1,11,0,4,0,True,58,2,165,677,3.385,1670516613.513635
0,12,0,4,0,False,186,1,229,485,2.425,1670516613.5753844
1,12,0,4,0,True,186,1,209,465,2.325,1670516613.5756135
0,13,0,4,0,False,58,1,176,432,2.16,1670516613.6707182
1,13,0,4,0,True,58,1,156,412,2.06,1670516613.6709285
0,14,0,4,0,False,185,1,176,432,2.16,1670516613.7483659
1,14,0,4,0,True,185,1,155,411,2.055,1670516613.7483659
0,15,0,4,0,False,84,4,220,1244,6.22,1670516613.7930043
1,15,0,4,0,True,84,4,179,1203,6.015,1670516613.7930043
