NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,178, 9,119 , 2423 , 24.23,1655843381.737802 
0,0, 4, 0,Col,178, 9,119 , 2423 , 24.23,1655843381.737802 
0,0, 4, 0,Row,166, 5,192 , 1472 , 14.72,1655843381.737802 
0,0, 4, 0,Col,166, 5,174 , 1454 , 14.54,1655843381.737802 
1,0, 4, 0,Row,35, 5,230 , 1510 , 15.1,1655843382.2906368 
1,0, 4, 0,Col,35, 5,230 , 1510 , 15.1,1655843382.2906368 
2,0, 4, 0,Row,160, 8,222 , 2270 , 22.7,1655843382.7617214 
2,0, 4, 0,Col,159, 8,182 , 2230 , 22.3,1655843382.7617214 
3,0, 4, 0,Row,157, 7,66 , 1858 , 18.58,1655843383.2295027 
3,0, 4, 0,Col,157, 7,72 , 1864 , 18.64,1655843383.2295027 
4,0, 4, 0,Row,154, 10,185 , 2745 , 27.45,1655843383.6944292 
4,0, 4, 0,Col,154, 10,167 , 2727 , 27.27,1655843383.6944292 
5,0, 4, 0,Row,151, 8,79 , 2127 , 21.27,1655843384.1606011 
5,0, 4, 0,Col,151, 8,71 , 2119 , 21.19,1655843384.1606011 
6,0, 4, 0,Row,149, 8,204 , 2252 , 22.52,1655843384.643943 
6,0, 4, 0,Col,149, 8,204 , 2252 , 22.52,1655843384.643943 
7,0, 4, 0,Row,146, 8,183 , 2231 , 22.31,1655843385.1284854 
7,0, 4, 0,Col,146, 8,189 , 2237 , 22.37,1655843385.1284854 
8,0, 4, 0,Row,143, 4,52 , 1076 , 10.76,1655843385.6127007 
8,0, 4, 0,Col,143, 4,40 , 1064 , 10.64,1655843385.6127007 
9,0, 4, 0,Row,12, 7,188 , 1980 , 19.8,1655843386.0939887 
9,0, 4, 0,Col,12, 7,187 , 1979 , 19.79,1655843386.0939887 
10,0, 4, 0,Row,10, 7,43 , 1835 , 18.35,1655843386.5787308 
10,0, 4, 0,Col,9, 7,44 , 1836 , 18.36,1655843386.5787308 
11,0, 4, 0,Row,7, 9,82 , 2386 , 23.86,1655843387.031682 
11,0, 4, 0,Col,7, 9,69 , 2373 , 23.73,1655843387.031682 
12,0, 4, 0,Row,4, 12,83 , 3155 , 31.55,1655843387.5127156 
12,0, 4, 0,Col,4, 12,87 , 3159 , 31.59,1655843387.5127156 
13,0, 4, 0,Row,1, 10,116 , 2676 , 26.76,1655843387.9807215 
13,0, 4, 0,Col,1, 10,112 , 2672 , 26.72,1655843387.9807215 
14,0, 4, 0,Row,255, 11,102 , 2918 , 29.18,1655843388.4468045 
14,0, 4, 0,Col,255, 11,112 , 2928 , 29.28,1655843388.4468045 
15,0, 4, 0,Row,252, 11,130 , 2946 , 29.46,1655843388.8947816 
15,0, 4, 0,Col,252, 11,118 , 2934 , 29.34,1655843388.8947816 
16,0, 4, 0,Row,249, 8,165 , 2213 , 22.13,1655843389.362938 
16,0, 4, 0,Col,249, 8,174 , 2222 , 22.22,1655843389.362938 
17,0, 4, 0,Row,247, 9,117 , 2421 , 24.21,1655843389.814463 
17,0, 4, 0,Col,246, 9,114 , 2418 , 24.18,1655843389.814463 
18,0, 4, 0,Row,244, 7,2 , 1794 , 17.94,1655843390.2949467 
18,0, 4, 0,Col,244, 7,4 , 1796 , 17.96,1655843390.2949467 
19,0, 4, 0,Row,241, 9,104 , 2408 , 24.08,1655843390.762051 
19,0, 4, 0,Col,241, 9,100 , 2404 , 24.04,1655843390.762051 
20,0, 4, 0,Row,238, 6,187 , 1723 , 17.23,1655843391.2261992 
20,0, 4, 0,Col,238, 6,185 , 1721 , 17.21,1655843391.2261992 
21,0, 4, 0,Row,236, 10,32 , 2592 , 25.92,1655843391.693864 
21,0, 4, 0,Col,236, 10,36 , 2596 , 25.96,1655843391.693864 
22,0, 4, 0,Row,233, 9,15 , 2319 , 23.19,1655843392.1770117 
22,0, 4, 0,Col,233, 9,12 , 2316 , 23.16,1655843392.1770117 
23,0, 4, 0,Row,230, 9,145 , 2449 , 24.49,1655843392.6563654 
23,0, 4, 0,Col,230, 9,130 , 2434 , 24.34,1655843392.6563654 
24,0, 4, 0,Row,99, 8,85 , 2133 , 21.33,1655843393.1362612 
24,0, 4, 0,Col,99, 8,91 , 2139 , 21.39,1655843393.1362612 
25,0, 4, 0,Row,97, 8,132 , 2180 , 21.8,1655843393.6007652 
25,0, 4, 0,Col,96, 8,127 , 2175 , 21.75,1655843393.6007652 
26,0, 4, 0,Row,94, 8,249 , 2297 , 22.97,1655843394.0820837 
26,0, 4, 0,Col,94, 8,255 , 2303 , 23.03,1655843394.0820837 
27,0, 4, 0,Row,91, 9,47 , 2351 , 23.51,1655843394.549338 
27,0, 4, 0,Col,91, 9,35 , 2339 , 23.39,1655843394.549338 
28,0, 4, 0,Row,88, 6,51 , 1587 , 15.87,1655843395.015303 
28,0, 4, 0,Col,88, 6,57 , 1593 , 15.93,1655843395.015303 
29,0, 4, 0,Row,86, 15,196 , 4036 , 40.36,1655843395.4840674 
29,0, 4, 0,Col,86, 15,186 , 4026 , 40.26,1655843395.4840674 
30,0, 4, 0,Row,83, 8,241 , 2289 , 22.89,1655843395.9507663 
30,0, 4, 0,Col,83, 8,234 , 2282 , 22.82,1655843395.9507663 
31,0, 4, 0,Row,80, 11,91 , 2907 , 29.07,1655843396.417408 
31,0, 4, 0,Col,80, 11,95 , 2911 , 29.11,1655843396.417408 
32,0, 4, 0,Row,78, 6,45 , 1581 , 15.81,1655843396.8996887 
32,0, 4, 0,Col,78, 6,21 , 1557 , 15.57,1655843396.8996887 
33,0, 4, 0,Row,75, 7,123 , 1915 , 19.15,1655843397.3795142 
33,0, 4, 0,Col,75, 7,121 , 1913 , 19.13,1655843397.3795142 
34,0, 4, 0,Row,72, 9,23 , 2327 , 23.27,1655843397.8434246 
34,0, 4, 0,Col,72, 9,20 , 2324 , 23.24,1655843397.8434246 
35,0, 4, 0,Row,197, 6,198 , 1734 , 17.34,1655843398.3258948 
35,0, 4, 0,Col,197, 6,197 , 1733 , 17.33,1655843398.3258948 
