dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,166,13,222,3550,17.75,1668631994.9191747
1,0,0,4,0,True,166,13,224,3552,17.76,1668631994.9191747
0,1,0,4,0,False,37,1,77,333,1.665,1668631995.0117683
1,1,0,4,0,True,37,1,78,334,1.67,1668631995.0117683
0,2,0,4,0,False,165,1,203,459,2.295,1668631995.0921369
1,2,0,4,0,True,165,1,205,461,2.305,1668631995.0924459
0,3,0,4,0,False,36,0,85,85,0.425,1668631995.1702416
1,3,0,4,0,True,36,0,87,87,0.435,1668631995.1704707
0,4,0,4,0,False,164,15,126,3966,19.83,1668631995.2437365
1,4,0,4,0,True,164,15,126,3966,19.83,1668631995.2437365
0,5,0,4,0,False,36,15,210,4050,20.25,1668631995.3234122
1,5,0,4,0,True,35,15,209,4049,20.245,1668631995.3235412
0,6,0,4,0,False,163,1,36,292,1.46,1668631995.386776
1,6,0,4,0,True,163,1,32,288,1.44,1668631995.3869863
0,7,0,4,0,False,35,2,153,665,3.325,1668631995.4474277
1,7,0,4,0,True,35,2,153,665,3.325,1668631995.4474277
0,8,0,4,0,False,162,1,136,392,1.96,1668631995.5297937
1,8,0,4,0,True,162,1,134,390,1.95,1668631995.5300033
0,9,0,4,0,False,34,0,153,153,0.765,1668631995.6198254
1,9,0,4,0,True,34,0,154,154,0.77,1668631995.6198254
0,10,0,4,0,False,161,15,179,4019,20.095,1668631995.697818
1,10,0,4,0,True,161,15,181,4021,20.105,1668631995.697818
0,11,0,4,0,False,33,0,54,54,0.27,1668631995.7819722
1,11,0,4,0,True,33,0,53,53,0.265,1668631995.7823913
0,12,0,4,0,False,160,2,115,627,3.135,1668631995.8555915
1,12,0,4,0,True,160,2,117,629,3.145,1668631995.8555915
0,13,0,4,0,False,32,14,221,3805,19.025,1668631995.9316955
1,13,0,4,0,True,32,14,218,3802,19.01,1668631995.9316955
0,14,0,4,0,False,159,15,250,4090,20.45,1668631995.9938865
1,14,0,4,0,True,159,15,250,4090,20.45,1668631995.9938865
0,15,0,4,0,False,31,1,107,363,1.815,1668631996.089313
1,15,0,4,0,True,31,1,109,365,1.825,1668631996.089313
0,16,0,4,0,False,159,0,49,49,0.245,1668631996.1658692
1,16,0,4,0,True,159,0,45,45,0.225,1668631996.1658692
0,17,0,4,0,False,30,1,49,305,1.525,1668631996.2285347
1,17,0,4,0,True,30,1,52,308,1.54,1668631996.2285347
0,18,0,4,0,False,158,12,99,3171,15.855,1668631996.3210335
1,18,0,4,0,True,158,12,99,3171,15.855,1668631996.3210335
0,19,0,4,0,False,29,1,158,414,2.07,1668631996.3830051
1,19,0,4,0,True,29,1,160,416,2.08,1668631996.3830051
0,20,0,4,0,False,157,0,28,28,0.14,1668631996.4625108
1,20,0,4,0,True,157,0,30,30,0.15,1668631996.4627304
0,21,0,4,0,False,28,1,69,325,1.625,1668631996.55396
1,21,0,4,0,True,28,1,66,322,1.61,1668631996.5551245
0,22,0,4,0,False,156,14,115,3699,18.495,1668631996.6317718
1,22,0,4,0,True,156,14,115,3699,18.495,1668631996.6317718
0,23,0,4,0,False,27,14,232,3816,19.08,1668631996.7121122
1,23,0,4,0,True,27,14,232,3816,19.08,1668631996.712365
0,24,0,4,0,False,155,0,124,124,0.62,1668631996.7883966
1,24,0,4,0,True,155,0,117,117,0.585,1668631996.7883966
0,25,0,4,0,False,27,14,160,3744,18.72,1668631996.8660388
1,25,0,4,0,True,26,14,154,3738,18.69,1668631996.8660388
0,26,0,4,0,False,154,15,17,3857,19.285,1668631996.945808
1,26,0,4,0,True,154,15,20,3860,19.3,1668631996.9470026
0,27,0,4,0,False,26,1,29,285,1.425,1668631997.0208938
