NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,155, 1,251 , 507 , 5.07,1655845472.2283585 
0,0, 4, 0,Col,155, 1,250 , 506 , 5.06,1655845472.2283585 
1,0, 4, 0,Row,150, 8,81 , 2129 , 21.29,1655845472.7650232 
1,0, 4, 0,Col,150, 8,67 , 2115 , 21.15,1655845472.7650232 
2,0, 4, 0,Row,146, 4,100 , 1124 , 11.24,1655845473.2363112 
2,0, 4, 0,Col,146, 4,106 , 1130 , 11.3,1655845473.2363112 
3,0, 4, 0,Row,143, 8,229 , 2277 , 22.77,1655845473.7211812 
3,0, 4, 0,Col,143, 8,203 , 2251 , 22.51,1655845473.7211812 
4,0, 4, 0,Row,141, 8,49 , 2097 , 20.97,1655845474.1956503 
4,0, 4, 0,Col,141, 8,48 , 2096 , 20.96,1655845474.1956503 
5,0, 4, 0,Row,138, 4,142 , 1166 , 11.66,1655845474.6671855 
5,0, 4, 0,Col,138, 4,134 , 1158 , 11.58,1655845474.6671855 
6,0, 4, 0,Row,7, 13,217 , 3545 , 35.45,1655845475.1400998 
6,0, 4, 0,Col,7, 13,213 , 3541 , 35.41,1655845475.1400998 
7,0, 4, 0,Row,4, 10,136 , 2696 , 26.96,1655845475.6292543 
7,0, 4, 0,Col,4, 10,125 , 2685 , 26.85,1655845475.6292543 
7,0, 4, 0,Row,255, 6,32 , 1568 , 15.68,1655845475.6292543 
7,0, 4, 0,Col,254, 6,31 , 1567 , 15.67,1655845475.6292543 
7,0, 4, 0,Row,254, 8,234 , 2282 , 22.82,1655845475.6292543 
7,0, 4, 0,Col,254, 8,223 , 2271 , 22.71,1655845475.6292543 
7,0, 4, 0,Row,253, 8,104 , 2152 , 21.52,1655845475.6292543 
7,0, 4, 0,Col,253, 8,107 , 2155 , 21.55,1655845475.6292543 
8,0, 4, 0,Row,1, 4,86 , 1110 , 11.1,1655845476.1152644 
8,0, 4, 0,Col,1, 4,79 , 1103 , 11.03,1655845476.1152644 
8,0, 4, 0,Row,94, 6,232 , 1768 , 17.68,1655845476.1152644 
8,0, 4, 0,Col,94, 6,234 , 1770 , 17.7,1655845476.1152644 
8,0, 4, 0,Row,93, 9,119 , 2423 , 24.23,1655845476.1152644 
8,0, 4, 0,Col,93, 9,121 , 2425 , 24.25,1655845476.1152644 
8,0, 4, 0,Row,94, 8,97 , 2145 , 21.45,1655845476.1152644 
8,0, 4, 0,Col,94, 8,92 , 2140 , 21.4,1655845476.1152644 
8,0, 4, 0,Row,93, 2,46 , 558 , 5.58,1655845476.1152644 
8,0, 4, 0,Col,93, 2,43 , 555 , 5.55,1655845476.1152644 
9,0, 4, 0,Row,255, 1,239 , 495 , 4.95,1655845476.599317 
9,0, 4, 0,Col,255, 1,214 , 470 , 4.7,1655845476.599317 
9,0, 4, 0,Row,159, 6,70 , 1606 , 16.06,1655845476.599317 
9,0, 4, 0,Col,159, 6,71 , 1607 , 16.07,1655845476.599317 
9,0, 4, 0,Row,158, 8,125 , 2173 , 21.73,1655845476.599317 
9,0, 4, 0,Col,158, 8,125 , 2173 , 21.73,1655845476.599317 
9,0, 4, 0,Row,158, 7,5 , 1797 , 17.97,1655845476.599317 
9,0, 4, 0,Col,158, 7,9 , 1801 , 18.01,1655845476.599317 
9,0, 4, 0,Row,157, 11,50 , 2866 , 28.66,1655845476.599317 
9,0, 4, 0,Col,157, 11,50 , 2866 , 28.66,1655845476.599317 
9,0, 4, 0,Row,157, 13,58 , 3386 , 33.86,1655845476.599317 
9,0, 4, 0,Col,157, 13,60 , 3388 , 33.88,1655845476.599317 
10,0, 4, 0,Row,124, 11,43 , 2859 , 28.59,1655845477.0892587 
10,0, 4, 0,Col,123, 11,31 , 2847 , 28.47,1655845477.0892587 
10,0, 4, 0,Row,190, 7,148 , 1940 , 19.4,1655845477.0892587 
10,0, 4, 0,Col,36, 11,57 , 2873 , 28.73,1655845477.0892587 
10,0, 4, 0,Row,36, 10,136 , 2696 , 26.96,1655845477.0892587 
10,0, 4, 0,Row,189, 5,250 , 1530 , 15.3,1655845477.0892587 
