NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,54, 14,38 , 3622 , 36.22,1655844224.0595403 
0,0, 4, 0,Col,53, 9,250 , 2554 , 25.54,1655844224.0595403 
0,0, 4, 0,Row,14, 1,161 , 417 , 4.17,1655844224.0595403 
0,0, 4, 0,Col,14, 1,157 , 413 , 4.13,1655844224.0595403 
0,0, 4, 0,Row,193, 9,243 , 2547 , 25.47,1655844224.0595403 
0,0, 4, 0,Col,193, 9,242 , 2546 , 25.46,1655844224.0595403 
0,0, 4, 0,Row,193, 8,82 , 2130 , 21.3,1655844224.0595403 
0,0, 4, 0,Col,38, 12,0 , 3072 , 30.72,1655844224.0595403 
0,0, 4, 0,Row,39, 10,168 , 2728 , 27.28,1655844224.0595403 
0,0, 4, 0,Col,38, 2,237 , 749 , 7.49,1655844224.0595403 
0,0, 4, 0,Row,198, 2,237 , 749 , 7.49,1655844224.0595403 
0,0, 4, 0,Col,198, 2,227 , 739 , 7.39,1655844224.0595403 
0,0, 4, 0,Row,192, 1,66 , 322 , 3.22,1655844224.0595403 
0,0, 4, 0,Col,192, 1,67 , 323 , 3.23,1655844224.0595403 
0,0, 4, 0,Row,195, 6,39 , 1575 , 15.75,1655844224.0595403 
0,0, 4, 0,Col,195, 6,37 , 1573 , 15.73,1655844224.0595403 
0,0, 4, 0,Row,192, 10,125 , 2685 , 26.85,1655844224.0595403 
0,0, 4, 0,Col,192, 10,127 , 2687 , 26.87,1655844224.0595403 
1,0, 4, 0,Row,193, 7,230 , 2022 , 20.22,1655844224.603455 
1,0, 4, 0,Row,139, 15,192 , 4032 , 40.32,1655844224.603455 
1,0, 4, 0,Col,70, 9,76 , 2380 , 23.8,1655844224.603455 
1,0, 4, 0,Row,70, 3,90 , 858 , 8.58,1655844224.603455 
1,0, 4, 0,Col,70, 10,240 , 2800 , 28.0,1655844224.603455 
1,0, 4, 0,Row,97, 8,217 , 2265 , 22.65,1655844224.603455 
1,0, 4, 0,Col,97, 8,215 , 2263 , 22.63,1655844224.603455 
1,0, 4, 0,Row,98, 7,75 , 1867 , 18.67,1655844224.603455 
1,0, 4, 0,Col,98, 7,53 , 1845 , 18.45,1655844224.603455 
1,0, 4, 0,Row,97, 6,202 , 1738 , 17.38,1655844224.603455 
1,0, 4, 0,Col,97, 6,204 , 1740 , 17.4,1655844224.603455 
2,0, [0;31;40m0[0m, 6,Row,7, 8,4 , 2052 , 20.52,1655844225.0874891 
2,0, [0;31;40m0[0m, 14,Col,4, 6,4 , 1540 , 15.4,1655844225.0874891 
2,[0;31;40m16[0m, [0;31;40m0[0m, 13,Col,4, 13,61 , 3389 , 33.89,1655844225.0874891 
2,0, 4, 0,Row,1, 8,0 , 2048 , 20.48,1655844225.0874891 
2,0, 4, 0,Col,129, 8,145 , 2193 , 21.93,1655844225.0874891 
2,0, 4, 0,Row,128, 9,220 , 2524 , 25.24,1655844225.0874891 
2,0, 4, 0,Col,128, 9,185 , 2489 , 24.89,1655844225.0874891 
2,0, 4, 0,Row,129, 8,44 , 2092 , 20.92,1655844225.0874891 
2,0, 4, 0,Col,230, 11,232 , 3048 , 30.48,1655844225.0874891 
2,0, 4, 0,Row,230, 2,232 , 744 , 7.44,1655844225.0874891 
2,0, 4, 0,Col,230, 11,21 , 2837 , 28.37,1655844225.0874891 
2,0, 4, 0,Row,26, 13,201 , 3529 , 35.29,1655844225.0874891 
2,0, 4, 0,Col,26, 13,202 , 3530 , 35.3,1655844225.0874891 
2,0, 4, 0,Row,128, 10,112 , 2672 , 26.72,1655844225.0874891 
2,0, 4, 0,Col,128, 10,110 , 2670 , 26.7,1655844225.0874891 
2,0, 4, 0,Row,26, 13,241 , 3569 , 35.69,1655844225.0874891 
2,0, 4, 0,Col,26, 13,244 , 3572 , 35.72,1655844225.0874891 
2,0, 4, 0,Row,132, 5,18 , 1298 , 12.98,1655844225.0874891 
2,0, 4, 0,Col,131, 5,18 , 1298 , 12.98,1655844225.0874891 
3,0, 4, 0,Row,5, 15,50 , 3890 , 38.9,1655844225.5714636 
3,0, 4, 0,Col,5, 15,54 , 3894 , 38.94,1655844225.5714636 
3,0, 4, 0,Row,128, 0,114 , 114 , 1.14,1655844225.5714636 
3,0, 4, 0,Row,128, 7,234 , 2026 , 20.26,1655844225.5714636 
3,0, 4, 0,Col,128, 7,230 , 2022 , 20.22,1655844225.5714636 
3,0, 4, 0,Row,186, 3,160 , 928 , 9.28,1655844225.5714636 
3,0, 4, 0,Col,186, 3,163 , 931 , 9.31,1655844225.5714636 
3,0, 4, 0,Row,130, 3,91 , 859 , 8.59,1655844225.5714636 
3,0, 4, 0,Col,130, 3,96 , 864 , 8.64,1655844225.5714636 
3,0, 4, 0,Row,128, 11,7 , 2823 , 28.23,1655844225.5714636 
3,0, 4, 0,Col,128, 11,6 , 2822 , 28.22,1655844225.5714636 
3,0, 4, 0,Row,128, 6,134 , 1670 , 16.7,1655844225.5714636 
3,0, 4, 0,Col,128, 6,131 , 1667 , 16.67,1655844225.5714636 
3,0, 4, 0,Row,129, 7,246 , 2038 , 20.38,1655844225.5714636 
3,0, 4, 0,Col,230, 11,177 , 2993 , 29.93,1655844225.5714636 
3,0, 4, 0,Row,230, 1,205 , 461 , 4.61,1655844225.5714636 
3,0, 4, 0,Col,230, 9,186 , 2490 , 24.9,1655844225.5714636 
4,0, 4, 0,Row,3, 14,55 , 3639 , 36.39,1655844226.038067 
4,0, 4, 0,Col,2, 14,51 , 3635 , 36.35,1655844226.038067 
4,0, 4, 0,Row,65, 8,150 , 2198 , 21.98,1655844226.038067 
4,0, 4, 0,Col,65, 8,146 , 2194 , 21.94,1655844226.038067 
