Voltageboard settings: [1.1, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 68719476732, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	157	 10	125 	 2685 	 26.85 
0	0	 4	 0	Col	157	 3	79 	 847 	 8.47 
0	0	 4	 0	Row	110	 9	38 	 2342 	 23.42 
0	0	 4	 0	Col	110	 9	3 	 2307 	 23.07 

1	0	 4	 0	Row	127	 5	119 	 1399 	 13.99 
1	0	 4	 0	Col	127	 5	82 	 1362 	 13.62 

2	0	 4	 0	Row	85	 4	146 	 1170 	 11.7 
2	0	 4	 0	Col	85	 4	107 	 1131 	 11.31 

3	0	 4	 0	Row	235	 3	149 	 917 	 9.17 
3	0	 4	 0	Col	235	 3	112 	 880 	 8.8 

4	0	 4	 0	Row	65	 6	159 	 1695 	 16.95 
4	0	 4	 0	Col	65	 6	111 	 1647 	 16.47 

5	0	 4	 0	Row	223	 6	97 	 1633 	 16.33 
5	0	 4	 0	Col	224	 6	50 	 1586 	 15.86 

6	0	 4	 0	Row	40	 7	125 	 1917 	 19.17 
6	0	 4	 0	Col	40	 7	72 	 1864 	 18.64 

7	0	 4	 0	Row	204	 5	175 	 1455 	 14.55 
7	0	 4	 0	Col	204	 5	113 	 1393 	 13.93 

8	0	 4	 0	Row	226	 8	251 	 2299 	 22.99 
8	0	 4	 0	Col	226	 8	212 	 2260 	 22.6 

9	0	 4	 0	Row	86	 7	178 	 1970 	 19.7 
9	0	 4	 0	Col	86	 7	109 	 1901 	 19.01 

10	0	 4	 0	Row	95	 6	232 	 1768 	 17.68 
10	0	 4	 0	Col	95	 6	193 	 1729 	 17.29 

11	0	 4	 0	Row	28	 6	149 	 1685 	 16.85 
11	0	 4	 0	Col	28	 6	113 	 1649 	 16.49 

12	0	 4	 0	Row	72	 8	153 	 2201 	 22.01 
12	0	 4	 0	Col	72	 8	111 	 2159 	 21.59 

13	0	 4	 0	Row	218	 7	39 	 1831 	 18.31 
13	0	 4	 0	Col	218	 6	254 	 1790 	 17.9 

14	0	 4	 0	Row	110	 7	208 	 2000 	 20.0 
14	0	 4	 0	Col	110	 7	175 	 1967 	 19.67 

15	0	 4	 0	Row	245	 4	108 	 1132 	 11.32 
15	0	 4	 0	Col	245	 4	72 	 1096 	 10.96 

16	0	 4	 0	Row	208	 5	198 	 1478 	 14.78 
16	0	 4	 0	Col	208	 5	161 	 1441 	 14.41 

17	0	 4	 0	Row	201	 5	220 	 1500 	 15.0 
17	0	 4	 0	Col	201	 5	185 	 1465 	 14.65 

18	0	 4	 0	Row	58	 5	242 	 1522 	 15.22 
18	0	 4	 0	Col	58	 5	207 	 1487 	 14.87 

19	0	 4	 0	Row	22	 5	132 	 1412 	 14.12 
19	0	 4	 0	Col	22	 5	90 	 1370 	 13.7 

20	0	 4	 0	Row	80	 3	86 	 854 	 8.54 
20	0	 4	 0	Col	80	 3	54 	 822 	 8.22 

21	0	 4	 0	Row	170	 4	245 	 1269 	 12.69 
21	0	 4	 0	Col	170	 4	204 	 1228 	 12.28 

22	0	 4	 0	Row	96	 8	51 	 2099 	 20.99 
22	0	 4	 0	Col	96	 8	17 	 2065 	 20.65 

23	0	 4	 0	Row	173	 9	62 	 2366 	 23.66 
23	0	 4	 0	Col	173	 9	29 	 2333 	 23.33 

24	0	 4	 0	Row	107	 6	239 	 1775 	 17.75 
24	0	 4	 0	Col	107	 6	202 	 1738 	 17.38 

25	0	 4	 0	Row	130	 8	178 	 2226 	 22.26 
25	0	 4	 0	Col	130	 8	142 	 2190 	 21.9 

26	0	 4	 0	Row	93	 5	174 	 1454 	 14.54 
26	0	 4	 0	Col	93	 5	132 	 1412 	 14.12 

27	0	 4	 0	Row	82	 7	128 	 1920 	 19.2 
27	0	 4	 0	Col	82	 7	93 	 1885 	 18.85 

