Voltageboard settings: [1.1, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 68719476732, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	185	 14	16 	 3600 	 36.0 
0	0	 4	 0	Col	185	 8	205 	 2253 	 22.53 
0	0	 4	 0	Row	248	 5	72 	 1352 	 13.52 
0	0	 4	 0	Col	248	 5	43 	 1323 	 13.23 

1	0	 4	 0	Row	227	 5	58 	 1338 	 13.38 
1	0	 4	 0	Col	227	 5	29 	 1309 	 13.09 

2	0	 4	 0	Row	223	 5	221 	 1501 	 15.01 
2	0	 4	 0	Col	223	 5	189 	 1469 	 14.69 

3	0	 4	 0	Row	210	 9	52 	 2356 	 23.56 
3	0	 4	 0	Col	210	 9	20 	 2324 	 23.24 

4	0	 4	 0	Row	68	 8	186 	 2234 	 22.34 
4	0	 4	 0	Col	68	 8	156 	 2204 	 22.04 

5	0	 4	 0	Row	191	 4	253 	 1277 	 12.77 
5	0	 4	 0	Col	191	 4	221 	 1245 	 12.45 

6	0	 4	 0	Row	5	 4	187 	 1211 	 12.11 
6	0	 4	 0	Col	5	 4	160 	 1184 	 11.84 

7	0	 4	 0	Row	163	 4	225 	 1249 	 12.49 
7	0	 4	 0	Col	163	 4	191 	 1215 	 12.15 

8	0	 4	 0	Row	93	 7	32 	 1824 	 18.24 
8	0	 4	 0	Col	93	 7	0 	 1792 	 17.92 

9	0	 4	 0	Row	214	 5	180 	 1460 	 14.6 
9	0	 4	 0	Col	214	 5	115 	 1395 	 13.95 

10	0	 4	 0	Row	127	 5	74 	 1354 	 13.54 
10	0	 4	 0	Col	127	 5	39 	 1319 	 13.19 

11	0	 4	 0	Row	123	 2	69 	 581 	 5.81 
11	0	 4	 0	Col	123	 2	29 	 541 	 5.41 

12	0	 4	 0	Row	181	 6	209 	 1745 	 17.45 
12	0	 4	 0	Col	181	 6	154 	 1690 	 16.9 

13	0	 4	 0	Row	247	 10	7 	 2567 	 25.67 
13	0	 4	 0	Col	247	 9	231 	 2535 	 25.35 

14	0	 4	 0	Row	239	 7	205 	 1997 	 19.97 
14	0	 4	 0	Col	239	 7	170 	 1962 	 19.62 

15	0	 4	 0	Row	222	 9	19 	 2323 	 23.23 
15	0	 4	 0	Col	222	 8	242 	 2290 	 22.9 

16	0	 4	 0	Row	25	 4	108 	 1132 	 11.32 
16	0	 4	 0	Col	25	 4	70 	 1094 	 10.94 

17	0	 4	 0	Row	50	 2	197 	 709 	 7.09 
17	0	 4	 0	Col	50	 2	165 	 677 	 6.77 

18	0	 4	 0	Row	212	 7	106 	 1898 	 18.98 
18	0	 4	 0	Col	212	 7	75 	 1867 	 18.67 

19	0	 4	 0	Row	191	 4	205 	 1229 	 12.29 
19	0	 4	 0	Col	191	 4	153 	 1177 	 11.77 

20	0	 4	 0	Row	184	 7	228 	 2020 	 20.2 
20	0	 4	 0	Col	184	 7	192 	 1984 	 19.84 

21	0	 4	 0	Row	94	 4	19 	 1043 	 10.43 
21	0	 4	 0	Col	94	 3	241 	 1009 	 10.09 

22	0	 4	 0	Row	238	 8	63 	 2111 	 21.11 
22	0	 4	 0	Col	238	 8	32 	 2080 	 20.8 

23	0	 4	 0	Row	109	 6	196 	 1732 	 17.32 
23	0	 4	 0	Col	109	 6	163 	 1699 	 16.99 

24	0	 4	 0	Row	201	 6	111 	 1647 	 16.47 
24	0	 4	 0	Col	201	 6	73 	 1609 	 16.09 

25	0	 4	 0	Row	3	 7	92 	 1884 	 18.84 
25	0	 4	 0	Col	3	 7	62 	 1854 	 18.54 

26	0	 4	 0	Row	229	 7	121 	 1913 	 19.13 
26	0	 4	 0	Col	229	 7	83 	 1875 	 18.75 

27	0	 4	 0	Row	77	 1	200 	 456 	 4.56 
27	0	 4	 0	Col	78	 1	149 	 405 	 4.05 

28	0	 4	 0	Row	189	 7	87 	 1879 	 18.79 
28	0	 4	 0	Col	78	 7	56 	 1848 	 18.48 

29	0	 4	 0	Row	246	 5	107 	 1387 	 13.87 
29	0	 4	 0	Col	246	 5	71 	 1351 	 13.51 

