Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	92	 11	103 	 2919 	 29.19 
0	0	 4	 0	Col	92	 9	62 	 2366 	 23.66 
0	0	 4	 0	Row	54	 14	208 	 3792 	 37.92 
0	0	 4	 0	Col	54	 14	176 	 3760 	 37.6 

1	0	 4	 0	Row	170	 15	0 	 3840 	 38.4 
1	0	 4	 0	Col	170	 14	228 	 3812 	 38.12 

2	0	 4	 0	Row	145	 0	75 	 75 	 0.75 
2	0	 4	 0	Col	145	 0	49 	 49 	 0.49 

3	0	 4	 0	Row	13	 13	22 	 3350 	 33.5 
3	0	 4	 0	Col	13	 12	252 	 3324 	 33.24 

4	0	 4	 0	Row	22	 14	179 	 3763 	 37.63 
4	0	 4	 0	Col	22	 14	153 	 3737 	 37.37 

5	0	 4	 0	Row	41	 12	223 	 3295 	 32.95 
5	0	 4	 0	Col	41	 12	196 	 3268 	 32.68 

6	0	 4	 0	Row	92	 15	16 	 3856 	 38.56 
6	0	 4	 0	Col	92	 14	246 	 3830 	 38.3 

7	0	 4	 0	Row	235	 10	57 	 2617 	 26.17 
7	0	 4	 0	Col	235	 10	30 	 2590 	 25.9 

8	0	 4	 0	Row	155	 0	94 	 94 	 0.94 

9	0	 4	 0	Row	226	 6	176 	 1712 	 17.12 
9	0	 4	 0	Col	227	 6	136 	 1672 	 16.72 

10	0	 4	 0	Row	161	 6	29 	 1565 	 15.65 
10	0	 4	 0	Col	161	 6	1 	 1537 	 15.37 

11	0	 4	 0	Row	207	 15	104 	 3944 	 39.44 
11	0	 4	 0	Col	207	 15	74 	 3914 	 39.14 

12	0	 4	 0	Row	61	 4	41 	 1065 	 10.65 
12	0	 4	 41	Row	4	 0	61 	 61 	 0.61 
12	0	 4	 7	Row	61	 13	61 	 3389 	 33.89 

13	0	 4	 0	Row	176	 14	55 	 3639 	 36.39 
13	0	 4	 0	Col	176	 14	27 	 3611 	 36.11 

14	0	 4	 0	Row	227	 5	136 	 1416 	 14.16 
14	0	 4	 0	Col	227	 5	109 	 1389 	 13.89 

15	0	 4	 0	Row	13	 0	107 	 107 	 1.07 
15	0	 4	 0	Col	13	 0	81 	 81 	 0.81 

16	0	 4	 0	Row	7	 6	37 	 1573 	 15.73 
16	0	 4	 0	Col	7	 6	6 	 1542 	 15.42 

17	0	 4	 0	Row	77	 0	70 	 70 	 0.7 
17	0	 4	 0	Col	77	 0	43 	 43 	 0.43 

18	0	 4	 0	Row	41	 4	96 	 1120 	 11.2 
18	0	 4	 0	Col	41	 4	64 	 1088 	 10.88 

19	0	 4	 0	Row	88	 14	160 	 3744 	 37.44 
19	0	 4	 0	Col	88	 14	129 	 3713 	 37.13 

20	0	 4	 0	Row	147	 6	97 	 1633 	 16.33 
20	0	 4	 0	Col	147	 6	61 	 1597 	 15.97 

21	0	 4	 0	Row	152	 2	139 	 651 	 6.51 
21	0	 4	 0	Col	154	 1	226 	 482 	 4.82 

22	0	 4	 0	Row	111	 0	76 	 76 	 0.76 
22	0	 4	 0	Col	111	 0	50 	 50 	 0.5 

23	0	 4	 0	Row	157	 1	85 	 341 	 3.41 
23	0	 4	 0	Col	157	 1	58 	 314 	 3.14 

24	0	 4	 0	Row	63	 4	92 	 1116 	 11.16 
24	0	 4	 0	Col	63	 4	54 	 1078 	 10.78 

25	0	 4	 0	Row	255	 8	174 	 2222 	 22.22 
25	0	 4	 0	Col	255	 8	148 	 2196 	 21.96 

26	0	 4	 0	Row	97	 13	199 	 3527 	 35.27 
26	0	 4	 0	Col	97	 13	172 	 3500 	 35.0 

27	0	 4	 0	Row	13	 15	173 	 4013 	 40.13 
27	0	 4	 0	Col	13	 15	145 	 3985 	 39.85 

28	0	 4	 0	Row	145	 15	65 	 3905 	 39.05 
28	0	 4	 0	Col	145	 15	35 	 3875 	 38.75 

29	0	 4	 0	Row	244	 6	151 	 1687 	 16.87 
29	0	 4	 0	Col	244	 6	124 	 1660 	 16.6 

30	0	 4	 0	Row	138	 7	82 	 1874 	 18.74 
30	0	 4	 0	Col	138	 7	46 	 1838 	 18.38 

31	0	 4	 0	Row	82	 9	21 	 2325 	 23.25 
31	0	 4	 0	Col	82	 8	246 	 2294 	 22.94 

32	0	 4	 0	Row	18	 0	188 	 188 	 1.88 
32	0	 4	 0	Col	18	 0	163 	 163 	 1.63 

33	0	 4	 0	Row	95	 0	62 	 62 	 0.62 
33	0	 4	 0	Col	95	 0	35 	 35 	 0.35 

34	0	 4	 0	Row	90	 13	66 	 3394 	 33.94 
34	0	 4	 0	Col	90	 13	39 	 3367 	 33.67 

35	0	 4	 0	Row	105	 5	218 	 1498 	 14.98 
35	0	 4	 0	Col	105	 5	188 	 1468 	 14.68 

36	0	 4	 0	Row	25	 15	227 	 4067 	 40.67 
36	0	 4	 0	Col	25	 15	198 	 4038 	 40.38 

37	0	 4	 0	Row	239	 1	227 	 483 	 4.83 
37	0	 4	 0	Col	239	 1	197 	 453 	 4.53 

38	0	 4	 0	Row	174	 15	143 	 3983 	 39.83 
38	0	 4	 0	Col	174	 15	114 	 3954 	 39.54 

39	0	 4	 0	Row	4	 13	21 	 3349 	 33.49 
39	0	 4	 0	Col	4	 12	248 	 3320 	 33.2 

40	0	 4	 0	Row	63	 14	96 	 3680 	 36.8 
40	0	 4	 0	Col	63	 14	66 	 3650 	 36.5 

41	0	 4	 0	Row	226	 11	130 	 2946 	 29.46 
41	0	 4	 0	Col	226	 11	102 	 2918 	 29.18 

42	0	 4	 0	Row	236	 14	2 	 3586 	 35.86 
42	0	 4	 0	Col	236	 13	222 	 3550 	 35.5 

43	0	 4	 0	Row	115	 0	149 	 149 	 1.49 
43	0	 4	 0	Col	115	 0	121 	 121 	 1.21 

44	0	 4	 0	Row	178	 0	39 	 39 	 0.39 
44	0	 4	 0	Col	178	 0	12 	 12 	 0.12 

45	0	 4	 0	Row	43	 6	46 	 1582 	 15.82 
