Voltageboard settings: [1.03, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906941, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	78	 9	14 	 2318 	 23.18 
0	0	 4	 0	Col	78	 3	208 	 976 	 9.76 
0	0	 4	 0	Row	32	 11	41 	 2857 	 28.57 
0	0	 4	 0	Col	32	 11	18 	 2834 	 28.34 

1	0	 4	 0	Row	200	 12	29 	 3101 	 31.01 
1	0	 4	 0	Col	200	 12	8 	 3080 	 30.8 

2	0	 4	 0	Row	98	 14	77 	 3661 	 36.61 
2	0	 4	 0	Col	98	 14	31 	 3615 	 36.15 

3	0	 4	 0	Row	69	 9	109 	 2413 	 24.13 
3	0	 4	 0	Col	69	 9	75 	 2379 	 23.79 

4	0	 4	 0	Row	28	 0	35 	 35 	 0.35 

5	0	 4	 0	Row	183	 11	217 	 3033 	 30.33 
5	0	 4	 0	Col	183	 11	199 	 3015 	 30.15 

6	0	 4	 0	Row	169	 7	108 	 1900 	 19.0 
6	0	 4	 0	Col	169	 7	90 	 1882 	 18.82 

7	0	 4	 0	Row	199	 12	154 	 3226 	 32.26 
7	0	 4	 0	Col	199	 12	130 	 3202 	 32.02 

8	0	 4	 0	Row	183	 10	219 	 2779 	 27.79 
8	0	 4	 0	Col	183	 10	198 	 2758 	 27.58 

9	0	 4	 0	Row	168	 2	243 	 755 	 7.55 
9	0	 4	 0	Col	169	 2	211 	 723 	 7.23 

10	0	 4	 0	Row	246	 3	77 	 845 	 8.45 
10	0	 4	 0	Col	246	 3	36 	 804 	 8.04 

11	0	 4	 0	Row	85	 2	104 	 616 	 6.16 
11	0	 4	 0	Col	85	 2	76 	 588 	 5.88 

12	0	 4	 0	Row	184	 10	164 	 2724 	 27.24 
12	0	 4	 0	Col	184	 10	135 	 2695 	 26.95 

13	0	 4	 0	Row	41	 11	162 	 2978 	 29.78 
13	0	 4	 0	Col	41	 11	145 	 2961 	 29.61 

14	0	 4	 0	Row	219	 12	230 	 3302 	 33.02 
14	0	 4	 0	Col	220	 12	210 	 3282 	 32.82 

15	0	 4	 0	Row	207	 3	41 	 809 	 8.09 
15	0	 4	 0	Col	207	 2	252 	 764 	 7.64 

16	0	 4	 0	Row	168	 10	148 	 2708 	 27.08 
16	0	 4	 0	Col	168	 10	131 	 2691 	 26.91 

17	0	 4	 0	Row	117	 12	182 	 3254 	 32.54 
17	0	 4	 0	Col	117	 12	149 	 3221 	 32.21 

18	0	 4	 0	Row	250	 11	42 	 2858 	 28.58 
18	0	 4	 0	Col	250	 11	10 	 2826 	 28.26 

19	0	 4	 0	Row	226	 10	165 	 2725 	 27.25 
