Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	206	 0	31 	 31 	 0.31 
0	0	 4	 0	Col	206	 3	244 	 1012 	 10.12 
0	0	 4	 0	Row	151	 10	154 	 2714 	 27.14 
0	0	 4	 0	Col	151	 10	138 	 2698 	 26.98 

1	0	 4	 0	Row	20	 3	185 	 953 	 9.53 
1	0	 4	 0	Col	20	 3	169 	 937 	 9.37 

2	0	 4	 0	Row	148	 11	158 	 2974 	 29.74 
2	0	 4	 0	Col	148	 11	141 	 2957 	 29.57 

3	0	 4	 0	Row	151	 3	81 	 849 	 8.49 
3	0	 4	 0	Col	151	 3	65 	 833 	 8.33 

4	0	 4	 0	Row	196	 0	60 	 60 	 0.6 
4	0	 4	 0	Col	196	 0	36 	 36 	 0.36 

5	0	 4	 0	Row	143	 4	225 	 1249 	 12.49 
5	0	 4	 0	Col	143	 4	208 	 1232 	 12.32 

6	0	 4	 0	Row	220	 2	4 	 516 	 5.16 
6	0	 4	 0	Col	220	 1	228 	 484 	 4.84 

7	0	 4	 0	Row	215	 14	88 	 3672 	 36.72 
7	0	 4	 0	Col	215	 14	73 	 3657 	 36.57 

8	0	 4	 0	Row	118	 7	11 	 1803 	 18.03 
8	0	 4	 0	Col	118	 6	251 	 1787 	 17.87 

9	0	 4	 0	Row	219	 15	206 	 4046 	 40.46 
9	0	 4	 0	Col	219	 15	190 	 4030 	 40.3 

10	0	 4	 0	Row	167	 13	93 	 3421 	 34.21 
10	0	 4	 0	Col	167	 13	76 	 3404 	 34.04 

11	0	 4	 0	Row	227	 13	129 	 3457 	 34.57 
11	0	 4	 0	Col	227	 13	111 	 3439 	 34.39 

12	0	 4	 0	Row	237	 12	113 	 3185 	 31.85 
12	0	 4	 0	Col	237	 12	97 	 3169 	 31.69 

13	0	 4	 0	Row	20	 5	151 	 1431 	 14.31 
13	0	 4	 0	Col	20	 5	135 	 1415 	 14.15 

14	0	 4	 0	Row	83	 12	196 	 3268 	 32.68 
14	0	 4	 0	Col	83	 12	181 	 3253 	 32.53 

15	0	 4	 0	Row	248	 3	5 	 773 	 7.73 
15	0	 4	 0	Col	248	 2	246 	 758 	 7.58 

16	0	 4	 0	Row	101	 11	254 	 3070 	 30.7 
16	0	 4	 0	Col	101	 11	238 	 3054 	 30.54 

17	0	 4	 0	Row	153	 10	221 	 2781 	 27.81 
17	0	 4	 0	Col	153	 10	205 	 2765 	 27.65 

18	0	 4	 0	Row	129	 6	234 	 1770 	 17.7 
18	0	 4	 0	Col	129	 6	218 	 1754 	 17.54 

19	0	 4	 0	Row	156	 13	235 	 3563 	 35.63 
19	0	 4	 0	Col	156	 13	219 	 3547 	 35.47 

20	0	 4	 0	Row	72	 5	111 	 1391 	 13.91 
20	0	 4	 0	Col	72	 5	94 	 1374 	 13.74 

21	0	 4	 0	Row	1	 13	132 	 3460 	 34.6 
21	0	 4	 0	Col	1	 13	115 	 3443 	 34.43 

22	0	 4	 0	Row	35	 12	185 	 3257 	 32.57 
22	0	 4	 0	Col	35	 12	169 	 3241 	 32.41 

23	0	 4	 0	Row	77	 14	41 	 3625 	 36.25 
23	0	 4	 0	Col	77	 14	24 	 3608 	 36.08 

24	0	 4	 0	Row	242	 12	57 	 3129 	 31.29 
24	0	 4	 0	Col	242	 12	41 	 3113 	 31.13 

25	0	 4	 0	Row	13	 3	87 	 855 	 8.55 
25	0	 4	 0	Col	13	 3	70 	 838 	 8.38 

26	0	 4	 0	Row	36	 13	169 	 3497 	 34.97 
26	0	 4	 0	Col	36	 13	154 	 3482 	 34.82 

27	0	 4	 0	Row	36	 0	44 	 44 	 0.44 
27	0	 4	 0	Col	36	 0	28 	 28 	 0.28 

28	0	 4	 0	Row	216	 13	124 	 3452 	 34.52 
28	0	 4	 0	Col	216	 13	108 	 3436 	 34.36 

29	0	 4	 0	Row	64	 5	67 	 1347 	 13.47 
29	0	 4	 0	Col	64	 5	51 	 1331 	 13.31 

30	0	 4	 0	Row	71	 1	43 	 299 	 2.99 
30	0	 4	 0	Col	71	 1	27 	 283 	 2.83 

31	0	 4	 0	Row	64	 12	200 	 3272 	 32.72 
31	0	 4	 0	Col	64	 12	184 	 3256 	 32.56 

32	0	 4	 0	Row	144	 12	13 	 3085 	 30.85 
32	0	 4	 0	Col	144	 11	251 	 3067 	 30.67 

33	0	 4	 0	Row	242	 11	163 	 2979 	 29.79 
33	0	 4	 0	Col	242	 11	147 	 2963 	 29.63 

34	0	 4	 0	Row	110	 3	106 	 874 	 8.74 
34	0	 4	 0	Col	110	 3	91 	 859 	 8.59 

35	0	 4	 0	Row	81	 3	246 	 1014 	 10.14 
35	0	 4	 0	Col	81	 3	230 	 998 	 9.98 

36	0	 4	 0	Row	2	 2	43 	 555 	 5.55 
36	0	 4	 0	Col	2	 2	24 	 536 	 5.36 

37	0	 4	 0	Row	201	 13	103 	 3431 	 34.31 
37	0	 4	 0	Col	201	 13	88 	 3416 	 34.16 

38	0	 4	 0	Row	152	 13	240 	 3568 	 35.68 
38	0	 4	 0	Col	152	 13	224 	 3552 	 35.52 

39	0	 4	 0	Row	0	 13	120 	 3448 	 34.48 
39	0	 4	 0	Col	0	 13	104 	 3432 	 34.32 

40	0	 4	 0	Row	0	 5	52 	 1332 	 13.32 
40	0	 4	 0	Col	3	 5	36 	 1316 	 13.16 

41	0	 4	 0	Row	47	 5	65 	 1345 	 13.45 
41	0	 4	 0	Col	47	 5	49 	 1329 	 13.29 

42	0	 4	 0	Row	181	 3	96 	 864 	 8.64 
42	0	 4	 0	Col	181	 3	80 	 848 	 8.48 

43	0	 4	 0	Row	114	 14	74 	 3658 	 36.58 
43	0	 4	 0	Col	114	 14	58 	 3642 	 36.42 

44	0	 4	 0	Row	170	 14	74 	 3658 	 36.58 
44	0	 4	 0	Col	170	 14	58 	 3642 	 36.42 

45	0	 4	 0	Row	161	 5	184 	 1464 	 14.64 
45	0	 4	 0	Col	161	 5	169 	 1449 	 14.49 

46	0	 4	 0	Row	178	 13	230 	 3558 	 35.58 
46	0	 4	 0	Col	178	 13	212 	 3540 	 35.4 

47	0	 4	 0	Row	96	 11	228 	 3044 	 30.44 
47	0	 4	 0	Col	96	 11	212 	 3028 	 30.28 

48	0	 4	 0	Row	40	 1	93 	 349 	 3.49 
48	0	 4	 0	Col	40	 1	75 	 331 	 3.31 

49	0	 4	 0	Row	57	 12	189 	 3261 	 32.61 
49	0	 4	 0	Col	57	 12	174 	 3246 	 32.46 

50	0	 4	 0	Row	105	 13	93 	 3421 	 34.21 
50	0	 4	 0	Col	105	 13	75 	 3403 	 34.03 

51	0	 4	 0	Row	161	 0	120 	 120 	 1.2 
51	0	 4	 0	Col	161	 0	91 	 91 	 0.91 

52	0	 4	 0	Row	105	 11	217 	 3033 	 30.33 
52	0	 4	 0	Col	105	 11	202 	 3018 	 30.18 

53	0	 4	 0	Row	137	 12	57 	 3129 	 31.29 
53	0	 4	 0	Col	137	 12	42 	 3114 	 31.14 

54	0	 4	 0	Row	22	 5	130 	 1410 	 14.1 
54	0	 4	 0	Col	22	 5	115 	 1395 	 13.95 

55	0	 4	 0	Row	190	 12	3 	 3075 	 30.75 
55	0	 4	 0	Col	190	 11	242 	 3058 	 30.58 

56	0	 4	 0	Row	226	 9	166 	 2470 	 24.7 
56	0	 4	 0	Col	226	 9	150 	 2454 	 24.54 

57	0	 4	 0	Row	163	 10	197 	 2757 	 27.57 
57	0	 4	 0	Col	163	 10	181 	 2741 	 27.41 

58	0	 4	 0	Row	102	 11	10 	 2826 	 28.26 
58	0	 4	 0	Col	102	 10	251 	 2811 	 28.11 

59	0	 4	 0	Row	16	 13	86 	 3414 	 34.14 
59	0	 4	 0	Col	16	 13	69 	 3397 	 33.97 

60	0	 4	 0	Row	245	 14	75 	 3659 	 36.59 
60	0	 4	 0	Col	245	 14	59 	 3643 	 36.43 

61	0	 4	 0	Row	156	 3	12 	 780 	 7.8 
61	0	 4	 0	Col	156	 2	252 	 764 	 7.64 

62	0	 4	 0	Row	155	 13	227 	 3555 	 35.55 
62	0	 4	 0	Col	155	 13	210 	 3538 	 35.38 

63	0	 4	 0	Row	5	 12	123 	 3195 	 31.95 
63	0	 4	 0	Col	5	 12	108 	 3180 	 31.8 

64	0	 4	 0	Row	96	 12	253 	 3325 	 33.25 
64	0	 4	 0	Col	96	 12	232 	 3304 	 33.04 

65	0	 4	 0	Row	143	 11	246 	 3062 	 30.62 
65	0	 4	 0	Col	143	 11	231 	 3047 	 30.47 

66	0	 4	 0	Row	89	 11	155 	 2971 	 29.71 
66	0	 4	 0	Col	89	 11	139 	 2955 	 29.55 

67	0	 4	 0	Row	233	 3	120 	 888 	 8.88 
67	0	 4	 0	Col	233	 3	104 	 872 	 8.72 

68	0	 4	 0	Row	144	 7	243 	 2035 	 20.35 
68	0	 4	 0	Col	144	 7	224 	 2016 	 20.16 

69	0	 4	 0	Row	120	 2	108 	 620 	 6.2 
69	0	 4	 0	Col	120	 2	92 	 604 	 6.04 

70	0	 4	 0	Row	165	 13	113 	 3441 	 34.41 
70	0	 4	 0	Col	165	 13	97 	 3425 	 34.25 

71	0	 4	 0	Row	80	 1	228 	 484 	 4.84 
71	0	 4	 0	Col	80	 1	212 	 468 	 4.68 

72	0	 4	 0	Row	96	 12	25 	 3097 	 30.97 
72	0	 4	 0	Col	96	 12	8 	 3080 	 30.8 

73	0	 4	 0	Row	71	 3	134 	 902 	 9.02 
73	0	 4	 0	Col	71	 3	117 	 885 	 8.85 

74	0	 4	 0	Row	78	 13	60 	 3388 	 33.88 
74	0	 4	 0	Col	78	 13	45 	 3373 	 33.73 

75	0	 4	 0	Row	250	 6	69 	 1605 	 16.05 
75	0	 4	 0	Col	250	 6	53 	 1589 	 15.89 

76	0	 4	 0	Row	18	 13	53 	 3381 	 33.81 
76	0	 4	 0	Col	18	 13	38 	 3366 	 33.66 

77	0	 4	 0	Row	22	 10	81 	 2641 	 26.41 
77	0	 4	 0	Col	22	 10	64 	 2624 	 26.24 

78	0	 4	 0	Row	203	 13	16 	 3344 	 33.44 
78	0	 4	 0	Col	203	 13	1 	 3329 	 33.29 

79	0	 4	 0	Row	214	 13	159 	 3487 	 34.87 
79	0	 4	 0	Col	214	 13	143 	 3471 	 34.71 

80	0	 4	 0	Row	77	 12	209 	 3281 	 32.81 
80	0	 4	 0	Col	77	 12	194 	 3266 	 32.66 

81	0	 4	 0	Row	33	 13	49 	 3377 	 33.77 
81	0	 4	 0	Col	33	 13	32 	 3360 	 33.6 

82	0	 4	 0	Row	97	 12	205 	 3277 	 32.77 
82	0	 4	 0	Col	97	 12	190 	 3262 	 32.62 

83	0	 4	 0	Row	241	 13	22 	 3350 	 33.5 
83	0	 4	 0	Col	241	 13	7 	 3335 	 33.35 

84	0	 4	 0	Row	231	 4	146 	 1170 	 11.7 
84	0	 4	 0	Col	231	 4	130 	 1154 	 11.54 

85	0	 4	 0	Row	150	 6	66 	 1602 	 16.02 
85	0	 4	 0	Col	150	 6	50 	 1586 	 15.86 

86	0	 4	 0	Row	231	 5	15 	 1295 	 12.95 
86	0	 4	 0	Col	231	 4	255 	 1279 	 12.79 

87	0	 4	 0	Row	237	 4	58 	 1082 	 10.82 
87	0	 4	 0	Col	237	 4	43 	 1067 	 10.67 

88	0	 4	 0	Row	109	 4	156 	 1180 	 11.8 
88	0	 4	 0	Col	109	 4	140 	 1164 	 11.64 

89	0	 4	 0	Row	241	 12	181 	 3253 	 32.53 
89	0	 4	 0	Col	241	 12	166 	 3238 	 32.38 

90	0	 4	 0	Row	100	 13	58 	 3386 	 33.86 
90	0	 4	 0	Col	100	 13	42 	 3370 	 33.7 

