Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	188	 3	49 	 817 	 8.17 
0	0	 4	 0	Col	188	 3	33 	 801 	 8.01 

1	0	 4	 0	Row	56	 11	122 	 2938 	 29.38 
1	0	 4	 0	Col	56	 11	106 	 2922 	 29.22 

2	0	 4	 0	Row	217	 12	58 	 3130 	 31.3 
2	0	 4	 0	Col	217	 12	43 	 3115 	 31.15 

3	0	 4	 0	Row	1	 3	166 	 934 	 9.34 
3	0	 4	 0	Col	1	 3	150 	 918 	 9.18 

4	0	 4	 0	Row	158	 1	126 	 382 	 3.82 
4	0	 4	 0	Col	158	 1	109 	 365 	 3.65 

5	0	 4	 0	Row	20	 4	36 	 1060 	 10.6 
5	0	 4	 0	Col	20	 4	20 	 1044 	 10.44 

6	0	 4	 0	Row	130	 12	26 	 3098 	 30.98 
6	0	 4	 0	Col	130	 12	8 	 3080 	 30.8 

7	0	 4	 0	Row	244	 13	197 	 3525 	 35.25 
7	0	 4	 0	Col	244	 13	182 	 3510 	 35.1 

8	0	 4	 0	Row	146	 13	27 	 3355 	 33.55 
8	0	 4	 0	Col	146	 13	11 	 3339 	 33.39 

9	0	 4	 0	Row	113	 6	140 	 1676 	 16.76 
9	0	 4	 0	Col	113	 6	124 	 1660 	 16.6 

10	0	 4	 0	Row	54	 13	56 	 3384 	 33.84 
10	0	 4	 0	Col	54	 13	40 	 3368 	 33.68 

11	0	 4	 0	Row	119	 1	23 	 279 	 2.79 
11	0	 4	 0	Col	119	 1	3 	 259 	 2.59 

12	0	 4	 0	Row	38	 4	95 	 1119 	 11.19 
12	0	 4	 0	Col	38	 4	78 	 1102 	 11.02 

13	0	 4	 0	Row	195	 11	138 	 2954 	 29.54 
13	0	 4	 0	Col	195	 11	123 	 2939 	 29.39 

14	0	 4	 0	Row	42	 13	2 	 3330 	 33.3 
14	0	 4	 0	Col	42	 12	242 	 3314 	 33.14 

15	0	 4	 0	Row	111	 12	232 	 3304 	 33.04 
15	0	 4	 0	Col	111	 12	217 	 3289 	 32.89 

16	0	 4	 0	Row	226	 2	101 	 613 	 6.13 
16	0	 4	 0	Col	226	 2	85 	 597 	 5.97 

17	0	 4	 0	Row	107	 7	111 	 1903 	 19.03 
17	0	 4	 0	Col	107	 7	95 	 1887 	 18.87 

18	0	 4	 0	Row	51	 12	134 	 3206 	 32.06 
18	0	 4	 0	Col	51	 12	119 	 3191 	 31.91 

19	0	 4	 0	Row	224	 3	66 	 834 	 8.34 
19	0	 4	 0	Col	224	 3	49 	 817 	 8.17 

