Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	210	 6	131 	 1667 	 16.67 
0	0	 4	 0	Col	210	 5	122 	 1402 	 14.02 
0	0	 4	 0	Row	109	 13	247 	 3575 	 35.75 
0	0	 4	 0	Col	109	 13	232 	 3560 	 35.6 

1	0	 4	 0	Row	233	 2	80 	 592 	 5.92 
1	0	 4	 0	Col	233	 2	64 	 576 	 5.76 

2	0	 4	 0	Row	204	 13	80 	 3408 	 34.08 
2	0	 4	 0	Col	204	 13	64 	 3392 	 33.92 

3	0	 4	 0	Row	181	 13	139 	 3467 	 34.67 
3	0	 4	 0	Col	181	 13	122 	 3450 	 34.5 

4	0	 4	 0	Row	91	 11	193 	 3009 	 30.09 
4	0	 4	 0	Col	91	 11	177 	 2993 	 29.93 

5	0	 4	 0	Row	123	 14	33 	 3617 	 36.17 
5	0	 4	 0	Col	123	 14	18 	 3602 	 36.02 

6	0	 4	 0	Row	36	 1	170 	 426 	 4.26 
6	0	 4	 0	Col	36	 1	154 	 410 	 4.1 

7	0	 4	 0	Row	246	 12	128 	 3200 	 32.0 
7	0	 4	 0	Col	246	 12	113 	 3185 	 31.85 

8	0	 4	 0	Row	147	 14	21 	 3605 	 36.05 
8	0	 4	 0	Col	147	 14	5 	 3589 	 35.89 

9	0	 4	 0	Row	232	 5	123 	 1403 	 14.03 
9	0	 4	 0	Col	232	 5	107 	 1387 	 13.87 

10	0	 4	 0	Row	117	 11	227 	 3043 	 30.43 
10	0	 4	 0	Col	117	 11	211 	 3027 	 30.27 

11	0	 4	 0	Row	137	 4	234 	 1258 	 12.58 
11	0	 4	 0	Col	137	 4	219 	 1243 	 12.43 

12	0	 4	 0	Row	142	 11	10 	 2826 	 28.26 
12	0	 4	 0	Col	142	 10	249 	 2809 	 28.09 

13	0	 4	 0	Row	23	 12	227 	 3299 	 32.99 
13	0	 4	 0	Col	23	 12	212 	 3284 	 32.84 

14	0	 4	 0	Row	217	 12	234 	 3306 	 33.06 
14	0	 4	 0	Col	217	 12	218 	 3290 	 32.9 

15	0	 4	 0	Row	227	 5	59 	 1339 	 13.39 
15	0	 4	 0	Col	227	 5	44 	 1324 	 13.24 

16	0	 4	 0	Row	146	 12	129 	 3201 	 32.01 
16	0	 4	 0	Col	146	 12	114 	 3186 	 31.86 

17	0	 4	 0	Row	33	 12	182 	 3254 	 32.54 
17	0	 4	 0	Col	33	 12	167 	 3239 	 32.39 

18	0	 4	 0	Row	192	 10	163 	 2723 	 27.23 
18	0	 4	 0	Col	192	 10	147 	 2707 	 27.07 

19	0	 4	 0	Row	186	 5	78 	 1358 	 13.58 
19	0	 4	 0	Col	186	 5	63 	 1343 	 13.43 

20	0	 4	 0	Row	188	 12	110 	 3182 	 31.82 
20	0	 4	 0	Col	188	 12	94 	 3166 	 31.66 

21	0	 4	 0	Row	88	 12	243 	 3315 	 33.15 
21	0	 4	 0	Col	88	 12	226 	 3298 	 32.98 

22	0	 4	 0	Row	145	 6	35 	 1571 	 15.71 
22	0	 4	 0	Col	145	 6	19 	 1555 	 15.55 

23	0	 4	 0	Row	212	 13	20 	 3348 	 33.48 
23	0	 4	 0	Col	212	 13	3 	 3331 	 33.31 

24	0	 4	 0	Row	221	 11	245 	 3061 	 30.61 
24	0	 4	 0	Col	221	 11	229 	 3045 	 30.45 

25	0	 4	 0	Row	189	 13	185 	 3513 	 35.13 
25	0	 4	 0	Col	189	 13	169 	 3497 	 34.97 

26	0	 4	 0	Row	202	 12	237 	 3309 	 33.09 
26	0	 4	 0	Col	202	 12	221 	 3293 	 32.93 

27	0	 4	 0	Row	60	 6	233 	 1769 	 17.69 
27	0	 4	 0	Col	60	 6	217 	 1753 	 17.53 

28	0	 4	 0	Row	169	 7	134 	 1926 	 19.26 
28	0	 4	 0	Col	169	 7	115 	 1907 	 19.07 

