Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	170	 7	30 	 1822 	 18.22 
0	0	 4	 0	Col	170	 5	151 	 1431 	 14.31 
0	0	 4	 0	Row	147	 3	212 	 980 	 9.8 
0	0	 4	 0	Col	147	 3	182 	 950 	 9.5 

1	0	 4	 0	Row	32	 15	115 	 3955 	 39.55 
1	0	 4	 0	Col	32	 15	88 	 3928 	 39.28 

2	0	 4	 0	Row	220	 3	250 	 1018 	 10.18 
2	0	 4	 0	Col	220	 3	222 	 990 	 9.9 

3	0	 4	 0	Row	184	 6	189 	 1725 	 17.25 
3	0	 4	 0	Col	184	 6	155 	 1691 	 16.91 

4	0	 4	 0	Row	79	 0	235 	 235 	 2.35 
4	0	 4	 0	Col	79	 0	206 	 206 	 2.06 

5	0	 4	 0	Row	81	 15	114 	 3954 	 39.54 
5	0	 4	 0	Col	81	 15	83 	 3923 	 39.23 

6	0	 4	 0	Row	101	 14	41 	 3625 	 36.25 
6	0	 4	 0	Col	101	 14	14 	 3598 	 35.98 

7	0	 4	 0	Row	214	 7	143 	 1935 	 19.35 
7	0	 4	 0	Col	214	 7	115 	 1907 	 19.07 

8	0	 4	 0	Row	109	 5	129 	 1409 	 14.09 
8	0	 4	 0	Col	109	 5	100 	 1380 	 13.8 

9	0	 4	 0	Row	43	 6	128 	 1664 	 16.64 
9	0	 4	 0	Col	43	 6	99 	 1635 	 16.35 

10	0	 4	 0	Row	209	 6	130 	 1666 	 16.66 
10	0	 4	 0	Col	209	 6	98 	 1634 	 16.34 

11	0	 4	 0	Row	98	 10	164 	 2724 	 27.24 
11	0	 4	 0	Col	98	 10	135 	 2695 	 26.95 

12	0	 4	 0	Row	193	 7	180 	 1972 	 19.72 
12	0	 4	 0	Col	193	 7	153 	 1945 	 19.45 

13	0	 4	 0	Row	238	 3	169 	 937 	 9.37 
13	0	 4	 0	Col	238	 3	135 	 903 	 9.03 

14	0	 4	 0	Row	131	 11	169 	 2985 	 29.85 
14	0	 4	 0	Col	131	 11	139 	 2955 	 29.55 

15	0	 4	 0	Row	254	 0	6 	 6 	 0.06 
15	0	 4	 0	Col	254	 15	232 	 4072 	 40.72 

16	0	 4	 0	Row	244	 14	120 	 3704 	 37.04 
16	0	 4	 0	Col	244	 14	91 	 3675 	 36.75 

17	0	 4	 0	Row	75	 5	10 	 1290 	 12.9 
17	0	 4	 0	Col	75	 4	236 	 1260 	 12.6 

18	0	 4	 0	Row	43	 5	227 	 1507 	 15.07 
18	0	 4	 0	Col	43	 5	197 	 1477 	 14.77 

